Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1492965365657,95.65,199.58,27.2,53.07,-74.58,-0.309119,103.17,0,0.102968,-0.0551411
1492965365677,95.79,199.63,27.23,53.18,-74.57,0.15456,103.22,0,0.148656,0.0456881
1492965365689,95.96,199.57,27.24,53.2,-74.65,-0.309119,103.27,0,0.180275,0.031619
1492965365705,96.13,199.58,27.22,53.11,-74.58,-0.309119,103.31,0,0.170293,-0.00998241
1492965365721,96.32,199.52,27.22,52.75,-74.41,0.309119,103.35,0,0.199255,0.0289622
1492965365733,96.41,199.4,27.21,52.88,-74.65,0.15456,103.39,0,0.149994,-0.0492609
1492965365741,96.57,199.27,27.07,52.81,-74.55,0,103.42,0,0.206161,0.0561673
1492965365757,96.71,199.2,26.94,52.75,-74.54,-0.309119,103.45,0,0.156521,-0.0496405
1492965365764,96.85,199.11,26.71,52.54,-74.55,0.15456,103.48,0,0.166431,0.00991
1492965365785,96.84,198.98,26.63,52.45,-74.57,0.309119,103.52,0,0.130389,-0.0360416
1492965365793,96.85,198.87,26.44,52.46,-74.42,0.15456,103.56,0,0.110454,-0.0199347
1492965365805,96.83,198.73,26.35,52.2,-74.63,-0.309119,103.59,0,0.141421,0.0309669
1492965365825,96.84,198.62,26.22,52.24,-74.76,0,103.64,0,0.110454,-0.0309669
1492965365841,96.85,198.52,26.06,51.96,-75,-0.309119,103.69,0,0.100505,-0.00994937
1492965365849,96.78,198.56,25.87,51.75,-75.18,0.309119,103.72,0,0.0806266,-0.0198785
1492965365861,96.62,198.6,25.83,51.63,-75.01,0.15456,103.75,0,0.164926,0.0842996
1492965365869,96.54,198.76,25.7,51.84,-75,0,103.78,0,0.178886,0.01396
1492965365885,96.37,198.86,25.62,52.11,-74.74,-0.463679,103.81,0,0.197239,0.0183528
1492965365893,96.18,199.04,25.39,52.05,-74.74,0.15456,103.84,0,0.261716,0.0644773
1492965365900,96.07,199.25,25.37,51.87,-74.67,0,103.86,0,0.237072,-0.0246446
1492965365913,96.05,199.54,25.41,52.02,-75.05,0.618238,103.89,0,0.290682,0.0536108
1492965365921,96.04,199.88,25.38,52.1,-74.86,0,103.92,0,0.340143,0.0494608
1492965365928,95.96,200.11,25.57,52.14,-74.91,0.15456,103.94,0,0.243527,-0.0966163
1492965365935,95.95,200.4,25.57,52.14,-74.87,-0.15456,103.96,0,0.290166,0.0466388
1492965365943,96.02,200.68,25.61,52.27,-74.96,0,103.98,0,0.288616,-0.0015496
1492965365951,95.99,200.92,25.78,52.28,-74.94,-0.15456,104,0,0.241873,-0.0467431
1492965365959,95.93,201.33,25.76,52.4,-75.26,0.15456,104.02,0,0.41437,0.172497
1492965365966,95.99,201.7,25.83,52.41,-75.14,-0.15456,104.04,0,0.374828,-0.0395422
1492965365972,95.9,202.08,25.91,52.26,-75.07,0.15456,104.06,0,0.390516,0.0156883
1492965365979,95.84,202.48,25.8,52.3,-74.99,0,104.08,0,0.40447,0.0139533
1492965365987,95.75,202.81,25.88,52.35,-74.86,0.15456,104.1,0,0.342053,-0.0624163
1492965365995,95.62,203.14,25.77,52.28,-74.99,0.15456,104.12,0,0.354686,0.012633
1492965366003,95.4,203.42,25.71,52.16,-74.95,0,104.14,0,0.356085,0.0013985
1492965366011,95.31,203.79,25.68,52.04,-74.65,0.309119,104.16,0,0.380785,0.0246999
1492965366019,95.12,204.17,25.53,52.13,-74.66,-0.309119,104.18,0,0.424858,0.0440735
1492965366026,95,204.48,25.47,52.29,-74.27,-0.15456,104.2,0,0.332411,-0.092447
1492965366032,94.92,204.85,25.38,52.38,-74.28,0,104.22,0,0.378545,0.0461341
1492965366040,94.72,205.17,25.21,52.57,-74.31,-0.15456,104.24,0,0.377364,-0.00118163
1492965366047,94.59,205.46,25.13,52.65,-74.4,0.463679,104.26,0,0.317801,-0.059563
1492965366054,94.46,205.97,25.04,52.79,-74.35,0.309119,104.28,0,0.526317,0.208516
1492965366061,94.37,206.34,25.09,52.8,-74.5,0,104.3,0,0.380785,-0.145532
1492965366067,94.29,206.59,25.09,52.73,-74.42,0.15456,104.32,0,0.262486,-0.118299
1492965366075,94.13,207.01,25.19,52.96,-74.46,0.15456,104.34,0,0.449444,0.186957
1492965366083,94,207.31,25.31,53.05,-74.65,0,104.36,0,0.326957,-0.122486
1492965366090,93.82,207.64,25.45,52.83,-74.57,-0.309119,104.38,0,0.375901,0.0489433
1492965366097,93.67,207.92,25.5,53.25,-74.56,-0.463679,104.4,0,0.317647,-0.0582534
1492965366104,93.46,208.29,25.56,53.43,-74.9,-0.15456,104.42,0,0.425436,0.107789
1492965366112,93.33,208.66,25.57,53.32,-75.37,0,104.44,0,0.39217,-0.0332658
1492965366120,93.14,209.09,25.78,53.25,-75.38,-0.15456,104.46,0,0.470112,0.0779411
1492965366128,92.91,209.5,25.82,53.23,-75.64,0.15456,104.48,0,0.470111,-3.57628e-007
1492965366135,92.69,210.17,25.79,53.33,-75.83,0.463679,104.5,0,0.705194,0.235082
1492965366142,92.39,210.93,25.97,53.2,-75.69,-0.309119,104.52,0,0.817061,0.111867
1492965366147,92.2,211.54,25.99,53.17,-75.86,0.309119,104.54,0,0.638907,-0.178155
1492965366153,92.02,212.06,25.91,53.17,-76.16,0,104.56,0,0.550277,-0.0886298
1492965366160,91.94,212.57,25.78,53.15,-76.64,0.463679,104.58,0,0.516231,-0.0340456
1492965366166,91.81,213.12,25.69,52.93,-77.16,0,104.6,0,0.565157,0.0489259
1492965366174,91.67,213.6,25.66,53.07,-77.3,0.15456,104.62,0,0.499996,-0.0651615
1492965366182,91.54,214.17,25.54,52.81,-77.13,0,104.64,0,0.584643,0.0846475
1492965366190,91.32,214.72,25.39,52.81,-77.35,0,104.66,0,0.592371,0.00772822
1492965366197,90.87,215.28,25.26,52.68,-77.52,0.15456,104.68,0,0.718402,0.126031
1492965366205,90.35,215.93,25.22,52.54,-77.52,0.463679,104.7,0,0.832399,0.113997
1492965366211,89.9,216.31,24.96,52.31,-77.62,0,104.72,0,0.588983,-0.243416
1492965366219,89.59,216.71,24.93,52.21,-78.24,-0.15456,104.74,0,0.506062,-0.0829214
1492965366227,89.34,217.06,24.71,52.07,-77.97,-0.309119,104.76,0,0.430121,-0.0759404
1492965366234,89.06,217.31,24.51,51.91,-77.96,-0.463679,104.78,0,0.375366,-0.0547556
1492965366243,88.82,217.61,24.3,51.97,-78.21,0,104.8,0,0.384189,0.00882292
1492965366250,88.62,217.8,24.1,51.55,-78.23,0,104.82,0,0.275857,-0.108332
1492965366258,88.34,217.95,23.73,51.39,-78.38,-0.309119,104.84,0,0.317651,0.0417941
1492965366265,87.9,218.09,23.56,51.16,-78.25,-0.15456,104.86,0,0.461731,0.14408
1492965366273,87.64,218.27,23.4,50.75,-78.03,0.309119,104.88,0,0.316225,-0.145505
1492965366278,87.37,218.32,23.12,50.1,-77.38,-0.309119,104.9,0,0.274595,-0.04163
1492965366285,86.94,218.33,22.66,49.78,-76.57,0,104.92,0,0.430117,0.155521
1492965366291,86.76,218.35,22.14,49.78,-76.07,-0.15456,104.94,0,0.181107,-0.24901
1492965366298,86.57,218.34,21.72,49.78,-75.9,-0.15456,104.96,0,0.190258,0.00915071
1492965366304,86.48,218.37,21.18,49.39,-75.37,-0.15456,104.98,0,0.0948717,-0.0953858
1492965366311,86.47,218.38,20.63,49.07,-74.91,-0.463679,105,0,0.0141344,-0.0807373
1492965366317,86.56,218.4,19.78,49.08,-75.15,-0.463679,105.02,0,0.0921928,0.0780584
1492965366323,86.66,218.51,19.21,48.73,-75.21,-0.15456,105.04,0,0.14866,0.0564673
1492965366330,86.79,218.52,18.77,48.27,-74.75,-0.15456,105.06,0,0.130388,-0.0182716
1492965366338,86.94,218.59,18.36,48.15,-74.78,0.463679,105.08,0,0.165527,0.0351385
1492965366346,87.12,218.71,17.74,47.75,-75.16,-0.309119,105.1,0,0.216331,0.0508036
1492965366353,87.26,218.85,17.21,47.63,-75.29,0.309119,105.12,0,0.197989,-0.0183416
1492965366360,87.32,219.08,16.53,47.55,-75.3,-0.15456,105.14,0,0.237709,0.0397202
1492965366367,87.3,219.19,16.1,47.28,-75.52,0.15456,105.16,0,0.111805,-0.125904
1492965366375,87.21,219.39,15.46,46.93,-75.75,0,105.18,0,0.219313,0.107508
1492965366383,86.99,219.6,15.21,46.8,-75.95,0.15456,105.2,0,0.304133,0.0848203
1492965366392,86.5,219.86,14.84,46.74,-76.12,0.15456,105.22,0,0.55471,0.250577
1492965366399,86.17,220.12,14.66,46.77,-76.43,-0.618238,105.24,0,0.420117,-0.134593
1492965366407,85.86,220.36,14.45,46.91,-76.52,0.309119,105.26,0,0.392047,-0.0280697
1492965366413,85.49,220.65,14.08,46.84,-76.81,-0.309119,105.28,0,0.470104,0.0780571
1492965366419,85.13,220.98,13.71,46.74,-76.83,0,105.3,0,0.488366,0.0182619
1492965366426,84.77,221.32,13.41,46.62,-76.74,-0.309119,105.32,0,0.495175,0.00680837
1492965366433,84.49,221.67,13.18,46.59,-76.61,-0.463679,105.34,0,0.448223,-0.046952
1492965366440,84.13,222.31,12.54,46.55,-76.52,0,105.36,0,0.734302,0.286079
1492965366447,84,222.71,12.3,46.48,-76.44,0.309119,105.38,0,0.420588,-0.313714
1492965366454,83.8,223.25,12.13,46.45,-76.64,0,105.4,0,0.575857,0.155269
1492965366460,83.77,223.75,11.89,46.72,-76.74,0.309119,105.42,0,0.500899,-0.0749577
1492965366467,83.8,224.19,11.63,46.79,-76.79,-0.15456,105.44,0,0.441024,-0.0598752
1492965366474,83.83,224.59,11.43,46.71,-76.87,0.15456,105.46,0,0.401118,-0.0399061
1492965366481,83.91,225,11.24,46.69,-77.04,-0.309119,105.48,0,0.417734,0.0166166
1492965366489,83.99,225.39,11.12,46.68,-77.02,-0.309119,105.5,0,0.39812,-0.0196141
1492965366495,84.01,225.71,11.01,46.62,-77.16,0,105.52,0,0.320616,-0.0775041
1492965366503,84.01,225.92,11.12,46.43,-77.2,0,105.54,0,0.210007,-0.11061
1492965366510,84.04,226.2,11.18,46.23,-77.05,-0.309119,105.56,0,0.281602,0.0715953
1492965366518,84.03,226.55,11.16,46.24,-76.92,0,105.58,0,0.350134,0.0685317
1492965366526,84.06,226.79,11.18,45.88,-76.14,0,105.61,0,0.241873,-0.108261
1492965366541,84.15,226.84,10.94,45.72,-76.48,0.15456,105.65,0,0.102961,-0.138912
1492965366549,84.35,226.82,10.64,45.61,-76.83,0,105.68,0,0.200995,0.0980337
1492965366555,84.6,226.79,10.48,45.14,-76.97,-0.15456,105.7,0,0.251793,0.0507985
1492965366561,84.86,226.81,10.14,45.05,-76.66,-0.463679,105.72,0,0.260771,0.00897714
1492965366569,85.29,226.77,9.83,44.55,-76.32,0,105.74,0,0.431858,0.171087
1492965366577,85.64,226.72,9.43,44.34,-76.14,-0.463679,105.76,0,0.35355,-0.0783074
1492965366585,85.75,226.45,8.76,44.2,-76.21,0,105.78,0,0.291552,-0.0619984
1492965366592,85.8,226.26,8.46,44.31,-75.81,-0.15456,105.8,0,0.19647,-0.0950817
1492965366598,85.86,226.11,8.05,44.19,-75.83,0.309119,105.82,0,0.161551,-0.0349188
1492965366605,86.01,225.9,7.79,44.11,-75.47,0,105.84,0,0.258072,0.0965205
1492965366613,86.11,225.73,7.49,44.02,-75.23,0,105.86,0,0.197232,-0.0608393
1492965366621,86.21,225.53,7.31,44.08,-75.56,0,105.88,0,0.223603,0.026371
1492965366628,86.25,225.31,7.21,44.23,-75.54,0,105.9,0,0.223608,4.75347e-006
1492965366634,86.48,224.99,7.16,44.25,-75.55,-0.309119,105.92,0,0.394085,0.170477
1492965366641,86.59,224.76,7.03,44.16,-75.5,0.15456,105.94,0,0.254947,-0.139137
1492965366649,86.89,224.58,6.9,44.08,-75.38,-0.15456,105.96,0,0.349856,0.0949086
1492965366656,87.24,224.41,6.79,43.94,-75.08,-0.15456,105.98,0,0.389106,0.03925
1492965366663,87.73,224.14,6.81,43.87,-74.96,-0.309119,106,0,0.559457,0.170351
1492965366670,88.21,224.06,6.94,43.83,-75.18,0.15456,106.02,0,0.486625,-0.0728323
1492965366677,88.71,224.07,7.01,44,-75.05,-0.618238,106.04,0,0.5001,0.0134753
1492965366685,89.22,224.1,6.95,44.06,-75.08,0,106.06,0,0.510884,0.0107838
1492965366691,89.73,224.17,6.91,44.12,-75.08,0.463679,106.08,0,0.514777,0.00389338
1492965366698,90.26,224.19,6.75,44.17,-75.51,0.15456,106.1,0,0.530376,0.0155991
1492965366705,90.64,224.25,6.71,44.28,-75.59,0.309119,106.12,0,0.384712,-0.145664
1492965366713,90.87,224.26,6.7,44.12,-75.69,0.15456,106.14,0,0.230213,-0.154499
1492965366721,91.2,224.25,6.75,44.15,-75.65,0.309119,106.16,0,0.330153,0.0999404
1492965366728,91.42,224.22,6.8,44.03,-75.39,0.309119,106.18,0,0.222037,-0.108116
1492965366735,91.64,224.2,6.87,43.93,-75.37,0.772798,106.2,0,0.220909,-0.00112826
1492965366742,91.81,224.15,7.01,43.93,-75.35,0,106.22,0,0.1772,-0.0437093
1492965366753,91.96,224.12,7.07,43.76,-74.99,0.15456,106.25,0,0.152972,-0.0242277
1492965366761,92.22,224.18,7.01,43.81,-74.71,0,106.28,0,0.266835,0.113863
1492965366769,92.51,224.26,6.91,43.84,-74.71,0.15456,106.3,0,0.300826,0.0339914
1492965366777,92.78,224.35,6.81,43.86,-75,0,106.32,0,0.284608,-0.0162183
1492965366785,93.07,224.41,6.74,43.7,-74.51,0.15456,106.34,0,0.296142,0.0115344
1492965366792,93.37,224.5,6.59,43.56,-74.63,0,106.36,0,0.313208,0.0170659
1492965366798,93.75,224.62,6.46,43.53,-74.95,0,106.38,0,0.3985,0.0852922
1492965366805,94.09,224.68,6.41,43.42,-74.79,0.15456,106.4,0,0.34525,-0.0532508
1492965366813,94.34,224.68,6.31,43.36,-74.65,0.15456,106.42,0,0.25,-0.0952495
1492965366821,94.57,224.68,6.05,43.26,-74.78,0.309119,106.44,0,0.230003,-0.0199966
1492965366828,94.81,224.69,5.84,42.92,-74.63,0.309119,106.46,0,0.240207,0.0102032
1492965366841,94.85,224.62,5.62,42.84,-74.38,0.772798,106.49,0,0.0806294,-0.159577
1492965366849,94.91,224.54,5.4,42.85,-74.23,-0.15456,106.52,0,0.1,0.0193706
1492965366861,95.06,224.55,5.19,42.86,-74.41,0.463679,106.55,0,0.150334,0.0503341
1492965366869,95.26,224.69,4.85,42.84,-74.3,0.15456,106.58,0,0.244137,0.0938029
1492965366877,95.42,224.76,4.66,42.65,-74.34,-0.309119,106.6,0,0.174643,-0.0694944
1492965366885,95.69,224.8,4.52,42.55,-74.12,0.618238,106.62,0,0.272943,0.0982999
1492965366893,95.97,224.86,4.45,42.54,-73.94,0.15456,106.64,0,0.286365,0.0134228
1492965366900,96.36,224.93,4.34,42.45,-74.06,0.15456,106.66,0,0.39623,0.109865
1492965366907,96.64,225.04,4.26,42.48,-74.19,0.15456,106.68,0,0.300831,-0.095399
1492965366914,96.93,225.13,4.18,42.47,-74.36,0,106.7,0,0.303644,0.00281304
1492965366921,97.19,225.26,4.02,42.39,-74.34,0,106.72,0,0.290686,-0.0129582
1492965366927,97.52,225.39,3.92,42.34,-74.06,0,106.74,0,0.354686,0.0640004
1492965366933,97.83,225.49,3.87,42.29,-74.26,-0.309119,106.76,0,0.325725,-0.0289617
1492965366949,98.09,225.54,3.82,42.1,-74.02,0.309119,106.79,0,0.264767,-0.0609581
1492965366955,98.32,225.52,3.8,42.12,-74.08,0.15456,106.82,0,0.230872,-0.0338951
1492965366969,98.62,225.56,3.68,42.2,-73.86,0.463679,106.85,0,0.302652,0.0717799
1492965366977,99,225.57,3.38,42.04,-73.75,-0.15456,106.88,0,0.380136,0.0774848
1492965366985,99.15,225.56,3.21,42.01,-73.66,-0.15456,106.9,0,0.150334,-0.229802
1492965366992,99.39,225.57,3.08,41.83,-73.75,0.309119,106.94,1,0.240206,0.0898718
1492965367005,99.63,225.52,2.99,41.87,-73.66,0.463679,106.95,1,0.245152,0.00494567
1492965367013,100.06,225.5,2.99,41.88,-74.09,0.463679,106.98,1,0.430465,0.185313
1492965367021,100.31,225.54,2.84,41.87,-74.17,0.309119,107,1,0.253179,-0.177286
1492965367028,100.55,225.55,2.74,41.86,-74.22,-0.15456,107.02,1,0.240206,-0.0129728
1492965367035,100.74,225.59,2.57,41.82,-74.14,-0.309119,107.04,1,0.194169,-0.0460369
1492965367042,100.97,225.61,2.46,41.89,-74.12,-0.618238,107.06,1,0.230872,0.0367026
1492965367049,101.33,225.61,2.29,41.8,-74.18,0,107.08,1,0.359993,0.129121
1492965367069,101.4,225.51,2.32,41.92,-74.46,0.463679,107.12,1,0.122075,-0.237918
1492965367085,101.58,225.45,2.3,41.88,-74.38,0.15456,107.17,1,0.189729,0.0676542
1492965367113,101.53,225.37,2.26,41.91,-74.22,0.463679,107.23,1,0.0943389,-0.09539
1492965367153,101.39,225.38,2.23,42.07,-75.24,0.15456,107.33,1,0.140356,0.0460168
1492965367161,100.71,225.48,2.1,41.96,-75.04,-0.463679,107.4,1,0.687315,0.546959
1492965367169,100.3,225.46,2.15,41.98,-75.15,0.463679,107.42,1,0.410491,-0.276823
1492965367177,99.88,225.49,2.13,41.94,-75.44,0,107.44,1,0.421068,0.0105768
1492965367185,99.35,225.51,2.11,41.93,-75.74,0,107.46,1,0.530376,0.109308
1492965367192,98.79,225.47,2.14,41.98,-75.91,0,107.48,1,0.561424,0.0310476
1492965367199,98.14,225.42,2.22,41.93,-76.17,0.15456,107.5,1,0.651922,0.0904981
1492965367206,97.17,225.41,2.3,41.89,-76.39,0.15456,107.52,1,0.970053,0.318131
1492965367213,96.53,225.38,2.31,41.78,-76.95,0.618238,107.54,1,0.640702,-0.329351
