Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1492965512889,92.9,204.68,27.78,54.12,-77.05,0.15456,-313.68,0,0.233233,0.0273141
1492965512903,92.92,204.54,27.68,53.9,-77.05,0,-313.65,0,0.14142,-0.0918127
1492965512911,92.93,204.44,27.44,53.99,-77.1,0.15456,-313.62,0,0.10049,-0.0409304
1492965512923,93.03,204.3,27.2,53.78,-77.34,-0.309119,-313.59,0,0.172045,0.0715553
1492965512931,93.15,204.14,26.87,53.7,-77.12,-0.15456,-313.56,0,0.200005,0.0279595
1492965512939,93.22,204.03,26.71,53.65,-76.99,0.463679,-313.54,0,0.130384,-0.0696202
1492965512951,93.32,203.88,26.6,53.44,-77.46,0.15456,-313.51,0,0.180284,0.0498999
1492965512959,93.31,203.76,26.43,53.37,-77.2,0.15456,-313.48,0,0.120411,-0.0598731
1492965512975,93.35,203.61,26.24,53.21,-77.17,-0.309119,-313.45,0,0.155236,0.0348248
1492965512983,93.47,203.48,25.94,53.15,-77.25,0,-313.42,0,0.176924,0.0216874
1492965512995,93.36,203.24,25.76,53.16,-77.05,-0.15456,-313.39,0,0.264013,0.0870893
1492965513003,93.35,202.97,25.46,53.05,-76.83,0,-313.36,0,0.270174,0.00616139
1492965513015,93.35,202.76,25.33,52.93,-77.04,-0.309119,-313.33,0,0.210007,-0.0601675
1492965513023,93.37,202.52,25.17,52.82,-76.93,-0.309119,-313.3,0,0.240837,0.0308304
1492965513031,93.41,202.3,25.12,52.7,-76.77,-0.618238,-313.28,0,0.223593,-0.0172439
1492965513047,93.42,202.06,25.15,52.52,-76.85,0.15456,-313.25,0,0.240214,0.0166207
1492965513055,93.52,201.83,25.1,52.47,-76.91,0.463679,-313.22,0,0.250794,0.0105804
1492965513062,93.53,201.63,25,52.32,-76.91,0,-313.2,0,0.200262,-0.0505321
1492965513075,93.57,201.47,25,51.98,-76.73,-0.309119,-313.17,0,0.164913,-0.035349
1492965513087,93.61,201.26,24.9,51.6,-76.66,0,-313.13,0,0.213782,0.0488692
1492965513095,93.5,201.15,24.78,51.51,-76.67,-0.463679,-313.1,0,0.155564,-0.058218
