Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1492966353872,82.52,218.77,33.17,52.71,-68.02,0,-8.26,0,0.0806095,-0.0311871
1492966353885,82.46,218.79,32.92,52.7,-68.23,-0.463679,-8.23,0,0.0632446,-0.0173649
1492966353893,82.5,218.98,32.83,52.54,-68.03,-0.309119,-8.2,0,0.194167,0.130923
1492966353905,82.58,219.02,32.7,52.33,-68.18,-0.15456,-8.17,0,0.0894414,-0.104726
1492966353921,82.67,219.01,32.48,52.18,-68.42,0,-8.13,0,0.0905496,0.00110825
1492966353933,82.81,219.1,32.47,52.05,-68.14,-0.15456,-8.09,0,0.166431,0.0758811
1492966353949,82.7,219.19,32.34,51.92,-68.07,-0.463679,-8.05,0,0.142135,-0.0242961
1492966353957,82.56,219.19,32.14,51.97,-68.19,0,-8.02,0,0.139999,-0.00213513
1492966354005,82.6,219.12,32.1,52.06,-67.31,0.15456,-7.94,0,0.0806294,-0.05937
1492966354013,82.98,218.97,31.96,51.76,-66.98,-0.15456,-7.86,0,0.408529,0.3279
1492966354021,83.2,218.95,31.88,51.41,-67.32,0,-7.84,0,0.220909,-0.18762
1492966354029,83.4,218.89,31.64,51.58,-67.39,-0.463679,-7.82,0,0.20881,-0.012099
1492966354049,83.48,218.71,31.61,51.18,-67.1,0,-7.78,0,0.196982,-0.0118278
1492966354057,83.53,218.55,31.27,51.07,-67.28,0,-7.74,0,0.167635,-0.0293471
1492966354065,83.56,218.46,30.8,50.98,-67.19,-0.309119,-7.72,0,0.0948645,-0.0727705
1492966354073,83.4,218.17,30.43,50.74,-66.83,-0.309119,-7.7,0,0.331202,0.236338
1492966354081,83.45,217.95,30.26,50.76,-66.54,0.15456,-7.68,0,0.22561,-0.105592
1492966354089,83.56,217.68,30.09,50.91,-66.62,-0.463679,-7.66,0,0.291552,0.0659413
1492966354097,83.6,217.39,29.44,50.86,-66.5,0.309119,-7.64,0,0.292739,0.00118732
1492966354102,83.58,217.14,29.07,50.79,-66.25,-0.309119,-7.62,0,0.250798,-0.0419406
1492966354109,83.62,216.87,28.84,50.48,-66.29,-0.463679,-7.6,0,0.27295,0.0221516
1492966354115,83.71,216.62,28.44,50.15,-65.95,0,-7.58,0,0.265708,-0.00724214
1492966354121,83.87,216.28,28.11,50.09,-66.01,0,-7.56,0,0.375761,0.110053
1492966354129,83.84,216,28.03,50.21,-66.18,-0.463679,-7.54,0,0.281601,-0.0941597
1492966354135,83.93,215.69,27.71,50.12,-65.9,0.309119,-7.52,0,0.322799,0.0411978
1492966354142,83.99,215.36,27.45,50.09,-65.65,-0.309119,-7.5,0,0.335412,0.0126126
1492966354149,84.02,214.77,26.96,49.92,-65.45,0,-7.48,0,0.590774,0.255362
1492966354157,84.04,214.47,26.6,50.56,-64.55,-0.618238,-7.46,0,0.300654,-0.29012
1492966354165,84.04,214.16,26.45,50.96,-64.18,-0.15456,-7.44,0,0.310013,0.00935879
1492966354171,83.99,213.72,26.34,50.54,-63.44,-0.463679,-7.42,0,0.442819,0.132807
1492966354178,84.09,213.41,26.18,50.75,-63.06,0,-7.4,0,0.325742,-0.117078
1492966354185,84.25,213.12,26.05,51.19,-62.34,0.309119,-7.38,0,0.331206,0.00546411
1492966354193,84.46,212.78,25.79,51.24,-61.65,-0.309119,-7.36,0,0.399621,0.0684154
1492966354199,84.84,212.4,25.58,51.21,-61.17,-0.463679,-7.34,0,0.537403,0.137781
1492966354206,85.19,211.97,25.45,51.14,-60.75,-0.309119,-7.32,0,0.55443,0.0170274
1492966354213,85.64,211.52,24.93,51.17,-60.37,0,-7.3,0,0.636408,0.081978
1492966354221,85.97,211.08,24.9,51.38,-60.05,-0.15456,-7.28,0,0.549991,-0.0864171
1492966354229,86.48,210.67,24.89,51.33,-59.31,0.309119,-7.26,0,0.654368,0.104377
1492966354236,86.79,210.39,24.88,51.21,-59.26,0.309119,-7.24,0,0.417735,-0.236633
1492966354243,86.98,210.09,24.72,51,-59.18,-0.309119,-7.22,0,0.355105,-0.0626296
1492966354250,87.2,209.78,24.6,50.87,-59.07,0,-7.2,0,0.38013,0.0250249
1492966354257,87.36,209.51,24.5,50.9,-59.17,-0.618238,-7.18,0,0.313853,-0.0662776
1492966354265,87.54,209.21,24.39,50.4,-59.55,0,-7.16,0,0.34986,0.0360073
1492966354271,87.62,208.88,24.07,50.28,-59.68,-0.309119,-7.14,0,0.339559,-0.0103009
1492966354278,87.59,208.57,23.81,50.16,-60.23,-0.463679,-7.12,0,0.311446,-0.0281133
1492966354285,87.42,208.41,23.55,50.17,-60.63,-0.15456,-7.1,0,0.233454,-0.0779922
1492966354293,87.22,208.22,23.17,49.95,-60.97,-0.309119,-7.08,0,0.275851,0.0423977
1492966354299,86.98,208.05,23,49.83,-61.17,0,-7.06,0,0.294121,0.0182698
1492966354306,86.59,207.95,22.42,49.57,-61.48,-0.15456,-7.04,0,0.402614,0.108493
1492966354313,86.29,207.84,22.2,49.19,-61.97,-0.463679,-7.02,0,0.319527,-0.0830868
1492966354321,85.91,207.79,21.99,48.8,-62.55,0,-7,0,0.383281,0.0637538
1492966354329,85.55,207.72,21.68,48.33,-63.05,0,-6.98,0,0.366742,-0.0165391
1492966354335,85.23,207.69,21.42,47.92,-63.9,-0.15456,-6.96,0,0.321403,-0.0453387
1492966354342,85.08,207.76,21.22,47.25,-64.48,-0.15456,-6.94,0,0.165521,-0.155882
1492966354349,84.87,207.85,20.96,46.71,-65.69,0.15456,-6.92,0,0.228478,0.0629574
1492966354357,84.6,207.92,20.68,46.24,-66.45,-0.309119,-6.9,0,0.278925,0.0504472
1492966354365,84.31,208.01,20.4,45.62,-67.17,-0.15456,-6.88,0,0.303644,0.0247192
1492966354372,83.99,208.07,20,45.04,-68.28,-0.309119,-6.86,0,0.325576,0.0219314
1492966354379,83.61,208.12,19.66,44.37,-68.65,0.15456,-6.84,0,0.383273,0.0576974
1492966354386,83.26,208.29,19.21,44.03,-69.18,-0.15456,-6.82,0,0.389106,0.00583318
1492966354393,82.69,208.37,18.75,43.81,-69.46,0.15456,-6.8,0,0.575587,0.18648
1492966354400,82.32,208.38,18.39,43.58,-69.46,-0.309119,-6.78,0,0.37013,-0.205457
1492966354407,81.99,208.32,18.02,43.61,-69.56,0,-6.76,0,0.335412,-0.0347185
1492966354414,81.52,208.25,17.73,44.17,-69.86,-0.15456,-6.74,0,0.475184,0.139773
1492966354421,81.34,208.32,17.4,44.54,-70.06,-0.772798,-6.72,0,0.193129,-0.282055
1492966354429,81.17,208.22,17.24,45.2,-70.15,-0.772798,-6.7,0,0.197225,0.00409511
1492966354441,81.23,208.09,17.12,46.12,-70.43,0.309119,-6.67,0,0.143182,-0.054043
1492966354449,81.58,207.82,17.09,46.11,-70.33,-0.15456,-6.64,0,0.442048,0.298867
1492966354457,81.69,207.38,17.26,46.19,-70.1,0.15456,-6.62,0,0.453542,0.0114941
1492966354465,81.88,207,17.45,46.16,-70.05,-0.15456,-6.6,0,0.424845,-0.0286976
1492966354472,82.08,206.56,17.73,46.36,-69.68,0.15456,-6.58,0,0.483326,0.0584812
