Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1492964709069,94.61,209.16,28.84,51.55,-73.2,0.15456,299.94,0,0.114014,-0.0606265
1492964709077,94.65,209.25,28.5,51.57,-73.11,0.309119,299.96,0,0.0984996,-0.0155149
1492964709085,94.64,209.35,28.19,51.52,-72.93,0.309119,299.98,0,0.10049,0.0019903
1492964709091,94.74,209.42,28.01,51.58,-72.63,0.15456,300,0,0.122069,0.0215787
1492964709097,94.79,209.46,27.67,51.44,-72.97,0,300.02,0,0.0640294,-0.0580391
1492964709105,94.94,209.57,27.21,51.5,-72.88,0.618238,300.04,0,0.186006,0.121977
1492964709117,94.99,209.66,26.95,51.41,-72.3,-0.15456,300.07,0,0.102955,-0.0830516
1492964709125,94.93,209.78,26.66,51.39,-71.89,0.618238,300.1,0,0.134172,0.0312177
1492964709133,94.98,209.96,26.56,51.25,-71.94,0,300.12,0,0.186807,0.0526349
1492964709141,94.87,209.99,26.28,51.23,-71.69,0,300.14,0,0.114018,-0.0727893
1492964709153,94.86,210.06,26.01,51.46,-70.72,0.15456,300.17,0,0.0707171,-0.0433007
1492964709161,94.93,210.15,25.51,51.59,-70.53,0.618238,300.2,0,0.114014,0.0432973
1492964709177,95.02,210.15,25.22,51.74,-69.93,0,300.23,0,0.0899963,-0.0240181
1492964709185,95.14,210.15,24.84,51.63,-69.15,0,300.26,0,0.120003,0.0300064
1492964709192,95.34,210.14,24.68,51.7,-68.77,0.463679,300.28,0,0.200247,0.0802438
1492964709199,95.48,210.09,24.52,51.6,-68.48,-0.15456,300.3,0,0.148661,-0.0515854
1492964709213,95.58,209.9,24.47,51.16,-68.59,0.15456,300.33,0,0.214711,0.0660494
1492964709219,95.71,209.66,24.33,51.09,-68.51,-0.15456,300.36,0,0.272954,0.0582435
1492964709229,95.83,209.45,24.1,51.26,-68.7,-0.15456,300.38,0,0.241858,-0.0310962
1492964709235,95.93,209.3,24.01,51.3,-69.07,-0.15456,300.4,0,0.180289,-0.0615693
1492964709241,95.98,209.1,23.76,50.98,-68.95,0.309119,300.42,0,0.206151,0.0258626
1492964709249,95.97,208.89,23.47,50.76,-69.12,0.309119,300.44,0,0.210229,0.00407794
1492964709256,95.93,208.54,23.16,50.58,-69.2,0.15456,300.46,0,0.352284,0.142055
1492964709263,95.87,208.26,22.99,50.33,-69.24,-0.15456,300.48,0,0.286356,-0.0659282
1492964709270,95.66,207.89,22.87,50.27,-69.22,0.15456,300.5,0,0.425436,0.13908
1492964709277,95.38,207.59,22.71,50.21,-69.33,0,300.52,0,0.410367,-0.0150692
1492964709285,95.08,207.25,22.26,50.05,-69.6,0.15456,300.54,0,0.453431,0.0430635
1492964709292,94.88,207.01,21.9,49.73,-69.99,0.309119,300.56,0,0.312412,-0.141018
1492964709299,94.7,206.75,21.6,49.3,-70,0.15456,300.58,0,0.316223,0.00381115
1492964709306,94.47,206.55,21.26,49.05,-70.33,-0.15456,300.6,0,0.3048,-0.0114236
1492964709314,94.24,206.28,21.06,48.96,-70.78,0,300.62,0,0.354677,0.049877
1492964709320,93.91,206.08,20.83,48.78,-71.26,0.618238,300.64,0,0.385876,0.0311989
1492964709326,93.57,205.89,20.58,48.54,-71.58,0,300.66,0,0.389485,0.00360924
