Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1493219345029,76.73,219.85,14.45,136.35,116.17,-0.15456,194.37,0,0.155234,-0.0102998
1493219345053,76.83,219.93,14.35,136.59,115.96,0.463679,194.42,0,0.128068,-0.0271657
1493219345073,77,219.99,14.33,136.38,116.04,-0.15456,194.48,0,0.180275,0.0522066
1493219345081,77.06,220.08,14.13,136.38,116.07,0.15456,194.52,0,0.108175,-0.0721002
1493219345101,77.14,220.06,14.03,136.56,115.8,-0.309119,194.56,0,0.0824649,-0.0257099
1493219345129,77.16,219.96,14.01,136.48,115.72,-0.309119,194.63,0,0.101986,0.0195208
1493219345145,77.22,219.76,13.88,136.41,116.04,-0.15456,194.69,0,0.208805,0.106819
1493219345165,77.27,219.65,13.8,136.54,115.99,-0.463679,194.74,0,0.120829,-0.0879756
1493219345181,77.39,219.56,13.73,136.5,116.05,-0.15456,194.79,0,0.15,0.0291709
1493219345193,77.54,219.57,13.72,136.51,116.22,-0.309119,194.83,0,0.150334,0.000334114
1493219345217,77.7,219.61,13.65,136.43,116.38,-0.463679,194.88,0,0.164922,0.0145883
1493219345229,77.84,219.67,13.64,136.44,116.57,0,194.93,0,0.152314,-0.0126085
1493219345237,78.05,219.76,13.7,136.49,116.93,-0.15456,194.96,0,0.228471,0.076157
1493219345253,78.23,219.89,13.76,136.79,117.74,0,194.99,0,0.222039,-0.00643177
1493219345261,78.39,220,13.86,136.74,117.83,-0.463679,195.02,0,0.194168,-0.0278709
1493219345268,78.57,220.12,13.9,136.92,118.49,-0.15456,195.04,0,0.216331,0.0221624
1493219345275,78.77,220.26,13.96,136.79,118.86,-0.463679,195.06,0,0.244128,0.0277977
1493219345283,78.99,220.43,14.01,136.56,119.44,-0.15456,195.08,0,0.278029,0.0339004
1493219345290,79.33,220.7,14.11,136.49,120.16,0,195.1,0,0.434172,0.156143
1493219345298,79.74,221.06,13.97,136.31,120.71,-0.309119,195.12,0,0.545616,0.111445
1493219345306,80.27,221.46,14.03,136.22,121.24,-0.15456,195.14,0,0.663998,0.118382
1493219345314,80.8,221.9,14.07,136.07,121.25,-0.15456,195.16,0,0.68884,0.0248418
1493219345321,81.32,222.29,14.24,135.96,121.2,-0.309119,195.18,0,0.650003,-0.0388371
1493219345329,81.99,222.81,14.59,135.99,121.71,-0.927357,195.2,0,0.848117,0.198114
1493219345335,82.61,223.26,14.91,135.72,121.84,-0.618238,195.22,0,0.766094,-0.0820224
1493219345343,83.21,223.67,15.28,135.45,122.35,-0.15456,195.24,0,0.726706,-0.0393887
1493219345350,83.74,224.17,15.7,135.15,123.06,0,195.26,0,0.728628,0.00192225
1493219345357,84.2,224.55,16.11,134.44,124.55,-0.618238,195.28,0,0.59665,-0.131978
1493219345363,84.96,225.12,16.75,133.91,125.27,-0.309119,195.3,0,0.950006,0.353356
1493219345371,85.6,225.69,17.15,133.72,126.36,-0.309119,195.32,0,0.857034,-0.092972
1493219345379,86.22,226.23,17.67,133.56,127.01,0.15456,195.34,0,0.82219,-0.0348443
1493219345386,87.08,226.88,18.27,133.4,126.85,-0.15456,195.36,0,1.078,0.255814
1493219345394,88.1,227.62,18.84,133.28,127.34,-0.309119,195.38,0,1.26016,0.182155
1493219345400,89.67,228.9,20.18,132.94,127.98,0.15456,195.4,0,2.02566,0.7655
1493219345408,90.85,229.91,21.12,132.68,128.85,-0.463679,195.42,0,1.55322,-0.47244
1493219345416,92.23,231.06,22,132.29,129.19,-0.309119,195.44,0,1.79636,0.243142
1493219345423,93.49,232.17,22.87,131.9,129.83,-0.309119,195.46,0,1.6792,-0.117163
1493219345430,95.32,233.46,23.64,131.47,130.27,0.15456,195.48,0,2.23897,0.559772
1493219345437,96.8,234.64,24.29,130.94,130.21,-0.309119,195.5,0,1.89283,-0.346141
1493219345443,98.5,235.88,25.07,130.58,129.89,0.463679,195.52,0,2.10418,0.211354
1493219345449,100.29,237.21,25.94,130.36,130.19,0.309119,195.54,0,2.23002,0.12584
1493219345455,102.15,238.67,26.84,130.19,130.59,-0.15456,195.56,0,2.36458,0.134552
1493219345462,104.1,240.15,27.81,129.69,130.81,-0.15456,195.58,0,2.44804,0.0834587
1493219345468,106.22,241.72,28.9,128.91,131.23,0.15456,195.6,0,2.63806,0.19002
1493219345474,109.31,243.95,30.99,128.52,131.83,-0.309119,195.62,0,3.81064,1.17258
1493219345481,112.37,246.14,32.25,128.05,132.32,-0.463679,195.64,0,3.76294,-0.0477002
1493219345489,114.65,247.79,33.39,127.71,132.76,0,195.66,0,2.8144,-0.948533
1493219345496,116.78,249.47,34.5,127.43,133.01,-0.618238,195.68,0,2.71281,-0.101593
1493219345502,118.91,251.21,35.78,127.49,133.26,-0.463679,195.7,0,2.75036,0.0375435
1493219345509,120.79,252.82,37,127.42,133.25,0.15456,195.72,0,2.47518,-0.275174
1493219345517,122.56,254.22,38.23,127.48,133.6,-0.15456,195.74,0,2.25675,-0.218432
1493219345523,123.85,255.48,39.31,127.37,133.69,-0.309119,195.76,0,1.80324,-0.453505
1493219345529,125.19,256.56,40.41,127.31,133.83,0.15456,195.78,0,1.72104,-0.0821993
1493219345537,126.27,257.61,41.32,127.39,133.97,0.15456,195.8,0,1.50628,-0.214765
