Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1493212537548,-11.63,275.62,11.7,91.55,11.19,-0.15456,287.83,0,0.0447288,0.0306012
1493212537692,-11.63,275.58,11.69,91.65,11.18,0.309119,288.21,0,0.0400085,-0.00472024
1493212537832,-11.62,275.58,11.69,91.47,11.32,-0.309119,288.61,0,0.0100002,-0.0300083
1493212537876,-11.62,275.53,11.75,91.45,11.3,0,288.87,0,0.0499878,0.0399876
1493212537932,-11.61,275.49,11.81,91.68,10.77,0,289.01,0,0.0412394,-0.00874839
1493212537964,-11.63,275.54,11.72,92.2,10.03,-0.618238,289.13,0,0.0538688,0.0126294
1493212537973,-11.47,275.86,11.38,92.29,9.74,-0.15456,289.18,0,0.357751,0.303882
1493212537982,-11.14,276.62,11.24,92.57,9.46,0.463679,289.2,0,0.828562,0.470811
1493212537991,-10.96,276.97,11.11,92.71,9.06,0.15456,289.22,0,0.393578,-0.434983
1493212538000,-10.82,277.28,10.93,92.76,8.88,0.309119,289.24,0,0.340145,-0.0534336
1493212538008,-10.71,277.57,10.8,92.83,8.7,-0.15456,289.26,0,0.310169,-0.0299758
1493212538017,-10.67,277.83,10.67,92.81,8.57,-0.15456,289.28,0,0.263038,-0.0471307
1493212538023,-10.67,278.22,10.6,92.74,8.38,0,289.3,0,0.390015,0.126976
1493212538030,-10.83,278.53,10.46,92.61,8.22,-0.15456,289.32,0,0.348853,-0.0411616
1493212538036,-10.88,278.9,10.32,92.57,7.91,0,289.34,0,0.373358,0.0245053
1493212538048,-10.91,279.04,10.36,92.57,6.8,0,289.38,0,0.143192,-0.230166
1493212538064,-10.97,279.12,10.5,92.64,6.3,0,289.43,0,0.0999889,-0.0432035
1493212538072,-11,279.36,10.58,92.72,6.08,0,289.46,0,0.241858,0.141869
1493212538079,-11.03,279.61,10.73,92.75,5.74,-0.15456,289.48,0,0.251794,0.00993541
1493212538085,-11.11,279.99,10.8,92.84,5.46,-0.15456,289.5,0,0.388335,0.136541
