Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1493210056639,90.92,167.44,34.77,142.26,100.55,-0.618238,130.86,0,1.01133,0.0653962
1493210056648,91.21,166.23,33.71,142.05,99.21,-0.309119,130.88,0,1.24427,0.23294
1493210056657,91.25,165.2,33.06,142.27,97.98,0,130.9,0,1.03078,-0.213498
1493210056664,91.32,164.1,32.36,142.79,96.59,0.15456,130.92,0,1.10223,0.071456
1493210056670,91.45,163.07,31.99,142.79,95.61,-0.618238,130.94,0,1.03817,-0.0640613
1493210056677,91.55,162.17,31.71,142.65,95.01,-0.772798,130.96,0,0.905532,-0.132638
1493210056684,91.86,161.18,31.22,142.84,94.27,-0.309119,130.98,0,1.03741,0.131875
1493210056691,91.98,160.34,31.13,142.88,92.87,-0.463679,131,0,0.848524,-0.188884
1493210056698,92.38,159.54,30.66,142.92,91.98,0.309119,131.02,0,0.894431,0.0459068
1493210056704,92.77,158.64,30.12,143.09,91.03,-0.309119,131.04,0,0.980861,0.0864305
1493210056711,93.36,157.98,29.87,143.41,89.94,-0.463679,131.06,0,0.885274,-0.0955874
1493210056719,93.93,157.51,29.77,143.54,88.32,-0.15456,131.08,0,0.738783,-0.14649
1493210056727,94.43,156.79,29.4,143.72,87.37,-0.463679,131.1,0,0.876585,0.137802
1493210056733,94.95,156.13,29.1,144.17,86.1,-0.15456,131.12,0,0.840239,-0.0363464
1493210056740,95.49,155.67,28.8,144.75,85.36,0.309119,131.14,0,0.709361,-0.130878
1493210056747,95.86,155.31,28.34,144.52,84.63,0.15456,131.16,0,0.516239,-0.193122
1493210056753,96.16,155.17,27.95,145.13,83.21,-0.15456,131.18,0,0.331055,-0.185184
1493210056759,96.59,154.76,27.63,145.1,82.71,-0.309119,131.2,0,0.594141,0.263086
1493210056765,96.97,154.66,27.38,145.01,82.79,-0.618238,131.22,0,0.39294,-0.201201
1493210056771,97.37,154.59,26.86,145.48,82.9,-0.618238,131.24,0,0.406074,0.013134
1493210056778,97.88,154.47,26.28,145.54,83.8,-0.618238,131.26,0,0.523928,0.117854
