Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1493210314920,103.35,202.48,39.2,138.63,113.24,-0.15456,-52.3,0,1.62484,0.258791
1493210314928,102.87,201.47,38.54,138.76,111.99,-0.772798,-52.28,0,1.11825,-0.506586
1493210314936,102.03,200.43,38.14,138.88,111.63,-0.772798,-52.26,0,1.33687,0.218612
1493210314944,101.23,199.44,37.4,138.94,110.64,-1.23648,-52.24,0,1.27283,-0.0640405
1493210314952,100.42,198.31,36.21,139.23,109.29,-0.618238,-52.22,0,1.39033,0.1175
1493210314960,99.81,197.25,35.45,139.6,108.49,-0.927357,-52.2,0,1.22299,-0.16734
1493210314967,99.24,196.35,34.53,139.59,108.63,-1.08192,-52.18,0,1.06532,-0.157662
1493210314975,98.72,195.36,33.54,139.85,108.2,-0.463679,-52.16,0,1.11825,0.052923
1493210314982,98.11,194.63,32.29,140.09,108.31,-0.618238,-52.14,0,0.951324,-0.166924
1493210314990,97.64,193.71,31.24,141.46,107.42,-1.08192,-52.12,0,1.0331,0.0817774
1493210314997,97.18,192.96,29.98,141.06,108.62,-0.463679,-52.1,0,0.879829,-0.153272
1493210315006,96.95,192.22,28.59,141.65,109.23,-0.618238,-52.08,0,0.774911,-0.104918
1493210315012,96.89,191.59,27.37,142.02,109.79,-0.463679,-52.06,0,0.632855,-0.142056
1493210315021,96.81,191.02,26.04,142.58,110.13,-0.618238,-52.04,0,0.575594,-0.0572612
1493210315028,96.79,190.42,24.72,143.08,110.59,-0.772798,-52.02,0,0.600324,0.0247298
1493210315036,96.93,189.78,21.98,143.5,110.35,-0.772798,-52,0,0.655133,0.0548089
1493210315042,97.18,189.06,20.62,143.99,110.12,-0.463679,-51.98,0,0.762169,0.107036
1493210315051,97.43,188.68,19.42,145.08,109.92,-0.927357,-51.96,0,0.454867,-0.307302
1493210315057,97.67,188.47,18.52,145.43,109.67,-0.927357,-51.94,0,0.318897,-0.13597
1493210315065,97.8,188.23,17.45,145.57,109.73,-0.463679,-51.92,0,0.27295,-0.0459467
1493210315072,97.89,188.13,16.37,145.68,108.21,-0.618238,-51.9,0,0.134543,-0.138407
1493210315079,97.98,187.96,15.56,146.11,108.13,-0.772798,-51.88,0,0.192351,0.0578071
