Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1492959938549,104.19,207.61,13.68,42.87,-77.85,0.309119,-213.21,0,0.155251,0.00392886
1492959938565,104.26,207.75,13.61,42.73,-77.83,0,-213.17,0,0.156524,0.00127324
1492959938577,104.35,207.93,13.63,42.61,-77.82,0.463679,-213.13,0,0.201241,0.0447173
1492959938593,104.44,208.06,13.62,42.45,-77.68,-0.15456,-213.09,0,0.158116,-0.0431255
1492959938609,104.55,208.19,13.56,42.33,-77.59,0.463679,-213.05,0,0.170298,0.0121822
1492959938621,104.68,208.31,13.49,42.26,-77.49,0,-213.01,0,0.176918,0.00662036
1492959938637,104.85,208.42,13.36,42.14,-77.47,0,-212.97,0,0.202483,0.025565
1492959938649,105.08,208.54,13.22,42.08,-77.44,0.463679,-212.93,0,0.259416,0.056933
1492959938657,105.23,208.61,13.11,41.97,-77.48,0.15456,-212.9,0,0.165534,-0.0938825
1492959938677,105.34,208.66,12.99,41.89,-77.63,0.463679,-212.86,0,0.120826,-0.044708
1492959938693,105.44,208.68,12.83,41.74,-77.68,0.15456,-212.81,0,0.10198,-0.0188462
1492959938717,105.51,208.69,12.69,41.44,-77.47,0.463679,-212.76,0,0.0707118,-0.031268
1492959938729,105.57,208.74,12.48,41.13,-77.26,0.15456,-212.71,0,0.0780987,0.00738692
1492959938741,105.66,208.85,12.29,40.9,-77.13,0.309119,-212.67,0,0.142125,0.0640262
1492959938749,105.76,208.97,12.12,40.83,-77.06,0,-212.64,0,0.156212,0.0140871
1492959938765,105.87,209.1,11.97,40.63,-76.79,0.309119,-212.61,0,0.170286,0.0140744
1492959938773,106,209.24,11.79,40.52,-76.57,0,-212.58,0,0.191053,0.0207663
1492959938785,106.14,209.43,11.65,40.52,-76.39,-0.15456,-212.55,0,0.23601,0.0449575
1492959938793,106.29,209.63,11.52,40.51,-76.27,0.15456,-212.52,0,0.249998,0.0139884
1492959938801,106.41,209.78,11.42,40.51,-76.26,0.309119,-212.5,0,0.192098,-0.0579007
1492959938809,106.56,210.03,11.24,40.53,-76.11,0.15456,-212.48,0,0.291548,0.0994505
1492959938821,106.69,210.24,11.13,40.48,-76.08,0.463679,-212.45,0,0.246973,-0.0445753
1492959938829,106.77,210.43,11.06,40.43,-76.03,0.15456,-212.42,0,0.206158,-0.0408148
1492959938841,106.82,210.61,10.97,40.45,-76.07,0.463679,-212.39,0,0.186824,-0.0193343
1492959938857,106.88,210.83,10.87,40.46,-76.09,0.15456,-212.35,0,0.228036,0.0412117
1492959938873,106.88,211.02,10.77,40.44,-76.15,0.463679,-212.31,0,0.189987,-0.0380484
1492959938885,106.85,211.26,10.61,40.45,-76,0.15456,-212.27,0,0.241873,0.0518858
1492959938901,106.79,211.47,10.49,40.48,-76.15,0.772798,-212.23,0,0.218409,-0.0234639
1492959938913,106.73,211.63,10.38,40.34,-76.16,0.309119,-212.19,0,0.170871,-0.0475381
