Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1492960300805,86.81,204.54,22.3,51.63,-69.31,-0.15456,287.48,0,0.064039,0.0540368
1492960300817,87,204.44,22.62,51.58,-69.21,0.15456,287.51,0,0.214707,0.150668
1492960300825,87.28,204.34,22.91,51.79,-69.24,0,287.54,0,0.297322,0.0826153
1492960300833,87.47,204.3,22.98,52.06,-69.2,0.618238,287.56,0,0.194166,-0.103156
1492960300849,87.68,204.25,23.06,52.4,-69.22,0.15456,287.59,0,0.21587,0.0217043
1492960300861,87.87,204.11,23.11,52.81,-68.88,-0.15456,287.63,0,0.236004,0.0201338
1492960300877,87.77,203.83,23.37,52.92,-68.5,0,287.67,0,0.29732,0.0613158
1492960300885,87.43,203.53,23.72,52.97,-68.07,0.15456,287.7,0,0.453431,0.156111
1492960300892,87.09,203.35,23.9,52.99,-67.62,0,287.72,0,0.384715,-0.0687157
1492960300899,86.72,203.2,24.08,52.98,-67.24,0.309119,287.74,0,0.399242,0.0145276
1492960300906,86.36,203.05,24.22,53.02,-66.98,0.309119,287.76,0,0.389998,-0.00924429
1492960300913,85.99,202.85,24.29,52.98,-66.83,0.15456,287.78,0,0.420603,0.0306048
1492960300920,85.55,202.62,24.36,53,-66.49,0.15456,287.8,0,0.496488,0.0758848
1492960300927,85.12,202.4,24.42,52.97,-66.32,0.15456,287.82,0,0.483012,-0.0134756
1492960300933,84.48,202.14,24.17,52.96,-66.14,0,287.84,0,0.690794,0.207782
1492960300941,84.04,201.98,24.13,52.97,-65.75,0.463679,287.86,0,0.468184,-0.22261
1492960300949,83.59,201.79,24.07,52.87,-65.5,0.309119,287.88,0,0.488472,0.0202878
1492960300955,83.03,201.51,23.92,52.8,-65.33,0.463679,287.9,0,0.626096,0.137624
1492960300961,82.57,201.32,23.89,52.67,-65.03,0,287.92,0,0.497695,-0.128402
1492960300969,82.04,201.1,23.81,52.45,-64.65,0.618238,287.94,0,0.573846,0.0761513
1492960300977,81.43,200.87,23.78,52.17,-64.51,0,287.96,0,0.651919,0.0780733
1492960300985,80.69,200.61,23.76,51.73,-64.15,0.15456,287.98,0,0.78435,0.132431
1492960300992,79.97,200.41,23.72,51.3,-63.85,0,288,0,0.747259,-0.0370914
1492960300999,78.94,200.11,23.51,50.84,-63.46,0.15456,288.02,0,1.0728,0.325544
1492960301006,77.9,199.84,23.39,50.25,-63.17,0.463679,288.04,0,1.07447,0.00166845
1492960301013,76.97,199.59,23.14,49.52,-63.21,-0.463679,288.06,0,0.963016,-0.111455
1492960301019,75.97,199.34,22.79,48.99,-62.96,0.463679,288.08,0,1.03078,0.06776
1492960301025,74.94,199.07,22.25,48.66,-62.98,0.309119,288.1,0,1.06481,0.0340314
1492960301033,73.9,198.77,21.64,48.25,-63.14,-0.15456,288.12,0,1.0824,0.0175914
