Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1492960186416,96.44,196.79,12.28,47.61,-61.91,-0.463679,171.38,0,0.13893,0.0942132
1492960186424,96.29,196.7,12.39,47.7,-61.65,0.15456,171.4,0,0.174921,0.0359909
1492960186436,96.05,196.55,12.55,47.77,-61.02,0.15456,171.43,0,0.283021,0.108099
1492960186444,95.8,196.36,12.72,47.6,-60.79,-0.15456,171.46,0,0.314008,0.030987
1492960186452,95.65,196.22,12.81,47.29,-60.15,-0.463679,171.48,0,0.205178,-0.10883
1492960186460,95.49,196.06,12.84,47.47,-59.46,-0.15456,171.5,0,0.226279,0.0211014
1492960186468,95.34,195.91,12.85,47.43,-59.05,0,171.52,0,0.21214,-0.0141398
1492960186475,95.16,195.7,12.8,47.32,-58.58,-0.309119,171.54,0,0.27658,0.0644404
1492960186482,95.03,195.52,12.8,47.19,-58.05,-0.463679,171.56,0,0.222041,-0.0545392
1492960186489,94.79,195.18,12.66,47.22,-57.56,0,171.58,0,0.416169,0.194128
1492960186496,94.55,194.91,12.48,47.08,-56.93,0.15456,171.6,0,0.361255,-0.0549141
1492960186503,94.39,194.67,12.34,47.03,-56.44,-0.309119,171.62,0,0.288434,-0.0728209
1492960186510,94.23,194.44,12.25,46.59,-55.62,-0.309119,171.64,0,0.280177,-0.0082567
1492960186517,94.08,194.18,12.13,46.59,-54.83,-0.463679,171.66,0,0.300176,0.0199988
1492960186524,93.97,193.88,12.03,46.74,-54.14,-0.309119,171.68,0,0.319531,0.0193555
1492960186532,93.88,193.6,12.02,46.93,-53.51,-0.15456,171.7,0,0.294109,-0.0254225
1492960186539,93.84,193.32,11.95,46.88,-53.02,-0.15456,171.72,0,0.282842,-0.0112672
1492960186546,93.82,192.99,11.92,46.91,-52.49,0,171.74,0,0.330607,0.0477655
1492960186552,93.84,192.58,11.8,46.97,-52.01,0.15456,171.76,0,0.410476,0.0798686
1492960186560,93.9,192.26,11.85,47.09,-51.59,0.309119,171.78,0,0.325585,-0.0848912
1492960186568,94,191.78,11.88,46.93,-51.06,-0.15456,171.8,0,0.490302,0.164717
1492960186574,94.1,191.47,11.96,46.98,-50.53,-0.15456,171.82,0,0.325727,-0.164574
1492960186580,94.18,191.18,11.91,47.23,-50.25,-0.15456,171.84,0,0.300841,-0.0248862
1492960186588,94.26,190.88,11.86,47.23,-50.14,-0.15456,171.86,0,0.310485,0.00964403
1492960186596,94.3,190.6,11.85,47.32,-49.89,0,171.88,0,0.282842,-0.0276433
1492960186602,94.32,190.34,11.83,47.34,-49.67,0.309119,171.9,0,0.260763,-0.0220787
1492960186608,94.22,189.96,11.67,47.32,-49.51,-0.15456,171.92,0,0.392942,0.132179
1492960186616,94.15,189.71,11.68,47.22,-49.46,0,171.94,0,0.259615,-0.133327
1492960186624,94.03,189.41,11.69,47.19,-49.39,0.15456,171.96,0,0.323114,0.0634987
1492960186632,93.82,189.13,11.65,47,-49.29,-0.309119,171.98,0,0.349998,0.0268847
1492960186638,93.61,188.83,11.69,47.12,-49.49,0.463679,172,0,0.366186,0.0161877
1492960186644,93.4,188.63,11.71,47.04,-49.73,-0.309119,172.02,0,0.290008,-0.0761784
1492960186652,93.19,188.45,11.73,46.95,-50.06,0.463679,172.04,0,0.276587,-0.0134211
1492960186660,92.98,188.27,11.73,46.82,-50.39,0,172.06,0,0.276591,4.11272e-006
1492960186668,92.62,188.08,11.72,46.65,-50.85,-0.15456,172.08,0,0.407057,0.130466
1492960186674,92.41,187.99,11.62,46.46,-51.3,0,172.1,0,0.228477,-0.17858
1492960186681,92.16,187.96,11.62,46.24,-51.68,0.309119,172.12,0,0.251793,0.0233165
1492960186688,91.87,187.91,11.5,46.03,-52.58,-0.463679,172.14,0,0.29428,0.0424868
1492960186696,91.54,187.88,11.37,46.05,-53.24,-0.15456,172.16,0,0.331355,0.0370747
1492960186702,91.18,187.85,11.22,45.86,-54,0,172.18,0,0.361248,0.0298934
1492960186708,90.76,187.8,11.08,45.75,-54.45,-0.15456,172.2,0,0.42297,0.0617217
1492960186716,90.29,187.73,10.95,45.71,-54.9,0.463679,172.22,0,0.475179,0.0522089
1492960186724,89.48,187.54,10.78,45.75,-55.41,-0.772798,172.24,0,0.831991,0.356812
1492960186732,88.97,187.47,10.79,45.73,-55.71,0.15456,172.26,0,0.514775,-0.317216
1492960186740,88.5,187.39,10.88,45.76,-55.93,0.309119,172.28,0,0.476761,-0.0380136
1492960186746,87.99,187.35,10.95,45.6,-55.99,0.309119,172.3,0,0.511569,0.0348076
1492960186752,87.61,187.29,11.06,45.46,-55.93,0.309119,172.32,0,0.384705,-0.126864
1492960186760,87.27,187.21,11.17,45.39,-55.78,0,172.34,0,0.349289,-0.0354153
1492960186768,86.96,187.14,11.31,45.25,-55.77,0.309119,172.36,0,0.317801,-0.0314884
1492960186774,86.74,187.06,11.39,45.03,-55.51,0.15456,172.38,0,0.234096,-0.0837051
1492960186788,86.59,187,11.42,44.51,-55.08,-0.15456,172.41,0,0.161555,-0.0725403
1492960186800,86.77,186.99,11.23,44.13,-54.61,-0.15456,172.45,0,0.180278,0.018723
1492960186808,86.96,186.88,11.05,44.04,-54.19,-0.309119,172.48,0,0.219547,0.039269
1492960186816,87.13,186.8,10.88,43.82,-53.67,-0.309119,172.5,0,0.187876,-0.0316718
1492960186824,87.33,186.71,10.72,43.7,-53.28,0.309119,172.52,0,0.219326,0.0314505
1492960186832,87.69,186.64,10.44,43.68,-53.03,0.15456,172.54,0,0.366734,0.147408
1492960186838,87.95,186.53,10.32,43.62,-52.65,0,172.56,0,0.282314,-0.0844199
1492960186844,88.27,186.44,10.14,43.79,-52.34,-0.15456,172.58,0,0.332414,0.0501
1492960186852,88.63,186.35,10.03,44.07,-52.15,-0.309119,172.6,0,0.371083,0.0386688
1492960186860,89.12,186.16,9.95,44.19,-51.57,-0.15456,172.62,0,0.525546,0.154463
1492960186868,89.55,186.08,9.91,44.22,-51.41,-0.309119,172.64,0,0.437376,-0.0881698
1492960186874,90.02,185.98,9.93,44.2,-51.22,0.15456,172.66,0,0.480523,0.0431466
1492960186880,90.52,185.9,9.96,44.21,-50.85,0.927357,172.68,0,0.50636,0.0258368
