Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1492960422359,101.42,205.53,16.43,47.32,-68.28,-0.15456,-212.89,0,0.0699997,0.0161465
1492960422379,101.5,205.47,16.37,47.34,-68.22,-0.15456,-212.82,0,0.1,0.0300003
1492960422395,101.63,205.38,16.4,47.33,-68.05,-0.15456,-212.77,0,0.158118,0.0581182
1492960422415,101.75,205.27,16.41,47.38,-67.91,0.309119,-212.72,0,0.162791,0.00467242
1492960422431,101.9,205.13,16.37,47.42,-67.92,0.15456,-212.67,0,0.205184,0.0423929
1492960422443,102.04,205.01,16.32,47.49,-67.82,0.463679,-212.63,0,0.184387,-0.0207963
1492960422459,102.12,204.87,16.29,47.48,-67.52,0.309119,-212.59,0,0.161242,-0.0231455
1492960422471,102.14,204.7,16.23,47.35,-67.57,-0.15456,-212.55,0,0.171171,0.00992936
1492960422487,102.12,204.5,16.16,47.34,-67.49,-0.309119,-212.51,0,0.200995,0.0298238
1492960422503,102.05,204.3,16.07,47.36,-67.49,0,-212.47,0,0.211893,0.0108983
1492960422510,102,204.14,15.94,47.41,-67.47,0.463679,-212.44,0,0.167633,-0.0442605
1492960422523,101.94,204.02,15.83,47.35,-67.46,0.15456,-212.41,0,0.134176,-0.033457
1492960422539,101.87,203.87,15.73,47.33,-67.42,-0.15456,-212.37,0,0.165524,0.0313481
1492960422559,101.8,203.76,15.63,47.21,-67.6,0,-212.32,0,0.130384,-0.0351394
1492960422571,101.73,203.67,15.5,47.12,-67.64,0.618238,-212.27,0,0.114014,-0.0163699
1492960422595,101.63,203.66,15.4,47.04,-67.86,0.309119,-212.22,0,0.100498,-0.0135162
1492960422607,101.49,203.66,15.31,46.97,-67.97,0,-212.17,0,0.139999,0.0395012
1492960422631,101.39,203.71,15.2,46.89,-67.96,-0.309119,-212.12,0,0.111803,-0.028196
1492960422643,101.32,203.8,15.08,46.92,-67.93,0,-212.07,0,0.114027,0.00222311
1492960422667,101.31,203.93,14.99,46.77,-67.91,0.618238,-212.02,0,0.130374,0.0163474
1492960422679,101.39,204.07,14.97,46.75,-67.92,-0.463679,-211.97,0,0.161246,0.0308717
1492960422703,101.48,204.17,14.97,46.74,-68.16,0.463679,-211.92,0,0.134538,-0.0267072
1492960422723,101.61,204.28,15.02,46.72,-68.29,0.15456,-211.86,0,0.170298,0.0357597
1492960422735,101.8,204.39,15.1,46.58,-68.25,0.309119,-211.81,0,0.219541,0.0492428
1492960422751,101.97,204.44,15.23,46.52,-68.35,-0.15456,-211.77,0,0.177207,-0.0423339
1492960422771,102.13,204.46,15.25,46.28,-68.42,0.309119,-211.72,0,0.16124,-0.015967
