Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1492962213698,83.94,214.13,14.33,46.54,-65.62,-0.309119,176.93,0,0.140356,0.0498061
1492962213714,84.1,214.15,14.3,46.37,-65.64,0,176.97,0,0.161249,0.0208936
1492962213734,84.26,214.14,14.25,46.52,-65.74,-0.463679,177.02,0,0.160308,-0.000941411
1492962213762,84.34,214.12,14.14,46.58,-65.78,0,177.09,0,0.0824649,-0.077843
1492962213786,84.47,214.11,14.15,46.53,-65.8,-0.15456,177.16,0,0.130388,0.0479236
1492962213814,84.59,214.11,14.15,46.46,-65.92,-0.15456,177.23,0,0.119995,-0.0103934
1492962213842,84.67,214.12,14.05,46.43,-65.43,0,177.31,0,0.0806237,-0.0393714
1492962213862,84.73,214.1,13.93,46.41,-65.49,-0.309119,177.38,0,0.0632446,-0.0173791
1492962213886,84.9,214.13,13.91,46.63,-65.43,-0.772798,177.44,0,0.172632,0.109388
1492962213906,85,214.15,13.85,47.11,-64.81,-0.618238,177.5,0,0.10198,-0.0706525
1492962213926,85.15,214.14,13.94,47.27,-64.45,-0.15456,177.56,0,0.150334,0.0483544
1492962213934,85.43,214.11,14.06,47.28,-64.37,0.463679,177.6,0,0.281601,0.131267
1492962213942,85.56,214.09,14.22,47.27,-64.16,-0.463679,177.62,0,0.131527,-0.150074
1492962213954,85.74,214.07,14.3,47.36,-63.94,-0.772798,177.65,0,0.181108,0.0495811
1492962213970,85.88,214.06,14.39,47.55,-63.55,-0.309119,177.69,0,0.140356,-0.0407528
1492962213986,86.06,214.11,14.38,47.37,-63.1,-0.309119,177.73,0,0.186817,0.0464608
1492962213998,86.27,214.12,14.4,47.44,-62.86,-0.463679,177.77,0,0.210237,0.0234203
1492962214006,86.5,214.16,14.44,47.54,-62.65,-0.309119,177.8,0,0.233455,0.0232177
1492962214014,86.65,214.15,14.57,47.61,-62.87,-0.772798,177.82,0,0.150334,-0.0831204
1492962214026,86.87,214.23,14.53,47.83,-63.07,-0.463679,177.85,0,0.234089,0.0837545
