Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1492961864490,83.06,223.24,18.89,42.1,-73.52,-0.15456,139.04,0,0.25612,-0.0219085
1492961864497,83.17,223.4,18.96,42.22,-73.5,0,139.06,0,0.194168,-0.0619519
1492961864504,83.33,223.62,18.91,42.21,-73.26,-0.463679,139.08,0,0.272033,0.0778643
1492961864512,83.55,223.85,18.87,42.12,-72.65,0.309119,139.1,0,0.318269,0.0462365
1492961864520,83.87,223.96,18.95,42.37,-72.71,-0.772798,139.12,0,0.338378,0.0201093
1492961864528,84.12,224.04,18.97,42.32,-72.87,0.463679,139.14,0,0.262489,-0.0758897
1492961864536,84.36,224.37,19.25,42.53,-73.04,-0.463679,139.16,0,0.408049,0.14556
1492961864544,84.34,224.72,19.65,42.39,-72.97,-0.463679,139.18,0,0.350577,-0.0574715
1492961864552,84.33,225.16,19.91,42.32,-72.66,-0.309119,139.2,0,0.440101,0.0895234
1492961864560,84.47,225.89,20.02,41.83,-72.76,-0.309119,139.22,0,0.743314,0.303213
1492961864565,84.65,226.39,20.17,41.54,-72.65,-0.463679,139.24,0,0.531413,-0.211901
1492961864571,84.72,226.89,20.02,41.17,-72.35,0,139.26,0,0.504876,-0.0265371
1492961864577,84.84,227.39,19.92,41.09,-71.96,-0.618238,139.28,0,0.514197,0.00932103
1492961864583,84.95,227.91,19.74,41.12,-71.59,-0.463679,139.3,0,0.531497,0.0172994
1492961864590,85.09,228.45,19.73,41.73,-71.24,-0.15456,139.32,0,0.557861,0.0263645
1492961864597,85.22,229.07,19.49,42.01,-70.68,-0.772798,139.34,0,0.633479,0.0756175
1492961864603,85.42,229.65,19.42,42.09,-70.07,0.15456,139.36,0,0.613515,-0.0199634
1492961864609,85.72,230.23,19.19,42,-69.7,0,139.38,0,0.652996,0.0394809
1492961864617,86.1,230.86,19.13,41.74,-69.33,-0.15456,139.4,0,0.735734,0.0827376
1492961864624,86.41,231.44,19.02,41.25,-68.87,-0.15456,139.42,0,0.657648,-0.0780859
1492961864631,86.98,232.35,18.94,40.99,-68.76,-0.15456,139.44,0,1.07377,0.416121
1492961864637,87.42,233.03,18.8,40.57,-68.54,-0.309119,139.46,0,0.809946,-0.263822
1492961864645,87.76,233.68,18.67,40.68,-69.15,-0.463679,139.48,0,0.733546,-0.0764003
1492961864653,87.93,234.32,18.47,40.62,-68.93,0.15456,139.5,0,0.662194,-0.0713517
1492961864660,88.03,235.02,18.25,40.39,-68.58,0.463679,139.52,0,0.707104,0.0449094
1492961864666,88.01,235.68,17.99,40.51,-68.8,0,139.54,0,0.660307,-0.0467968
1492961864674,87.95,236.18,17.81,40.54,-68.86,-0.463679,139.56,0,0.503587,-0.15672
1492961864682,87.79,236.67,17.58,40.5,-68.31,-0.618238,139.58,0,0.515465,0.0118781
1492961864689,87.51,236.94,17.4,40.63,-68.05,0.15456,139.6,0,0.38897,-0.126495
1492961864695,87.39,237.25,17.13,40.56,-67.82,-0.463679,139.62,0,0.332426,-0.0565444
