Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1492962493939,86.92,220.71,27.01,49.91,-62.66,-0.15456,16.3,0,0.242077,-0.0494745
1492962493946,86.92,220.6,26.82,49.87,-62.72,0.309119,16.32,0,0.110001,-0.132077
1492962493954,86.86,220.44,26.7,49.91,-62.66,0.463679,16.34,0,0.170868,0.0608677
1492962493961,86.96,220.22,26.64,49.94,-63.06,0,16.36,0,0.241661,0.070793
1492962493968,86.89,220.03,26.52,50.14,-63.05,0.309119,16.38,0,0.202487,-0.0391746
1492962493986,86.97,219.88,26.44,50,-63.24,0.463679,16.41,0,0.170009,-0.0324778
1492962493992,86.98,219.69,26.19,50.07,-63.22,0.309119,16.44,0,0.19025,0.0202409
1492962494002,87.05,219.49,26.11,49.95,-63.15,0.618238,16.47,0,0.211908,0.0216577
1492962494018,87.09,219.34,25.94,50.11,-63.1,0.927357,16.51,0,0.155236,-0.0566715
1492962494024,87.13,219.23,25.64,50.22,-62.74,0.618238,16.54,0,0.117048,-0.0381882
1492962494046,87.05,219.18,25.54,50.46,-62.19,0.15456,16.58,0,0.094343,-0.0227049
1492962494054,86.95,219.01,25.36,50.81,-61.99,0.309119,16.62,0,0.197228,0.102885
1492962494066,86.95,218.78,25.33,51.53,-61.15,0.618238,16.65,0,0.229996,0.0327673
1492962494074,86.91,218.6,25.24,52.01,-60.38,0.309119,16.68,0,0.184399,-0.0455969
1492962494082,87.02,218.47,25.13,52.68,-59.55,0.463679,16.7,0,0.170286,-0.0141125
1492962494089,87.09,218.28,25.45,52.92,-58.86,0.927357,16.72,0,0.202487,0.0322004
1492962494096,87.21,218.14,25.67,53.15,-58.55,0.618238,16.74,0,0.184392,-0.0180945
1492962494103,87.48,218.02,25.92,53.07,-57.78,0.15456,16.76,0,0.295467,0.111075
1492962494110,87.67,217.81,25.81,52.96,-57.76,0,16.78,0,0.283191,-0.0122755
1492962494118,88.1,217.72,25.95,52.76,-57.51,0.618238,16.8,0,0.439317,0.156126
1492962494126,88.47,217.59,26.12,52.74,-57.87,0.618238,16.82,0,0.392178,-0.0471396
1492962494133,88.79,217.65,26.05,52.4,-57.95,0.309119,16.84,0,0.325576,-0.066602
1492962494146,89.01,217.73,26.1,51.97,-58.52,0.309119,16.87,0,0.234089,-0.0914871
1492962494154,89.01,217.9,25.8,51.8,-58.87,0.15456,16.9,0,0.169998,-0.0640904
1492962494162,88.78,217.98,25.44,51.54,-58.62,0.618238,16.92,0,0.243512,0.0735143
1492962494169,88.36,217.95,25.26,51.41,-58.74,0.618238,16.94,0,0.421068,0.177556
1492962494176,87.9,218.07,24.98,51.2,-58.99,1.08192,16.96,0,0.475392,0.0543243
1492962494182,87.29,218.01,24.79,51.05,-59.08,0.463679,16.98,0,0.612944,0.137552
1492962494189,86.72,218.15,24.74,50.97,-58.78,0.618238,17,0,0.586941,-0.0260033
1492962494196,86.27,218.14,24.58,50.64,-59.1,0.15456,17.02,0,0.450116,-0.136825
