Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1492962352582,94.18,206.23,23.1,49.06,-66.56,0,-237.37,0,0.18249,0.0368907
1492962352598,94.06,206.36,23.07,49.24,-66.78,-0.309119,-237.33,0,0.176924,-0.00556698
1492962352626,94.07,206.44,23.14,49.48,-66.71,0.309119,-237.27,0,0.0806247,-0.0962989
1492962352646,94.15,206.55,23.2,49.82,-66.59,0.309119,-237.2,0,0.136004,0.0553793
1492962352654,94.23,206.59,23.4,49.89,-66.75,0.15456,-237.16,0,0.0894414,-0.0465626
1492962352674,94.38,206.59,23.39,50.14,-67.05,-0.463679,-237.12,0,0.150002,0.0605602
1492962352682,94.59,206.66,23.58,50.02,-66.93,0.309119,-237.08,0,0.221356,0.0713545
1492962352690,94.75,206.68,23.72,50.05,-67.1,-0.15456,-237.06,0,0.161249,-0.0601068
1492962352702,94.82,206.74,23.88,50.47,-66.57,0.15456,-237.03,0,0.0921936,-0.0690557
1492962352718,94.92,206.75,24.09,50.84,-66.09,-0.463679,-236.99,0,0.100498,0.00830459
1492962352738,94.98,206.72,24.3,51.36,-65.85,-0.309119,-236.94,0,0.0670793,-0.0334189
1492962352746,95.14,206.72,24.66,51.45,-65.88,-0.309119,-236.9,0,0.160004,0.0929243
1492962352762,95.33,206.73,24.99,51.51,-65.42,0.309119,-236.87,0,0.190258,0.0302538
1492962352770,95.64,206.73,25.32,51.77,-65.02,-0.618238,-236.84,0,0.310005,0.119748
1492962352778,95.74,206.84,25.83,52.09,-64.65,-0.15456,-236.82,0,0.14866,-0.161345
1492962352786,95.86,206.79,26.07,52.5,-63.99,-0.15456,-236.8,0,0.130004,-0.0186564
1492962352798,96.08,206.83,26.2,53.16,-62.9,0.309119,-236.77,0,0.223602,0.0935983
1492962352806,96.4,206.79,26.18,53.07,-62.35,-0.618238,-236.74,0,0.322499,0.0988966
1492962352814,96.69,206.8,26.29,53.3,-61.88,-0.15456,-236.72,0,0.290165,-0.0323332
1492962352822,97.04,206.88,26.43,53.29,-61.64,-0.15456,-236.7,0,0.359033,0.0688674
1492962352830,97.39,206.79,26.57,53.46,-61.89,-0.463679,-236.68,0,0.361384,0.00235102
1492962352838,97.74,206.83,26.67,53.49,-61.98,-0.15456,-236.66,0,0.352278,-0.00910607
1492962352845,98.01,206.82,26.69,53.39,-61.82,0.463679,-236.64,0,0.270182,-0.0820956
1492962352852,98.18,206.87,26.53,53.48,-62.11,0,-236.62,0,0.177207,-0.0929753
1492962352862,98.37,206.91,26.46,53.47,-62.69,-0.15456,-236.59,0,0.194158,0.0169515
1492962352869,98.2,207,26.32,53.29,-62.8,0,-236.56,0,0.192358,-0.00180078
1492962352876,97.95,207.02,26.16,53.06,-62.84,0.15456,-236.54,0,0.250798,0.0584402
1492962352883,97.63,206.99,25.83,53.12,-62.91,-0.15456,-236.52,0,0.321403,0.0706049
1492962352890,97.42,207.06,25.7,53.14,-63.08,0.463679,-236.5,0,0.221361,-0.100042
1492962352898,97.27,207.17,25.41,53.17,-63.24,-0.15456,-236.48,0,0.186012,-0.0353485
1492962352905,97.01,207.22,25.23,53.13,-63.35,0.15456,-236.46,0,0.264767,0.0787544
1492962352912,96.77,207.23,24.89,53.18,-63.27,-0.309119,-236.44,0,0.240206,-0.0245608
1492962352919,96.68,207.36,24.59,52.82,-63.42,0,-236.42,0,0.158116,-0.0820901
1492962352926,96.45,207.41,24.41,52.83,-63.84,0,-236.4,0,0.235373,0.0772569
1492962352934,96.25,207.45,24.14,52.73,-64.13,-0.15456,-236.38,0,0.203959,-0.0314133
1492962352941,96,207.5,24.01,52.67,-63.85,0,-236.36,0,0.254952,0.0509921
1492962352948,95.67,207.58,23.66,52.55,-63.85,-0.15456,-236.34,0,0.339561,0.0846092
1492962352956,95.49,207.72,23.43,52.71,-63.8,0.309119,-236.32,0,0.228035,-0.111526
1492962352963,95.3,207.84,23.07,52.9,-63.9,0.463679,-236.3,0,0.224722,-0.00331344
1492962352970,95.2,207.98,22.94,52.82,-63.99,-0.309119,-236.28,0,0.172045,-0.0526764
1492962352982,95.22,208.11,22.85,52.44,-64.02,-0.15456,-236.25,0,0.131535,-0.0405102
1492962352990,95.46,208.26,22.77,52.45,-64.2,0,-236.22,0,0.283014,0.151479
1492962352998,95.61,208.31,22.98,52.4,-64.49,0.309119,-236.2,0,0.158116,-0.124898
1492962353010,95.62,208.39,23.14,52.01,-64.93,0,-236.17,0,0.0806237,-0.0774926
1492962353026,95.64,208.57,23.03,51.92,-65.32,0.15456,-236.13,0,0.181101,0.100477
1492962353082,95.6,208.5,23.05,51.86,-65.84,0,-236.03,0,0.0806161,-0.100485
1492962353090,95.42,208.17,23.15,51.39,-66.38,-0.463679,-235.94,0,0.375901,0.295285
1492962353102,95.48,208.03,23.27,50.37,-67.49,0.15456,-235.91,0,0.152314,-0.223587
1492962353118,95.64,207.91,23.35,49.28,-68.41,0.463679,-235.87,0,0.200009,0.0476952
1492962353126,95.54,207.83,23.15,49.04,-69.11,-0.15456,-235.84,0,0.128053,-0.0719562
1492962353134,94.95,207.88,22.69,48.75,-69.9,0.15456,-235.82,0,0.592118,0.464065
1492962353142,94.44,207.88,22.37,48.43,-69.73,-0.309119,-235.8,0,0.510002,-0.0821157
1492962353150,93.81,207.8,21.76,48.28,-69.81,0.15456,-235.78,0,0.635057,0.125054
1492962353158,93.24,207.75,21.3,47.84,-69.96,0.309119,-235.76,0,0.572187,-0.0628691
1492962353165,92.56,207.62,20.68,47.74,-70.15,0.618238,-235.74,0,0.692316,0.120129
1492962353172,91.87,207.42,20.38,47.6,-70.49,0,-235.72,0,0.718403,0.0260863
1492962353179,91.26,207.24,20.04,47.54,-70.93,-0.15456,-235.7,0,0.636006,-0.0823966
1492962353187,90.81,207.12,19.45,47.51,-71.27,0.15456,-235.68,0,0.465721,-0.170285
1492962353194,90.44,206.99,19.15,47.66,-71.44,0.309119,-235.66,0,0.392178,-0.0735434
1492962353201,90.06,206.83,18.83,47.55,-71.2,0,-235.64,0,0.412304,0.0201259
1492962353209,89.72,206.74,18.56,47.65,-70.97,0.15456,-235.62,0,0.35171,-0.060594
1492962353217,89.28,206.56,18.18,47.61,-71.07,-0.463679,-235.6,0,0.475394,0.123684
1492962353225,88.88,206.34,17.92,47.92,-70.88,0,-235.58,0,0.45651,-0.0188836
1492962353233,88.48,206.2,17.78,48.17,-70.61,0.15456,-235.56,0,0.423794,-0.0327168
1492962353240,88.04,205.93,17.68,48.58,-70.56,-0.309119,-235.54,0,0.516234,0.0924405
1492962353246,87.53,205.7,17.47,48.71,-69.76,0,-235.52,0,0.559464,0.0432301
1492962353253,87.19,205.42,17.4,49.23,-69.27,0.15456,-235.5,0,0.440457,-0.119008
1492962353259,86.82,205.09,17.53,49.59,-68.49,0.15456,-235.48,0,0.49578,0.0553232
1492962353266,86.44,204.78,17.76,49.82,-68.25,-0.15456,-235.46,0,0.49041,-0.00536954
1492962353272,86.17,204.48,18.06,50.15,-68.08,0,-235.44,0,0.403609,-0.0868015
1492962353278,85.89,204.14,18.46,50.58,-67.65,0.618238,-235.42,0,0.440451,0.036842
1492962353285,85.74,203.7,18.77,50.7,-67.67,0,-235.4,0,0.464868,0.0244177
1492962353291,85.77,203.41,19.23,50.71,-67.61,-0.309119,-235.38,0,0.291556,-0.173312
