Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1492962037165,82.98,210.21,20.29,44.54,-70.23,0.15456,-155.28,0,0.169998,-0.0520389
1492962037173,83.19,210.04,20.41,44.81,-70.03,0,-155.24,0,0.270183,0.100185
1492962037189,83.42,209.97,20.37,45.03,-70.07,0,-155.21,0,0.240417,-0.0297661
1492962037196,83.59,209.78,20.36,45.35,-69.93,0.15456,-155.18,0,0.254952,0.0145344
1492962037203,83.68,209.56,20.42,45.5,-69.98,0.463679,-155.16,0,0.2377,-0.0172517
1492962037217,83.83,209.31,20.46,45.95,-69.65,0.309119,-155.13,0,0.291548,0.0538485
1492962037225,84.01,209.06,20.55,46.15,-69.21,0.618238,-155.1,0,0.308054,0.0165058
1492962037237,84.11,208.77,20.59,46.75,-68.73,0.15456,-155.07,0,0.306767,-0.00128686
1492962037245,84.27,208.47,20.59,47.21,-68.43,0.15456,-155.04,0,0.339987,0.0332201
1492962037253,84.46,208.32,20.6,47.67,-68.14,0,-155.02,0,0.242082,-0.0979054
1492962037260,84.55,208.14,20.64,48.17,-67.78,0.309119,-155,0,0.201238,-0.040844
1492962037267,84.87,207.98,20.66,48.35,-67.56,0.15456,-154.98,0,0.357772,0.156534
1492962037274,85.14,207.8,20.74,48.75,-67.06,0.463679,-154.96,0,0.324508,-0.0332647
1492962037281,85.31,207.63,20.77,49.25,-66.66,0.15456,-154.94,0,0.240414,-0.0840939
1492962037289,85.69,207.48,20.88,49.62,-66.32,0.618238,-154.92,0,0.408529,0.168115
1492962037296,85.86,207.28,21,49.79,-66.18,0.772798,-154.9,0,0.26249,-0.14604
1492962037303,86.1,207.17,21.12,49.84,-66.24,0.309119,-154.88,0,0.264006,0.00151637
1492962037310,86.35,207.08,21.11,49.7,-66.12,-0.309119,-154.86,0,0.265705,0.00169948
1492962037318,86.59,206.91,21.2,49.8,-66.19,-0.309119,-154.84,0,0.294115,0.0284095
1492962037325,86.76,206.73,21.37,49.71,-65.96,0.15456,-154.82,0,0.247582,-0.046533
1492962037332,87.01,206.6,21.55,49.82,-65.77,0,-154.8,0,0.281782,0.0342005
1492962037373,87.07,206.69,21.51,49.92,-65.44,0.309119,-154.73,0,0.108179,-0.173603
1492962037381,87.21,206.9,21.54,49.86,-65.3,0,-154.66,0,0.252381,0.144202
1492962037389,87.35,207.06,21.51,49.9,-65.24,0.15456,-154.64,0,0.212605,-0.0397759
1492962037401,87.4,207.29,21.44,49.97,-65.22,-0.15456,-154.61,0,0.235369,0.0227633
1492962037417,87.37,207.5,21.43,49.83,-65.39,0.463679,-154.57,0,0.21214,-0.0232289
1492962037429,87.33,207.75,21.35,49.9,-65.31,0.618238,-154.53,0,0.253179,0.0410391
1492962037437,87.28,208.05,21.43,50.01,-65.31,0.463679,-154.5,0,0.304127,0.0509479
1492962037445,87.12,208.29,21.38,49.9,-65.39,0.463679,-154.48,0,0.288451,-0.0156759
1492962037457,87.01,208.43,21.24,49.67,-65.49,0.309119,-154.45,0,0.178045,-0.110406
1492962037473,86.96,208.66,21.24,49.34,-65.82,0.15456,-154.41,0,0.235367,0.0573221
1492962037489,86.89,208.85,21.19,49.37,-65.64,0,-154.37,0,0.202487,-0.0328801
1492962037501,86.94,209.03,21.04,49.09,-65.9,-0.15456,-154.33,0,0.186822,-0.0156649
1492962037517,87.06,209.16,20.83,49.03,-65.75,-0.15456,-154.29,0,0.176912,-0.00990956
1492962037525,87.15,209.31,20.71,49.01,-65.83,-0.15456,-154.26,0,0.174938,-0.00197384
1492962037537,87.19,209.38,20.59,48.76,-65.64,0.15456,-154.23,0,0.0806124,-0.0943261
1492962037545,87.19,209.47,20.37,48.81,-65.59,-0.15456,-154.2,0,0.0900116,0.00939924
1492962037557,87.38,209.55,20.31,48.76,-65.38,0.309119,-154.17,0,0.206152,0.116141
1492962037565,87.56,209.63,20.35,48.78,-65.42,0.309119,-154.14,0,0.196978,-0.00917414
