Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1492962659461,86.2,217.8,27.09,50.11,-64.58,-0.309119,-309.94,0,0.120404,0.0219047
1492962659473,86.29,217.83,27.21,50.24,-64.79,-0.15456,-309.89,0,0.0948765,-0.0255278
1492962659489,86.27,217.77,27.38,50.1,-64.83,-0.309119,-309.85,0,0.0632591,-0.0316175
1492962659497,86.14,217.72,27.54,50.11,-64.8,0.309119,-309.82,0,0.139277,0.0760179
1492962659517,86.18,217.62,27.5,50.19,-65.04,0,-309.78,0,0.107709,-0.0315676
1492962659525,86.09,217.43,27.35,50.33,-65.07,-0.15456,-309.74,0,0.210242,0.102533
1492962659545,86.2,217.33,27.37,50.27,-65.43,0,-309.7,0,0.148655,-0.0615869
1492962659553,86.18,217.15,27.25,50.35,-65.14,0.309119,-309.66,0,0.181115,0.0324602
1492962659569,86.16,216.91,27.35,50.56,-65.07,0.15456,-309.63,0,0.240838,0.0597225
1492962659581,86.16,216.68,27.32,50.97,-65.14,0.309119,-309.59,0,0.229996,-0.010842
1492962659589,86.14,216.39,27.28,51.12,-64.88,0.309119,-309.56,0,0.290682,0.0606862
1492962659605,86.22,216.18,27.38,51.5,-64.03,-0.15456,-309.53,0,0.224729,-0.0659529
1492962659613,86.43,215.92,27.44,51.72,-63.79,0,-309.5,0,0.334211,0.109482
1492962659621,86.55,215.81,27.6,52.16,-63.4,0.15456,-309.48,0,0.162785,-0.171426
1492962659628,86.54,215.61,27.63,52.17,-63.28,0,-309.46,0,0.200247,0.0374615
1492962659635,86.76,215.5,27.66,52.14,-63.14,0.15456,-309.44,0,0.245962,0.0457155
1492962659643,87.01,215.43,27.63,52.11,-62.93,-0.309119,-309.42,0,0.259617,0.013655
1492962659650,87.36,215.22,27.94,52.09,-62.83,0.15456,-309.4,0,0.408167,0.14855
1492962659658,87.62,215.27,28.09,52.08,-62.6,-0.15456,-309.38,0,0.264756,-0.143411
1492962659665,87.75,215.23,28.43,52.17,-62.46,0.618238,-309.36,0,0.136017,-0.128739
1492962659672,87.86,215.3,28.62,52.34,-62.33,0.463679,-309.34,0,0.13038,-0.00563709
1492962659681,88.11,215.34,28.62,52.83,-61.31,0.309119,-309.31,0,0.253181,0.122801
1492962659697,88.26,215.33,28.43,52.94,-61.35,-0.15456,-309.27,0,0.150327,-0.102855
1492962659717,88.39,215.4,28.51,53.17,-60.29,0.15456,-309.22,0,0.147649,-0.00267774
1492962659725,88.84,215.61,28.63,53.14,-60.46,0.309119,-309.18,0,0.496588,0.34894
1492962659745,88.79,215.71,28.57,52.94,-60.01,0.309119,-309.14,0,0.111793,-0.384795
1492962659753,88.93,215.97,28.43,52.69,-59.9,0.309119,-309.1,0,0.295305,0.183512
1492962659769,88.9,216.2,28.31,52.79,-59.49,0.15456,-309.07,0,0.231944,-0.0633609
1492962659776,88.81,216.44,28.07,52.59,-59.44,0.309119,-309.04,0,0.256327,0.0243828
1492962659789,88.72,216.55,27.87,52.46,-59.07,0.309119,-309.01,0,0.142113,-0.114214
1492962659797,88.47,216.74,27.47,52.54,-59.43,0.15456,-308.98,0,0.314008,0.171895
1492962659805,88.17,216.96,27.31,52.8,-59.63,0,-308.96,0,0.372025,0.0580168
1492962659817,87.95,217.11,27.26,52.58,-60.01,0,-308.93,0,0.266277,-0.105748
1492962659825,87.79,217.21,27.04,52.55,-60.39,0.618238,-308.9,0,0.188671,-0.0776053
1492962659833,87.43,217.21,26.91,52.52,-60.61,0.309119,-308.88,0,0.360001,0.171329
1492962659841,87.15,217.09,27,52.35,-60.9,0.309119,-308.86,0,0.304628,-0.0553727
1492962659848,86.95,217.16,27.07,52.17,-61.06,0.15456,-308.84,0,0.211898,-0.09273
1492962659855,86.76,217.11,27,52.04,-61.1,-0.15456,-308.82,0,0.196468,-0.0154298
1492962659862,86.38,217.18,27,52.03,-61.17,0.15456,-308.8,0,0.386389,0.189921
1492962659869,86.02,217.15,26.99,51.91,-61.14,0.463679,-308.78,0,0.361248,-0.0251411
1492962659876,85.81,217.12,26.95,51.94,-61.3,0.463679,-308.76,0,0.212131,-0.149117
1492962659883,85.45,217.05,26.63,51.81,-61.23,0.15456,-308.74,0,0.366744,0.154613
1492962659890,85.14,217.02,26.53,51.96,-61.18,0.463679,-308.72,0,0.311446,-0.0552987
1492962659897,85.02,217.01,26.33,51.85,-61.11,0.618238,-308.7,0,0.120418,-0.191027
1492962659909,84.83,216.95,26.18,51.78,-61.3,0.618238,-308.67,0,0.199243,0.0788247
1492962659917,84.75,216.9,25.98,51.63,-61.62,0.463679,-308.64,0,0.094343,-0.1049
1492962659933,84.94,216.89,25.94,51.37,-62.13,0.15456,-308.61,0,0.190258,0.0959145
1492962659941,85.11,216.76,25.81,51.21,-62.47,0.618238,-308.58,0,0.214017,0.0237594
1492962659948,85.08,216.61,25.67,51.07,-62.88,0.309119,-308.56,0,0.152964,-0.0610526
1492962659961,84.93,216.46,25.55,50.89,-63.26,0.309119,-308.53,0,0.21214,0.0591752
1492962659969,84.7,216.26,25.25,50.98,-63.39,-0.15456,-308.5,0,0.304796,0.0926559
1492962659976,84.54,216.1,25.09,50.87,-63.41,-0.309119,-308.48,0,0.226274,-0.0785216
1492962659983,84.39,215.9,25.04,50.82,-63.73,-0.15456,-308.46,0,0.249998,0.0237245
