Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1492961572472,96.74,210.11,17.87,47.19,-63.56,0.15456,279.42,0,0.148665,0.108672
1492961572488,96.55,210.17,17.98,47.34,-63.57,0,279.47,0,0.19925,0.0505849
1492961572500,96.48,210.28,18.08,47.29,-63.86,-0.15456,279.51,0,0.130384,-0.0688658
1492961572509,96.39,210.36,18.3,47.36,-63.83,-0.15456,279.54,0,0.120414,-0.00996998
1492961572524,96.23,210.39,18.41,47.14,-63.51,0.309119,279.57,0,0.162792,0.0423772
1492961572544,96.16,210.44,18.51,47.21,-63.79,0.309119,279.62,0,0.0860248,-0.0767668
1492961572560,96.1,210.51,18.7,47.17,-63.89,0.463679,279.67,0,0.0921878,0.00616305
1492961572568,96.21,210.64,18.55,47.27,-63.91,-0.15456,279.7,0,0.170298,0.0781102
1492961572588,96.2,210.55,18.66,47.26,-64.05,0.618238,279.74,0,0.0905656,-0.0797324
1492961572608,96.19,210.41,18.64,47.35,-64.27,-0.15456,279.8,0,0.140356,0.0497906
1492961572616,96.12,210.17,18.6,47.35,-64.25,-0.15456,279.84,0,0.249991,0.109634
1492961572632,96.09,210.02,18.62,47.47,-64.12,0.15456,279.87,0,0.152979,-0.0970112
1492961572644,96.03,209.88,18.66,47.55,-63.97,0,279.91,0,0.152314,-0.000665382
1492961572660,95.98,209.74,18.68,47.69,-63.84,-0.463679,279.95,0,0.148661,-0.0036528
1492961572680,96.1,209.66,18.69,47.74,-63.94,0.15456,280,0,0.144225,-0.00443579
1492961572688,96.46,209.75,18.87,47.82,-63.99,-0.463679,280.04,0,0.371083,0.226858
1492961572700,96.62,209.79,19.01,47.73,-64.26,0.309119,280.07,0,0.164919,-0.206164
1492961572708,96.8,209.81,19.17,47.73,-64.52,0,280.1,0,0.181108,0.0161897
1492961572744,96.8,209.92,19.16,47.47,-64.76,-0.15456,280.16,0,0.110001,-0.0711079
1492961572752,96.62,210.08,19.17,47.22,-64.82,0.772798,280.22,0,0.240835,0.130834
1492961572772,96.53,210.13,19.11,47.31,-65.04,0,280.26,0,0.102947,-0.137887
1492961572788,96.38,210.22,19.04,47.38,-64.96,0.15456,280.31,0,0.174936,0.0719887
1492961572796,96.32,210.25,18.82,47.31,-65.11,-0.15456,280.34,0,0.0670793,-0.107857
