Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1492962808158,79.3,198.28,16.08,44.43,-72.84,-0.15456,-18,0,0.270737,0.109499
1492962808170,79.54,198.25,16.11,44.66,-72.04,-0.309119,-17.97,0,0.241873,-0.0288637
1492962808178,79.87,198.24,16.13,44.93,-71.69,-0.15456,-17.94,0,0.330146,0.088273
1492962808186,80.12,198.25,16.21,45.16,-71.46,0.309119,-17.92,0,0.2502,-0.0799457
1492962808193,80.34,198.31,16.26,45.24,-71.04,-0.309119,-17.9,0,0.228036,-0.0221647
1492962808201,80.64,198.36,16.32,45.27,-70.55,0,-17.88,0,0.304142,0.076106
1492962808209,80.91,198.37,16.32,45.3,-70.13,0.463679,-17.86,0,0.270182,-0.0339601
1492962808217,81.33,198.46,16.44,45.52,-70.15,0.463679,-17.84,0,0.42954,0.159358
1492962808224,81.61,198.5,16.57,45.79,-70.19,0.618238,-17.82,0,0.282843,-0.146697
1492962808231,81.88,198.53,16.79,46.49,-70.15,-0.772798,-17.8,0,0.271658,-0.0111846
1492962808238,82.12,198.62,16.92,46.95,-70.08,-0.15456,-17.78,0,0.256317,-0.0153413
1492962808246,82.35,198.69,17.09,47.81,-70.43,0.618238,-17.75,0,0.240422,-0.0158952
1492962808254,82.41,198.76,17.44,48.6,-70.28,-0.463679,-17.72,0,0.0921878,-0.148234
1492962808262,82.22,198.75,17.96,49.25,-70.32,0.15456,-17.7,0,0.190258,0.0980697
1492962808270,82.12,198.66,18.42,49.5,-70.33,0.15456,-17.68,0,0.134549,-0.055709
1492962808278,82.09,198.61,18.76,49.61,-70.09,0.15456,-17.66,0,0.0582984,-0.0762501
1492962808285,82.05,198.5,18.93,49.42,-70.05,-0.15456,-17.64,0,0.117048,0.0587495
1492962808292,82.06,198.3,19.37,49.4,-69.94,0.15456,-17.62,0,0.200247,0.083199
1492962808299,82.15,198.16,19.74,49.27,-69.82,0.309119,-17.6,0,0.166448,-0.0337993
1492962808306,82.29,197.98,20.05,49.16,-69.75,-0.309119,-17.58,0,0.228029,0.0615813
1492962808326,82.44,197.97,20.07,49.32,-69.63,0.772798,-17.54,0,0.150327,-0.0777024
1492962808334,82.54,198.09,19.83,49.24,-69.61,0.15456,-17.5,0,0.156205,0.00587864
1492962808346,82.49,198.09,19.65,49.23,-69.54,0.463679,-17.47,0,0.0500031,-0.106202
