Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1493048300261,102.41,197.93,10.39,46.98,-65.1,-0.309119,202.6,0,0.564355,0.0539603
1493048300269,102.95,197.98,10.41,46.78,-65.31,0.309119,202.62,0,0.542311,-0.0220435
1493048300281,103.1,197.99,10.22,46.82,-65.62,-0.463679,202.65,0,0.150334,-0.391977
1493048300289,103.02,198.12,9.4,46.75,-65.69,-0.309119,202.68,0,0.152648,0.00231437
1493048300297,102.91,198.19,9.03,46.67,-65.69,-0.15456,202.7,0,0.130388,-0.02226
1493048300305,102.88,198.24,8.76,46.56,-65.63,0,202.72,0,0.0582984,-0.0720901
1493048300311,102.72,198.28,8.43,46.38,-65.62,0,202.74,0,0.164922,0.106624
1493048300317,102.6,198.33,8.23,46.3,-65.51,-0.618238,202.76,0,0.130004,-0.0349187
1493048300325,102.52,198.42,7.98,45.67,-65.77,0,202.78,0,0.120414,-0.00958928
1493048300333,102.49,198.47,7.69,45.46,-65.64,-0.309119,202.8,0,0.0583115,-0.0621029
1493048300341,102.53,198.55,7.43,45.35,-65.62,0.309119,202.82,0,0.0894448,0.0311333
1493048300348,102.54,198.67,7.08,45.16,-65.52,-0.15456,202.84,0,0.120411,0.0309665
1493048300354,102.62,198.8,6.69,45.32,-65.43,-0.309119,202.86,0,0.152645,0.0322332
1493048300361,102.74,198.93,6.35,45.03,-65.2,0.309119,202.88,0,0.176912,0.0242678
1493048300369,102.85,199.21,5.35,44.78,-65.03,0,202.9,0,0.300831,0.123919
1493048300375,103,199.43,4.82,44.6,-65.1,0,202.92,0,0.266272,-0.0345589
1493048300382,103.15,199.61,4.4,44.43,-65.13,0.15456,202.94,0,0.23431,-0.0319627
1493048300389,103.33,199.84,3.91,44.36,-65.25,-0.309119,202.96,0,0.292058,0.0577488
1493048300397,103.57,200.01,3.6,44.17,-65.58,0.309119,202.98,0,0.294112,0.00205377
1493048300405,103.82,200.29,3.05,43.71,-65.79,-0.15456,203,0,0.375366,0.0812533
1493048300412,103.99,200.53,2.61,43.54,-66.1,0,203.02,0,0.294112,-0.0812533
1493048300419,104.1,200.74,2.28,43.3,-66.44,-0.309119,203.04,0,0.237058,-0.0570541
1493048300426,104.15,200.92,1.97,43.12,-66.67,-0.15456,203.06,0,0.186822,-0.0502363
1493048300433,104.06,201.05,1.7,43.17,-67.23,-0.15456,203.08,0,0.158116,-0.028706
1493048300441,103.86,201.18,1.41,42.99,-67.25,-0.309119,203.1,0,0.238529,0.0804132
1493048300447,103.54,201.41,0.79,42.84,-67.37,-0.618238,203.12,0,0.394078,0.155549
1493048300453,103.26,201.49,0.49,42.74,-67.47,-0.463679,203.14,0,0.291211,-0.102867
1493048300461,102.84,201.57,0.09,42.53,-67.54,-0.309119,203.16,0,0.42755,0.136339
1493048300469,102.63,201.64,-0.22,42.45,-67.59,-0.15456,203.18,0,0.221361,-0.206189
1493048300475,102.37,201.62,-0.44,42.05,-67.65,-0.618238,203.2,0,0.260771,0.0394097
1493048300482,102.27,201.72,-0.81,41.65,-67.62,-0.15456,203.22,0,0.141425,-0.119346
1493048300489,102.19,201.8,-1.12,41.43,-67.64,-0.309119,203.24,0,0.11314,-0.0282849
1493048300497,102.13,201.86,-1.38,41.33,-67.71,-0.15456,203.26,0,0.0848494,-0.0282903
1493048300505,102.11,201.97,-1.73,41.22,-67.75,-0.463679,203.28,0,0.111803,0.026954
1493048300512,102.09,202.05,-1.99,41.28,-67.83,-0.309119,203.3,0,0.0824649,-0.0293385
1493048300519,102.1,202.3,-2.58,41.19,-67.96,0.15456,203.32,0,0.2502,0.167735
1493048300526,102.03,202.52,-3.04,41.01,-67.97,-0.15456,203.34,0,0.230854,-0.0193456
1493048300533,101.97,202.67,-3.37,40.89,-68.17,0.463679,203.36,0,0.161563,-0.0692919
1493048300541,101.89,202.81,-3.62,40.73,-68.38,-0.15456,203.38,0,0.161246,-0.000317007
1493048300548,101.83,202.98,-3.82,40.64,-68.55,0,203.4,0,0.180278,0.019032
1493048300555,101.75,203.12,-3.95,40.48,-68.66,-0.15456,203.42,0,0.161242,-0.0190358
1493048300562,101.64,203.26,-4.14,40.36,-68.79,0,203.44,0,0.178045,0.0168031
1493048300569,101.56,203.42,-4.37,40.2,-68.97,0,203.46,0,0.17889,0.000844687
1493048300576,101.44,203.54,-4.53,40.16,-69.05,-0.15456,203.48,0,0.169704,-0.00918542
1493048300583,101.17,203.68,-4.75,40.23,-69.49,0,203.5,0,0.304135,0.134431
1493048300590,100.99,203.73,-4.93,40.03,-69.54,-0.463679,203.52,0,0.186817,-0.117318
1493048300597,100.79,203.84,-5.17,39.69,-69.57,-0.15456,203.54,0,0.228252,0.0414353
1493048300605,100.6,203.93,-5.37,39.58,-69.55,0,203.56,0,0.210239,-0.0180133
1493048300612,100.38,204.01,-5.6,39.47,-69.47,-0.309119,203.58,0,0.234096,0.0238572
1493048300618,100.19,204.07,-5.8,39.4,-69.49,-0.15456,203.6,0,0.19925,-0.0348456
1493048300625,99.92,204.1,-5.98,39.33,-69.61,-0.309119,203.62,0,0.271658,0.0724079
1493048300633,99.73,204.24,-6.25,39.32,-69.69,-0.15456,203.64,0,0.23601,-0.035648
1493048300641,99.45,204.49,-6.64,39.25,-69.87,-0.15456,203.66,0,0.375366,0.139356
1493048300647,99.34,204.65,-6.86,39.28,-69.96,0,203.68,0,0.194168,-0.181197
1493048300653,99.27,204.83,-7.03,39.09,-70.21,-0.15456,203.7,0,0.193139,-0.00102888
1493048300661,99.17,205.01,-7.18,39.05,-70.53,-0.618238,203.72,0,0.205905,0.0127661
1493048300669,99.04,205.18,-7.3,38.99,-70.74,0.309119,203.74,0,0.214006,0.00810075
1493048300675,98.9,205.38,-7.44,38.94,-70.93,0.463679,203.76,0,0.244128,0.0301221
1493048300681,98.71,205.55,-7.55,38.9,-71.21,0.15456,203.78,0,0.254952,0.0108233
1493048300689,98.55,205.7,-7.62,38.85,-71.47,-0.772798,203.8,0,0.219326,-0.0356255
1493048300697,98.19,205.96,-7.84,38.73,-71.65,-0.309119,203.82,0,0.444069,0.224743
1493048300705,97.93,206.13,-7.95,38.66,-71.91,-0.772798,203.84,0,0.310639,-0.13343
1493048300712,97.72,206.26,-8.07,38.58,-72.06,-0.15456,203.86,0,0.246984,-0.0636553
1493048300718,97.52,206.38,-8.2,38.45,-72.25,0.309119,203.88,0,0.233239,-0.0137441
1493048300725,97.27,206.49,-8.31,38.32,-72.37,0.309119,203.9,0,0.27313,0.0398908
1493048300733,97.05,206.6,-8.45,38.25,-72.53,0.309119,203.92,0,0.245969,-0.0271614
1493048300741,96.83,206.75,-8.62,38.38,-72.83,0.309119,203.94,0,0.266277,0.0203079
1493048300748,96.63,206.87,-8.75,38.36,-73,-0.309119,203.96,0,0.233233,-0.0330438
1493048300754,96.44,207.03,-8.93,38.3,-73.03,-0.15456,203.98,0,0.248399,0.0151661
1493048300761,96.21,207.24,-9.15,38.28,-73.2,0.309119,204,0,0.311439,0.0630402
1493048300769,96.11,207.4,-9.33,38.23,-73.24,0,204.02,0,0.188682,-0.122757
1493048300774,96.02,207.55,-9.47,38.06,-73.29,0,204.04,0,0.174925,-0.0137566
1493048300789,95.91,207.75,-9.63,37.89,-73.51,-0.463679,204.07,0,0.228265,0.0533399
1493048300797,95.89,207.96,-9.88,37.89,-73.49,0.15456,204.1,0,0.210941,-0.0173238
1493048300809,95.89,208.09,-10.09,37.89,-73.33,0.15456,204.13,0,0.130005,-0.0809365
1493048300817,95.93,208.29,-10.41,38.07,-73.16,-0.309119,204.16,0,0.203958,0.0739531
1493048300833,96.04,208.42,-10.73,38.08,-73.15,0.15456,204.22,1,0.170298,-0.03366
1493048300845,96.21,208.44,-10.84,38.15,-73.03,-0.309119,204.23,1,0.171171,0.000873134
1493048300853,96.42,208.4,-10.88,38.17,-73.04,-0.309119,204.26,1,0.213776,0.0426052
