Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1493048716371,100.26,183.9,0.9,42.16,-56.92,0,136.6,1,0.510876,0.470868
1493048716379,100.53,183.89,0.94,42.2,-57.11,0,136.62,1,0.270189,-0.240687
1493048716387,100.79,183.83,1.04,42.24,-57.14,-0.309119,136.64,1,0.266835,-0.00335437
1493048716395,101.03,183.75,1.21,42.21,-57.49,0,136.66,0,0.252981,-0.0138541
1493048716401,101.3,183.68,1.39,42.07,-57.82,-0.463679,136.68,0,0.278925,0.0259444
1493048716407,101.58,183.59,1.52,42.07,-58.05,-0.15456,136.7,0,0.294107,0.0151814
1493048716431,101.71,183.58,1.47,41.88,-59.16,0,136.74,0,0.130388,-0.163718
1493048716437,101.54,183.55,1.27,41.82,-59.44,0.309119,136.78,0,0.172625,0.0422363
1493048716447,101.32,183.53,1.08,41.61,-59.8,-0.15456,136.8,0,0.220909,0.0482841
1493048716453,101.1,183.5,0.98,41.47,-60.08,0.15456,136.82,0,0.222037,0.00112826
1493048716460,100.77,183.5,0.75,41.43,-60.39,0.15456,136.84,0,0.330002,0.107965
1493048716466,100.33,183.44,0.68,41.27,-60.61,0,136.86,0,0.444074,0.114072
1493048716472,99.99,183.47,0.49,41.1,-60.71,-0.463679,136.88,0,0.341317,-0.102757
1493048716479,99.72,183.47,0.34,41.12,-60.76,-0.463679,136.9,0,0.269997,-0.0713206
1493048716487,99.38,183.5,0.08,41.02,-60.54,0,136.92,0,0.341325,0.0713282
1493048716495,99.06,183.54,-0.13,40.85,-60.49,-0.463679,136.94,0,0.322489,-0.0188356
1493048716501,98.78,183.55,-0.31,40.78,-60.37,0.463679,136.96,0,0.280178,-0.0423115
1493048716507,98.49,183.64,-0.59,40.63,-60.45,-0.15456,136.98,0,0.303644,0.0234666
1493048716515,98.25,183.77,-0.93,40.46,-60.5,0,137,0,0.27294,-0.0307042
1493048716523,98.1,183.84,-1.16,40.2,-60.85,0.15456,137.02,0,0.165534,-0.107406
1493048716531,97.95,184.05,-1.62,40.06,-61.25,0,137.04,0,0.258076,0.0925422
1493048716537,97.88,184.19,-1.94,40.01,-61.58,0,137.06,0,0.156524,-0.101552
1493048716543,97.86,184.32,-2.16,39.75,-62.17,0,137.08,0,0.131519,-0.0250054
1493048716551,97.73,184.46,-2.41,39.68,-62.54,0.463679,137.1,0,0.191053,0.0595339
1493048716559,97.6,184.6,-2.63,39.58,-62.99,-0.463679,137.12,0,0.191047,-5.1856e-006
1493048716565,97.28,184.72,-2.97,39.44,-63.14,0,137.14,0,0.341763,0.150716
1493048716571,96.92,184.73,-3.19,39.49,-63.34,0.15456,137.16,0,0.360139,0.0183758
1493048716579,96.51,184.77,-3.34,39.45,-63.47,0,137.18,0,0.41195,0.0518103
1493048716587,95.63,185,-3.71,39.4,-63.5,0,137.2,0,0.90956,0.497611
1493048716595,95.14,185.06,-3.91,39.46,-63.4,0,137.22,0,0.493657,-0.415903
1493048716602,94.62,185.09,-4.12,39.69,-63.77,0,137.26,1,0.520869,0.0272115
1493048716609,94.23,185.15,-4.29,39.7,-64.21,-0.15456,137.26,1,0.394587,-0.126281
1493048716616,93.97,185.15,-4.34,39.66,-64.55,0.309119,137.28,1,0.259995,-0.134593
1493048716631,93.72,185.18,-4.38,39.38,-64.77,-0.15456,137.31,1,0.251793,-0.00820109
1493048716637,93.5,185,-4.4,39.35,-64.69,0.15456,137.34,1,0.28425,0.0324563
1493048716643,93.23,184.6,-4.45,39.33,-64.86,0.15456,137.36,1,0.482607,0.198357
1493048716651,92.92,184.43,-4.58,39.24,-64.7,-0.15456,137.38,1,0.35355,-0.129057
1493048716659,92.62,184.38,-4.67,39.37,-64.92,0.15456,137.4,1,0.304142,-0.0494087
