Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1493048614815,94.06,185,7.4,46.12,-71.69,0,-27.48,0,0.197989,0.0282849
1493048614822,94.07,184.82,7.5,46.09,-72.09,0.309119,-27.46,0,0.180286,-0.0177034
1493048614835,94.11,184.52,7.54,45.91,-73.04,-0.618238,-27.43,0,0.302658,0.122372
1493048614843,93.99,184.19,7.49,45.71,-73.26,0,-27.4,0,0.351129,0.0484713
1493048614851,93.82,183.91,7.47,45.67,-73.58,0,-27.38,0,0.327578,-0.0235515
1493048614859,93.54,183.63,7.48,45.53,-73.61,0.309119,-27.36,0,0.395978,0.0684002
1493048614866,93.24,183.4,7.41,45.55,-73.56,-0.463679,-27.34,0,0.378021,-0.0179571
1493048614873,92.81,183.1,7.21,45.62,-73.56,0.15456,-27.32,0,0.524311,0.14629
1493048614880,92.55,182.87,7.08,45.5,-73.69,-0.463679,-27.3,0,0.34713,-0.177181
1493048614887,92.33,182.61,6.93,45.38,-73.66,-0.309119,-27.28,0,0.340584,-0.00654557
1493048614894,92.17,182.37,6.78,45.3,-73.83,-0.309119,-27.26,0,0.288446,-0.0521379
1493048614900,92.14,182.19,6.64,44.95,-73.86,0.15456,-27.24,0,0.182475,-0.105971
1493048614907,92.2,181.91,6.43,44.78,-74.26,-0.463679,-27.22,0,0.28637,0.103894
1493048614915,92.2,181.69,6.28,44.71,-74.44,-0.15456,-27.2,0,0.219986,-0.0663837
1493048614922,92.17,181.47,6.06,44.66,-74.61,-0.15456,-27.18,0,0.222037,0.00205112
1493048614929,92.18,181.29,5.82,44.83,-74.45,-0.15456,-27.16,0,0.180286,-0.0417515
1493048614935,92.11,181.06,5.64,44.76,-74.44,-0.463679,-27.14,0,0.240412,0.0601265
1493048614943,92.02,180.83,5.26,44.68,-74.58,-0.309119,-27.12,0,0.246979,0.00656712
1493048614950,91.81,180.54,4.96,44.55,-74.76,-0.463679,-27.1,0,0.358057,0.111077
1493048614956,91.66,180.3,4.76,44.24,-74.65,-0.309119,-27.08,0,0.283012,-0.0750447
1493048614963,91.5,180.07,4.5,44.02,-74.78,-0.463679,-27.06,0,0.280185,-0.00282666
1493048614971,91.49,179.82,4.3,43.95,-74.66,-0.309119,-27.04,0,0.2502,-0.0299853
1493048614979,91.42,179.64,4.08,43.76,-74.59,0,-27.02,0,0.193125,-0.0570749
1493048614986,91.28,179.48,3.8,43.82,-74.42,0,-27,0,0.212605,0.0194801
1493048614993,91.17,179.34,3.52,43.68,-74.34,0,-26.98,0,0.178045,-0.0345604
1493048615000,91.14,179.25,3.14,43.57,-74.28,0.15456,-26.96,0,0.0948645,-0.0831804
1493048615007,91.08,179.19,2.84,43.38,-74.24,0.309119,-26.94,0,0.0848548,-0.0100097
1493048615015,91.11,179.16,2.63,43.01,-74.38,-0.309119,-26.92,0,0.0424409,-0.0424139
1493048615022,91.15,179.19,2.35,42.96,-74.39,0.15456,-26.9,0,0.0500092,0.00756829
1493048615030,91.27,179.2,2.1,42.87,-74.66,-0.15456,-26.88,0,0.120411,0.0704015
1493048615037,91.34,179.25,1.82,42.72,-74.79,0,-26.86,0,0.0860248,-0.0343858
1493048615044,91.41,179.29,1.61,42.65,-74.9,-0.309119,-26.84,0,0.080619,-0.0054058
1493048615051,91.5,179.34,1.39,42.54,-75.19,-0.618238,-26.82,0,0.102961,0.0223423
1493048615058,91.43,179.39,0.99,42.39,-75.38,-0.463679,-26.8,0,0.0860248,-0.0169365
1493048615065,91.41,179.4,0.79,42.1,-75.97,0,-26.78,0,0.022362,-0.0636627
1493048615072,91.26,179.38,0.6,42.02,-76.16,0.15456,-26.76,0,0.15133,0.128967
1493048615080,91.13,179.39,0.35,41.89,-76.34,0,-26.74,0,0.130382,-0.0209475
1493048615087,90.97,179.35,0.15,41.69,-76.47,-0.309119,-26.72,0,0.164922,0.0345404
1493048615094,90.82,179.27,-0.03,41.58,-76.73,-0.15456,-26.7,0,0.170002,0.00507976
1493048615102,90.68,179.18,-0.22,41.75,-76.56,0,-26.68,0,0.166431,-0.00357154
1493048615109,90.43,178.99,-0.53,41.49,-76.74,-0.15456,-26.66,0,0.314008,0.147577
1493048615116,90.37,178.82,-0.67,41.29,-76.94,0.309119,-26.64,0,0.180278,-0.13373
1493048615123,90.35,178.65,-0.83,40.73,-77.1,-0.618238,-26.62,0,0.17117,-0.00910734
1493048615130,90.39,178.5,-1.1,40.65,-77.25,0,-26.6,0,0.155236,-0.0159341
1493048615137,90.4,178.26,-1.24,40.47,-77.34,-0.309119,-26.58,0,0.240214,0.0849777
1493048615144,90.67,177.83,-1.38,40.48,-77.85,0.309119,-26.56,0,0.507732,0.267518
1493048615152,90.71,177.57,-1.62,40.34,-77.96,-0.463679,-26.54,0,0.263069,-0.244663
1493048615160,90.73,177.3,-1.84,40.18,-78.03,-0.15456,-26.52,0,0.270729,0.00765982
1493048615167,90.75,177.04,-2.25,40.14,-77.72,-0.15456,-26.5,0,0.260778,-0.00995037
1493048615174,90.78,176.7,-2.35,39.9,-77.75,-0.309119,-26.48,0,0.341317,0.080539
1493048615181,90.86,176.38,-2.49,39.49,-77.76,-0.463679,-26.46,0,0.329856,-0.0114612
1493048615187,90.8,175.88,-2.53,39.36,-77.88,-0.15456,-26.44,0,0.503588,0.173732
1493048615193,90.91,175.53,-2.6,39.22,-77.82,-0.15456,-26.42,0,0.36687,-0.136718
1493048615199,91.04,175.17,-2.65,39.06,-77.75,-0.15456,-26.4,0,0.382755,0.0158852
1493048615207,91.35,174.66,-2.68,38.89,-77.68,-0.309119,-26.38,0,0.596819,0.214064
1493048615215,91.49,174.36,-2.77,38.72,-77.66,-0.309119,-26.36,0,0.331061,-0.265758
1493048615222,91.7,174.01,-2.92,38.83,-77.71,-0.309119,-26.34,0,0.408171,0.07711
1493048615229,91.8,173.69,-2.97,38.74,-77.64,0.309119,-26.32,0,0.335253,-0.0729184
1493048615235,91.94,173.41,-3.06,38.25,-77.51,0,-26.3,0,0.313048,-0.0222049
1493048615243,92.06,173.17,-3.21,38.07,-77.45,0.309119,-26.28,0,0.268334,-0.0447139
1493048615250,92.18,172.98,-3.41,37.93,-77.43,-0.618238,-26.26,0,0.224726,-0.0436087
1493048615255,92.27,172.79,-3.61,37.97,-77.26,-0.463679,-26.24,0,0.210239,-0.014487
1493048615263,92.38,172.46,-3.79,37.81,-77.31,-0.309119,-26.22,0,0.347852,0.137614
1493048615271,92.47,172.33,-4.01,37.69,-77.21,-0.309119,-26.2,0,0.158108,-0.189745
1493048615279,92.61,172.33,-4.65,38.06,-76.6,0.309119,-26.18,0,0.139999,-0.0181082
1493048615285,92.69,172.28,-5.01,37.92,-76.59,-0.618238,-26.16,0,0.0943365,-0.0456629
1493048615292,92.75,172.26,-5.4,37.26,-76.53,-0.618238,-26.14,0,0.0632518,-0.0310847
1493048615299,92.85,172.23,-5.77,37.17,-77.06,-0.463679,-26.12,0,0.104401,0.0411494
1493048615307,92.86,172.29,-6.25,37.04,-77.07,0.15456,-26.1,0,0.0608256,-0.0435757
1493048615315,92.94,172.4,-6.71,36.96,-77.06,-0.463679,-26.08,0,0.136012,0.0751862
1493048615321,93.22,172.45,-7.09,36.92,-77.27,-0.15456,-26.06,0,0.284436,0.148424
1493048615327,93.27,172.64,-7.65,36.96,-77.47,0,-26.04,0,0.19647,-0.0879661
1493048615335,93.25,173.11,-8.77,36.95,-77.62,0,-26.02,0,0.470426,0.273956
1493048615343,93.08,173.31,-9.32,37.18,-77.64,-0.309119,-26,0,0.26249,-0.207937
1493048615349,93.03,173.51,-9.81,37.06,-77.73,0.309119,-25.98,0,0.206151,-0.0563383
1493048615355,92.98,173.65,-10.23,37.1,-77.79,-0.15456,-25.96,0,0.148661,-0.0574901
1493048615363,92.79,173.76,-10.58,37.12,-77.82,0.15456,-25.94,0,0.219541,0.0708797
1493048615371,92.58,173.82,-10.85,37.11,-77.91,-0.309119,-25.92,0,0.218409,-0.00113171
1493048615379,92.35,173.88,-11.08,37.09,-78.15,0.463679,-25.9,0,0.237693,0.0192834
1493048615387,92.17,173.9,-11.21,37.15,-78.23,0.15456,-25.88,0,0.181108,-0.0565841
1493048615395,91.86,173.98,-11.48,37.15,-78.19,0,-25.86,0,0.320154,0.139046
1493048615407,91.64,173.99,-11.64,37.18,-78.05,0,-25.83,0,0.220228,-0.0999262
1493048615415,91.44,174.02,-11.81,37.19,-78.16,-0.618238,-25.8,0,0.202242,-0.0179863
1493048615421,91.23,174.03,-11.96,37.2,-78.17,0.618238,-25.76,1,0.210238,0.00799568
1493048615435,91.01,173.97,-12.06,37.3,-78.16,-0.463679,-25.75,1,0.228036,0.0177981
1493048615443,90.8,173.81,-12.11,37.31,-78.22,-0.309119,-25.72,1,0.264009,0.0359734
1493048615450,90.42,173.67,-12.23,37.36,-78.11,0,-25.7,1,0.404966,0.140957
1493048615456,90.11,173.47,-12.19,37.38,-78.22,-0.463679,-25.68,1,0.368914,-0.0360527
1493048615463,89.8,173.26,-12.15,37.34,-77.87,-0.309119,-25.66,1,0.374441,0.00552735
1493048615471,89.48,173,-12.03,37.43,-77.83,-0.15456,-25.64,1,0.412307,0.0378659
1493048615479,89.16,172.71,-11.91,37.41,-77.66,-0.463679,-25.62,1,0.431862,0.0195551
1493048615487,88.82,172.43,-11.79,37.32,-77.57,-0.15456,-25.6,1,0.440451,0.00858873
1493048615495,88.55,172.11,-11.61,37.24,-77.38,0.15456,-25.58,1,0.418685,-0.0217656
1493048615502,88.22,171.65,-11.41,37.13,-77.25,-0.309119,-25.56,0,0.566129,0.147444
1493048615509,87.91,171.24,-11.16,37.04,-77.07,0.309119,-25.54,0,0.51401,-0.0521193
1493048615517,87.69,170.9,-10.91,36.85,-76.75,-0.15456,-25.52,0,0.404967,-0.109043
1493048615524,87.56,170.67,-10.78,36.71,-76.58,0,-25.5,0,0.264192,-0.140775
1493048615531,87.44,170.48,-10.73,36.52,-76.54,-0.309119,-25.48,0,0.224726,-0.0394663
1493048615543,87.38,170.25,-10.73,36.24,-76.56,0.15456,-25.45,0,0.237693,0.012967
1493048615555,87.45,170.02,-10.95,34.05,-76.89,0,-25.41,0,0.240427,0.00273418
1493048615563,87.56,169.91,-11.28,33.68,-76.99,0.15456,-25.38,0,0.155554,-0.0848732
1493048615571,87.56,169.86,-11.5,33.45,-77.01,0,-25.36,0,0.0500031,-0.105551
1493048615579,87.52,169.79,-11.72,33.17,-77.09,-0.772798,-25.34,0,0.0806294,0.0306263
1493048615585,87.48,169.76,-11.93,33.17,-77.06,0.309119,-25.32,0,0.05,-0.0306294
1493048615591,87.44,169.71,-12.13,33.1,-77.02,0,-25.3,0,0.0640342,0.0140342
1493048615599,87.16,170,-13.57,33.04,-76.99,0,-25.28,0,0.403118,0.339084
1493048615607,87.09,170.05,-13.89,32.95,-76.98,-0.463679,-25.24,1,0.0860248,-0.317093
1493048615643,87.14,169.95,-13.87,32.65,-76.81,-0.309119,-25.2,1,0.11181,0.0257854
1493048615649,87.31,169.92,-13.68,32.6,-76.82,0,-25.14,1,0.172625,0.0608145
1493048615671,87.41,169.95,-13.6,32.31,-76.7,0.15456,-25.1,1,0.104401,-0.0682235
1493048615683,87.58,170,-13.67,32.25,-76.61,-0.15456,-25.05,1,0.177207,0.0728056
1493048615691,87.73,170.12,-13.87,32.23,-76.56,0.15456,-25.02,1,0.192086,0.014879
1493048615707,87.88,170.24,-14.09,32.06,-76.2,-0.15456,-24.99,1,0.192092,5.96046e-006
1493048615714,88.04,170.41,-14.35,32.03,-76.1,0.772798,-24.96,1,0.233465,0.0413728
1493048615720,88.19,170.52,-14.46,31.99,-76,0.309119,-24.94,1,0.185997,-0.0474675
1493048615727,88.39,170.67,-14.61,31.86,-76.01,0.309119,-24.92,1,0.250009,0.064012
1493048615735,88.65,170.85,-14.71,31.87,-75.91,0,-24.9,1,0.316225,0.0662162
1493048615743,88.93,171.02,-14.84,31.84,-75.9,0.309119,-24.88,1,0.327565,0.0113395
1493048615751,89.2,171.21,-14.99,31.91,-75.87,0,-24.86,1,0.33015,0.00258535
1493048615758,89.45,171.4,-15.11,31.96,-75.8,0,-24.84,1,0.314008,-0.0161423
1493048615765,89.72,171.59,-15.23,32.01,-75.99,0.15456,-24.82,1,0.330156,0.0161485
1493048615772,89.97,171.8,-15.44,31.98,-76.02,0,-24.8,1,0.326501,-0.00365552
1493048615779,90.18,171.93,-15.52,32.04,-76.02,-0.15456,-24.78,1,0.246976,-0.0795253
1493048615786,90.34,172.04,-15.62,32.02,-75.92,0.15456,-24.76,1,0.194162,-0.0528136
1493048615799,90.6,172.11,-15.69,32.08,-75.99,0.15456,-24.73,1,0.269262,0.0751002
1493048615807,90.82,172.15,-15.8,32.06,-76.22,-0.15456,-24.7,1,0.223607,-0.0456554
