Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1493048475657,100.63,193.75,10.16,50.31,-68.39,-0.15456,-229.6,0,0.080619,-0.04468
1493048475669,100.85,193.69,10.06,50.23,-68.39,0.15456,-229.55,0,0.228036,0.147417
1493048475685,101.03,193.69,9.96,50.09,-68.22,-0.15456,-229.51,0,0.18,-0.0480353
1493048475697,101.25,193.66,9.94,50.05,-68.18,-0.15456,-229.47,0,0.222039,0.0420388
1493048475713,101.36,193.59,9.8,50.02,-68.52,-0.309119,-229.43,0,0.13038,-0.0916588
1493048475721,101.5,193.53,9.64,49.91,-68.61,0.309119,-229.4,0,0.152314,0.0219336
1493048475741,101.61,193.46,9.54,49.91,-68.9,0.309119,-229.36,0,0.130388,-0.0219254
1493048475757,101.47,193.43,9.36,49.81,-68.96,0.15456,-229.31,0,0.143177,0.0127889
1493048475769,101.26,193.4,9.27,49.68,-68.96,0.15456,-229.27,0,0.212139,0.0689611
1493048475785,101.07,193.41,9.2,49.51,-68.91,0.15456,-229.23,0,0.190258,-0.021881
1493048475797,100.94,193.48,9.04,49.35,-68.89,0,-229.19,0,0.147656,-0.0426015
1493048475805,100.91,193.53,8.81,49.33,-68.92,0.618238,-229.16,0,0.0583115,-0.0893445
1493048475821,100.89,193.61,8.67,49.21,-68.91,0,-229.13,0,0.0824631,0.0241516
1493048475829,100.91,193.71,8.44,49.1,-69.13,0,-229.1,0,0.101971,0.0195077
1493048475841,100.8,193.8,8.18,48.92,-69.48,-0.463679,-229.07,0,0.142135,0.0401638
1493048475849,100.64,193.87,8.02,48.81,-69.65,-0.15456,-229.04,0,0.174636,0.0325012
1493048475861,100.49,193.94,7.88,48.52,-70.16,0.309119,-229.01,0,0.165534,-0.00910175
1493048475869,100.15,193.97,7.69,48.36,-70.38,0.618238,-228.98,0,0.341317,0.175783
1493048475877,99.86,193.96,7.52,48.24,-70.53,-0.15456,-228.96,0,0.290174,-0.0511436
1493048475885,99.54,193.97,7.38,48.15,-70.87,0,-228.94,0,0.320156,0.0299826
1493048475893,99.22,194,7.25,48.06,-71.16,0.15456,-228.92,0,0.321403,0.00124654
1493048475900,98.67,194.04,7.06,47.98,-71.13,-0.309119,-228.9,0,0.551455,0.230052
1493048475907,98.2,194.05,6.81,48.02,-71.38,-0.15456,-228.88,0,0.470108,-0.0813474
1493048475914,97.83,194.1,6.59,47.93,-71.62,0.15456,-228.86,0,0.373364,-0.0967436
1493048475921,97.48,194.14,6.47,47.96,-71.7,0.309119,-228.84,0,0.352278,-0.0210864
1493048475929,97.11,194.18,6.38,47.88,-71.69,-0.15456,-228.82,0,0.37215,0.0198725
1493048475936,96.74,194.19,6.23,47.87,-71.89,-0.15456,-228.8,0,0.370138,-0.00201219
1493048475944,96.52,194.24,6.11,47.71,-72.01,0,-228.78,0,0.225609,-0.144529
1493048475951,96.25,194.24,6.09,47.81,-72.05,-0.309119,-228.76,0,0.269997,0.0443879
1493048475958,95.95,194.28,6,47.81,-72.25,-0.15456,-228.74,0,0.302659,0.0326624
1493048475969,95.7,194.32,5.93,47.68,-72.56,0.15456,-228.71,0,0.253179,-0.0494803
1493048475977,95.41,194.35,5.88,47.59,-73.06,-0.15456,-228.68,0,0.291548,0.0383697
1493048475993,95.18,194.41,5.81,47.53,-73.51,-0.15456,-228.65,0,0.237693,-0.0538558
1493048476000,94.93,194.47,5.83,47.48,-73.74,0.15456,-228.62,0,0.257102,0.0194097
1493048476007,94.73,194.56,5.81,47.47,-73.97,0.309119,-228.6,0,0.21932,-0.0377824
1493048476017,94.51,194.62,5.83,47.61,-73.96,-0.309119,-228.58,0,0.228036,0.00871582
1493048476024,94.08,194.73,5.82,47.66,-74.06,0,-228.56,0,0.443847,0.215812
1493048476031,93.8,194.82,5.77,47.58,-74.15,-0.15456,-228.54,0,0.294107,-0.149741
1493048476038,93.61,194.87,5.86,47.6,-74.63,-0.309119,-228.52,0,0.196465,-0.0976419
1493048476046,93.42,194.96,5.91,47.52,-74.65,0.309119,-228.5,0,0.210239,0.013774
1493048476053,93.25,195.04,5.97,47.53,-74.73,0.15456,-228.48,0,0.187882,-0.0223565
1493048476061,93.11,195.15,6.16,47.45,-74.83,0.618238,-228.46,0,0.178045,-0.00983723
1493048476069,92.97,195.36,6.27,47.46,-74.9,-0.309119,-228.43,0,0.252394,0.074349
1493048476077,92.68,195.78,6.34,47.38,-74.91,-0.309119,-228.4,0,0.510391,0.257997
1493048476085,92.58,196.02,6.39,47.35,-74.94,0.15456,-228.38,0,0.259993,-0.250398
1493048476097,92.43,196.26,6.4,47.38,-75.02,0,-228.35,0,0.283021,0.0230275
1493048476105,92.26,196.48,6.41,47.35,-75,0,-228.32,0,0.278033,-0.00498757
1493048476121,92.12,196.7,6.32,47.18,-74.98,0,-228.29,0,0.260769,-0.0172645
1493048476129,91.98,196.9,6.27,47.21,-74.94,0.15456,-228.26,0,0.244128,-0.0166405
1493048476136,91.76,197.08,6.21,47.18,-75.27,-0.463679,-228.24,0,0.284259,0.0401311
1493048476149,91.6,197.24,6.18,47.12,-75.3,-0.15456,-228.21,0,0.226263,-0.0579962
1493048476157,91.4,197.41,6.16,46.91,-75.32,0.15456,-228.18,0,0.262485,0.0362214
1493048476169,91.19,197.59,6.09,46.7,-75.34,0,-228.15,0,0.276597,0.014112
1493048476177,90.83,197.67,5.98,46.51,-75.46,-0.15456,-228.12,0,0.368783,0.0921862
1493048476185,90.63,197.72,5.94,46.39,-75.73,-0.309119,-228.1,0,0.206153,-0.16263
