Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1493048835930,110.19,183.54,10.27,42.4,-71.15,-0.309119,-288.18,0,0.0608343,-0.163889
1493048835936,110.1,183.51,9.96,42.62,-71.02,-0.463679,-288.16,0,0.0948645,0.0340301
1493048835944,110.2,183.51,9.48,42.69,-70.57,-0.309119,-288.14,0,0.0999985,0.005134
1493048835952,110.22,183.52,9.07,42.67,-70.26,-0.309119,-288.12,0,0.022362,-0.0776364
1493048835959,110.44,183.49,8.6,42.71,-70.53,-0.463679,-288.1,0,0.22203,0.199667
1493048835966,110.67,183.41,7.9,42.87,-69.91,0,-288.08,0,0.24352,0.0214902
1493048835973,110.82,183.39,7.24,43.11,-69.42,-0.309119,-288.06,0,0.151328,-0.0921922
1493048835980,110.95,183.18,6.79,43.01,-67.9,0.309119,-288.04,0,0.246986,0.0956585
1493048835988,111.13,183.04,6.26,43.13,-67.3,-0.15456,-288.02,0,0.228035,-0.0189511
1493048835994,111.24,182.85,5.67,43.29,-66.86,-0.15456,-288,0,0.219547,-0.00848754
1493048836000,111.4,182.57,4.78,43.3,-66.49,-0.618238,-287.98,0,0.322487,0.10294
1493048836008,111.66,182.38,4.35,43.41,-66.08,-0.309119,-287.96,0,0.322028,-0.000459284
1493048836016,111.91,182.15,3.98,43.31,-65.89,-0.15456,-287.94,0,0.339703,0.0176749
1493048836024,112.36,182.01,3.34,43.27,-65.69,0.15456,-287.92,0,0.471279,0.131576
1493048836030,112.62,181.82,3,43.16,-65.59,-0.309119,-287.9,0,0.322022,-0.149257
1493048836036,112.85,181.65,2.68,42.93,-65.34,-0.772798,-287.88,0,0.286009,-0.0360132
1493048836044,113.02,181.51,2.26,42.67,-65.56,-0.309119,-287.86,0,0.220225,-0.0657832
1493048836052,113.2,181.34,1.94,42.58,-65.82,-0.463679,-287.84,0,0.247587,0.027362
1493048836058,113.31,181.22,1.47,42.3,-66.04,-0.15456,-287.82,0,0.162785,-0.0848023
1493048836064,113.34,181.1,1.06,42.19,-66.18,-0.15456,-287.8,0,0.123703,-0.0390821
1493048836072,113.26,181.02,0.57,42,-66.32,-0.309119,-287.78,0,0.11314,-0.0105633
1493048836080,112.78,180.93,-0.32,41.92,-66.55,-0.15456,-287.76,0,0.48836,0.37522
1493048836088,112.36,180.84,-0.84,41.58,-66.48,-0.309119,-287.74,0,0.429532,-0.0588277
1493048836094,111.94,180.71,-1.27,41.6,-66.44,0,-287.72,0,0.439666,0.0101339
1493048836100,111.56,180.6,-1.74,41.55,-66.38,-0.309119,-287.7,0,0.395598,-0.0440676
1493048836108,111.27,180.46,-2.06,41.5,-66.36,-0.309119,-287.68,0,0.322025,-0.073573
1493048836116,110.99,180.33,-2.4,41.39,-66.47,-0.309119,-287.66,0,0.308702,-0.0133239
1493048836124,110.67,180.16,-2.67,41.25,-66.46,-0.463679,-287.64,0,0.362359,0.0536579
1493048836130,110.41,180.07,-3.03,41.08,-66.53,-0.15456,-287.62,0,0.275137,-0.0872223
1493048836136,110.26,179.98,-3.16,40.96,-66.6,-0.309119,-287.6,0,0.174928,-0.100209
1493048836152,110.15,179.94,-3.39,40.54,-66.7,-0.15456,-287.57,0,0.117045,-0.0578827
1493048836158,110.04,180.02,-3.77,40.58,-66.86,0.15456,-287.54,0,0.136001,0.0189559
1493048836164,109.98,180.09,-4.03,40.53,-67.03,0.15456,-287.52,0,0.0922044,-0.0437968
1493048836172,109.89,180.14,-4.33,40.46,-67.33,-0.309119,-287.5,0,0.102955,0.0107502
1493048836180,109.78,180.16,-4.58,40.29,-67.62,0.309119,-287.48,0,0.111802,0.00884745
1493048836188,109.63,180.2,-5.02,40.18,-67.78,-0.15456,-287.46,0,0.155245,0.0434434
1493048836194,109.39,180.17,-5.28,39.92,-68.28,0.15456,-287.44,0,0.241865,0.08662
1493048836200,109.13,180.12,-5.47,39.85,-68.24,-0.463679,-287.42,0,0.264767,0.0229013
1493048836208,108.85,180.06,-5.69,39.76,-68.19,0.15456,-287.4,0,0.286355,0.021588
1493048836216,108.57,179.98,-5.9,39.76,-68.15,-0.309119,-287.38,0,0.291204,0.00484902
1493048836224,108.26,179.95,-6.13,39.66,-68.07,0.772798,-287.36,0,0.311453,0.0202495
1493048836230,107.97,179.9,-6.32,39.55,-68.02,0.15456,-287.34,0,0.294273,-0.0171806
1493048836236,107.54,179.84,-6.55,39.47,-67.96,0,-287.3,1,0.434166,0.139893
1493048836244,107.35,179.84,-6.63,39.41,-68.03,-0.15456,-287.3,1,0.190002,-0.244163
1493048836256,107.23,179.9,-6.73,39.11,-67.91,0.15456,-287.27,1,0.134165,-0.055837
1493048836272,107.15,180.03,-6.85,38.83,-67.75,0,-287.23,1,0.152648,0.0184831
1493048836280,107.06,180.15,-7.01,38.82,-67.7,-0.618238,-287.2,1,0.149994,-0.0026546
1493048836292,106.9,180.26,-7.21,38.61,-67.52,-0.15456,-287.17,1,0.194168,0.0441743
1493048836300,106.74,180.46,-7.54,38.45,-67.42,0,-287.14,1,0.25612,0.0619519
1493048836308,106.68,180.59,-7.72,38.32,-67.18,-0.15456,-287.12,1,0.143182,-0.112938
1493048836316,106.57,180.9,-8.04,38.2,-66.86,-0.15456,-287.1,1,0.328936,0.185754
