Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1492776711593,95.26,191.2,40.19,49.88,-84.34,6.18238,227.22,0,0.14143,0.0465486
1492776711601,95.15,191.26,40.01,49.47,-84.23,6.80062,227.24,0,0.125292,-0.0161377
1492776711608,94.89,191.27,39.55,49.44,-84.05,6.95518,227.26,0,0.260194,0.134902
1492776711616,94.8,191.23,39.29,49.57,-84.11,6.4915,227.28,0,0.0984895,-0.161705
1492776711623,94.68,191.31,39.03,49.46,-83.75,6.4915,227.3,0,0.144219,0.0457295
1492776711629,94.59,191.44,38.87,49.43,-83.6,6.64606,227.32,0,0.15812,0.0139012
1492776711635,94.41,191.4,38.53,49.31,-83.5,6.80062,227.34,0,0.184393,0.0262729
1492776711642,94.27,191.34,38.23,48.97,-83.48,6.33694,227.36,0,0.152314,-0.0320791
1492776711657,94.13,191.45,38.02,48.86,-83.3,6.4915,227.39,0,0.178045,0.0257309
1492776711664,93.89,191.53,37.82,48.56,-82.92,6.80062,227.42,0,0.252981,0.0749359
1492776711673,93.8,191.52,37.54,48.5,-82.68,6.80062,227.44,0,0.0905589,-0.162422
1492776711681,93.87,191.6,37.37,48.75,-82.9,6.80062,227.46,0,0.106303,0.0157438
1492776711689,93.71,191.62,37.19,48.66,-82.71,6.95518,227.48,0,0.161242,0.0549391
1492776711697,93.63,191.62,36.97,48.7,-82.26,6.64606,227.5,0,0.0800018,-0.0812399
1492776711705,93.63,191.61,36.61,48.99,-81.69,6.33694,227.53,0,0.00999451,-0.0700073
1492776711713,93.51,191.45,35.91,48.84,-81.26,6.80062,227.56,0,0.200005,0.19001
1492776711729,93.54,191.54,35.67,49.43,-80.89,6.64606,227.59,0,0.0948669,-0.105138
1492776711736,93.96,191.67,35.28,49.26,-80.66,6.64606,227.62,0,0.439659,0.344792
1492776711749,94.02,191.59,34.94,48.92,-80.27,6.95518,227.65,0,0.1,-0.339659
1492776711757,94.43,191.55,34.42,48.99,-80.04,6.80062,227.68,0,0.41195,0.31195
1492776711769,94.48,191.48,34.06,49.08,-79.69,6.64606,227.71,0,0.0860265,-0.325923
1492776711777,94.55,191.15,33.34,49.29,-79.44,6.95518,227.74,0,0.337344,0.251318
1492776711785,94.52,190.97,33.02,49.33,-78.87,6.80062,227.76,0,0.182475,-0.154869
1492776711793,94.46,190.75,32.49,49.53,-78.31,6.80062,227.78,0,0.228036,0.0455602
1492776711800,94.44,190.48,32.21,49.87,-77.82,6.95518,227.8,0,0.270744,0.0427087
1492776711806,94.42,190.2,32.07,50.13,-77.66,6.64606,227.82,0,0.280712,0.00996763
1492776711814,94.44,189.74,31.93,50.42,-76.85,6.64606,227.84,0,0.460441,0.179729
1492776711821,94.5,189.41,31.85,51.22,-76.45,6.80062,227.86,0,0.335413,-0.125028
1492776711829,94.49,189.07,31.76,51.34,-76.32,6.64606,227.88,0,0.340143,0.00473052
1492776711837,94.75,188.47,31.42,51.94,-75.92,7.10974,227.9,0,0.653904,0.31376
1492776711844,94.95,188,31.43,52.04,-75.81,6.95518,227.92,0,0.510784,-0.14312
1492776711852,95.25,187.41,31.33,52.28,-75.33,6.95518,227.94,0,0.661903,0.151119
1492776711859,95.57,186.87,31.49,52.28,-75.15,6.80062,227.96,0,0.627688,-0.0342147
1492776711866,95.81,186.36,31.74,52.45,-74.75,6.64606,227.98,0,0.563643,-0.0640453
1492776711873,95.91,185.66,31.77,52.79,-74.72,6.64606,228,0,0.707119,0.143476
1492776711881,96.19,185.24,32.05,52.97,-74.52,6.33694,228.02,0,0.504775,-0.202344
1492776711888,96.3,184.83,32.19,52.82,-74.35,6.64606,228.04,0,0.424489,-0.0802863
1492776711895,96.76,184.57,32.52,52.66,-74.22,6.95518,228.06,0,0.528398,0.103909
1492776711902,96.93,184.33,32.48,52.96,-74.1,6.80062,228.08,0,0.294104,-0.234294
1492776711909,97.1,184.05,32.8,52.98,-74.33,6.80062,228.1,0,0.327565,0.0334606
1492776711917,97.37,183.81,33.08,52.86,-74.63,6.64606,228.12,0,0.361249,0.0336842
1492776711924,97.35,183.66,33.32,53.07,-74.83,6.18238,228.14,0,0.151336,-0.209913
1492776711931,97.45,183.53,33.47,53.28,-75.11,6.4915,228.16,0,0.164003,0.012667
1492776711938,97.62,183.31,33.57,53.36,-75.41,6.4915,228.18,0,0.278029,0.114026
1492776711945,97.59,183.25,33.92,53.49,-75.77,6.80062,228.2,0,0.0670793,-0.210949
1492776711952,97.51,182.78,34.6,53.51,-75.43,6.80062,228.22,0,0.476761,0.409682
1492776711958,97.28,182.46,34.85,53.65,-75.94,6.4915,228.24,0,0.394085,-0.0826767
1492776711965,97.32,182.38,35.45,53.47,-76.33,6.33694,228.26,0,0.0894448,-0.30464
1492776711971,97.23,182.19,35.89,53.62,-76.2,6.95518,228.28,0,0.210228,0.120783
1492776711977,97.17,181.86,36.06,53.8,-76.59,6.80062,228.3,0,0.335412,0.125183
1492776711985,97.18,181.67,36.46,53.98,-76.61,6.95518,228.32,0,0.190266,-0.145146
1492776711993,97.43,181.49,36.63,54,-76.54,6.80062,228.34,0,0.308063,0.117798
1492776711999,97.24,181.15,37.02,53.79,-76.35,6.95518,228.36,0,0.389485,0.0814218
1492776712005,97.21,180.83,37.15,53.96,-76.6,7.10974,228.38,0,0.321395,-0.0680897
1492776712013,97.37,180.77,37.34,54,-76.55,6.80062,228.4,0,0.170881,-0.150514
1492776712021,97.36,180.5,37.55,54.05,-76.39,6.95518,228.42,0,0.270174,0.0992931
1492776712029,97.41,180.3,37.77,54.11,-76.3,6.80062,228.44,0,0.206151,-0.0640227
