Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1492777589528,70.52,201.29,35.52,29.89,-87.83,6.4915,238.92,0,0.232599,-0.0998179
1492777589536,70.66,200.96,35.41,29.86,-87.7,6.33694,238.94,0,0.35847,0.125871
1492777589545,70.76,200.87,35.32,29.92,-87,6.18238,238.97,0,0.134538,-0.223932
1492777589553,70.84,200.79,34.92,30.17,-86.83,6.64606,239,0,0.113134,-0.021404
1492777589561,70.89,200.59,34.88,30,-86.88,6.64606,239.02,0,0.206153,0.0930188
1492777589569,70.94,200.64,34.66,29.69,-86.36,6.4915,239.04,0,0.0707096,-0.135443
1492777589580,71.01,200.49,34.5,29.72,-85.5,6.64606,239.07,0,0.165541,0.0948313
1492777589589,71.2,200.57,34.24,29.58,-85.28,6.64606,239.1,0,0.206151,0.0406104
1492777589601,71.22,200.52,34.04,29.02,-84.36,6.4915,239.13,0,0.0538561,-0.152295
1492777589609,71.41,200.67,33.63,29.03,-83.76,6.95518,239.16,0,0.242076,0.18822
1492777589625,71.5,200.7,33.3,29.1,-83.11,6.80062,239.19,0,0.0948717,-0.147204
1492777589632,71.79,200.82,32.63,28.97,-82.69,6.4915,239.22,0,0.313846,0.218974
1492777589639,71.87,200.94,32.28,29.1,-81.69,6.80062,239.24,0,0.144227,-0.169619
1492777589646,72,201.03,31.88,29.06,-81.24,6.64606,239.26,0,0.158116,0.0138883
1492777589653,72.24,201.21,31.72,29.05,-80.97,6.4915,239.28,0,0.299994,0.141878
1492777589669,72.37,201.23,31.49,29.2,-80.93,6.95518,239.31,0,0.131527,-0.168467
1492777589676,72.54,201.25,31.08,28.98,-80.64,6.95518,239.34,0,0.171179,0.0396513
1492777589683,72.76,201.31,30.72,29.2,-80.01,6.80062,239.36,0,0.228036,0.0568569
1492777589690,72.84,201.27,30.47,28.98,-79.55,6.80062,239.38,0,0.0894414,-0.138594
1492777589697,72.93,201.28,30.23,28.99,-79.61,6.4915,239.4,0,0.0905589,0.00111753
1492777589708,72.98,201.27,29.96,28.77,-79.04,6.95518,239.43,0,0.0509876,-0.0395713
1492777589717,73.03,201.22,29.35,28.52,-78.73,6.80062,239.46,0,0.0707042,0.0197166
1492777589733,73.23,201.28,29.1,27.99,-78.67,6.95518,239.49,0,0.208803,0.138098
1492777589740,73.29,201.35,28.75,28.3,-78.22,6.80062,239.52,0,0.0921928,-0.11661
1492777589747,73.5,201.32,28.56,28.14,-78.56,7.10974,239.54,0,0.212131,0.119938
1492777589754,73.57,201.4,28.28,28.37,-78.26,6.4915,239.56,0,0.106303,-0.105828
1492777589761,73.69,201.51,28.14,28.17,-77.82,6.4915,239.58,0,0.162785,0.0564824
1492777589768,73.79,201.49,27.92,27.8,-77.66,6.4915,239.6,0,0.101987,-0.0607978
1492777589775,73.66,201.52,27.64,27.69,-77.71,6.64606,239.62,0,0.133421,0.0314339
1492777589788,73.69,201.48,27.42,27.42,-77.71,7.2643,239.65,0,0.0499939,-0.0834272
1492777589800,73.74,201.55,27.17,27.16,-77.22,6.4915,239.69,0,0.086031,0.0360371
1492777589808,73.92,201.72,26.78,27.44,-77.11,5.7187,239.72,0,0.247587,0.161556
1492777589816,73.95,201.84,26.61,27.58,-77.19,6.95518,239.74,0,0.123688,-0.123899
1492777589832,73.95,202.09,26.56,27.23,-76.94,6.64606,239.77,0,0.25,0.126312
1492777589839,74.14,202.27,26.12,27.18,-76.52,6.64606,239.8,0,0.261722,0.0117218
1492777589846,74.16,202.4,25.97,26.9,-75.88,6.4915,239.82,0,0.131534,-0.130188
1492777589853,74.25,202.62,26,26.79,-75.72,6.4915,239.84,0,0.2377,0.106166
1492777589860,74.43,202.87,25.8,26.62,-75.9,6.80062,239.86,0,0.308059,0.0703587
1492777589868,74.42,203.13,25.55,26.42,-75.19,6.95518,239.88,0,0.260187,-0.0478718
1492777589875,74.57,203.45,25.46,26.01,-74.8,6.4915,239.9,0,0.353419,0.0932324
1492777589883,74.79,203.71,25.24,25.89,-73.66,6.64606,239.92,0,0.340584,-0.0128349
1492777589890,74.89,204.11,25,25.74,-72.56,6.64606,239.94,0,0.412319,0.0717348
1492777589897,74.96,204.44,24.76,25.24,-72.49,6.80062,239.96,0,0.337344,-0.0749748
1492777589904,74.99,204.77,24.49,24.87,-71.42,6.18238,239.98,0,0.331347,-0.00599694
1492777589911,75.3,205.38,24.23,24.52,-71.41,6.4915,240,0,0.684251,0.352903
1492777589918,75.52,206.13,23.84,24.18,-70.73,7.10974,240.02,0,0.781601,0.0973504
1492777589925,75.85,206.68,23.53,23.84,-70.8,6.80062,240.04,0,0.641408,-0.140193
1492777589932,76.05,207.27,23.18,23.45,-70.13,6.64606,240.06,0,0.622972,-0.018436
1492777589938,76.25,207.91,22.9,23.67,-70.21,6.95518,240.08,0,0.670523,0.0475507
1492777589945,76.44,208.7,22.62,23.42,-69.64,6.80062,240.1,0,0.812534,0.142011
1492777589952,76.66,209.63,22.3,23.15,-69.38,7.41886,240.12,0,0.95566,0.143126
1492777589960,76.73,210.3,22.01,22.89,-69.17,7.10974,240.14,0,0.673645,-0.282016
1492777589968,76.96,211.02,21.79,22.64,-69.08,6.80062,240.16,0,0.755846,0.0822012
1492777589975,77.11,211.77,21.54,22.52,-69.04,6.80062,240.18,0,0.764853,0.00900716
1492777589982,77.3,212.51,21,22.36,-69.34,7.2643,240.2,0,0.764007,-0.000846624
1492777589989,77.42,213.17,20.72,22.27,-69.92,6.33694,240.22,0,0.670824,-0.0931821
1492777589996,77.63,213.7,20.51,22.41,-70.67,6.95518,240.24,0,0.570086,-0.100738
1492777590002,77.66,214.15,20.29,22.47,-71.37,7.10974,240.26,0,0.450996,-0.11909
1492777590009,77.75,214.54,20.14,22.73,-71.71,6.64606,240.28,0,0.40025,-0.0507455
