Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1493125804247,63.8,164.56,35.48,36.05,-103.55,0,173.52,0,0.847233,0.245567
1493125804255,64.03,163.63,34.77,35.4,-103.64,0,173.54,0,0.958026,0.110793
1493125804263,64.44,162.65,34.18,34.91,-103.88,-0.15456,173.56,0,1.0623,0.104277
1493125804270,64.79,161.8,33.63,34.54,-103.57,0.15456,173.58,0,0.919233,-0.143071
1493125804278,65.13,160.98,33.02,34,-103.54,0.15456,173.6,0,0.887699,-0.0315337
1493125804286,65.39,160.12,32.27,33.59,-104.01,0.309119,173.62,0,0.898444,0.0107453
1493125804294,65.71,159.14,31.08,33.05,-104.86,-0.309119,173.64,0,1.03092,0.132473
1493125804302,65.77,158.5,30.37,32.85,-104.84,0,173.66,0,0.642806,-0.388112
1493125804310,66.04,157.83,29.61,33.07,-105.93,0.15456,173.68,0,0.722357,0.0795516
1493125804318,66.31,157.01,28.72,32.8,-106.24,0.15456,173.7,0,0.863314,0.140956
1493125804325,66.6,156.38,28.05,32.21,-106.52,0,173.72,0,0.693546,-0.169767
1493125804334,66.87,155.59,27.34,31.95,-106.85,-0.309119,173.74,0,0.834858,0.141311
1493125804341,67.02,155.06,26.72,31.86,-107.05,-0.15456,173.76,0,0.550817,-0.284041
1493125804348,67.18,154.37,26.23,31.87,-107.65,-0.15456,173.78,0,0.708311,0.157494
1493125804354,67.19,153.47,25.61,31.98,-108.19,0,173.8,0,0.900049,0.191738
1493125804362,67.26,152.77,25.06,31.98,-108.35,0,173.82,0,0.703504,-0.196545
1493125804367,67.26,151.96,24.45,31.97,-108.63,0.15456,173.84,0,0.809998,0.106493
1493125804374,67.24,151.35,23.91,32.3,-108.45,0,173.86,0,0.610329,-0.199669
1493125804381,67.13,150.57,23.57,32.46,-108.83,0.309119,173.88,0,0.787717,0.177389
1493125804388,66.84,149.74,23.32,32.54,-109.45,-0.618238,173.9,0,0.879206,0.0914891
1493125804394,66.6,149.08,23.13,32.27,-109.95,0.463679,173.92,0,0.70227,-0.176936
1493125804401,66.39,148.33,22.7,31.69,-110.45,0.309119,173.94,0,0.778845,0.0765747
