Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1493126390370,109.02,232.08,48.2,73.25,-71.04,-0.309119,-183.06,0,1.20005,0.345297
1493126390378,108.45,231.99,47.78,73.41,-71.83,0.15456,-183.04,0,0.577063,-0.622983
1493126390386,107.75,231.87,47.76,73.51,-72.82,0,-183.02,0,0.710207,0.133144
1493126390394,106.76,231.82,48.19,73.92,-73.85,0.15456,-183,0,0.991267,0.28106
1493126390402,105.71,231.91,49.21,74.24,-74.85,-0.463679,-182.98,0,1.05385,0.0625777
1493126390410,104.32,232.17,50.67,74.68,-75.71,-0.15456,-182.96,0,1.41411,0.360264
1493126390419,103.05,232.4,51.87,75.31,-76.36,-0.309119,-182.94,0,1.29066,-0.123447
1493126390427,101.88,232.83,53.21,75.86,-77.19,-0.618238,-182.92,0,1.24652,-0.0441459
1493126390435,100.71,233.1,53.98,76.23,-77.9,0.309119,-182.9,0,1.20075,-0.0457706
1493126390443,99.86,233.55,54.88,76.8,-78.5,-0.463679,-182.88,0,0.961766,-0.238979
1493126390450,99.13,234.2,55.64,76.98,-79.18,-0.772798,-182.86,0,0.977454,0.0156878
1493126390455,98.29,234.67,56,77.04,-79.73,0,-182.84,0,0.962546,-0.0149082
1493126390462,97.91,235.2,56.12,76.85,-80.29,0,-182.82,0,0.652152,-0.310394
1493126390467,97.16,235.45,55.93,76.5,-80.51,-0.15456,-182.8,0,0.790569,0.138417
1493126390474,96.98,235.52,55.35,76.31,-80.43,0.15456,-182.78,0,0.193129,-0.59744
1493126390479,96.64,235.74,54.79,75.92,-80.45,-0.309119,-182.76,0,0.404967,0.211837
1493126390487,96.53,235.77,54.16,75.57,-80.4,-0.15456,-182.74,0,0.114018,-0.290949
1493126390494,96.39,235.79,53.46,75.35,-80.09,0.15456,-182.72,0,0.141421,0.0274035
1493126390501,96.19,235.77,53.06,75.32,-80.19,-0.463679,-182.7,0,0.201002,0.0595811
1493126390507,96.32,235.69,52.34,75.11,-80.23,-0.15456,-182.68,0,0.152648,-0.048354
1493126390525,96.41,235.79,52.35,74.78,-79.92,-0.309119,-182.64,0,0.134538,-0.0181102
1493126390533,96.39,236,52.6,74.67,-80.1,0,-182.6,0,0.210957,0.0764183
1493126390540,96.5,236.21,52.93,74.59,-80.11,-0.15456,-182.58,0,0.237058,0.0261015
1493126390547,96.59,236.41,53.2,74.39,-80.22,-0.309119,-182.56,0,0.219313,-0.0177453
1493126390561,96.57,236.37,53.42,74.27,-80.12,-0.15456,-182.53,0,0.0447139,-0.174599
1493126390568,96.68,236.69,53.6,74.26,-80.13,-0.309119,-182.5,0,0.338371,0.293657
1493126390576,97.01,236.77,53.57,73.91,-80.1,-0.309119,-182.48,0,0.339553,0.00118214
1493126390583,97.1,236.89,53.41,73.99,-79.91,0,-182.46,0,0.150011,-0.189543
1493126390591,97.36,236.89,53.15,73.85,-80.16,-0.309119,-182.44,0,0.260002,0.109991
1493126390598,97.63,236.99,52.72,73.66,-80.27,0,-182.42,0,0.287917,0.0279151
1493126390605,97.93,237.03,52.4,73.53,-79.92,-0.15456,-182.4,0,0.302659,0.0147418
1493126390613,98.02,237.16,52.18,73.48,-79.91,-0.618238,-182.38,0,0.158103,-0.144556
1493126390621,98.09,237.05,51.98,73.57,-79.94,-0.618238,-182.36,0,0.130384,-0.0277189
1493126390627,98.16,237.51,51.85,73.62,-80.05,-0.309119,-182.34,0,0.465302,0.334918
1493126390633,98.18,237.57,51.58,73.44,-79.95,-0.309119,-182.32,0,0.0632446,-0.402058
1493126390645,98.21,237.48,51.43,73.42,-79.87,-0.309119,-182.29,0,0.0948645,0.0316199
1493126390661,97.99,237.48,51.24,73.43,-79.97,-0.309119,-182.25,0,0.220001,0.125137
1493126390666,97.93,237.61,50.99,73.18,-80.1,-0.15456,-182.22,0,0.143182,-0.0768196
1493126390673,97.87,237.43,50.82,73.06,-80.37,0,-182.2,0,0.189746,0.0465642
1493126390681,97.94,237.28,50.64,72.74,-80.48,-0.463679,-182.18,0,0.165524,-0.024222
1493126390697,98.1,237.29,50.42,72.33,-80.63,-0.463679,-182.15,0,0.160315,-0.00520828
1493126390702,98.14,237.22,50.18,72.24,-80.34,-0.15456,-182.12,0,0.0806161,-0.0796994
1493126390709,98.04,237.1,50.04,72.2,-80.37,-0.309119,-182.1,0,0.156212,0.0755958
1493126390725,98.05,237.12,49.79,71.81,-80.36,-0.463679,-182.07,0,0.022362,-0.13385
1493126390733,98.21,236.84,49.34,71.64,-80.28,-0.15456,-182.04,0,0.322491,0.300129
1493126390761,98.2,236.87,49.2,71.11,-80.51,-0.463679,-181.99,0,0.0316223,-0.290869
1493126390767,98.22,236.71,48.65,70.66,-80.59,-0.15456,-181.94,0,0.161249,0.129627
1493126390789,98.19,236.74,48.48,71.12,-80.84,-0.15456,-181.9,0,0.0424301,-0.118819
1493126390797,98.18,236.51,48.12,71.02,-80.6,-0.309119,-181.86,0,0.230213,0.187783
1493126390804,98.19,236.58,47.86,70.87,-80.78,-0.463679,-181.84,0,0.0707171,-0.159496
1493126390811,98.15,236.54,47.64,70.86,-80.77,0,-181.82,0,0.0565698,-0.0141473
1493126390818,98.24,236.51,47.45,71.27,-80.64,-0.15456,-181.8,0,0.0948645,0.0382946
1493126390837,98.15,236.6,47.36,70.98,-80.75,-0.772798,-181.76,0,0.127274,0.0324096
1493126390845,98.18,236.54,47.09,70.92,-80.82,-0.463679,-181.72,0,0.0670793,-0.0601947
1493126390853,98.13,236.54,46.79,70.68,-80.8,-0.772798,-181.7,0,0.0500031,-0.0170763
1493126390861,98.33,236.65,46.85,70.38,-81.04,-0.618238,-181.68,0,0.228252,0.178249
1493126390867,98.2,236.65,46.67,70.39,-81.1,-0.463679,-181.66,0,0.129997,-0.0982546
1493126390873,98.19,236.55,46.47,70.41,-80.91,0.15456,-181.64,0,0.100505,-0.0294922
1493126390889,98.18,236.74,46.41,70.07,-81.15,-0.463679,-181.61,0,0.190265,0.0897601
1493126390897,98.14,236.68,46.01,69.85,-81.2,-0.463679,-181.58,0,0.0721095,-0.118156
1493126390903,98.18,236.64,45.69,69.56,-81.43,-0.15456,-181.56,0,0.0565644,-0.0155451
1493126390909,98.16,236.8,45.45,68.92,-81.24,-0.309119,-181.54,0,0.161234,0.10467
1493126390917,98.23,236.81,45.18,68.92,-81.32,-0.15456,-181.52,0,0.0707118,-0.0905224
1493126390925,98.11,236.77,44.96,68.63,-81.21,-0.309119,-181.5,0,0.126489,0.0557774
1493126390933,98.04,236.64,44.5,68.42,-80.84,-0.309119,-181.48,0,0.147639,0.0211498
1493126390939,97.86,236.54,44.34,68.17,-81.1,0,-181.46,0,0.205916,0.0582769
1493126390946,97.84,236.39,44,67.98,-81.49,-0.772798,-181.44,0,0.151322,-0.0545938
1493126390957,97.82,236.23,43.64,67.45,-81.34,-0.309119,-181.42,0,0.161248,0.00992639
1493126390964,97.78,236.17,43.37,67.26,-81.24,-0.309119,-181.4,0,0.0721095,-0.0891389
1493126390970,97.62,236.03,43.04,66.69,-81.76,-0.463679,-181.38,0,0.212605,0.140496
1493126390976,97.56,235.82,42.67,66.25,-82.03,-0.309119,-181.36,0,0.218409,0.00580382
1493126390983,97.49,235.58,42.31,65.81,-82.37,-0.463679,-181.34,0,0.249991,0.0315814
