Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1493030534533,89.76,203.06,30.73,52.08,-61.01,0,-192.98,0,0.416173,-0.113824
1493030534541,90.03,202.77,30.42,51.95,-61.52,-0.309119,-192.96,0,0.396241,-0.0199318
1493030534548,90.42,202.54,29.96,51.4,-61.94,-0.309119,-192.94,0,0.452767,0.0565251
1493030534557,90.58,202.35,29.4,51.13,-62.23,-0.309119,-192.92,0,0.248394,-0.204372
1493030534564,90.65,202.13,27.97,50.96,-62.38,-0.15456,-192.9,0,0.230871,-0.0175229
1493030534573,90.63,201.99,27,50.81,-62.65,-0.309119,-192.88,0,0.141421,-0.08945
1493030534581,90.6,201.86,26.31,50.57,-62.5,-0.309119,-192.86,0,0.133406,-0.0080151
1493030534590,90.39,201.58,25.38,50.5,-62.64,-0.618238,-192.84,0,0.349998,0.216592
1493030534597,90.22,201.42,24.4,50.41,-62.46,0,-192.82,0,0.233454,-0.116545
1493030534607,90.08,201.19,23.69,50.48,-61.91,0,-192.8,0,0.269258,0.0358047
1493030534614,89.95,200.98,23.1,50.5,-61.74,-0.309119,-192.78,0,0.246986,-0.0222722
1493030534624,89.8,200.76,22.54,50.33,-61.55,-0.618238,-192.76,0,0.266272,0.0192863
1493030534632,89.73,200.49,21.77,50.21,-61.41,-0.463679,-192.74,0,0.278931,0.0126582
1493030534639,89.65,200.24,21.37,49.95,-61.88,-0.15456,-192.72,0,0.262486,-0.0164442
1493030534645,89.69,200.05,21.05,49.75,-62.4,-0.618238,-192.7,0,0.194151,-0.0683354
1493030534651,89.84,199.89,20.84,49.44,-62.36,-0.618238,-192.68,0,0.219321,0.0251699
1493030534658,89.75,199.72,20.48,49.13,-62.92,-0.309119,-192.66,0,0.192351,-0.0269703
1493030534666,89.66,199.66,20,48.9,-63.01,0,-192.64,0,0.108177,-0.0841736
1493030534673,89.46,199.55,19.66,48.61,-63.59,-0.463679,-192.62,0,0.228245,0.120068
1493030534679,89.2,199.42,19.22,48.55,-63.91,-0.15456,-192.6,0,0.290693,0.0624484
1493030534687,88.95,199.25,18.9,48.26,-64.39,-0.618238,-192.58,0,0.302323,0.0116304
1493030534694,88.74,199.14,18.28,48.15,-65.06,-0.309119,-192.56,0,0.237065,-0.0652585
1493030534701,88.49,199.02,17.84,47.93,-65.61,-0.309119,-192.54,0,0.277313,0.0402481
