Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1492779767824,56.71,187.88,35.03,30.2,-25.68,5.25502,-10.7,0,0.094328,-0.0935575
1492779767836,56.93,187.99,34.66,30.18,-25.54,5.10046,-10.68,0,0.245969,0.151641
1492779767843,57.01,187.98,34.45,29.85,-25.45,5.7187,-10.66,0,0.0806199,-0.165349
1492779767852,57.14,188.05,34.29,29.64,-25.45,5.87326,-10.64,0,0.147653,0.0670327
1492779767860,57.33,188.2,33.95,29.57,-25.54,5.10046,-10.62,0,0.24207,0.0944169
1492779767869,57.47,188.22,33.79,29.46,-24.9,4.79134,-10.6,0,0.141421,-0.100648
1492779767880,57.6,188.12,33.61,29.68,-24.77,5.10046,-10.56,0,0.164017,0.0225954
1492779767888,57.68,187.73,33.46,29.5,-24.9,5.56414,-10.52,0,0.39812,0.234104
1492779767896,57.95,187.62,33.75,29.53,-25.08,5.56414,-10.5,0,0.291545,-0.106576
1492779767903,58.65,186.96,34.2,29.39,-24.76,5.7187,-10.48,0,0.962084,0.670539
1492779767910,59.27,186.33,34.85,29.49,-24.76,5.40958,-10.46,0,0.883906,-0.0781779
1492779767917,60.08,185.8,35.44,29.42,-25.01,5.40958,-10.44,0,0.967985,0.0840787
1492779767925,60.73,185.38,35.82,29.67,-25.12,5.40958,-10.42,0,0.773895,-0.19409
1492779767933,61.12,185.05,36.11,29.84,-24.88,5.7187,-10.4,0,0.510872,-0.263022
1492779767941,61.51,184.95,36.23,29.94,-24.63,5.10046,-10.38,0,0.402617,-0.108255
1492779767949,61.74,184.9,36.09,29.73,-24.85,5.40958,-10.36,0,0.235372,-0.167245
1492779767957,61.89,184.73,36.16,29.82,-25.01,5.7187,-10.34,0,0.226715,-0.00865693
1492779767965,62.17,184.24,36.19,29.96,-25.07,5.40958,-10.32,0,0.564362,0.337647
1492779767973,62.36,183.48,36.23,29.91,-25.87,5.25502,-10.3,0,0.783384,0.219022
1492779767980,62.37,182.98,36.48,29.9,-25.91,5.10046,-10.28,0,0.5001,-0.283284
1492779767988,62.34,182.58,36.56,29.83,-26.69,5.56414,-10.26,0,0.401117,-0.0989828
1492779767995,62.3,182.09,36.65,29.62,-27.13,5.87326,-10.24,0,0.491636,0.0905182
1492779768004,62.26,181.67,36.64,29.28,-27.72,5.10046,-10.22,0,0.421899,-0.0697368
1492779768011,62.29,181.16,36.83,29.19,-27.52,5.7187,-10.2,0,0.510891,0.0889925
1492779768019,62.5,180.8,36.85,29.3,-27.56,5.25502,-10.18,0,0.416762,-0.0941291
1492779768026,62.73,180.58,36.87,28.92,-28.24,5.10046,-10.16,0,0.318277,-0.098485
1492779768034,62.98,180.42,36.73,28.5,-28.62,5.25502,-10.14,0,0.296818,-0.0214587
1492779768041,63.2,180.21,36.81,28.51,-29.12,5.56414,-10.12,0,0.304141,0.00732249
1492779768048,63.65,180.2,36.8,28.55,-29.3,5.25502,-10.1,0,0.450112,0.145971
1492779768055,63.99,180.1,36.72,28.71,-29.57,5.25502,-10.08,0,0.354403,-0.095709
1492779768063,64.36,180.13,36.78,28.54,-30.12,4.9459,-10.06,0,0.371217,0.0168141
1492779768070,65.12,180.14,36.61,28.6,-30.67,5.56414,-10.04,0,0.76006,0.388844
1492779768078,65.48,180.24,36.57,28.42,-30.77,5.25502,-10.02,0,0.373629,-0.386431
1492779768084,65.9,180.26,36.47,28.29,-31.19,4.79134,-10,0,0.420482,0.0468529
1492779768092,66.43,180.33,36.34,28.23,-31.69,5.10046,-9.98,0,0.534602,0.11412
1492779768099,67.08,180.36,36.37,28.25,-32,5.56414,-9.96,0,0.650693,0.116091
1492779768107,67.58,180.31,36.17,28.32,-31.98,5.56414,-9.94,0,0.502494,-0.148199
1492779768114,67.93,180.22,36.13,28.22,-32.13,5.56414,-9.92,0,0.361384,-0.14111
1492779768123,68.28,180.07,36.06,28.21,-32.7,5.56414,-9.9,0,0.380791,0.019407
1492779768130,68.69,180.03,35.85,28.38,-32.38,5.10046,-9.88,0,0.411942,0.0311511
1492779768139,69.33,179.93,35.86,28.68,-32.6,5.25502,-9.86,0,0.647773,0.235831
1492779768145,69.82,179.74,35.86,28.86,-32.7,5.56414,-9.84,0,0.525546,-0.122227
1492779768151,70.43,179.78,35.99,28.96,-33.48,5.40958,-9.82,0,0.611311,0.085765
1492779768157,70.88,179.8,36,29.15,-33.29,5.7187,-9.8,0,0.450441,-0.16087
1492779768162,71.56,179.71,36.21,29.2,-33.55,5.25502,-9.78,0,0.685932,0.235491
1492779768169,71.98,179.79,36.43,29.41,-33.77,5.40958,-9.76,0,0.42755,-0.258382
1492779768175,72.52,179.87,36.56,29.97,-34.4,5.56414,-9.74,0,0.545895,0.118345
1492779768182,72.83,179.62,36.87,30.6,-34.45,5.7187,-9.72,0,0.39825,-0.147645
1492779768188,73.31,179.59,36.81,31.19,-34.91,5.25502,-9.7,0,0.480932,0.082682
1492779768195,73.82,179.49,36.91,31.63,-34.94,6.02782,-9.68,0,0.519715,0.0387825
1492779768202,74.36,179.53,36.92,32.08,-35.1,5.25502,-9.66,0,0.541481,0.0217663
1492779768208,74.76,179.41,37.19,32.59,-35.12,5.25502,-9.64,0,0.417617,-0.123864
1492779768215,75.25,179.21,37.38,33.22,-35.69,5.40958,-9.62,0,0.529242,0.111625
1492779768222,75.58,179.09,37.83,33.68,-35.41,5.40958,-9.6,0,0.351141,-0.178101
1492779768229,76.12,178.94,38.17,34.05,-35.29,5.56414,-9.58,0,0.560438,0.209297
1492779768237,76.69,178.72,38.79,34.28,-35.02,5.87326,-9.56,0,0.610983,0.0505448
1492779768242,77.03,178.44,39.3,34.62,-34.86,5.10046,-9.54,0,0.440457,-0.170526
1492779768250,77.77,177.99,40.19,34.64,-34.46,4.9459,-9.52,0,0.866088,0.425631
