Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1493030869105,87.13,200.92,29.74,55.54,-54.96,-0.15456,312.33,0,0.362494,0.115117
1493030869113,86.98,200.56,30,55.75,-55.17,0.309119,312.36,0,0.390001,0.0275075
1493030869121,86.82,200.47,30.08,55.9,-55.58,-0.463679,312.38,0,0.18357,-0.206431
1493030869129,86.49,200.3,30.33,56.04,-56.24,0.463679,312.4,0,0.371215,0.187645
1493030869137,86.18,200.15,30.31,56.02,-56.8,-0.15456,312.42,0,0.344385,-0.0268297
1493030869144,85.86,200.07,30.46,56,-57.71,-0.15456,312.44,0,0.329849,-0.0145367
1493030869151,85.45,200.02,30.48,55.95,-58.37,-0.15456,312.46,0,0.413042,0.083193
1493030869159,85.01,199.93,30.5,55.74,-58.82,0,312.48,0,0.449112,0.0360703
1493030869166,84.18,199.86,30.36,55.54,-59.09,0,312.5,0,0.83294,0.383828
1493030869173,83.51,199.78,30.25,55.35,-59.34,0.309119,312.52,0,0.674765,-0.158175
1493030869181,82.73,199.87,30,55.19,-59.76,0.15456,312.54,0,0.785173,0.110408
1493030869189,81.89,199.85,29.64,54.75,-60.02,0.15456,312.56,0,0.840235,0.055061
1493030869197,81.25,199.78,29.11,54.87,-60.45,-0.309119,312.58,0,0.643815,-0.196419
1493030869204,80.65,199.76,28.55,54.81,-60.7,0.618238,312.6,0,0.600332,-0.0434834
1493030869211,80.14,199.8,27.94,54.67,-61.19,0.309119,312.62,0,0.511569,-0.0887628
1493030869217,79.65,199.83,27.4,54.67,-61.53,0.463679,312.64,0,0.490915,-0.0206537
1493030869223,79.05,199.78,26.88,54.41,-62.07,0.309119,312.66,0,0.602086,0.111171
1493030869230,78.36,199.69,26.01,54.55,-62.43,0,312.68,0,0.695839,0.0937532
1493030869237,77.86,199.65,25.83,54.54,-63,0.618238,312.7,0,0.501598,-0.194241
1493030869244,77.3,199.47,25.67,54.06,-63.23,0,312.72,0,0.58822,0.0866222
1493030869251,76.68,199.24,25.51,53.92,-63.75,0,312.74,0,0.661286,0.0730655
1493030869258,76.11,199.02,25.39,53.92,-63.86,-0.309119,312.76,0,0.610983,-0.0503029
1493030869265,75.44,198.67,25.22,53.86,-64.36,0,312.78,0,0.755911,0.144928
1493030869271,74.82,198.43,25.16,53.6,-64.67,-0.309119,312.8,0,0.664828,-0.0910827
1493030869278,74.13,198.12,25.12,53.44,-64.92,0.309119,312.82,0,0.75644,0.091612
1493030869285,73.4,197.67,24.57,53.25,-65.34,0.15456,312.84,0,0.857549,0.101109
1493030869293,72.91,197.36,24.28,52.94,-65.63,-0.309119,312.86,0,0.579831,-0.277719
1493030869301,72.37,197.13,24.08,52.48,-65.96,-0.309119,312.88,0,0.586946,0.00711548
1493030869308,71.88,196.89,23.91,52.23,-66.12,0.463679,312.9,0,0.545613,-0.0413337
1493030869315,71.49,196.62,23.51,52.13,-66.17,0.309119,312.92,0,0.474344,-0.0712691
1493030869322,71.13,196.43,23.16,51.84,-66.53,0.772798,312.94,0,0.407064,-0.0672792
1493030869329,70.65,196.25,22.83,51.64,-66.87,0.463679,312.96,0,0.512634,0.105569
1493030869337,70.33,196.05,22.42,51.22,-67.13,0.309119,312.98,0,0.377357,-0.135276
1493030869343,70.02,195.82,21.81,50.96,-67.3,0.463679,313,0,0.386016,0.00865853
1493030869349,69.83,195.67,21.45,50.83,-67.38,-0.15456,313.02,0,0.242067,-0.143949
1493030869357,69.7,195.54,21.12,50.52,-67.65,0.772798,313.04,0,0.183855,-0.0582118
1493030869365,69.58,195.35,20.76,50.21,-67.79,0.309119,313.06,0,0.224722,0.0408668
1493030869371,69.45,195.23,20.46,50.04,-68.1,0.309119,313.08,0,0.176918,-0.0478032
1493030869377,69.37,195.14,20.08,49.9,-68.39,0.618238,313.1,0,0.120414,-0.0565039
1493030869385,69.31,195.03,19.82,49.76,-68.73,0,313.12,0,0.125299,0.00488459
1493030869393,69.25,194.88,19.67,49.65,-68.96,0.618238,313.14,0,0.161563,0.0362635
1493030869401,69.11,194.77,19.39,49.5,-69.16,0.15456,313.16,0,0.178045,0.0164823
1493030869407,69.02,194.55,19.13,49.3,-69.32,0.309119,313.18,0,0.237686,0.059641
1493030869413,68.88,194.33,19.02,49.03,-69.4,0.15456,313.2,0,0.260769,0.023083
1493030869421,68.79,194.07,18.95,48.88,-69.45,0.309119,313.22,0,0.275144,0.0143756
1493030869429,68.71,193.76,18.89,48.66,-69.79,0,313.24,0,0.320154,0.0450099
1493030869437,68.62,193.48,18.77,48.47,-69.66,0.309119,313.26,0,0.294109,-0.0260454
1493030869444,68.54,193.19,18.78,48.26,-69.97,0,313.28,0,0.300824,0.0067153
1493030869451,68.5,192.93,18.66,48.11,-70.08,0.15456,313.3,0,0.263069,-0.0377555
1493030869458,68.45,192.67,18.55,48.01,-70.23,0.618238,313.32,0,0.264759,0.00169051
1493030869465,68.4,192.18,18.49,47.77,-70.27,-0.15456,313.34,0,0.492549,0.22779
1493030869472,68.35,191.82,18.34,47.67,-70.11,-0.15456,313.36,0,0.363457,-0.129093
1493030869479,68.37,191.47,18.29,47.66,-70.12,0,313.38,0,0.350562,-0.012895
1493030869486,68.37,191.07,18.15,47.52,-70.34,0.463679,313.4,0,0.400009,0.0494475
1493030869493,68.35,190.73,18.05,47.41,-69.92,0.309119,313.42,0,0.340584,-0.0594253
1493030869501,68.31,190.29,18.04,47.18,-70.14,0.309119,313.44,0,0.441817,0.101233
1493030869508,68.3,189.9,17.98,47.09,-70.01,0.15456,313.46,0,0.390128,-0.0516893
1493030869515,68.33,189.5,18.02,46.91,-70.01,0.772798,313.48,0,0.401118,0.0109902
1493030869522,68.18,189.03,18.28,46.88,-70.05,0.618238,313.5,0,0.493357,0.0922396
