Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1493030750273,78.28,192.1,25.99,51.11,-70.18,-0.15456,116.18,0,0.215419,0.00165126
1493030750282,78.38,191.94,25.27,50.81,-70.38,0.15456,116.2,0,0.188669,-0.0267496
1493030750290,78.71,191.71,24.12,50.41,-70.65,-0.15456,116.22,0,0.402251,0.213583
1493030750298,78.9,191.58,23.49,50.17,-70.79,0,116.24,0,0.230213,-0.172038
1493030750304,79.17,191.45,23.06,49.79,-70.83,-0.15456,116.26,0,0.299666,0.0694521
1493030750312,79.66,191.38,22.5,49.48,-70.93,0.15456,116.28,0,0.494974,0.195308
1493030750318,80.16,191.29,22.04,49.18,-71.38,0.15456,116.3,0,0.508035,0.0130611
1493030750325,80.53,191.27,21.55,48.92,-71.26,0.309119,116.32,0,0.370543,-0.137492
1493030750331,80.77,191.25,21.02,48.48,-70.97,0.15456,116.34,0,0.240829,-0.129714
1493030750338,81.06,191.24,20.63,48.1,-70.76,0.309119,116.36,0,0.290174,0.0493448
1493030750346,81.42,191.26,20.08,47.82,-70.74,0.309119,116.38,0,0.360556,0.0703824
1493030750352,81.9,191.28,19.3,47.76,-70.31,0,116.4,0,0.48042,0.119864
1493030750359,82.12,191.22,18.76,47.67,-70.25,0.15456,116.42,0,0.228028,-0.252392
1493030750366,82.48,191.16,18.29,47.5,-69.87,-0.309119,116.44,0,0.364968,0.13694
1493030750374,82.84,191.08,17.72,47.72,-69.34,0.309119,116.46,0,0.368779,0.003811
1493030750382,83.25,190.97,17.26,47.87,-68.63,0.463679,116.48,0,0.424503,0.055724
1493030750389,83.56,190.77,17.03,48.21,-68.18,0.309119,116.5,0,0.368922,-0.0555815
1493030750398,83.96,190.57,16.94,48.7,-68.35,0.15456,116.52,0,0.447214,0.0782917
1493030750406,84.22,190.37,16.91,48.98,-68.09,0,116.54,0,0.328024,-0.119189
1493030750413,84.7,190.08,16.72,48.86,-68.17,-0.15456,116.56,0,0.560796,0.232772
1493030750421,85.23,189.83,16.71,48.53,-68.54,0,116.58,0,0.586002,0.0252065
1493030750426,85.93,189.61,16.52,48.23,-68.98,0.309119,116.6,0,0.733762,0.14776
1493030750433,86.62,189.35,16.53,48.01,-69.45,0.15456,116.62,0,0.737359,0.00359654
1493030750438,87.33,188.97,16.44,47.94,-69.89,0,116.64,0,0.805296,0.0679373
1493030750445,87.96,188.82,16.41,47.81,-70.16,0.15456,116.66,0,0.64761,-0.157686
1493030750450,88.37,188.73,16.15,47.62,-70.41,0.618238,116.68,0,0.419757,-0.227853
1493030750456,88.64,188.7,15.85,47.7,-70.58,0.309119,116.7,0,0.271666,-0.148092
1493030750463,88.9,188.58,15.67,47.63,-70.9,0.772798,116.72,0,0.286356,0.0146907
1493030750469,89.05,188.42,15.58,47.64,-71.26,0,116.74,0,0.219316,-0.0670407
1493030750476,89.22,188.23,15.49,47.48,-71.56,-0.15456,116.76,0,0.254957,0.035641
1493030750483,89.44,188.07,15.43,47.37,-71.63,0,116.78,0,0.272026,0.0170697
1493030750490,89.79,187.85,15.32,47.29,-71.6,-0.15456,116.8,0,0.413406,0.14138
1493030750497,90.08,187.63,15.33,46.99,-72.31,0.15456,116.82,0,0.364001,-0.0494055
1493030750504,90.39,187.39,15.18,46.52,-72.57,0.15456,116.84,0,0.392044,0.0280432
1493030750511,90.67,187.18,15.02,46.24,-72.67,0.463679,116.86,0,0.350003,-0.042041
1493030750518,91.03,187.04,14.78,46.01,-72.51,0.15456,116.88,0,0.386265,0.0362615
1493030750526,91.59,186.81,14.44,45.76,-72.4,0.772798,116.9,0,0.605389,0.219124
1493030750533,92.07,186.71,14.04,45.58,-72.4,0.463679,116.92,0,0.490311,-0.115078
1493030750541,92.51,186.59,13.4,45.38,-72.04,0.463679,116.94,0,0.456064,-0.0342467
1493030750548,93.04,186.46,12.73,45.31,-71.93,0.309119,116.96,0,0.545718,0.089654
1493030750555,93.51,186.34,12.11,45.16,-71.8,0.309119,116.98,0,0.48507,-0.060648
1493030750562,94.04,186.21,11.53,44.95,-71.65,0,117,0,0.545718,0.060648
1493030750569,94.54,186.05,11.02,44.88,-71.66,0,117.02,0,0.524973,-0.0207452
1493030750576,95.03,185.89,10.54,44.91,-71.88,0,117.04,0,0.51546,-0.0095126
1493030750583,95.78,185.61,10.1,44.95,-71.9,-0.15456,117.06,0,0.800562,0.285102
1493030750590,96.28,185.41,9.83,44.93,-71.96,0,117.08,0,0.538521,-0.262041
1493030750597,96.8,185.24,9.64,44.81,-71.94,0,117.1,0,0.547079,0.00855839
1493030750604,97.39,185.03,9.57,44.76,-72.06,0.309119,117.12,0,0.62626,0.0791802
1493030750611,97.77,184.79,9.59,44.78,-72.07,0.309119,117.14,0,0.449445,-0.176815
1493030750618,98.2,184.45,9.72,44.36,-72.06,-0.15456,117.16,0,0.548177,0.0987321
1493030750625,98.56,184.21,9.81,44.29,-72.03,0.463679,117.18,0,0.43267,-0.115507
1493030750632,98.92,183.92,9.89,44.29,-72.06,0.15456,117.2,0,0.462273,0.0296035
1493030750639,99.37,183.61,9.83,44.24,-72.03,0.463679,117.22,0,0.546439,0.0841659
1493030750646,99.59,183.38,9.71,44.18,-72.1,0,117.24,0,0.318285,-0.228154
1493030750653,99.86,183.18,9.64,44.18,-71.94,-0.15456,117.26,0,0.336008,0.0177222
1493030750660,100.13,183.01,9.25,44.03,-71.46,0.15456,117.28,0,0.319057,-0.0169502
1493030750667,100.35,182.82,9.04,43.91,-71.31,0.15456,117.3,0,0.290691,-0.028366
1493030750675,100.6,182.66,8.85,43.89,-71.01,-0.309119,117.32,0,0.296818,0.00612706
1493030750683,100.9,182.53,8.72,43.91,-70.86,-0.15456,117.34,0,0.326954,0.0301359
1493030750690,101.19,182.37,8.62,43.96,-70.68,0.309119,117.36,0,0.331206,0.00425148
1493030750696,101.52,182.21,8.58,43.9,-70.56,0,117.38,0,0.366746,0.0355399
1493030750703,102.03,182.07,8.48,43.92,-70.59,0,117.4,0,0.528869,0.162123
1493030750711,102.46,181.92,8.43,43.88,-70.54,0.15456,117.42,0,0.45541,-0.0734584
1493030750717,102.85,181.8,8.45,43.95,-70.24,0.15456,117.44,0,0.408042,-0.0473681
1493030750724,103.17,181.65,8.48,43.67,-70.37,-0.15456,117.46,0,0.353416,-0.0546266
1493030750731,103.43,181.48,8.48,43.47,-70.49,0,117.48,0,0.310645,-0.0427703
1493030750739,103.65,181.33,8.39,43.31,-70.5,0.309119,117.5,0,0.266262,-0.0443835
1493030750746,103.77,181.09,8.27,43.23,-70.29,0.772798,117.52,0,0.268334,0.00207251
1493030750752,103.92,180.89,8.14,43.19,-70.32,-0.15456,117.54,0,0.249998,-0.0183358
1493030750759,104.09,180.69,7.97,43.25,-70.17,0.309119,117.56,0,0.262485,0.0124861
1493030750767,104.08,180.44,7.45,43.33,-70.12,0.463679,117.58,0,0.2502,-0.0122846
1493030750775,104.05,180.28,7.15,43.28,-69.8,-0.309119,117.6,0,0.162792,-0.0874084
1493030750782,104.07,180.16,6.83,43.09,-69.56,0.15456,117.62,0,0.121666,-0.0411254
1493030750789,104.18,180.08,6.62,43.06,-69.5,0.309119,117.64,0,0.136007,0.0143411
1493030750803,104.32,179.84,6.59,43.16,-69.36,0,117.67,0,0.277853,0.141846
1493030750811,104.62,179.68,6.68,43.14,-69.36,0,117.7,0,0.339998,0.0621444
1493030750817,105.1,179.55,6.62,43.08,-69.31,0,117.72,0,0.497293,0.157296
1493030750823,105.59,179.54,6.51,43.16,-69.19,0,117.74,0,0.4901,-0.00719312
1493030750831,105.96,179.46,6.54,43.28,-68.98,0.309119,117.76,0,0.378553,-0.111547
1493030750839,106.28,179.39,6.6,43.18,-68.74,0.463679,117.78,0,0.327565,-0.0509881
1493030750845,106.48,179.23,6.66,43.23,-68.89,0.15456,117.8,0,0.256125,-0.07144
1493030750859,106.54,179.05,6.69,43.11,-69.83,0.463679,117.83,0,0.189731,-0.0663935
1493030750867,106.51,178.81,6.71,43.03,-70.32,0.15456,117.86,0,0.241874,0.0521426
1493030750879,106.26,178.53,6.65,42.46,-72.1,0.309119,117.89,0,0.375366,0.133492
1493030750887,105.56,178.14,6.57,42.46,-72.94,0.618238,117.92,0,0.801308,0.425943
