Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1493030365333,91.6,195.03,27.7,50.7,-73.36,0.309119,143.32,0,0.331212,-0.187724
1493030365341,91.46,194.94,26.97,50.51,-73.66,0.618238,143.34,0,0.166431,-0.164782
1493030365348,91.29,194.87,26.45,50.4,-74.05,0.15456,143.36,0,0.183849,0.0174182
1493030365355,91.03,194.83,25.85,50.22,-74.1,0.309119,143.38,0,0.26306,0.0792112
1493030365363,90.78,194.81,25.33,49.92,-74.8,0.463679,143.4,0,0.250799,-0.012261
1493030365371,90.45,194.72,24.86,49.79,-75.33,1.08192,143.42,0,0.342053,0.0912544
1493030365378,90.19,194.56,24.26,49.73,-75.61,0.463679,143.44,0,0.30529,-0.036763
1493030365385,90.07,194.47,23.83,49.55,-75.88,0.618238,143.46,0,0.149994,-0.155297
1493030365392,89.79,194.27,23.37,49.29,-76,0.309119,143.48,0,0.344099,0.194105
1493030365400,89.65,194.03,22.73,48.9,-76.13,0.618238,143.5,0,0.27784,-0.066259
1493030365407,89.42,193.76,22.13,48.82,-76.28,0,143.52,0,0.354688,0.0768483
1493030365415,89.14,193.55,21.79,48.55,-76.13,0,143.54,0,0.349994,-0.00469452
1493030365423,88.93,193.37,21.47,48.59,-76.11,0.463679,143.56,0,0.276591,-0.0734031
1493030365430,88.69,193.15,21.13,48.37,-76.09,0.15456,143.58,0,0.325581,0.0489905
1493030365437,88.49,192.87,20.76,48.35,-76.29,0.15456,143.6,0,0.34409,0.018509
1493030365443,88.41,192.63,20.38,48.42,-76.57,0,143.62,0,0.252988,-0.0911022
1493030365450,88.32,192.36,20.15,48.32,-76.68,0.618238,143.64,0,0.284593,0.0316054
1493030365457,88.3,191.95,19.82,48.42,-76.79,0.927357,143.66,0,0.410491,0.125898
1493030365464,88.39,191.6,19.59,48.36,-77.03,-0.15456,143.68,0,0.361393,-0.0490983
1493030365471,88.46,191.22,19.41,48.12,-76.69,0,143.7,0,0.386383,0.0249902
1493030365478,88.55,190.83,19.26,47.99,-76.32,0.463679,143.72,0,0.400248,0.0138652
1493030365485,88.63,190.28,19.08,48.2,-76.11,0.772798,143.74,0,0.555791,0.155543
1493030365492,88.72,189.88,18.96,48.19,-75.76,0.618238,143.76,0,0.41001,-0.145781
1493030365499,88.91,189.45,18.97,48.23,-75.19,0.618238,143.78,0,0.470098,0.0600878
1493030365506,89.03,189.04,18.82,47.98,-74.27,0.15456,143.8,0,0.427204,-0.0428931
1493030365513,89.41,188.51,18.55,48.06,-73.99,0.309119,143.82,0,0.652148,0.224943
1493030365520,89.7,188.13,18.37,48.12,-73.21,0,143.84,0,0.478021,-0.174127
1493030365527,90.16,187.61,18.33,48.21,-72.65,0,143.86,0,0.694253,0.216232
1493030365534,90.65,187.12,18.18,48.32,-71.85,0.463679,143.88,0,0.692972,-0.0012809
1493030365542,91.24,186.62,18.15,48.3,-71.41,0.618238,143.9,0,0.773366,0.080394
1493030365549,92.07,186.13,17.98,48.28,-71.05,0.618238,143.92,0,0.963851,0.190484
1493030365556,92.83,185.52,18.01,48.24,-70.63,0.618238,143.94,0,0.974522,0.0106708
1493030365563,93.47,184.99,17.91,47.87,-70.43,0.309119,143.96,0,0.830968,-0.143554
1493030365570,94.15,184.51,17.95,47.86,-70.17,0.618238,143.98,0,0.832344,0.00137591
1493030365577,94.94,184,17.88,47.71,-69.9,0.15456,144,0,0.94031,0.107967
1493030365584,95.37,183.6,17.68,47.69,-69.59,0.15456,144.02,0,0.587288,-0.353022
1493030365591,95.76,183.27,17.51,47.65,-69.5,0.309119,144.04,0,0.510882,-0.076406
1493030365598,96.17,182.94,17.37,47.65,-69.26,-0.15456,144.06,0,0.526302,0.01542
1493030365606,96.54,182.48,16.94,47.6,-69.1,0.309119,144.08,0,0.590346,0.0640435
1493030365613,96.88,182.17,16.71,47.19,-69.04,0.309119,144.1,0,0.460104,-0.130242
1493030365620,97.21,181.83,16.44,46.98,-68.91,0.15456,144.12,0,0.473813,0.0137086
1493030365627,97.58,181.51,16.23,46.88,-69.03,1.08192,144.14,0,0.489184,0.0153711
1493030365634,98.01,181.07,15.83,46.59,-69.09,0.309119,144.16,0,0.615225,0.126041
1493030365641,98.41,180.79,15.65,46.43,-69.22,0.618238,144.18,0,0.488263,-0.126963
1493030365648,98.71,180.56,15.44,46.34,-69.15,0.618238,144.2,0,0.378021,-0.110242
1493030365655,99.03,180.37,14.86,46.07,-69.37,0.309119,144.22,0,0.372157,-0.00586414
1493030365662,99.27,180.2,14.47,45.95,-69.68,0.309119,144.24,0,0.294106,-0.0780509
1493030365670,99.37,180.04,14.14,45.57,-70.33,0.15456,144.26,0,0.188682,-0.105424
1493030365677,99.47,179.93,13.67,45.45,-70.59,0.772798,144.28,0,0.148665,-0.0400167
1493030365684,99.56,179.82,13.26,45.32,-70.64,0.618238,144.3,0,0.142125,-0.00654039
1493030365691,99.62,179.65,12.83,45.15,-70.93,0.463679,144.32,0,0.180275,0.0381502
