Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1493031018267,96.45,211.23,27.41,54.05,-63.56,-0.309119,-109.16,0,0.744043,-0.169467
1493031018275,95.97,211.69,26.95,53.99,-63.54,0,-109.14,0,0.664832,-0.0792109
1493031018283,95.62,212.16,26.75,53.8,-63.48,0.15456,-109.12,0,0.585996,-0.0788366
1493031018290,95.24,212.6,26.49,53.56,-63.7,-0.15456,-109.1,0,0.581378,-0.00461805
1493031018296,94.98,213.29,26.23,53.33,-63.82,-0.15456,-109.08,0,0.737363,0.155985
1493031018303,94.91,213.81,25.96,53.22,-63.8,0,-109.06,0,0.524695,-0.212669
1493031018308,94.71,214.25,25.63,53.07,-63.94,0,-109.04,0,0.483323,-0.0413718
1493031018315,94.57,214.85,25.09,52.79,-64.11,-0.463679,-109.02,0,0.616108,0.132785
1493031018321,94.54,215.38,24.68,52.62,-64.46,-0.463679,-109,0,0.530847,-0.0852607
1493031018329,94.38,215.78,24.14,52.65,-64.67,-0.15456,-108.98,0,0.430823,-0.100024
1493031018336,94.32,216.26,23.71,52.47,-64.93,-0.15456,-108.96,0,0.483731,0.0529079
1493031018343,94.26,216.68,23.23,52.46,-65.25,0.618238,-108.94,0,0.424263,-0.0594679
1493031018350,94.14,217.05,22.94,52.44,-65.65,0,-108.92,0,0.388967,-0.0352961
1493031018357,94.01,217.37,22.49,52.48,-66.33,0.618238,-108.9,0,0.345407,-0.0435599
1493031018363,93.84,217.64,22.12,52.39,-66.83,0.309119,-108.88,0,0.319064,-0.0263432
1493031018369,93.65,218.13,21.74,52.34,-67.17,-0.463679,-108.86,0,0.525536,0.206473
1493031018375,93.48,218.39,21.63,52.31,-67.39,-0.15456,-108.84,0,0.310656,-0.214881
1493031018383,93.35,218.65,21.51,52.21,-67.94,0,-108.82,0,0.290683,-0.0199731
1493031018390,93.18,218.85,21.44,52.08,-67.96,0.15456,-108.8,0,0.262485,-0.0281981
1493031018397,92.97,218.99,21.39,52.03,-67.97,0,-108.78,0,0.252387,-0.0100971
1493031018404,92.81,219.13,21.35,52.07,-68.02,-0.463679,-108.76,0,0.212605,-0.0397822
1493031018415,92.66,219.18,21.32,51.93,-68.22,-0.309119,-108.73,0,0.158116,-0.054489
1493031018431,92.56,219.2,21.13,51.46,-68.58,0,-108.69,0,0.10198,-0.0561366
1493031018439,92.67,219.17,20.88,51.53,-68.31,0,-108.66,0,0.114018,0.0120381
1493031018447,92.78,219.06,20.67,51.21,-68.1,-0.309119,-108.64,0,0.155564,0.0415465
1493031018459,92.93,218.95,20.43,50.94,-67.98,-0.618238,-108.61,0,0.186012,0.030448
1493031018467,93.12,218.74,20.04,50.79,-68.2,0.15456,-108.58,0,0.283198,0.0971852
1493031018483,93.23,218.6,19.83,50.62,-68.49,-0.15456,-108.55,0,0.178045,-0.105153
1493031018489,93.45,218.39,19.48,50.48,-68.41,-0.463679,-108.52,0,0.304133,0.126088
1493031018495,93.56,218.1,19.28,50.54,-68.42,0,-108.5,0,0.310169,0.00603634
1493031018503,93.57,217.9,19.09,49.94,-68.53,0,-108.48,0,0.200247,-0.109923
1493031018511,93.57,217.72,18.85,49.56,-68.45,0,-108.46,0,0.179993,-0.0202542
1493031018518,93.63,217.46,18.53,49.52,-68.07,0.309119,-108.44,0,0.266842,0.0868496
1493031018525,93.67,217.29,18.28,49.38,-68.11,0,-108.42,0,0.174641,-0.0922013
1493031018532,93.77,217.12,18.07,49.3,-68.12,-0.463679,-108.4,0,0.197228,0.0225876
1493031018539,93.84,216.89,17.94,49.17,-68.35,-0.309119,-108.38,0,0.240412,0.0431837
1493031018547,93.94,216.7,17.42,49.11,-68.17,0.15456,-108.36,0,0.214711,-0.0257016
1493031018555,94,216.55,17.1,49.08,-68.4,-0.309119,-108.34,0,0.161565,-0.0531452
1493031018562,94.26,216.41,16.95,49.09,-68.54,0.15456,-108.32,0,0.295291,0.133726
1493031018569,94.38,216.24,16.7,48.75,-68.34,0,-108.3,0,0.208087,-0.0872047
1493031018575,94.45,216.08,16.5,48.81,-68.28,-0.772798,-108.28,0,0.174632,-0.0334549
1493031018583,94.55,215.88,16.37,48.53,-68.36,0.15456,-108.26,0,0.223617,0.0489853
1493031018590,94.8,215.7,16.2,48.34,-68.51,-0.309119,-108.24,0,0.308054,0.0844371
1493031018597,95.03,215.47,15.98,48.23,-68.44,-0.463679,-108.22,0,0.325268,0.0172143
1493031018604,95.18,215.32,15.88,48.03,-68.38,-0.463679,-108.2,0,0.21214,-0.113129
1493031018611,95.43,215.25,15.55,48.08,-68.54,-0.309119,-108.18,0,0.259613,0.0474734
1493031018618,95.6,215.17,15.43,48.04,-68.44,-0.15456,-108.16,0,0.187882,-0.0717309
1493031018624,95.76,214.99,15.06,47.91,-68.29,-0.309119,-108.14,0,0.240835,0.0529531
1493031018631,95.85,214.88,14.75,47.91,-68.12,-0.309119,-108.12,0,0.14213,-0.0987055
