Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1493208782976,109.73,220.21,64.25,80.02,-61.92,-0.309119,-87.78,0,0.657346,0.224099
1493208782984,109.37,219.76,64.3,80.09,-62.01,0.15456,-87.76,0,0.576279,-0.0810668
1493208782993,109.15,219.31,63.81,79.68,-61.98,0.15456,-87.74,0,0.500897,-0.0753822
1493208783001,108.79,218.8,63.59,79.28,-61.95,0.15456,-87.72,0,0.624264,0.123367
1493208783009,108.62,218.46,63.55,79,-62.05,0,-87.7,0,0.380131,-0.244133
1493208783016,108.2,218.06,63.56,78.62,-62,0.772798,-87.68,0,0.579994,0.199864
1493208783024,107.94,217.81,63.41,78.6,-61.81,0.309119,-87.66,0,0.360695,-0.219299
1493208783029,107.77,217.66,63.15,78.52,-61.85,0.15456,-87.64,0,0.22672,-0.133975
1493208783036,107.64,217.26,62.83,78.33,-61.77,0,-87.62,0,0.420588,0.193868
1493208783042,107.46,216.97,62.46,78.21,-61.67,0.15456,-87.6,0,0.341315,-0.0792727
1493208783049,107.21,216.48,62.3,78.06,-61.59,0.15456,-87.58,0,0.550096,0.20878
1493208783055,107.23,216.16,61.89,78,-61.45,0,-87.56,0,0.320631,-0.229464
1493208783061,107.06,215.9,61.91,77.81,-61.73,0.309119,-87.54,0,0.310639,-0.00999257
1493208783068,107.09,215.82,61.47,77.91,-61.48,-0.15456,-87.52,0,0.0854413,-0.225198
1493208783076,106.9,215.69,61.36,77.79,-61.52,0.15456,-87.5,0,0.230213,0.144772
1493208783083,106.58,215.34,61.06,77.6,-61.51,-0.463679,-87.48,0,0.474241,0.244027
1493208783090,106.52,215.27,60.82,77.4,-61.37,0.15456,-87.46,0,0.0921994,-0.382041
1493208783096,106.39,215.15,60.52,77.52,-61.41,-0.309119,-87.44,0,0.176913,0.0847133
1493208783104,106.52,215.15,60.31,77.43,-61.34,0.15456,-87.42,0,0.129997,-0.0469155
1493208783111,106.46,215.05,60.12,77.44,-61.34,0,-87.4,0,0.116623,-0.0133742
1493208783124,106.59,214.92,59.86,77.32,-61.27,0.309119,-87.37,0,0.183838,0.0672155
1493208783131,106.67,214.89,59.4,77.24,-61.15,0,-87.34,0,0.0854413,-0.0983972
1493208783144,106.68,215.05,59.26,76.84,-60.91,0,-87.31,0,0.160301,0.0748594
1493208783151,106.89,215.09,59.16,76.51,-60.78,-0.309119,-87.28,0,0.213776,0.0534755
1493208783160,107.11,215.31,59.19,76.4,-60.85,0.15456,-87.26,0,0.311129,0.0973524
1493208783176,107.2,215.39,59.01,75.9,-60.64,0,-87.23,0,0.120414,-0.190714
1493208783183,107.52,215.6,58.65,75.91,-60.65,0.15456,-87.2,0,0.382748,0.262334
1493208783189,107.62,215.32,57.99,75.76,-60.53,-0.15456,-87.18,0,0.29732,-0.0854285
1493208783196,107.89,215.28,57.66,75.4,-60.77,0.309119,-87.16,0,0.27295,-0.0243696
1493208783203,108.09,215.4,57.13,75.08,-60.91,0.463679,-87.14,0,0.233233,-0.0397172
1493208783210,108.49,215.42,56.73,75.08,-61.16,-0.309119,-87.12,0,0.400501,0.167268
1493208783216,108.49,215.34,56.22,74.58,-60.98,0.463679,-87.1,0,0.0800018,-0.3205
1493208783224,108.48,215.21,55.91,74.16,-61.06,0,-87.08,0,0.130389,0.0503872
1493208783232,108.7,215.23,55.57,73.61,-60.89,0.463679,-87.06,0,0.220909,0.0905197
1493208783240,108.7,214.86,55.04,73.39,-60.8,0.15456,-87.04,0,0.369995,0.149086
1493208783247,108.64,214.47,54.7,73.07,-60.8,0,-87.02,0,0.394587,0.0245923
1493208783259,108.66,214.19,54.38,72.43,-60.71,0.15456,-86.99,0,0.280712,-0.113875
1493208783267,108.53,213.56,53.78,72.17,-60.77,-0.15456,-86.96,0,0.643277,0.362565
1493208783275,108.48,213.11,53.26,71.7,-60.95,0,-86.94,0,0.452767,-0.190511
1493208783282,108.36,212.74,52.88,71.3,-60.91,-0.309119,-86.92,0,0.388981,-0.0637852
1493208783289,108.28,212.21,52.49,70.92,-61.16,0,-86.9,0,0.536003,0.147021
1493208783295,108.1,211.55,52.17,70.79,-61.61,0.15456,-86.88,0,0.684109,0.148106
1493208783303,107.73,210.88,51.66,70.57,-61.68,0,-86.86,0,0.765375,0.0812666
1493208783309,107.53,210.2,51.52,70.34,-61.85,-0.309119,-86.84,0,0.708794,-0.0565815
1493208783315,107.23,209.46,51.37,70.04,-61.94,0.309119,-86.82,0,0.798505,0.0897109
1493208783323,106.86,208.53,51.24,69.58,-62.43,0.618238,-86.8,0,1.00089,0.202386
1493208783331,106.43,207.83,51.03,69.05,-63.01,0,-86.78,0,0.821521,-0.17937
1493208783339,105.82,206.69,51.03,68.54,-63.01,-0.15456,-86.76,0,1.29294,0.471421
1493208783345,105.02,205.37,51.22,68.04,-63.45,0.309119,-86.74,0,1.54351,0.250568
1493208783351,104.2,204.33,51.34,67.47,-63.4,-0.15456,-86.72,0,1.32438,-0.219129
1493208783359,103.71,203.29,51.54,67.33,-63.35,0.309119,-86.7,0,1.14966,-0.174722
1493208783367,102.87,202.18,51.34,66.84,-63.49,0.463679,-86.68,0,1.39202,0.242357
1493208783375,102.2,200.86,51.19,66.27,-63.79,0.309119,-86.66,0,1.4803,0.0882803
1493208783381,101.33,199.62,50.99,65.94,-63.92,0.309119,-86.64,0,1.51477,0.0344707
1493208783387,100.49,198.55,50.68,65.67,-64.15,-0.15456,-86.62,0,1.36032,-0.154444
1493208783395,99.86,197.51,50.54,65.26,-64.28,0.309119,-86.6,0,1.21594,-0.144381
1493208783403,99.03,196.43,50.55,64.82,-64.4,0,-86.58,0,1.3621,0.146155
1493208783409,98.18,195.4,50.15,64.52,-64.77,-0.463679,-86.56,0,1.33544,-0.0266585
1493208783416,97.45,194.4,50.02,64.51,-64.62,0.15456,-86.54,0,1.23811,-0.0973327
1493208783424,96.44,193.31,49.92,64.21,-64.82,0.15456,-86.52,0,1.486,0.247895
1493208783432,95.7,192.36,49.73,64.14,-64.91,0,-86.5,0,1.2042,-0.281803
1493208783440,95.09,191.27,49.46,64.02,-64.95,-0.309119,-86.48,0,1.24909,0.0448928
1493208783446,94.59,190.47,49.11,63.61,-64.9,0.309119,-86.46,0,0.943388,-0.305702
1493208783452,94.14,189.39,48.88,63.35,-64.99,0.309119,-86.44,0,1.17,0.226613
1493208783460,93.64,188.49,48.75,62.99,-64.99,0,-86.42,0,1.02957,-0.14043
1493208783468,93.37,187.83,48.41,62.76,-65.08,0.618238,-86.4,0,0.713083,-0.316488
1493208783476,93.13,187.3,48.15,62.23,-64.89,0,-86.38,0,0.581806,-0.131277
1493208783482,93.08,186.74,47.79,62.08,-64.48,0,-86.36,0,0.562241,-0.0195647
1493208783488,92.88,186.18,47.28,61.89,-64.67,-0.309119,-86.34,0,0.594639,0.0323986
1493208783496,92.97,185.73,46.62,61.51,-64.34,0.463679,-86.32,0,0.45891,-0.13573
1493208783504,92.94,185.37,45.87,61.32,-64.44,-0.309119,-86.3,0,0.361249,-0.0976606
1493208783512,92.94,185.07,45.2,61.12,-64.14,0.309119,-86.28,0,0.300003,-0.0612459
1493208783519,93.01,184.57,44.24,60.98,-63.84,0,-86.26,0,0.504876,0.204873
1493208783526,92.96,184.14,43.27,60.84,-63.64,0.309119,-86.24,0,0.432889,-0.0719868
1493208783532,93.21,183.9,42.37,60.77,-63.43,-0.15456,-86.22,0,0.346558,-0.0863311
1493208783539,93.5,183.67,41.59,60.69,-63.44,0.309119,-86.2,0,0.370133,0.0235749
1493208783545,93.86,183.53,40.69,60.78,-63.03,0.309119,-86.18,0,0.386265,0.0161313
1493208783555,94.26,183.42,40.11,60.57,-63.02,-0.15456,-86.16,0,0.414844,0.0285791
1493208783559,94.61,183.29,39.53,60.5,-63.15,0,-86.14,0,0.373371,-0.0414731
1493208783567,94.81,183.05,38.98,60.57,-63.21,0.15456,-86.12,0,0.312401,-0.06097
