Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1493130221789,96.08,199.69,41.97,52.29,-82.55,0.15456,314,0,1.03325,0.0130607
1493130221797,96.3,198.65,40.42,51.5,-82.17,0.927357,314.02,0,1.06302,0.0297773
1493130221805,96.72,197.87,39.47,50.89,-82.3,0.15456,314.04,0,0.885891,-0.177132
1493130221813,97.07,196.96,38.58,49.52,-81.88,0.618238,314.06,0,0.97499,0.089099
1493130221820,97.55,196.31,37.73,48.83,-81.8,0.463679,314.08,0,0.808015,-0.166975
1493130221825,97.92,195.53,36.68,47.78,-81.57,0.463679,314.1,0,0.863308,0.0552928
1493130221832,98.25,194.69,35.7,47.11,-81.48,0.772798,314.12,0,0.902494,0.0391861
1493130221838,98.69,194.03,34.65,46.76,-81.57,0.309119,314.14,0,0.793221,-0.109272
1493130221844,98.96,193.4,33.92,45.63,-81.61,0.309119,314.16,0,0.685426,-0.107796
1493130221850,99.42,192.44,32.31,45.36,-81.25,0.309119,314.18,0,1.06451,0.379085
1493130221857,99.83,191.62,31.27,45.04,-80.95,0.618238,314.2,0,0.916793,-0.147718
1493130221864,100.17,190.87,30.27,44.73,-80.47,0.463679,314.22,0,0.82347,-0.0933228
1493130221872,100.47,190.14,29.6,44.22,-80.4,0.618238,314.24,0,0.789237,-0.0342325
1493130221880,100.72,189.3,28.87,43.81,-80.74,0.309119,314.26,0,0.87641,0.0871723
1493130221887,101.07,188.32,27.93,43.63,-81.52,0.772798,314.28,0,1.04063,0.164225
1493130221896,101.39,187.49,27.37,43.23,-81.41,0.618238,314.3,0,0.889552,-0.151083
1493130221903,101.81,186.46,26.86,42.37,-81.29,0.463679,314.32,0,1.11234,0.222786
1493130221911,102.17,185.39,26.3,41.66,-81.33,0.463679,314.34,0,1.12893,0.0165921
1493130221918,102.51,184.57,25.8,41.38,-81.72,0.463679,314.36,0,0.887699,-0.241231
1493130221925,102.87,183.53,25.22,41.23,-80.99,0.927357,314.38,0,1.10054,0.21284
1493130221933,103.09,182.35,24.68,41.02,-81.11,0.618238,314.4,0,1.20034,0.0998023
1493130221940,103.51,181.48,24.15,40.63,-81.31,0.618238,314.42,0,0.966069,-0.234272
1493130221946,103.92,180.48,23.22,40.19,-81.49,0.463679,314.44,0,1.08079,0.114719
1493130221952,104.19,179.68,22.47,40,-82.1,0.463679,314.46,0,0.844336,-0.236452
1493130221958,104.44,178.78,21.92,39.5,-82.21,0.463679,314.48,0,0.934071,0.0897354
1493130221965,104.82,177.85,21.38,39.28,-82.37,0.309119,314.5,0,1.00465,0.0705772
1493130221972,105.04,176.98,20.77,39.03,-82.55,0.772798,314.52,0,0.897381,-0.107268
1493130221980,105.36,175.97,19.99,38.76,-82.83,0.772798,314.54,0,1.05948,0.162095
