Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1493206872293,1.62,250.59,53.2,81.17,-108.46,0.309119,258.04,0,0.996389,-0.062906
1493206872299,2.1,251.18,54.08,81.44,-108.32,0.463679,258.06,0,0.760589,-0.2358
1493206872305,2.3,251.51,55.19,81.39,-108.23,0.618238,258.08,0,0.385877,-0.374712
1493206872311,2.65,251.96,56.2,81.38,-108.2,0.772798,258.1,0,0.570085,0.184208
1493206872318,2.65,251.87,56.66,81.54,-108.3,0.618238,258.12,0,0.0899963,-0.480089
1493206872324,2.97,251.91,57.2,81.26,-108.14,0.15456,258.14,0,0.32249,0.232493
1493206872330,3.24,251.97,57.69,81.46,-108.14,0.618238,258.16,0,0.276589,-0.0459006
1493206872338,3.24,252.04,57.96,81.71,-108.19,-0.15456,258.18,0,0.0699921,-0.206597
1493206872346,3.6,251.72,58.49,81.83,-108.1,0.618238,258.2,0,0.481658,0.411666
1493206872354,3.89,251.49,59.02,81.63,-108.13,0.15456,258.22,0,0.370142,-0.111517
1493206872360,3.81,251.31,59.44,81.39,-108.35,0.772798,258.24,0,0.19697,-0.173171
1493206872366,4.13,250.91,59.75,81.31,-108.47,0.772798,258.26,0,0.512257,0.315287
1493206872374,4.15,250.9,60.14,81.32,-108.41,0.463679,258.28,0,0.0223582,-0.489899
1493206872382,4.28,250.82,60.83,81.43,-108.32,0.772798,258.3,0,0.152644,0.130286
1493206872390,4.62,250.54,61.22,81.58,-108.29,0.618238,258.32,0,0.440454,0.28781
1493206872397,4.87,249.92,61.45,81.62,-108.15,0.772798,258.34,0,0.668501,0.228048
1493206872404,5.31,249.22,61.89,81.45,-108.21,0.15456,258.36,0,0.826798,0.158297
1493206872410,5.85,248.7,62.43,81.44,-108.22,0.15456,258.38,0,0.74967,-0.0771289
1493206872418,6,248.08,62.67,81.25,-107.92,0.618238,258.4,0,0.637882,-0.111787
1493206872423,6.48,247.73,62.99,81.28,-107.81,0,258.42,0,0.594058,-0.0438249
1493206872430,6.63,247.52,63.46,81.08,-107.82,0.309119,258.44,0,0.258075,-0.335983
1493206872438,6.88,247.12,63.59,81.3,-107.64,0.772798,258.46,0,0.471694,0.213619
1493206872446,7.03,246.73,63.77,81.3,-107.44,0.15456,258.48,0,0.417851,-0.0538428
1493206872454,7.35,246.45,64.14,80.89,-107.37,0.463679,258.5,0,0.425205,0.00735405
1493206872460,8.19,245.52,64.5,80.75,-107.28,0.927357,258.52,0,1.2532,0.827996
1493206872466,8.5,244.96,64.45,80.6,-107.23,0.618238,258.54,0,0.640076,-0.613125
1493206872474,9.15,244.49,64.7,80.36,-106.94,0.15456,258.56,0,0.802123,0.162046
1493206872482,9.85,244.18,64.68,80.13,-106.86,0.309119,258.58,0,0.765571,-0.0365521
1493206872490,10.37,243.81,64.79,79.84,-106.79,0.618238,258.6,0,0.638198,-0.127372
1493206872496,10.92,243.07,64.51,79.86,-106.54,0.463679,258.62,0,0.922013,0.283815
1493206872502,11.41,242.78,64.51,79.85,-106.39,0.309119,258.64,0,0.569382,-0.352631
1493206872510,12,242.75,64.14,79.65,-106.36,0.15456,258.66,0,0.590762,0.0213803
1493206872518,12.75,242.15,63.91,79.6,-106.04,0.463679,258.68,0,0.960472,0.36971
1493206872524,13.53,241.97,63.66,79.39,-105.94,0.15456,258.7,0,0.800498,-0.159974
1493206872531,14.18,241.58,63.45,79.41,-106.08,0.772798,258.72,0,0.758023,-0.0424749
1493206872538,14.85,241.57,63.44,79.54,-105.94,0.618238,258.74,0,0.670075,-0.0879483
1493206872546,15.42,241.43,63.39,79.71,-105.86,0.463679,258.76,0,0.586942,-0.0831331
1493206872554,16.31,241.35,63.44,80.01,-105.64,0.772798,258.78,0,0.893588,0.306646
1493206872559,17.11,241.17,63.99,80.02,-105.57,0.15456,258.8,0,0.819998,-0.0735902
1493206872566,18.18,240.77,64.75,80.32,-105.41,0.463679,258.82,0,1.14233,0.322329
1493206873730,115.83,225.08,50.16,75.05,-69.29,0.15456,259.04,0,98.9025,97.7601
1493206873738,115.48,225.08,49.83,74.66,-69.63,0.463679,259.04,0,0.349998,-98.5525
1493206873746,115.27,225.11,49.47,74.5,-70.07,0.15456,259.06,0,0.212131,-0.137868
1493206873754,115.01,225.14,49.17,74.43,-70.3,0,259.08,0,0.261727,0.0495961
1493206873760,114.66,225.15,48.85,74.52,-70.85,0,259.1,0,0.350141,0.0884141
1493206873766,114.17,225.11,48.58,74.45,-71.24,0.618238,259.12,0,0.491627,0.141486
1493206873774,113.72,224.91,48.32,74.23,-71.41,0.772798,259.14,0,0.492445,0.000817776
1493206873782,113.55,224.68,47.92,73.52,-71.74,0,259.16,0,0.286007,-0.206438
1493206873790,113.23,224.58,47.6,72.85,-71.97,0.618238,259.18,0,0.335258,0.049251
1493206873797,112.77,224.39,47.49,72.43,-72.52,-0.15456,259.2,0,0.497695,0.162437
1493206873804,112.49,224.37,47.25,72.49,-72.51,0.618238,259.22,0,0.280712,-0.216982
1493206873811,112.19,224.26,46.84,72.29,-73.5,0.309119,259.24,0,0.319534,0.0388215
1493206873818,111.84,224.06,46.28,71.7,-74.32,0.309119,259.26,0,0.40311,0.0835761
1493206873826,111.64,223.84,45.06,70.85,-74.9,0.618238,259.28,0,0.29732,-0.10579
1493206873833,111.44,223.55,43.85,69.93,-75.16,0.772798,259.3,0,0.352288,0.0549677
1493206873839,111.16,223.44,42.68,69.11,-75.85,0.463679,259.32,0,0.300826,-0.0514622
1493206873846,110.81,223.66,41.01,68.53,-76.36,0.618238,259.34,0,0.413392,0.112566
1493206873854,110.71,223.72,39.46,67.8,-76.88,0,259.36,0,0.116624,-0.296767
1493206873860,110.25,223.73,38.07,66.95,-77.51,0.309119,259.38,0,0.460108,0.343483
1493206873866,109.92,223.77,36.5,66.46,-78.21,0.309119,259.4,0,0.332416,-0.127691
1493206873874,109.61,223.84,34.92,66.05,-78.56,0.15456,259.42,0,0.317804,-0.0146122
1493206873882,109.29,223.91,33.69,65.78,-78.68,0.618238,259.44,0,0.327565,0.00976062
1493206873890,108.85,224.02,32.73,65.88,-77.92,0.772798,259.46,0,0.453544,0.125979
1493206873896,108.41,224.09,31.94,65.9,-77.14,0.309119,259.48,0,0.445537,-0.0080072
1493206873902,107.91,224.12,31.38,66.08,-76.41,0.618238,259.5,0,0.500899,0.0553622
1493206873910,107.47,224.08,31.18,66.07,-76.05,0.463679,259.52,0,0.441809,-0.0590905
1493206873918,107.29,223.94,30.66,66.01,-75.72,0.309119,259.54,0,0.228035,-0.213774
1493206873926,107.51,223.87,30.08,65.85,-76.11,0.463679,259.56,0,0.230864,0.00282909
1493206873932,107.84,223.87,29.77,66.05,-76.98,0.15456,259.58,0,0.330002,0.0991378
1493206873939,108.2,223.82,29.44,65.29,-77.81,0.618238,259.6,0,0.363457,0.0334548
1493206873946,108.48,223.75,29.2,64.21,-78.69,0.309119,259.62,0,0.288614,-0.0748424
1493206873954,108.45,223.81,28.91,64.12,-78.71,0.927357,259.64,0,0.0670793,-0.221535
1493206873960,108.22,223.93,28.66,63.82,-78.71,0.309119,259.66,0,0.259416,0.192337
1493206873966,107.39,224.03,28.3,62.66,-78.39,0.772798,259.68,0,0.836005,0.576589
1493206873974,106.18,224.14,28.15,61.96,-78.55,0.618238,259.7,0,1.21499,0.378984
1493206873982,104.73,224.14,27.39,61.04,-78.2,0.463679,259.72,0,1.45,0.235016
1493206873990,103.75,224.34,26.41,60.13,-78.3,0.618238,259.74,0,1.0002,-0.449809
1493206873996,102.96,224.6,24.94,59.41,-78.25,0.463679,259.76,0,0.831684,-0.168511
1493206874002,102.72,224.65,24.02,58.75,-78.21,0,259.78,0,0.245152,-0.586533
1493206874010,102.48,224.6,22.68,57.64,-78.36,0.309119,259.8,0,0.245159,7.46548e-006
1493206874018,102.28,224.63,21.57,57.11,-79.15,0.463679,259.82,0,0.202234,-0.0429247
1493206874026,102.19,224.66,20.38,56.45,-79.6,0.309119,259.84,0,0.0948717,-0.107363
1493206874032,101.97,224.67,19.2,56.11,-79.67,0.772798,259.86,0,0.220221,0.125349
1493206874038,101.7,224.65,18.25,55.78,-80.02,-0.309119,259.88,0,0.270744,0.0505231
1493206874046,101.35,224.67,17.39,55.4,-80.31,0,259.9,0,0.35057,0.0798254
1493206874054,100.78,224.68,16.42,55.07,-80.26,0.309119,259.92,0,0.570087,0.219518
1493206874060,100.05,224.67,15.74,54.78,-80.28,0.463679,259.94,0,0.730072,0.159984
1493206874067,99.42,224.67,15.14,54.49,-80.16,0.15456,259.96,0,0.629997,-0.100075
1493206874074,98.74,224.75,14.51,54.31,-79.94,0.309119,259.98,0,0.68469,0.054693
1493206874082,98.3,224.85,14.08,54.16,-79.8,-0.309119,260,0,0.451221,-0.233469
1493206874090,97.95,224.96,13.7,54.01,-79.61,0.618238,260.02,0,0.366877,-0.0843435
