Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1493207183627,91.73,203.29,30.05,51.69,-85.51,0,-14.92,0,0.147652,0.116033
1493207183636,91.9,203.57,28.77,51.1,-85.55,0.309119,-14.9,0,0.327569,0.179916
1493207183645,92.08,203.86,27.73,50.73,-85.48,0.309119,-14.88,0,0.341324,0.0137556
1493207183654,92.27,204.17,26.71,50.49,-85.36,0.618238,-14.86,0,0.363592,0.022268
1493207183660,92.56,204.46,25.49,50.34,-85.21,-0.309119,-14.84,0,0.410118,0.0465255
1493207183667,92.89,204.99,24.49,50.46,-85,0.15456,-14.82,0,0.62434,0.214222
1493207183673,92.98,205.21,23.95,50.24,-84.99,0,-14.8,0,0.237697,-0.386643
1493207183679,93.14,205.36,23.58,50.35,-84.7,0,-14.78,0,0.219326,-0.018371
1493207183685,93.3,205.48,23.43,50.24,-84.14,0.15456,-14.76,0,0.199994,-0.0193322
1493207183692,93.51,205.6,23.29,50.16,-84,0.309119,-14.74,0,0.241865,0.0418706
1493207183698,93.72,205.68,23.2,50.15,-83.3,0.309119,-14.72,0,0.224729,-0.0171355
1493207183706,94,205.76,23.18,50.19,-82.55,0.15456,-14.7,0,0.291204,0.0664748
1493207183712,94.38,205.89,23.07,50.17,-81.93,0.15456,-14.68,0,0.401621,0.110417
1493207183718,94.85,206.06,23.01,50.13,-81.8,0.463679,-14.66,0,0.4998,0.0981798
1493207183726,95.44,206.31,22.82,50.45,-81.59,-0.309119,-14.64,0,0.640777,0.140977
1493207183734,96.08,206.57,22.65,50.5,-81.76,0.309119,-14.62,0,0.690794,0.0500166
1493207183741,97.32,207.26,22.24,50.49,-81.41,0,-14.6,0,1.41905,0.728261
1493207183747,98.35,207.79,21.96,50.58,-80.86,0.15456,-14.58,0,1.15836,-0.260696
1493207183754,99.53,208.59,21.73,50.5,-80.59,0.463679,-14.56,0,1.42562,0.267265
1493207183762,100.55,209.41,21.39,50.63,-80.46,0.463679,-14.54,0,1.30873,-0.116892
1493207183770,101.6,210.38,21.18,49.95,-80.57,-0.15456,-14.52,0,1.42948,0.120746
1493207183777,102.51,211.51,20.71,51.13,-81.08,0.309119,-14.5,0,1.45086,0.0213846
1493207183784,103.33,212.66,20.32,51.3,-80.22,0.463679,-14.48,0,1.4124,-0.0384589
1493207183791,104.12,213.93,20,51.78,-80.41,0,-14.46,0,1.49566,0.0832603
1493207183798,104.71,215.08,19.75,52.01,-80.39,-0.15456,-14.44,0,1.29253,-0.203138
1493207183806,105.19,216.26,19.75,52.17,-80.82,0.309119,-14.42,0,1.27388,-0.0186436
1493207183812,105.48,217.86,19.72,52.17,-81.11,0.463679,-14.4,0,1.62608,0.352192
1493207183818,105.71,219.2,20.65,51.68,-81.86,0.618238,-14.38,0,1.35959,-0.266483
1493207183826,106.16,220.57,21.21,51.4,-82.2,0,-14.36,0,1.44201,0.0824144
1493207183834,106.29,221.78,21.68,50.96,-82.47,0.463679,-14.34,0,1.21697,-0.225036
1493207183841,106.4,222.89,21.89,50.57,-82.77,0.15456,-14.32,0,1.11544,-0.101534
1493207183847,106.36,224,21.82,50.24,-83.38,0.618238,-14.3,0,1.11072,-0.00471616
1493207183854,106.2,225.06,21.65,49.64,-83.85,0.463679,-14.28,0,1.07201,-0.0387152
1493207183862,105.94,226.06,21.17,49.38,-84.54,0,-14.26,0,1.03325,-0.0387578
1493207183870,105.79,226.92,20.65,48.89,-84.69,0.309119,-14.24,0,0.872983,-0.160265
1493207183876,105.5,227.65,19.98,48.31,-84.93,0.463679,-14.22,0,0.78549,-0.0874931
1493207183882,105.21,228.25,19.39,48.28,-84.94,0.309119,-14.2,0,0.666414,-0.119076
1493207183890,104.65,228.85,18.55,48.09,-85.01,-0.15456,-14.18,0,0.820728,0.154314
1493207183898,104.27,229.17,17.94,48.11,-85.34,0.309119,-14.16,0,0.496792,-0.323936
1493207183906,103.82,229.19,17.61,47.92,-85.53,0.463679,-14.14,0,0.450441,-0.046351
1493207183913,103.5,229.12,17.2,47.34,-85.33,0,-14.12,0,0.327568,-0.122873
1493207183919,103.18,228.93,16.71,47.19,-86.69,0.309119,-14.1,0,0.372157,0.0445888
1493207183926,102.96,228.67,16.55,47.32,-85.75,0,-14.08,0,0.340584,-0.0315726
1493207183934,102.67,228.31,16.34,46.59,-85.76,0,-14.06,0,0.462278,0.121694
1493207183940,102.3,227.89,16.05,46.22,-85.45,0.309119,-14.04,0,0.559732,0.0974545
1493207183946,102.01,227.47,15.64,46.02,-85.08,0.463679,-14.02,0,0.510391,-0.0493414
1493207183958,101.79,227.16,15.07,45.94,-84.64,-0.15456,-14,0,0.380138,-0.130253
1493207183964,101.37,226.73,14.5,45.91,-84.47,0.463679,-13.98,0,0.601081,0.220943
1493207183970,101.59,226.23,13.67,45.79,-84.12,0.772798,-13.96,0,0.54626,-0.0548207
1493207183976,101.69,226.04,12.86,46.02,-83.82,-0.309119,-13.94,0,0.214711,-0.33155
1493207183982,102.02,225.93,12.28,46.22,-83.21,0.15456,-13.92,0,0.347852,0.133142
1493207183990,102.45,225.87,11.85,46.37,-82.48,0.618238,-13.9,0,0.434166,0.0863134
1493207183998,102.95,225.84,11.58,46.74,-82.04,-0.15456,-13.88,0,0.500899,0.0667333
1493207184006,103.35,225.84,11.37,46.79,-82.34,0.463679,-13.86,0,0.400002,-0.100898
1493207184012,103.77,225.83,11.17,47.41,-82.22,0.463679,-13.84,0,0.420117,0.0201156
1493207184018,104.14,225.82,11.33,47.97,-81.9,0.463679,-13.82,0,0.370138,-0.049979
1493207184026,104.58,225.78,11.55,48.33,-81.86,-0.15456,-13.8,0,0.441809,0.0716706
1493207184034,105,225.77,11.9,48.47,-81.61,0.618238,-13.78,0,0.420125,-0.0216836
1493207184041,105.29,225.77,12.32,48.82,-81.39,0.15456,-13.76,0,0.290001,-0.130124
1493207184047,105.42,225.85,12.78,48.95,-81.44,0.463679,-13.74,0,0.152642,-0.137359
1493207184054,105.6,225.96,13.32,49.33,-81.56,0.463679,-13.72,0,0.210951,0.0583088
1493207184062,105.77,226.13,13.75,49.39,-81.24,-0.15456,-13.7,0,0.240414,0.0294629
1493207184070,105.8,226.32,14.06,49.24,-81.21,0,-13.68,0,0.192356,-0.0480576
1493207184076,105.85,226.58,14.29,49.29,-81.34,0.15456,-13.66,0,0.264774,0.0724181
1493207184082,105.78,226.82,14.62,49.42,-81.46,0.309119,-13.64,0,0.249991,-0.0147837
1493207184090,105.62,227.07,14.79,49.5,-81.3,0.309119,-13.62,0,0.296818,0.0468279
1493207184098,105.36,227.32,15.02,49.29,-81.24,0.15456,-13.6,0,0.36069,0.0638714
1493207184106,105.12,227.62,15.01,49.24,-80.84,0.309119,-13.58,0,0.384193,0.0235035
1493207184112,104.78,227.87,14.96,49.19,-81.03,0.309119,-13.56,0,0.422016,0.0378228
1493207184118,104.36,228.07,14.91,48.96,-80.82,0.618238,-13.54,0,0.465185,0.0431691
1493207184126,103.82,228.41,14.74,48.69,-81.12,0,-13.52,0,0.638121,0.172936
1493207184134,103.45,228.6,14.63,48.18,-81.77,0.309119,-13.5,0,0.415936,-0.222185
1493207184140,103.09,228.8,14.35,47.94,-81.91,0.309119,-13.48,0,0.411824,-0.00411198
1493207184146,102.77,228.88,14.13,47.29,-81.89,0.15456,-13.46,0,0.329849,-0.0819757
1493207184154,102.24,228.92,13.71,47.21,-81.31,0.927357,-13.44,0,0.531507,0.201658
1493207184162,101.71,228.88,13.24,47.1,-81.24,0.618238,-13.42,0,0.531507,0
1493207184170,101.06,228.78,12.77,46.31,-81.55,0,-13.4,0,0.657647,0.126141
1493207184177,100.15,228.69,12.13,45.96,-81.7,0.463679,-13.38,0,0.914435,0.256788
1493207184183,99.51,228.49,11.62,45.59,-81.74,0,-13.36,0,0.670533,-0.243903
1493207184190,98.87,228.39,10.94,45.47,-81.33,0.309119,-13.34,0,0.647763,-0.0227692
1493207184198,98.3,228.1,10.09,45.39,-81.57,0.15456,-13.32,0,0.639535,-0.00822872
1493207184206,98,227.93,9.66,45.07,-81.04,0.463679,-13.3,0,0.344814,-0.294721
1493207184212,97.57,227.88,8.95,45.01,-80.86,0.309119,-13.28,0,0.432898,0.088084
1493207184218,97.29,227.78,8.46,44.93,-80.7,0.309119,-13.26,0,0.297317,-0.135581
1493207184226,97.1,227.66,7.99,44.85,-80.4,0.463679,-13.24,0,0.22473,-0.0725875
1493207184234,97.16,227.53,7.64,45.01,-80.31,0.463679,-13.22,0,0.143168,-0.0815619
1493207184240,97.1,227.34,7.37,45.01,-80.05,0,-13.2,0,0.19925,0.0560824
1493207184246,97.29,227.27,7.06,45.14,-80,0.15456,-13.18,0,0.202489,0.00323921
1493207184254,97.49,227.13,6.85,45.11,-79.91,0.927357,-13.16,0,0.244128,0.0416389
1493207184262,97.73,227,6.68,45.3,-79.89,0.463679,-13.14,0,0.27294,0.0288118
1493207184270,98.04,226.9,6.54,45.45,-79.58,0.309119,-13.12,0,0.325737,0.0527967
1493207184276,98.5,226.82,6.36,45.47,-79.47,0.15456,-13.1,0,0.466904,0.141167
1493207184283,98.85,226.87,6.32,45.55,-79.11,0.772798,-13.08,0,0.353552,-0.113352
1493207184290,99.13,226.94,6.43,45.48,-78.86,0.309119,-13.06,0,0.288618,-0.0649343
1493207184298,99.43,227.07,6.39,45.4,-78.7,0.309119,-13.04,0,0.326954,0.0383363
1493207184306,99.75,227.16,6.48,45.41,-78.59,0.463679,-13.02,0,0.332414,0.00545982
1493207184312,100.14,227.32,6.65,45.38,-78.46,0.15456,-13,0,0.421546,0.0891315
1493207184318,100.41,227.47,6.68,45.35,-78.32,0.15456,-12.98,0,0.30887,-0.112675
1493207184326,100.76,227.59,6.69,45.12,-78.3,0.15456,-12.96,0,0.369997,0.0611266
1493207184334,101.04,227.74,6.63,44.95,-78.51,0.463679,-12.94,0,0.31765,-0.0523466
1493207184340,101.3,227.87,6.52,44.79,-78.44,-0.15456,-12.92,0,0.290686,-0.0269643
1493207184346,101.53,227.96,6.44,44.75,-78.61,0,-12.9,0,0.246984,-0.0437025
1493207184354,101.67,228.05,6.21,44.59,-78.71,0.772798,-12.88,0,0.166431,-0.0805529
1493207184374,101.57,228.02,6.02,44.57,-78.66,0,-12.84,0,0.104401,-0.0620294
1493207184382,101.27,227.94,5.76,44.53,-78.63,0.15456,-12.8,0,0.310483,0.206082
1493207184398,101.05,227.85,5.67,44.54,-78.89,0.309119,-12.77,0,0.237703,-0.0727802
1493207184410,100.95,227.85,5.54,44.99,-78.91,0.463679,-12.73,0,0.0999985,-0.137704
1493207184434,100.84,227.86,5.61,45.34,-79.05,0.772798,-12.68,0,0.110455,0.0104566
1493207184441,100.76,227.93,5.81,45.25,-79.21,0.309119,-12.64,0,0.106298,-0.00415749
1493207184454,100.81,227.9,6.07,45.27,-78.75,0.772798,-12.61,0,0.0583115,-0.0479861
1493207184462,100.82,227.89,6.31,45.25,-78.69,0.463679,-12.58,0,0.0141398,-0.0441717
1493207184474,100.96,227.9,6.5,45.25,-78.61,0.309119,-12.55,0,0.140356,0.126216
1493207184482,101.2,227.95,6.54,45.09,-78.67,0.463679,-12.52,0,0.245152,0.104796
1493207184490,101.52,228.02,6.58,44.91,-78.5,0.927357,-12.5,0,0.327565,0.0824133
1493207184498,101.7,228.1,6.53,44.88,-78.56,0,-12.48,0,0.196978,-0.130587
1493207184510,101.98,228.16,6.4,44.83,-77.99,0.463679,-12.45,0,0.286355,0.0893765
1493207184518,102.24,228.2,6.22,44.83,-77.82,0.463679,-12.42,0,0.263062,-0.0232924
1493207184526,102.33,228.23,6.04,44.74,-77.54,0.618238,-12.4,0,0.0948645,-0.168198
1493207184534,102.47,228.26,5.86,44.42,-77.42,0.618238,-12.38,0,0.143185,0.0483204
1493207184546,102.61,228.23,5.73,44.16,-77.18,0.463679,-12.35,0,0.143177,-7.46548e-006
1493207184554,102.84,228.21,5.56,44.16,-77.13,0,-12.32,0,0.230864,0.0876867
1493207184570,103.12,228.21,5.42,43.79,-77.18,-0.15456,-12.29,0,0.279999,0.0491347
1493207184576,103.39,228.32,5.07,43.63,-77.66,0.463679,-12.26,0,0.291552,0.011553
1493207184590,103.61,228.42,4.74,43.26,-78.1,0.15456,-12.23,0,0.241665,-0.0498872
1493207184598,103.79,228.5,4.41,43.4,-78.22,0.15456,-12.2,0,0.196978,-0.0446864
