Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1492958073290,97.24,206.13,26.29,51.37,-72.95,0.15456,-286.62,0,0.2502,0.160204
1492958073304,97.44,206.09,26.16,50.67,-73.08,0,-286.59,0,0.203956,-0.0462438
1492958073312,97.55,205.98,25.85,50.54,-73.17,0.463679,-286.56,0,0.155564,-0.0483921
1492958073319,97.61,205.95,25.43,50.45,-73.16,0,-286.54,0,0.0670861,-0.0884782
1492958073326,97.64,205.95,25.21,50.38,-73.28,-0.15456,-286.52,0,0.0299988,-0.0370874
1492958073333,97.64,205.81,25.04,50.18,-73.47,0.15456,-286.5,0,0.139999,0.110001
1492958073340,97.58,205.64,24.44,50.22,-73.73,0.15456,-286.48,0,0.180278,0.0402782
1492958073348,97.54,205.52,24.08,50.2,-73.71,0,-286.46,0,0.126499,-0.0537787
1492958073355,97.49,205.38,23.83,50.28,-73.36,-0.15456,-286.44,0,0.148661,0.0221623
1492958073362,97.56,205.32,23.55,50.09,-73.27,0,-286.42,0,0.0921936,-0.0564675
1492958073369,97.58,205.18,23.26,49.99,-73.16,0.309119,-286.4,0,0.14142,0.0492266
1492958073376,97.62,205.04,23.03,49.69,-73.27,0.15456,-286.38,0,0.145602,0.00418159
1492958073384,97.59,204.92,22.87,49.62,-73,0.463679,-286.36,0,0.123688,-0.0219137
1492958073391,97.83,204.82,22.77,49.58,-72.82,0.309119,-286.34,0,0.26,0.136312
1492958073404,98.07,204.68,22.68,49.51,-72.72,0.15456,-286.31,0,0.277853,0.0178529
1492958073412,98.29,204.6,22.53,49.46,-72.23,0.15456,-286.28,0,0.234096,-0.0437575
1492958073418,98.48,204.58,22.27,49.1,-72.05,0.618238,-286.26,0,0.191043,-0.0430523
1492958073425,98.72,204.6,22.14,49.16,-71.46,-0.15456,-286.24,0,0.240836,0.049793
1492958073432,98.86,204.59,21.96,49.12,-70.74,-0.463679,-286.22,0,0.140356,-0.100481
1492958073440,99.04,204.69,21.86,49.2,-69.61,0.309119,-286.2,0,0.205916,0.0655601
1492958073452,99.24,204.8,21.67,49.39,-67.93,0.309119,-286.17,0,0.228245,0.0223287
1492958073460,99.52,204.91,21.17,49.6,-67.95,-0.15456,-286.14,0,0.300831,0.0725867
1492958073468,99.92,205.01,20.96,50.03,-68.15,0.463679,-286.12,0,0.412314,0.111482
1492958073476,100.41,205.09,20.81,50.07,-68.15,0.15456,-286.1,0,0.496486,0.0841723
1492958073484,100.94,205.18,20.72,50.06,-68.18,0.463679,-286.08,0,0.537585,0.0410995
1492958073490,101.42,205.3,20.66,50.18,-68.04,-0.309119,-286.06,0,0.494775,-0.0428106
1492958073496,101.87,205.52,20.65,50.43,-67.94,0.618238,-286.04,0,0.500897,0.00612223
1492958073516,101.9,205.62,20.76,51.34,-66.95,0.309119,-286,0,0.104411,-0.396486
1492958073532,102.22,205.62,20.81,51.71,-66.42,-0.15456,-285.95,0,0.32,0.215589
1492958073540,102.58,205.58,20.93,52,-65.59,0.309119,-285.92,0,0.362208,0.042208
1492958073548,102.82,205.48,21.1,52.23,-64.75,-0.15456,-285.9,0,0.260007,-0.1022
1492958073556,103.1,205.42,21.38,52.44,-64.04,0.309119,-285.88,0,0.286355,0.0263473
1492958073564,103.4,205.27,21.43,52.62,-63.51,-0.15456,-285.86,0,0.33541,0.0490555
1492958073572,103.65,205.27,21.56,52.81,-63.01,0.15456,-285.84,0,0.25,-0.0854102
1492958073579,103.96,205.24,21.67,52.7,-62.66,0.15456,-285.82,0,0.311453,0.0614533
1492958073586,104.42,205.27,21.79,52.86,-62.47,0.618238,-285.8,0,0.460976,0.149523
1492958073593,104.85,205.35,21.94,52.88,-62.5,0,-285.78,0,0.437379,-0.023597
1492958073600,105.25,205.38,21.96,52.91,-62.8,0.309119,-285.76,0,0.401125,-0.0362543
1492958073607,105.67,205.45,22.09,52.9,-62.76,0.309119,-285.74,0,0.425793,0.0246679
1492958073614,106.01,205.54,22.16,52.89,-63.09,0.463679,-285.72,0,0.351706,-0.0740871
1492958073621,106.2,205.57,22.02,52.88,-63.21,0.618238,-285.7,0,0.192356,-0.15935
1492958073632,106.28,205.69,22.1,52.34,-63.68,0.309119,-285.67,0,0.144232,-0.0481244
1492958073640,106.07,205.6,21.95,52.28,-64.02,0,-285.64,0,0.228477,0.0842452
1492958073648,105.84,205.57,21.88,51.99,-64.55,0.463679,-285.62,0,0.231951,0.0034745
1492958073655,105.47,205.49,21.81,51.92,-64.66,-0.772798,-285.6,0,0.378545,0.146594
1492958073662,105,205.43,21.8,51.45,-65.19,-0.15456,-285.58,0,0.473815,0.0952697
1492958073669,104.6,205.38,21.56,51.2,-65.52,0.15456,-285.56,0,0.403115,-0.0707004
1492958073676,104.13,205.25,21.33,50.86,-66.14,0.309119,-285.54,0,0.487646,0.084531
1492958073684,103.64,205.16,21.11,50.34,-66.83,0,-285.52,0,0.498197,0.0105509
1492958073691,103.13,205.12,20.79,49.66,-67.45,-0.15456,-285.5,0,0.511568,0.0133711
1492958073698,102.68,205.08,20.52,49.34,-68.15,0,-285.48,0,0.451771,-0.0597972
1492958073705,102.18,205.11,20.13,48.79,-68.92,0,-285.46,0,0.500899,0.0491285
1492958073712,101.76,205.08,19.81,48.23,-69.51,-0.309119,-285.44,0,0.421076,-0.0798234
1492958073718,101.18,205.14,19.52,47.78,-70.09,0.15456,-285.42,0,0.583089,0.162013
1492958073724,100.38,205.16,18.97,47.3,-70.49,-0.309119,-285.4,0,0.800253,0.217164
1492958073732,99.73,205.3,18.51,47.22,-70.99,0.15456,-285.38,0,0.664907,-0.135345
1492958073740,99.07,205.44,18.26,47,-71.34,-0.15456,-285.36,0,0.674684,0.00977689
1492958073748,98.39,205.66,17.94,46.9,-71.37,0.772798,-285.34,0,0.714699,0.0400144
1492958073754,97.83,205.85,17.57,46.96,-71.66,0.309119,-285.32,0,0.59136,-0.123339
1492958073760,97.25,206.19,17.17,47.09,-71.72,0,-285.3,0,0.67231,0.0809502
1492958073768,96.77,206.32,16.87,47.2,-72.03,0.15456,-285.28,0,0.497293,-0.175017
1492958073776,96.42,206.33,16.9,47.29,-71.91,0.463679,-285.26,0,0.350142,-0.147152
1492958073784,96.15,206.33,16.78,47.19,-71.99,0.309119,-285.24,0,0.269997,-0.0801449
1492958073790,95.9,206.35,16.77,47.08,-72.13,0.309119,-285.22,0,0.250798,-0.0191988
1492958073796,95.69,206.3,16.79,47.22,-72.16,0,-285.2,0,0.215878,-0.0349203
1492958073804,95.4,206.15,16.85,47.18,-72.27,-0.15456,-285.18,0,0.326488,0.11061
1492958073812,95.07,206.02,16.96,47.37,-71.8,0.309119,-285.16,0,0.354686,0.0281987
1492958073819,94.84,205.82,17.01,47.45,-71.51,0.309119,-285.14,0,0.304796,-0.0498909
1492958073826,94.62,205.69,16.88,47.52,-71.43,0.309119,-285.12,0,0.255534,-0.0492611
1492958073833,94.44,205.62,16.79,47.53,-71.31,-0.309119,-285.1,0,0.193135,-0.0623994
1492958073840,94.25,205.46,16.81,47.48,-71.08,0.309119,-285.08,0,0.248393,0.0552582
1492958073848,94.07,205.32,16.76,47.64,-71.12,0,-285.06,0,0.228035,-0.0203583
