Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1492958372824,82.29,203.11,33.25,54.28,-66.36,-0.309119,227.13,0,0.186807,0.186807
1492958372836,82.14,202.99,33.29,54.7,-66.21,-0.618238,227.17,0,0.192101,0.00529426
1492958372844,81.96,202.81,33.09,54.82,-66.46,-0.618238,227.2,0,0.254553,0.0624521
1492958372860,82.03,202.66,33.29,55.18,-66.73,-0.463679,227.23,0,0.165538,-0.0890159
1492958372867,82,202.44,33.72,55.03,-66.64,-0.772798,227.26,0,0.222022,0.0564843
1492958372874,81.92,202.39,33.9,55.2,-66.51,-0.618238,227.28,0,0.094343,-0.127679
1492958372881,81.9,202.38,34.11,55.43,-66.51,-0.463679,227.3,0,0.022362,-0.0719809
1492958372896,81.78,202.23,34.24,55.78,-66.2,-0.772798,227.33,0,0.192091,0.169729
1492958372903,81.64,202.08,34.54,55.63,-65.96,-0.618238,227.36,0,0.205178,0.0130873
1492958372916,81.65,202.07,34.79,55.84,-65.93,-0.463679,227.39,0,0.0141506,-0.191027
1492958372924,81.58,201.99,35.43,55.9,-65.7,-0.309119,227.42,0,0.106303,0.0921521
1492958372932,81.5,202.01,35.66,55.82,-65.36,-0.309119,227.44,0,0.0824649,-0.0238377
1492958372939,81.57,201.96,36.1,55.91,-65.43,-0.772798,227.46,0,0.0860248,0.00355985
1492958372952,81.54,201.89,36.23,56.4,-65.52,-0.927357,227.49,0,0.07615,-0.00987482
1492958372965,81.45,201.82,36.41,56.19,-65.21,-0.463679,227.53,0,0.114025,0.0378752
1492958372981,81.37,201.91,36.62,56.19,-65.12,-0.618238,227.57,0,0.120414,0.00638925
1492958372989,81.44,202.01,37.06,56.18,-64.73,-0.309119,227.6,0,0.12207,0.00165596
1492958373001,81.29,202.07,37.19,56.22,-64.27,-0.15456,227.63,0,0.161548,0.039478
1492958373009,81.3,202.28,37.23,56.4,-64.4,-0.309119,227.66,0,0.210244,0.048696
1492958373033,81.37,202.46,37.26,56.05,-64.37,-0.463679,227.7,0,0.193125,-0.0171193
1492958373040,81.46,202.83,37.32,55.86,-64.64,-0.463679,227.74,0,0.3808,0.187675
1492958373046,81.58,203.02,37.23,55.72,-64.3,-0.309119,227.76,0,0.224713,-0.156087
1492958373061,81.5,203.27,37.23,55.76,-64.09,-0.15456,227.79,0,0.262489,0.037776
1492958373068,81.35,203.48,37.12,55.7,-64.37,0,227.82,0,0.258076,-0.00441256
1492958373076,81.45,203.53,36.94,55.71,-64.23,0.15456,227.84,0,0.111803,-0.146273
1492958373082,81.33,203.59,36.77,55.39,-63.97,-0.309119,227.86,0,0.134159,0.0223552
1492958373089,81.44,203.87,36.78,55.37,-64.1,-0.618238,227.88,0,0.300828,0.16667
1492958373097,81.41,204.09,36.82,55.56,-64.24,-0.618238,227.9,0,0.222037,-0.0787914
1492958373103,81.6,204.35,36.68,55.32,-64.08,-0.463679,227.92,0,0.322022,0.0999848
1492958373110,81.64,204.51,36.41,55.05,-64,-0.309119,227.94,0,0.164928,-0.157094
1492958373117,81.68,204.76,36.31,54.67,-64.1,0,227.96,0,0.25318,0.0882519
1492958373125,81.85,204.91,36.06,54.59,-63.89,0.15456,227.98,0,0.22671,-0.0264696
1492958373133,81.88,205.19,35.98,54.39,-63.64,-0.463679,228,0,0.281616,0.0549061
1492958373140,82.02,205.31,35.84,54.58,-63.42,-0.772798,228.02,0,0.184387,-0.0972291
1492958373147,82.11,205.49,35.6,54.66,-63.19,-0.463679,228.04,0,0.201241,0.0168541
1492958373154,82.23,205.68,35.25,54.33,-63.28,0.15456,228.06,0,0.224722,0.0234802
1492958373161,82.43,205.88,34.98,54.37,-63.14,-0.309119,228.08,0,0.282844,0.0581223
1492958373166,82.42,206.28,34.79,54.24,-63.44,-0.15456,228.1,0,0.400134,0.11729
1492958373173,82.56,206.5,34.49,54.27,-63.16,-0.618238,228.12,0,0.260769,-0.139365
1492958373181,82.78,206.81,34.53,54.21,-63.26,-0.15456,228.14,0,0.38013,0.119361
1492958373189,82.9,207.13,34.56,54.02,-62.83,0.309119,228.16,0,0.341754,-0.0383766
1492958373197,82.98,207.5,34.32,53.67,-62.61,-0.618238,228.18,0,0.378559,0.0368051
1492958373204,83.2,207.87,34.24,53.63,-62.52,-0.15456,228.2,0,0.430461,0.0519025
1492958373210,83.26,208.26,34.27,53.3,-62.66,-0.463679,228.22,0,0.394587,-0.0358739
1492958373217,83.41,208.45,34.33,53.15,-62.56,0.309119,228.24,0,0.242077,-0.15251
1492958373225,83.45,208.9,34.13,52.98,-62.37,-0.15456,228.26,0,0.451771,0.209694
1492958373233,83.5,209.24,34.07,52.88,-62.72,-0.463679,228.28,0,0.343654,-0.108118
1492958373239,83.52,209.66,33.93,52.63,-62.77,-0.15456,228.3,0,0.420474,0.0768203
1492958373245,83.54,209.9,33.78,52.59,-62.53,0,228.32,0,0.240838,-0.179636
1492958373253,83.47,210.12,33.59,52.52,-62.61,-0.772798,228.34,0,0.230869,-0.00996873
1492958373261,83.5,210.47,33.25,52.63,-62.55,-0.309119,228.36,0,0.351289,0.12042
1492958373268,83.64,210.73,33.05,52.59,-62.41,-0.463679,228.38,0,0.295291,-0.055998
1492958373274,83.66,210.89,32.79,52.31,-62.14,-0.463679,228.4,0,0.161248,-0.134043
1492958373281,83.72,210.93,32.34,52.43,-62.33,-0.463679,228.42,0,0.0721116,-0.0891368
1492958373289,84.02,210.93,32.09,52.18,-62.27,-0.309119,228.44,0,0.299995,0.227884
1492958373301,84.16,211.05,31.89,52.18,-62.14,-0.309119,228.47,0,0.184387,-0.115608
1492958373309,84.45,211.21,31.61,51.81,-62.14,-0.15456,228.5,0,0.331212,0.146825
1492958373317,84.79,211.45,31.26,51.83,-62.08,0,228.52,0,0.416179,0.084967
1492958373333,84.93,211.75,31.1,51.97,-62.06,-0.15456,228.55,0,0.331061,-0.085118
1492958373339,85.39,212.24,30.72,51.63,-61.97,-0.309119,228.58,0,0.672079,0.341017
1492958373345,85.77,212.54,30.67,51.69,-61.97,-0.309119,228.6,0,0.484148,-0.18793
1492958373353,86.09,212.81,30.27,51.79,-62.12,-0.15456,228.62,0,0.418691,-0.0654575
1492958373361,86.3,213.06,30.23,51.4,-62.13,-0.618238,228.64,0,0.326496,-0.092195
1492958373373,86.55,213.26,30.16,51.39,-62.12,-0.618238,228.67,0,0.320154,-0.00634167
1492958373381,86.85,213.47,29.89,51.21,-62.24,-0.15456,228.7,0,0.366203,0.0460487
1492958373389,87.13,213.58,29.96,51.11,-61.99,0,228.72,0,0.300831,-0.0653718
1492958373397,87.32,213.65,29.88,51.21,-61.73,-0.463679,228.74,0,0.202484,-0.0983471
1492958373403,87.41,213.65,29.57,50.83,-61.48,-0.309119,228.76,0,0.0899963,-0.112488
1492958373417,87.63,213.75,29.63,50.85,-60.48,-0.15456,228.79,0,0.241665,0.151668
1492958373425,87.93,213.94,29.63,50.79,-60.21,-0.463679,228.82,0,0.35511,0.113445
1492958373437,88.23,214.14,29.59,50.56,-59.9,-0.309119,228.85,0,0.36055,0.00544012
1492958373445,88.63,214.37,29.56,50.61,-59.4,0.309119,228.88,0,0.46141,0.10086
1492958373453,89.01,214.56,29.55,50.98,-59.64,-0.772798,228.9,0,0.424852,-0.0365585
1492958373461,89.32,214.76,29.67,51.16,-59.1,0,228.92,0,0.36892,-0.0559315
1492958373467,89.53,214.89,29.52,51.22,-58.8,-0.15456,228.94,0,0.246984,-0.121936
1492958373473,89.73,215.04,29.6,50.94,-58.72,-0.463679,228.96,0,0.249994,0.00301032
1492958373481,89.88,215.1,29.46,51.26,-58.64,-0.463679,228.98,0,0.161555,-0.0884384
1492958373489,90.17,215.2,29.45,51.35,-58.6,-0.463679,229,0,0.30676,0.145205
1492958373497,90.22,215.24,29.81,51.47,-58.62,-0.463679,229.02,0,0.0640294,-0.242731
1492958373503,90.57,215.37,29.75,51.43,-58.47,0,229.04,0,0.373363,0.309334
1492958373509,90.8,215.44,29.78,51.34,-58.52,0.15456,229.06,0,0.240414,-0.132949
1492958373517,90.92,215.51,29.55,51.2,-58.55,0,229.08,0,0.138923,-0.101492
1492958373533,91.06,215.56,29.68,51.46,-59.2,-0.618238,229.11,0,0.148661,0.00973833
1492958373545,91.23,215.55,29.57,51.15,-59.61,-0.618238,229.15,0,0.170293,0.0216315
1492958373553,91.25,215.54,29.34,50.81,-60.02,-0.463679,229.18,0,0.022362,-0.147931
1492958373565,91.23,215.59,29.11,50.61,-60.44,0,229.21,0,0.0538561,0.031494
1492958373573,90.96,215.61,29.01,50.82,-60.69,-0.15456,229.24,0,0.270737,0.216881
1492958373581,90.67,215.63,28.57,50.66,-60.84,0,229.26,0,0.290689,0.0199523
1492958373589,90.32,215.6,28.15,50.52,-60.99,0.15456,229.28,0,0.351282,0.0605927
1492958373597,90.12,215.46,27.77,50.26,-61.15,0.463679,229.3,0,0.244135,-0.107147
1492958373609,89.82,215.39,27.44,50.28,-62.46,0,229.33,0,0.308052,0.0639177
1492958373617,89.53,215.13,27.12,49.96,-62.96,-0.15456,229.36,0,0.389494,0.0814418
1492958373625,89.44,214.9,26.79,50.66,-62.93,-0.463679,229.38,0,0.246979,-0.142515
1492958373633,89.3,214.62,26.27,51.05,-63.03,-0.15456,229.4,0,0.313048,0.0660689
1492958373639,89.01,214.28,25.57,51.15,-63.69,-0.618238,229.42,0,0.446876,0.133828
1492958373646,88.69,213.78,25.06,51.12,-63.77,-0.772798,229.44,0,0.593633,0.146757
1492958373653,88.44,213.32,24.59,51.25,-64.01,-0.618238,229.46,0,0.523552,-0.0700812
1492958373661,88.18,212.84,24.21,50.6,-63.49,-0.309119,229.48,0,0.545887,0.0223359
1492958373667,88.05,212.24,24.13,50.48,-63.4,-0.309119,229.5,0,0.613929,0.0680414
1492958373673,87.85,211.69,24.01,50.12,-63.64,-0.463679,229.52,0,0.585222,-0.0287063
1492958373681,87.57,211.08,23.83,49.95,-64.24,-0.309119,229.54,0,0.671193,0.0859705
1492958373689,87.27,210.58,23.48,50.19,-64.4,-0.15456,229.56,0,0.583097,-0.0880963
1492958373697,86.99,209.96,23.16,49.8,-64.74,-0.618238,229.58,0,0.680303,0.0972063
1492958373703,86.7,209.41,22.19,49.56,-65.17,-0.15456,229.6,0,0.621775,-0.0585282
1492958373710,86.32,208.91,21.7,49.41,-65.67,-0.15456,229.62,0,0.628011,0.00623631
1492958373717,85.9,208.37,20.99,48.81,-65.86,-0.309119,229.64,0,0.684099,0.0560877
1492958373725,85.19,207.82,20.42,48.24,-66.24,-0.15456,229.66,0,0.898116,0.214017
1492958373733,84.58,207.33,20.11,48.01,-66.74,-0.309119,229.68,0,0.782421,-0.115696
1492958373740,83.86,206.85,19.52,47.91,-67.37,-0.15456,229.7,0,0.865339,0.0829189
1492958373746,83.17,206.36,19.07,47.78,-68.26,-0.618238,229.72,0,0.846282,-0.019057
1492958373753,82.45,205.9,18.62,47.95,-69.66,-0.463679,229.74,0,0.854405,0.00812262
1492958373761,81.39,205.18,17.66,47.8,-70.25,-0.309119,229.76,0,1.2814,0.426999
1492958373767,80.7,204.75,17.05,47.6,-70.87,-0.463679,229.78,0,0.813017,-0.468387
1492958373773,79.99,204.3,16.63,46.78,-70.94,0.15456,229.8,0,0.840593,0.0275754
1492958373781,79.16,203.72,16.32,46.62,-71.28,-0.309119,229.82,0,1.01257,0.171981
1492958373789,78.35,203.18,15.98,46.48,-71.51,-0.463679,229.84,0,0.973502,-0.0390719
1492958373797,77.46,202.48,15.62,46.36,-71.46,-0.309119,229.86,0,1.1323,0.158795
1492958373803,76.91,202.02,15.27,46.15,-71.37,-0.618238,229.88,0,0.717014,-0.415282
