Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1492958226999,90.02,207.56,22.6,50.34,-66.25,-0.15456,-18.82,0,0.290166,0.154148
1492958227007,90.12,207.39,22.45,50.64,-65.71,0.309119,-18.8,0,0.197228,-0.0929372
1492958227015,90.18,207.2,22.37,50.75,-64.9,-0.309119,-18.78,0,0.199252,0.00202401
1492958227023,90.24,206.85,22.25,51.13,-64.3,0.463679,-18.76,0,0.355111,0.155859
1492958227030,90.2,206.61,22.21,51.44,-63.63,-0.15456,-18.74,0,0.243301,-0.11181
1492958227037,90.29,206.31,22.19,51.66,-63.49,-0.15456,-18.72,0,0.313213,0.0699122
1492958227044,90.47,205.97,22.32,51.65,-63.16,-0.309119,-18.7,0,0.384705,0.0714913
1492958227051,90.66,205.62,22.41,51.61,-63.12,0,-18.68,0,0.398249,0.0135444
1492958227059,90.82,205.21,22.39,51.76,-63.25,-0.15456,-18.66,0,0.440118,0.0418693
1492958227066,91.05,204.74,22.56,51.71,-63.32,0,-18.64,0,0.523258,0.0831398
1492958227073,91.27,204.38,22.75,51.87,-63.25,0,-18.62,0,0.421902,-0.101357
1492958227079,91.2,204,22.83,51.88,-62.76,-0.15456,-18.6,0,0.386383,-0.0355183
1492958227086,91.11,203.5,22.79,51.83,-62.73,0,-18.58,0,0.508035,0.121651
1492958227093,90.98,203.19,22.67,51.87,-62.26,-0.309119,-18.56,0,0.336154,-0.17188
1492958227100,90.87,202.73,22.63,51.71,-61.38,0.15456,-18.54,0,0.472976,0.136822
1492958227107,90.76,202.36,22.49,51.78,-60.74,0.618238,-18.52,0,0.386001,-0.0869753
1492958227115,90.83,202.04,22.43,52,-60.68,-0.309119,-18.5,0,0.327574,-0.0584268
1492958227122,90.99,201.67,22.2,52.4,-60.67,0.15456,-18.48,0,0.40311,0.075536
1492958227129,91.24,201.21,21.96,52.28,-61.2,-0.15456,-18.46,0,0.523552,0.120442
1492958227136,91.49,200.75,21.66,51.78,-61.71,-0.15456,-18.44,0,0.523538,-1.3411e-005
1492958227143,91.91,200.16,21.01,51.47,-62.11,-0.309119,-18.42,0,0.724232,0.200694
1492958227151,92.26,199.8,20.88,51.17,-62.81,0,-18.4,0,0.502084,-0.222148
1492958227159,92.46,199.33,20.73,51.09,-63.44,0.15456,-18.38,0,0.510787,0.00870258
1492958227166,92.53,198.88,20.71,50.86,-64.15,-0.15456,-18.36,0,0.455424,-0.0553627
1492958227173,92.33,198.42,20.36,50.6,-65.1,0,-18.34,0,0.501591,0.0461675
1492958227180,91.91,197.95,19.9,50.26,-65.7,0.309119,-18.32,0,0.630317,0.128726
1492958227187,91.56,197.66,19.51,50.15,-66.4,0.309119,-18.3,0,0.454537,-0.17578
1492958227194,91.06,197.25,19.3,49.91,-66.59,0,-18.28,0,0.646599,0.192062
1492958227200,90.4,196.83,19.09,49.69,-67.07,0.463679,-18.26,0,0.7823,0.135701
1492958227207,89.83,196.56,18.84,49.77,-67.53,0.15456,-18.24,0,0.630722,-0.151578
1492958227215,89.28,196.34,18.6,49.77,-67.66,0.15456,-18.22,0,0.592364,-0.038358
1492958227221,88.81,196.21,18.25,49.39,-67.47,0.772798,-18.2,0,0.48765,-0.104714
1492958227228,88.56,196.07,18.03,49.07,-67.69,0.927357,-18.18,0,0.286531,-0.201119
1492958227235,88.51,195.98,17.78,49.1,-67.74,0.309119,-18.16,0,0.102955,-0.183576
1492958227243,88.47,195.83,17.43,48.67,-68.26,0,-18.14,0,0.155234,0.0522795
1492958227251,88.51,195.65,17.23,48.49,-68.32,-0.15456,-18.12,0,0.184397,0.0291631
1492958227258,88.57,195.46,16.89,48.4,-68.63,0.309119,-18.1,0,0.199252,0.0148553
1492958227265,88.73,195.18,16.19,48.22,-68.8,-0.15456,-18.08,0,0.322487,0.123235
1492958227272,88.85,195.03,15.73,48.21,-69.22,-0.309119,-18.06,0,0.192091,-0.130397
1492958227279,88.97,194.81,15.48,48.03,-69.19,0.15456,-18.04,0,0.250602,0.058511
1492958227286,88.99,194.6,14.99,47.98,-69.78,0.309119,-18.02,0,0.210957,-0.0396451
1492958227292,89.04,194.4,14.73,47.75,-70.11,0.927357,-18,0,0.206153,-0.00480354
1492958227299,89,194.15,14.51,47.63,-70.55,0.309119,-17.98,0,0.25318,0.0470268
1492958227307,88.98,193.96,14.3,47.35,-70.96,0.463679,-17.96,0,0.191053,-0.0621273
1492958227315,88.95,193.72,14.14,47.05,-71.5,-0.309119,-17.94,0,0.241858,0.0508053
1492958227321,89.01,193.47,13.91,46.89,-72.23,0,-17.92,0,0.257099,0.0152407
1492958227327,88.94,193.2,13.82,46.64,-72.96,-0.15456,-17.9,0,0.278931,0.021832
1492958227335,88.9,193.05,13.63,46.32,-73.2,0.309119,-17.88,0,0.155234,-0.123696
1492958227351,88.83,192.87,13.45,45.82,-74.32,0.15456,-17.85,0,0.193142,0.037908
1492958227358,88.76,192.76,13.14,45.59,-74.8,-0.309119,-17.82,0,0.130384,-0.0627577
1492958227371,88.73,192.6,12.88,45.02,-76.2,-0.309119,-17.79,0,0.162792,0.0324072
1492958227379,88.73,192.48,12.33,44.87,-76.26,0,-17.76,0,0.119995,-0.0427965
1492958227386,88.76,192.4,12.02,44.77,-76.44,0,-17.74,0,0.0854413,-0.0345538
1492958227393,88.65,192.27,11.71,44.48,-76.81,-0.309119,-17.72,0,0.170293,0.0848517
1492958227400,88.64,192.15,11.42,44.17,-76.5,0.15456,-17.7,0,0.120411,-0.0498818
1492958227407,88.49,191.95,11.08,44.17,-76.35,-0.15456,-17.68,0,0.249998,0.129587
1492958227415,88.55,191.78,10.74,44.19,-76.39,0.15456,-17.66,0,0.180275,-0.0697235
1492958227421,88.72,191.63,10.44,44.02,-76.21,0,-17.64,0,0.226726,0.0464511
1492958227427,88.95,191.48,10.23,44.06,-76.12,0.15456,-17.62,0,0.274584,0.0478576
1492958227435,89.25,191.3,9.9,44.12,-75.73,-0.309119,-17.6,0,0.349856,0.0752723
1492958227443,89.75,191.09,9.64,44.23,-75.76,0.309119,-17.58,0,0.542312,0.192456
1492958227449,90.2,190.89,9.58,44.21,-75.47,0.463679,-17.56,0,0.492439,-0.0498736
