Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1492770186780,97.02,164.09,39.03,47.45,-100.1,4.01855,-177.26,0,0.457928,-0.241004
1492770186788,97.15,163.31,38.08,47.02,-99.66,4.01855,-177.24,0,0.790759,0.33283
1492770186796,97.23,162.83,37.15,46.54,-99.31,4.17311,-177.22,0,0.486616,-0.304143
1492770186804,97.26,162.26,36.38,46.3,-98.87,4.01855,-177.2,0,0.570796,0.0841804
1492770186812,97.09,161.72,35.58,46.08,-98.24,4.01855,-177.18,0,0.56612,-0.00467598
1492770186820,96.74,161.22,34.75,45.34,-97.68,4.17311,-177.16,0,0.610327,0.0442067
1492770186827,96.47,160.51,33.33,44.96,-97,4.17311,-177.14,0,0.75961,0.149283
1492770186836,96.2,160.05,32.43,44.56,-96.58,3.86399,-177.12,0,0.53338,-0.22623
1492770186843,95.93,159.63,31.62,44.07,-96.17,3.86399,-177.1,0,0.499309,-0.0340712
1492770186852,95.72,159.19,30.88,43.83,-95.94,3.86399,-177.08,0,0.487533,-0.0117761
1492770186859,95.5,158.85,30.29,43.55,-95.93,4.17311,-177.06,0,0.40498,-0.0825534
1492770186868,95.28,158.58,29.47,43.22,-95.57,4.01855,-177.04,0,0.348274,-0.0567058
1492770186876,95.07,158.39,28.79,43.19,-95.34,4.01855,-177.02,0,0.283197,-0.0650768
1492770186888,94.81,158.22,28.26,43.12,-95.72,3.40031,-177,0,0.310645,0.0274483
1492770186895,94.38,158.06,27.61,43.23,-95.75,3.86399,-176.98,0,0.458804,0.148159
1492770186903,93.87,158.03,27.36,43.2,-95.74,4.01855,-176.96,0,0.510884,0.0520793
1492770186911,93.45,157.95,27.06,43.2,-95.53,4.17311,-176.94,0,0.42755,-0.083334
1492770186918,92.83,157.91,26.86,43.44,-95.41,3.70943,-176.92,0,0.621291,0.193742
1492770186925,92.34,157.84,26.87,43.22,-95.43,4.01855,-176.9,0,0.494974,-0.126318
1492770186932,91.72,157.82,26.8,43.02,-95.14,4.32767,-176.88,0,0.620318,0.125344
1492770186938,91.17,157.84,26.87,43.08,-95.28,3.70943,-176.86,0,0.550367,-0.0699511
1492770186945,90.58,157.84,26.86,43.06,-94.82,4.48223,-176.84,0,0.590004,0.0396373
1492770186953,89.98,157.9,26.74,43,-94.33,3.40031,-176.82,0,0.602991,0.0129868
1492770186960,89.56,157.96,26.76,42.92,-93.63,4.32767,-176.8,0,0.424262,-0.178729
1492770186966,89.19,158.11,26.57,42.81,-93.73,4.48223,-176.78,0,0.399255,-0.0250066
1492770186974,88.81,158.29,26.29,42.72,-93.51,3.70943,-176.76,0,0.42047,0.021215
1492770186980,88.34,158.58,26.12,42.52,-93.24,4.17311,-176.74,0,0.552274,0.131803
1492770186986,88.14,158.73,25.87,42.5,-93.09,4.48223,-176.72,0,0.249994,-0.30228
1492770186994,87.88,158.99,25.64,42.52,-93.02,4.17311,-176.7,0,0.367693,0.117699
1492770187001,87.57,159.35,25.1,42.93,-92.85,3.86399,-176.68,0,0.475078,0.107385
1492770187008,87.19,159.67,24.55,42.75,-92.73,3.86399,-176.66,0,0.496798,0.0217203
1492770187016,86.9,159.92,24.23,42.89,-92.6,3.70943,-176.64,0,0.382879,-0.113919
1492770187022,86.56,160.2,23.71,42.55,-92.47,3.86399,-176.62,0,0.440457,0.0575779
1492770187028,86.27,160.4,23.4,42.49,-92.44,3.86399,-176.6,0,0.352277,-0.0881793
1492770187035,85.95,160.57,23.05,42.51,-92.52,3.40031,-176.58,0,0.362352,0.0100749
1492770187040,85.49,160.82,22.9,42.74,-93.11,4.01855,-176.56,0,0.523545,0.161193
1492770187047,85.21,161,22.57,42.58,-92.86,4.01855,-176.54,0,0.33287,-0.190675
1492770187053,84.64,161.35,21.88,42.73,-92.75,3.86399,-176.52,0,0.668875,0.336005
1492770187060,84.19,161.56,21.22,42.77,-92.36,4.01855,-176.5,0,0.496595,-0.172279
1492770187066,83.77,161.78,20.79,42.54,-92.06,3.70943,-176.48,0,0.47413,-0.0224656
1492770187072,83.23,161.95,20.32,42.47,-91.99,3.86399,-176.46,0,0.566128,0.0919978
1492770187078,82.58,162.11,19.97,42.44,-91.79,3.86399,-176.44,0,0.669398,0.10327
1492770187085,82.16,162.22,19.52,42.38,-91.54,3.70943,-176.42,0,0.434172,-0.235226
1492770187090,81.8,162.38,19.23,42.41,-91.5,3.70943,-176.4,0,0.39395,-0.0402215
1492770187096,81.5,162.4,18.9,42.45,-91.24,3.86399,-176.38,0,0.300662,-0.0932885
1492770187103,81.2,162.55,18.09,42.58,-91.39,4.17311,-176.36,0,0.335417,0.0347553
1492770187110,81,162.6,17.71,42.47,-91.31,4.17311,-176.34,0,0.206149,-0.129268
1492770187116,80.72,162.69,17.35,42.45,-91.05,3.86399,-176.32,0,0.294111,0.0879619
1492770187122,80.49,162.75,16.98,42.55,-90.79,3.86399,-176.3,0,0.2377,-0.0564113
1492770187129,80.18,162.76,16.71,42.63,-90.91,3.86399,-176.28,0,0.310159,0.0724587
1492770187136,79.97,162.82,16.49,42.72,-90.7,4.17311,-176.26,0,0.218402,-0.0917569
1492770187144,79.63,162.83,16.32,42.9,-91.01,3.70943,-176.24,0,0.340151,0.12175
1492770187152,79.34,162.78,16.04,43.08,-91.06,4.17311,-176.22,0,0.29428,-0.0458711
1492770187158,79.06,162.72,15.83,43.27,-90.76,4.17311,-176.2,0,0.286355,-0.00792548
1492770187172,78.86,162.59,15.8,43.24,-90.8,3.40031,-176.17,0,0.238537,-0.0478174
1492770187180,78.72,162.43,15.85,43.18,-90.89,4.17311,-176.14,0,0.212605,-0.025932
1492770187187,78.43,162.29,15.91,43.15,-91.23,3.86399,-176.12,0,0.322025,0.10942
1492770187193,78.25,162.18,15.88,43,-91.09,3.86399,-176.1,0,0.210951,-0.111075
1492770187200,78.11,162.05,15.92,42.95,-90.91,3.86399,-176.08,0,0.191042,-0.0199086
1492770187208,77.88,161.96,15.85,43,-91.17,3.86399,-176.06,0,0.246989,0.0559469
1492770187216,77.57,161.89,15.46,42.96,-91.16,4.01855,-176.04,0,0.317801,0.0708117
1492770187223,77.23,161.77,15.23,43.12,-91.35,4.17311,-176.02,0,0.360562,0.0427615
1492770187229,76.86,161.73,15.04,43.11,-91.55,4.01855,-176,0,0.37215,0.011588
1492770187236,76.52,161.68,14.73,43.14,-91.74,4.17311,-175.98,0,0.343661,-0.0284891
1492770187244,76.2,161.58,14.56,43.18,-91.47,3.70943,-175.96,0,0.335258,-0.00840309
1492770187252,75.84,161.44,14.43,43.15,-91.42,3.86399,-175.94,0,0.386265,0.0510064
1492770187259,75.54,161.3,14.28,43.04,-91.43,3.86399,-175.92,0,0.331055,-0.05521
1492770187266,75.22,161.09,14.21,43.16,-91.38,4.01855,-175.9,0,0.382757,0.0517021
1492770187273,74.82,160.9,14.07,43.11,-91.59,3.86399,-175.88,0,0.442834,0.0600776
1492770187280,74.53,160.73,13.94,43.1,-91.35,3.86399,-175.86,0,0.336155,-0.10668
1492770187288,74.34,160.58,13.87,42.97,-91.4,4.01855,-175.84,0,0.242073,-0.0940821
1492770187294,74.13,160.49,13.71,42.85,-91.19,4.17311,-175.82,0,0.228477,-0.0135956
1492770187301,73.83,160.42,13.55,42.9,-91.03,4.32767,-175.8,0,0.308052,0.0795753
1492770187308,73.58,160.34,13.42,42.94,-90.95,3.70943,-175.78,0,0.262489,-0.0455635
1492770187316,73.27,160.3,13.21,42.9,-91.16,3.86399,-175.76,0,0.312574,0.0500856
1492770187323,73.04,160.27,13.02,43.05,-90.98,3.86399,-175.74,0,0.231946,-0.0806284
1492770187330,72.68,160.23,12.86,43.08,-90.97,3.70943,-175.72,0,0.362215,0.130269
1492770187337,72.48,160.23,12.68,43.02,-91.05,3.86399,-175.7,0,0.200005,-0.162211
1492770187344,72.26,160.17,12.67,43,-90.97,3.70943,-175.68,0,0.228028,0.0280237
1492770187358,72.01,160.12,12.65,43.13,-90.88,3.70943,-175.65,0,0.254952,0.0269233
1492770187365,71.75,160.08,12.68,43.08,-90.99,4.32767,-175.62,0,0.26306,0.00810847
1492770187372,71.5,160.09,12.61,43.14,-91.14,4.01855,-175.6,0,0.2502,-0.0128603
1492770187380,71.26,160.13,12.54,43.09,-90.94,3.70943,-175.58,0,0.243307,-0.00689241
1492770187388,71.07,160.24,12.43,43.08,-90.89,3.55487,-175.56,0,0.219547,-0.0237599
1492770187400,70.85,160.28,12.29,43,-91.21,3.70943,-175.53,0,0.22361,0.00406212
1492770187408,70.6,160.38,12.03,42.96,-91.21,3.86399,-175.5,0,0.269255,0.0456453
1492770187416,70.4,160.44,11.99,43.03,-91.07,4.17311,-175.48,0,0.208807,-0.0604479
1492770187428,70.29,160.55,11.81,43.07,-91.24,3.86399,-175.45,0,0.155564,-0.0532425
1492770187436,70.09,160.63,11.59,43.11,-91.15,4.01855,-175.42,0,0.215406,0.0598415
1492770187444,69.78,160.72,11.25,43.12,-91.2,3.55487,-175.4,0,0.322801,0.107395
1492770187452,69.59,160.77,11.08,43.22,-91.4,4.32767,-175.38,0,0.196468,-0.126333
1492770187459,69.3,160.82,10.87,43.22,-91.6,3.86399,-175.36,0,0.29428,0.0978121
1492770187465,69.06,160.83,10.7,43.2,-91.67,3.86399,-175.34,0,0.240207,-0.0540737
1492770187472,68.79,160.79,10.57,43.17,-91.28,4.01855,-175.32,0,0.272945,0.0327383
1492770187480,68.6,160.79,10.37,43.11,-91.35,4.01855,-175.3,0,0.190002,-0.0829424
1492770187486,68.39,160.79,10.14,43.09,-91.28,3.86399,-175.28,0,0.209999,0.0199966
1492770187493,68.19,160.73,10,43,-91.15,3.86399,-175.26,0,0.20881,-0.00118926
1492770187500,68.02,160.66,9.69,42.9,-91.22,3.70943,-175.24,0,0.183843,-0.0249668
1492770187516,67.93,160.57,9.52,42.98,-91.17,3.55487,-175.21,0,0.127285,-0.0565582
1492770187523,67.85,160.5,9.34,42.99,-91.31,4.01855,-175.18,0,0.106298,-0.0209872
1492770187536,67.73,160.43,9.19,43.01,-91.14,3.86399,-175.15,0,0.13893,0.0326329
1492770187544,67.52,160.4,9.07,43.06,-91.09,4.32767,-175.12,0,0.212131,0.0732004
