Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1492957894256,90.61,196.53,13.42,40.83,-77.36,-0.309119,35.96,0,0.158109,-0.0982149
1492957894316,90.69,196.53,13.47,42.35,-76.52,-0.309119,36.06,0,0.0799942,-0.0781149
1492957894324,90.98,196.28,13.62,42.34,-76.16,-0.618238,36.16,0,0.382884,0.30289
1492957894340,91.23,196.14,13.71,42.37,-75.88,-0.463679,36.19,0,0.286531,-0.0963538
1492957894349,91.39,195.96,13.73,42.45,-75.66,-0.309119,36.22,0,0.24084,-0.0456904
1492957894360,91.51,195.83,13.68,42.75,-75.25,-0.309119,36.25,0,0.176907,-0.0639331
1492957894368,91.72,195.76,13.52,42.92,-74.81,-0.309119,36.28,0,0.221368,0.044461
1492957894380,91.93,195.64,13.42,43.02,-74.46,-0.463679,36.31,0,0.241865,0.0204964
1492957894388,92.21,195.52,13.36,43.29,-74.38,-0.309119,36.34,0,0.304634,0.0627694
1492957894396,92.51,195.37,13.26,43.35,-73.93,0,36.36,0,0.335403,0.0307695
1492957894404,92.67,195.29,13.11,43.43,-73.59,-0.309119,36.38,0,0.17889,-0.156514
1492957894412,92.93,195.24,13.15,43.47,-73.27,-0.309119,36.4,0,0.264767,0.0858772
1492957894418,93.17,195.22,13.06,43.65,-73.18,-0.309119,36.42,0,0.240829,-0.0239379
1492957894425,93.37,195.16,12.99,43.78,-72.95,-0.15456,36.44,0,0.208807,-0.0320219
1492957894433,93.57,195.07,13.07,43.78,-72.85,-0.463679,36.46,0,0.21932,0.0105129
1492957894440,93.88,195.04,12.98,44.04,-72.62,-0.309119,36.48,0,0.311446,0.0921259
1492957894448,94.1,195.07,13.01,44.17,-72.47,-0.309119,36.5,0,0.222037,-0.0894086
1492957894455,94.34,195.01,12.98,44.33,-72.18,-0.463679,36.52,0,0.247384,0.0253466
1492957894468,94.54,194.93,13.03,44.48,-71.78,-0.15456,36.55,0,0.215412,-0.0319721
1492957894476,94.75,194.91,13.06,44.58,-71.44,-0.309119,36.58,0,0.21095,-0.00446181
1492957894484,94.9,194.89,13.24,44.7,-70.81,-0.15456,36.6,0,0.151328,-0.0596222
1492957894492,95.09,194.93,13.32,44.71,-70.52,-0.309119,36.62,0,0.194158,0.0428309
1492957894504,95.36,194.98,13.45,44.89,-70.01,0.15456,36.65,0,0.274595,0.0804369
1492957894512,95.68,195.02,13.5,44.93,-69.95,-0.15456,36.68,0,0.322489,0.0478938
1492957894519,95.98,195.1,13.59,45.3,-69.54,-0.309119,36.7,0,0.31048,-0.0120096
1492957894526,96.3,195.18,13.65,45.33,-69.48,0,36.72,0,0.329849,0.019369
1492957894534,96.51,195.36,13.71,45.3,-69.56,0,36.74,0,0.276591,-0.0532578
1492957894548,96.77,195.5,13.8,45.47,-69.58,0.15456,36.77,0,0.295298,0.0187072
1492957894555,96.97,195.64,13.82,45.62,-69.62,0,36.8,0,0.244135,-0.0511635
1492957894562,97.13,195.75,14.08,45.78,-69.48,0,36.82,0,0.194162,-0.0499726
1492957894576,97.22,195.86,14.24,46.04,-69.66,0.15456,36.85,0,0.14213,-0.0520323
1492957894583,97.32,195.92,14.54,45.89,-69.55,0.15456,36.88,0,0.116616,-0.0255132
1492957894596,97.37,196.03,14.77,46.3,-69.63,0.309119,36.91,0,0.120829,0.00421265
1492957894604,97.41,196.1,15.12,46.54,-69.58,0,36.94,0,0.0806161,-0.040213
1492957894616,97.45,196.15,15.36,46.87,-69.67,-0.15456,36.97,0,0.0640342,-0.0165819
1492957894636,97.59,196.28,15.54,46.97,-69.69,-0.15456,37.01,0,0.191053,0.127018
1492957894643,97.7,196.29,16,47.13,-69.57,0.309119,37.04,0,0.110454,-0.0805989
1492957894650,97.82,196.29,16.23,47.24,-69.75,0,37.06,0,0.120003,0.00954903
1492957894657,97.9,196.32,16.47,47.62,-70.39,-0.15456,37.08,0,0.0854413,-0.0345614
