Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1492958529700,99.1,206.13,30,52.56,-67,0.15456,-167.72,0,0.202484,0.00831667
1492958529708,99.16,206.16,29.81,52.34,-66.99,0.15456,-167.7,0,0.0670793,-0.135405
1492958529716,99.27,206.29,29.59,52.43,-66.76,-0.15456,-167.68,0,0.170298,0.103219
1492958529723,99.16,206.32,29.31,52.31,-66.66,-0.309119,-167.66,0,0.114018,-0.0562802
1492958529731,99.03,206.31,28.97,52.32,-66.74,-0.15456,-167.64,0,0.130381,0.0163631
1492958529740,98.95,206.32,28.75,52.34,-67.28,0,-167.61,0,0.0806237,-0.0497572
1492958529748,98.81,206.27,28.26,52.36,-68.07,-0.463679,-167.58,0,0.148661,0.0680374
1492958529756,98.68,206.01,28.04,52.48,-68.13,-0.463679,-167.56,0,0.290683,0.142022
1492958529764,98.57,205.89,27.91,52.4,-68.42,-0.463679,-167.54,0,0.162785,-0.127898
1492958529772,98.45,205.74,27.8,52.55,-68.35,-0.15456,-167.52,0,0.192103,0.0293176
1492958529780,98.21,205.64,27.88,52.62,-67.73,0.15456,-167.5,0,0.259995,0.0678919
1492958529787,97.95,205.34,27.66,52.7,-66.84,0,-167.48,0,0.396992,0.136998
1492958529794,97.63,205.05,27.48,52.91,-65.65,0.309119,-167.46,0,0.431862,0.0348696
1492958529801,97.65,204.73,27.26,53.08,-64.39,-0.309119,-167.44,0,0.320617,-0.111245
1492958529808,97.66,204.34,27,52.95,-63.85,0.309119,-167.42,0,0.390127,0.0695107
1492958529815,97.85,203.81,26.76,52.85,-62.8,-0.15456,-167.4,0,0.563027,0.1729
1492958529821,98.32,203.3,26.5,52.93,-61.99,0.309119,-167.38,0,0.693538,0.130511
1492958529828,98.97,202.84,26.44,52.53,-61.5,0.309119,-167.36,0,0.796309,0.102771
1492958529836,99.61,202.54,26.34,52.36,-60.91,0.309119,-167.34,0,0.706825,-0.0894845
1492958529843,100.14,202.3,26.27,52.47,-60.44,0.463679,-167.32,0,0.581802,-0.125022
1492958529850,100.66,202,25.68,52.51,-60.88,0.15456,-167.3,0,0.600332,0.0185294
1492958529857,101.13,201.86,25.16,52.39,-60.98,0.15456,-167.28,0,0.490409,-0.109923
1492958529864,101.4,201.65,24.92,52.28,-60.97,0.15456,-167.26,0,0.34206,-0.148349
1492958529872,101.55,201.41,24.38,52.2,-61.02,0.309119,-167.24,0,0.283021,-0.0590393
1492958529879,101.61,201.14,23.81,52.02,-61.22,0.772798,-167.22,0,0.276577,-0.00644413
1492958529886,101.66,200.91,23.65,51.44,-61.6,0,-167.2,0,0.235382,-0.0411949
1492958529893,101.36,200.56,23.32,51.45,-61.5,0.15456,-167.18,0,0.460967,0.225585
1492958529900,101.12,200.28,22.99,51.17,-61.69,0,-167.16,0,0.368784,-0.0921829
1492958529907,100.86,200.02,22.56,51.17,-61.82,0.15456,-167.14,0,0.367699,-0.00108588
1492958529914,100.56,199.82,22.23,51.21,-61.96,-0.15456,-167.12,0,0.360556,-0.00714257
1492958529921,100.33,199.55,21.95,51.15,-62.18,0.15456,-167.1,0,0.354677,-0.00587922
