Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1492771820730,86.55,194.65,22.07,40.23,-123.56,4.48223,161.34,0,0.223603,-0.0544252
1492771820742,86.6,194.86,21.96,40.55,-123.93,4.9459,161.37,0,0.215878,-0.00772582
1492771820752,86.59,195.06,21.88,40.7,-123.95,4.63679,161.4,0,0.200247,-0.0156307
1492771820770,86.71,195.18,21.86,41.11,-124.18,4.01855,161.44,0,0.169704,-0.0305428
1492771820778,86.77,195.15,22.17,41.23,-124.4,4.79134,161.48,0,0.0670793,-0.102625
1492771820787,86.69,195.13,22.44,41.35,-124.49,4.48223,161.5,0,0.0824649,0.0153856
1492771820795,86.66,195.02,22.73,41.62,-124.89,4.63679,161.52,0,0.114018,0.0315529
1492771820804,86.57,194.88,23.04,41.78,-124.88,4.9459,161.54,0,0.166431,0.0524129
1492771820813,86.54,194.62,23.27,41.95,-124.99,4.48223,161.56,0,0.261719,0.0952888
1492771820821,86.43,194.42,23.38,42.02,-124.77,5.25502,161.58,0,0.228252,-0.0334676
1492771820828,86.41,194.17,23.56,42.19,-124.99,4.63679,161.6,0,0.250799,0.0225472
1492771820837,86.35,193.85,23.78,42.31,-125.14,4.9459,161.62,0,0.325583,0.0747841
1492771820844,86.29,193.58,24.16,42.24,-125.07,5.10046,161.64,0,0.276575,-0.0490081
1492771820853,86.36,193.17,24.41,42.32,-125.11,4.79134,161.66,0,0.415936,0.139361
1492771820860,86.3,192.89,24.78,42.36,-125.33,4.79134,161.68,0,0.286356,-0.12958
1492771820868,86.33,192.28,25.12,42.5,-125.74,5.10046,161.7,0,0.610738,0.324382
1492771820875,86.44,191.85,25.25,42.62,-125.99,4.9459,161.72,0,0.443853,-0.166885
1492771820885,86.35,191.46,25.41,42.73,-126.26,5.25502,161.74,0,0.400248,-0.0436043
1492771820892,86.4,190.97,25.23,42.83,-126.34,4.79134,161.76,0,0.492535,0.0922865
1492771820900,86.34,190.51,25.19,43.28,-126.18,5.40958,161.78,0,0.463904,-0.0286312
1492771820907,86.28,189.95,25.19,43.62,-126.23,5.10046,161.8,0,0.563202,0.0992986
1492771820913,86.18,189.45,25.14,44.31,-126.35,4.9459,161.82,0,0.509902,-0.0533008
1492771820921,86.04,188.9,25.11,44.82,-126.39,4.9459,161.84,0,0.567541,0.0576397
1492771820928,85.95,188.17,25.12,45.28,-126.21,5.10046,161.86,0,0.735523,0.167982
1492771820935,85.87,187.58,25.21,45.61,-126.66,4.9459,161.88,0,0.595396,-0.140128
1492771820941,85.66,186.64,25.37,45.51,-127.01,5.10046,161.9,0,0.963174,0.367778
1492771820949,85.53,186,25.44,45.41,-127.64,4.79134,161.92,0,0.653069,-0.310106
1492771820955,85.27,185.25,25.61,45.29,-127.85,5.25502,161.94,0,0.793789,0.140721
1492771820962,85.13,184.47,25.7,45.15,-128.03,5.25502,161.96,0,0.792463,-0.00132591
1492771820968,85,183.88,25.7,44.94,-128.32,4.9459,161.98,0,0.604163,-0.1883
1492771820974,84.74,183.45,25.61,44.77,-128.48,4.9459,162,0,0.502489,-0.101674
1492771820981,84.52,183.04,25.26,44.66,-128.62,5.40958,162.02,0,0.465299,-0.0371892
1492771820988,84.39,182.91,24.91,44.33,-128.84,4.9459,162.04,0,0.183849,-0.28145
1492771820996,84.36,182.7,24.48,44.25,-128.84,4.63679,162.06,0,0.212123,0.0282741
1492771821003,84.36,182.47,24.06,44.01,-128.92,4.9459,162.08,0,0.229996,0.0178723
1492771821011,84.39,182.32,23.56,44.07,-128.8,4.9459,162.1,0,0.152979,-0.0770164
1492771821018,84.6,182.28,23.01,44.22,-128.65,4.79134,162.12,0,0.213773,0.0607941
1492771821026,84.77,182.19,22.69,44.13,-128.5,4.63679,162.14,0,0.192351,-0.0214229
1492771821033,85.09,182.06,22.23,44.16,-128.41,4.9459,162.16,0,0.3454,0.153049
1492771821040,85.41,181.94,21.98,44.34,-128.38,4.79134,162.18,0,0.341758,-0.00364172
1492771821048,85.69,181.86,21.73,44.15,-128.54,4.63679,162.2,0,0.291204,-0.0505544
1492771821054,86.03,181.75,21.58,44.15,-128.33,5.10046,162.22,0,0.357355,0.0661516
1492771821062,86.31,181.66,21.56,43.95,-128.46,4.63679,162.24,0,0.294111,-0.0632441
1492771821069,86.65,181.48,21.38,43.89,-128.53,4.9459,162.26,0,0.384708,0.0905965
1492771821075,87.02,181.31,21.25,43.83,-128.35,4.79134,162.28,0,0.40718,0.0224725
1492771821082,87.29,181.21,21.25,43.67,-128.43,5.56414,162.3,0,0.28793,-0.119251
1492771821087,87.61,181.06,20.87,43.52,-128.76,4.63679,162.32,0,0.353409,0.0654794
1492771821093,88,180.95,20.6,43.44,-128.73,5.10046,162.34,0,0.405216,0.0518065
1492771821101,88.28,180.91,20.34,43.05,-129.03,4.79134,162.36,0,0.282843,-0.122373
1492771821107,88.64,180.79,20.08,42.82,-128.93,5.10046,162.38,0,0.379472,0.0966296
1492771821115,88.97,180.65,19.89,42.75,-129.19,4.63679,162.4,0,0.35847,-0.0210019
1492771821120,89.29,180.53,19.65,42.35,-129.29,5.40958,162.42,0,0.341758,-0.0167122
1492771821127,89.63,180.38,19.41,42.17,-129.05,5.10046,162.44,0,0.371618,0.0298603
1492771821132,89.97,180.24,19.18,42.04,-129.44,4.48223,162.46,0,0.367699,-0.00391945
1492771821140,90.42,180.09,18.62,42,-129.99,4.63679,162.48,0,0.474337,0.106638
1492771821147,90.72,179.9,18.28,41.72,-130.13,4.9459,162.5,0,0.35511,-0.119227
1492771821154,90.92,179.73,18.03,41.47,-130.57,4.79134,162.52,0,0.262485,-0.0926249
1492771821159,91.13,179.58,17.59,41.28,-130.43,4.9459,162.54,0,0.258065,-0.00441912
1492771821167,91.4,179.25,17.21,41.33,-130.52,4.48223,162.56,0,0.426384,0.168319
