Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1492180824903,53.1,212.87,12,45.77,-75.34,-0.15456,-160.58,0,0.141421,0.0707026
1492180824919,53.28,212.81,11.95,45.89,-75.27,-0.15456,-160.53,0,0.189736,0.0483154
1492180824939,53.42,212.8,11.93,45.97,-75.3,0,-160.48,0,0.140357,-0.0493794
1492180824955,53.58,212.85,11.85,45.88,-75.26,-0.309119,-160.43,0,0.167631,0.0272745
1492180824975,53.66,212.79,11.99,45.97,-75.1,0.15456,-160.39,0,0.1,-0.0676313
1492180824983,53.77,212.84,12.09,45.81,-74.99,-0.309119,-160.35,0,0.120832,0.0208323
1492180825003,53.93,212.9,12.09,46.08,-74.63,-0.772798,-160.3,0,0.170879,0.0500468
1492180825019,54.17,212.92,12.11,46.04,-74.57,-0.15456,-160.25,0,0.24083,0.069951
1492180825035,54.39,212.98,12.12,45.91,-74.44,0,-160.21,0,0.228036,-0.0127945
1492180825042,54.63,213.02,12.21,45.83,-74.49,0.15456,-160.18,0,0.243307,0.0152717
1492180825055,54.81,213.04,12.26,46.05,-74.36,0,-160.15,0,0.181108,-0.0621988
1492180825063,55.04,213.06,12.23,46.15,-74.36,-0.15456,-160.12,0,0.230868,0.0497594
1492180825083,55.19,213.06,12.22,46.08,-74.5,-0.309119,-160.08,0,0.150002,-0.0808663
1492180825099,55.38,213.06,12.33,46.23,-74.45,-0.463679,-160.03,0,0.189999,0.0399971
1492180825111,55.59,213.11,12.38,46.35,-74.31,-0.15456,-159.99,0,0.215874,0.0258752
1492180825139,55.7,213.16,12.39,46.32,-73.78,0.15456,-159.93,0,0.120822,-0.0950514
1492180825155,55.88,213.22,12.5,46.29,-73.81,0.309119,-159.87,0,0.189741,0.0689185
1492180825163,56.04,213.34,12.51,46.4,-73.64,-0.15456,-159.84,0,0.199997,0.0102559
1492180825170,56.19,213.38,12.67,46.43,-73.55,0.15456,-159.82,0,0.155241,-0.0447555
1492180825191,56.31,213.47,12.76,46.5,-73.92,-0.463679,-159.78,0,0.150006,-0.00523539
1492180825203,56.44,213.54,12.9,46.6,-73.81,-0.15456,-159.73,0,0.147645,-0.00236069
1492180825219,56.52,213.6,13.09,46.5,-73.66,-0.15456,-159.69,0,0.1,-0.0476454
1492180825239,56.58,213.73,13.19,46.76,-73.5,0,-159.64,0,0.143182,0.0431816
1492180825255,56.72,213.88,13.25,46.72,-73.37,0.15456,-159.59,0,0.205178,0.0619963
1492180825267,56.83,214.03,13.35,46.76,-73.28,0,-159.55,0,0.186018,-0.0191595
1492180825283,56.98,214.16,13.51,46.88,-73.04,0,-159.51,0,0.198489,0.0124702
1492180825291,57.08,214.33,13.61,46.96,-72.99,-0.309119,-159.48,0,0.197242,-0.00124706
1492180825303,57.2,214.45,13.83,47.11,-73.24,0,-159.45,0,0.169701,-0.0275402
1492180825319,57.32,214.63,13.93,47.04,-73.02,0.15456,-159.41,0,0.216329,0.0466271
1492180825335,57.39,214.76,14.1,47.03,-72.9,0.15456,-159.37,0,0.147652,-0.0686761
1492180825347,57.43,214.94,14.18,47.31,-72.86,-0.15456,-159.33,0,0.184399,0.0367464
1492180825363,57.51,215.11,14.31,47.45,-72.98,0,-159.29,0,0.18788,0.00348161
1492180825375,57.66,215.22,14.41,47.16,-72.91,0,-159.25,0,0.186012,-0.0018681
1492180825391,57.73,215.35,14.57,47.05,-72.85,0,-159.21,0,0.147639,-0.0383734
1492180825399,57.81,215.4,14.8,47.07,-72.81,0.309119,-159.18,0,0.0943397,-0.0532992
1492180825411,57.84,215.45,14.96,47.27,-72.62,-0.309119,-159.15,0,0.0583135,-0.0360263
1492180825427,57.85,215.59,15.12,47.27,-72.88,0.309119,-159.11,0,0.140356,0.0820425
1492180825447,57.87,215.65,15.26,47.28,-72.62,-0.15456,-159.06,0,0.0632434,-0.0771126
1492180825456,57.94,215.69,15.55,47.16,-72.34,-0.15456,-159.02,0,0.0806266,0.0173832
1492180825483,58.04,215.7,15.62,47.17,-71.74,0.15456,-158.97,0,0.100497,0.0198701
1492180825491,58.28,215.75,15.6,47.17,-71.76,0.15456,-158.92,0,0.245155,0.144659
1492180825499,58.5,215.82,15.5,47.27,-71.87,0,-158.9,0,0.230867,-0.0142886
1492180825511,58.69,215.81,15.45,46.9,-71.8,0,-158.87,0,0.190261,-0.0406054
1492180825519,58.91,215.81,15.5,47,-71.96,-0.15456,-158.84,0,0.220001,0.0297399
1492180825527,59.1,215.84,15.57,47.17,-71.67,0.15456,-158.82,0,0.192352,-0.0276489
1492180825555,59.07,215.84,15.67,47,-71.07,0,-158.77,0,0.0299988,-0.162354
1492180825563,58.99,215.94,15.86,46.96,-71.16,-0.15456,-158.72,0,0.128068,0.0980696
1492180825571,59.02,215.99,16.12,46.91,-70.74,-0.15456,-158.7,0,0.0583004,-0.069768
1492180825579,59.11,216.04,16.32,46.81,-70.61,0.15456,-158.68,0,0.102955,0.0446542
1492180825587,59.21,216.07,16.49,46.77,-70.66,-0.463679,-158.66,0,0.104405,0.00145033
1492180825599,59.37,216.09,16.59,46.86,-70.44,-0.463679,-158.63,0,0.161246,0.0568406
1492180825606,59.63,216.07,16.65,46.97,-70.25,-0.15456,-158.6,0,0.260767,0.0995212
1492180825613,59.9,216.15,16.72,46.82,-70.04,-0.463679,-158.58,0,0.281604,0.0208368
1492180825620,60.09,216.19,16.59,46.74,-70.01,0.15456,-158.56,0,0.194169,-0.0874345
1492180825635,60.31,216.18,16.64,46.45,-69.51,0.15456,-158.53,0,0.220225,0.026056
1492180825643,60.61,216.22,16.66,46.48,-69.42,0,-158.5,0,0.302655,0.0824303
1492180825655,60.88,216.29,16.66,46.79,-69.37,0.463679,-158.47,0,0.278925,-0.0237303
1492180825663,61.13,216.36,16.54,46.81,-69.11,-0.15456,-158.44,0,0.259617,-0.0193079
1492180825670,61.36,216.4,16.45,46.75,-68.82,0.15456,-158.42,0,0.233451,-0.0261663
1492180825683,61.58,216.42,16.57,46.59,-68.76,0,-158.39,0,0.220909,-0.0125419
1492180825691,61.89,216.46,16.83,46.46,-68.28,-0.309119,-158.36,0,0.31257,0.0916617
1492180825699,62.04,216.43,17.08,46.43,-67.79,-0.618238,-158.34,0,0.152968,-0.159602
1492180825707,62.21,216.43,17.29,46.66,-67.61,-0.15456,-158.32,0,0.170002,0.0170339
1492180825719,62.42,216.41,17.47,47.11,-66.72,0.15456,-158.29,0,0.21095,0.0409477
1492180825727,62.68,216.44,17.71,47.19,-66.38,0,-158.26,0,0.261729,0.0507791
1492180825735,63.11,216.43,17.93,47.36,-65.97,-0.618238,-158.24,0,0.430113,0.168384
1492180825742,63.41,216.49,18.16,47.37,-65.34,0.463679,-158.22,0,0.305944,-0.124169
1492180825749,63.86,216.48,18.6,47.32,-65.17,0,-158.2,0,0.450108,0.144164
1492180825757,64.36,216.52,18.96,46.89,-64.5,0,-158.18,0,0.501601,0.0514928
1492180825764,65.12,216.64,19.38,47.28,-64.08,0,-158.16,0,0.769412,0.267811
1492180825771,65.68,216.72,19.67,47.27,-63.61,0,-158.14,0,0.565691,-0.203721
1492180825778,66.13,216.81,20.04,47.39,-63.34,-0.309119,-158.12,0,0.458908,-0.106783
1492180825785,66.57,216.97,20.33,47.53,-63.1,-0.309119,-158.1,0,0.468192,0.00928348
1492180825792,66.91,217.07,20.48,47.59,-62.6,0.15456,-158.08,0,0.354395,-0.113797
1492180825799,67.44,217.3,20.56,47.53,-61.82,0.15456,-158.06,0,0.577751,0.223357
1492180825806,68.02,217.44,21.02,47.52,-60.95,0.309119,-158.04,0,0.596663,0.0189111
1492180825813,68.49,217.57,21.36,47.78,-60.28,0.463679,-158.02,0,0.487646,-0.109017
1492180825820,69.13,217.75,21.62,47.23,-59.18,-0.15456,-158,0,0.664832,0.177187
1492180825827,69.66,217.92,21.94,47.68,-58.79,0.309119,-157.98,0,0.556595,-0.108237
1492180825835,70.31,218.1,22.34,47.62,-58.03,0.15456,-157.96,0,0.674462,0.117867
1492180825842,71.05,218.48,22.61,47.27,-57.64,0.309119,-157.94,0,0.831866,0.157403
1492180825849,71.78,218.76,23.11,47.19,-56.96,0.309119,-157.92,0,0.781859,-0.0500062
1492180825857,72.54,219.09,23.54,47.1,-56.63,0,-157.9,0,0.828556,0.0466962
1492180825864,73.51,219.43,23.72,47.05,-56.49,0.15456,-157.88,0,1.02786,0.199306
1492180825871,74.44,220.01,24.39,46.92,-56.17,-0.15456,-157.86,0,1.09603,0.0681713
1492180825878,75.36,220.41,24.62,46.59,-55.73,0,-157.84,0,1.0032,-0.0928353
1492180825885,76.05,220.73,24.59,46.32,-55.64,0,-157.82,0,0.76059,-0.242608
1492180825892,76.48,221.15,24.67,46.29,-55.5,-0.15456,-157.8,0,0.601081,-0.159509
1492180825899,76.83,221.44,24.66,46.17,-55.48,0,-157.78,0,0.454543,-0.146538
1492180825906,77.16,221.64,24.78,45.76,-55.39,0.15456,-157.76,0,0.385869,-0.0686738
1492180825913,77.56,221.93,24.81,45.65,-55.46,0.15456,-157.74,0,0.494062,0.108193
1492180825920,78,222.22,24.68,45.56,-55.55,0,-157.72,0,0.526979,0.0329171
1492180825927,78.25,222.38,24.5,45.6,-55.77,-0.463679,-157.7,0,0.29681,-0.230169
1492180825934,78.45,222.47,24.5,45.42,-55.72,0.15456,-157.68,0,0.219319,-0.0774911
1492180825941,78.61,222.53,24.24,45.3,-55.4,0.618238,-157.66,0,0.170883,-0.0484364
1492180825948,78.8,222.59,23.99,45.16,-55.36,-0.463679,-157.64,0,0.199243,0.0283603
1492180825962,78.96,222.58,23.74,45.11,-55.73,0.15456,-157.61,0,0.160315,-0.0389274
1492180825969,79.18,222.58,23.52,45.18,-55.8,-0.309119,-157.58,0,0.220001,0.0596857
1492180825982,79.45,222.54,23.32,45.29,-55.34,-0.15456,-157.55,0,0.272945,0.0529436
1492180825990,79.78,222.48,23.16,45.45,-55.09,0.15456,-157.52,0,0.335412,0.0624668
1492180825998,80.04,222.33,23.23,45.74,-54.83,0.15456,-157.5,0,0.300165,-0.0352462
1492180826004,80.1,222.07,23.14,45.82,-54.34,0.15456,-157.48,0,0.266842,-0.0333232
1492180826010,80.23,221.96,23.26,46.09,-53.68,0.463679,-157.46,0,0.170292,-0.0965501
1492180826018,80.48,221.74,23.16,46.17,-53.61,0,-157.44,0,0.333017,0.162725
1492180826026,80.67,221.54,23.34,46.26,-53.7,0.463679,-157.42,0,0.275862,-0.0571555
1492180826034,80.96,221.31,23.39,46.14,-53.77,0.15456,-157.4,0,0.370133,0.0942714
1492180826040,81.22,220.99,23.39,45.92,-53.98,0.309119,-157.38,0,0.412318,0.0421844
1492180826046,81.56,220.62,23.28,45.8,-54.08,0.15456,-157.36,0,0.502488,0.0901701
1492180826054,81.94,220.41,23.22,45.78,-54.26,0.15456,-157.34,0,0.434167,-0.068321
1492180826062,82.23,220.23,23.02,45.74,-54.39,0.309119,-157.32,0,0.341318,-0.0928488
1492180826068,82.45,219.88,22.76,45.75,-54.65,-0.309119,-157.3,0,0.413406,0.0720885
1492180826074,82.5,219.64,22.56,45.51,-55.05,0.15456,-157.28,0,0.245144,-0.168262
1492180826082,82.57,219.3,22.31,45.55,-54.99,0.309119,-157.26,0,0.347142,0.101998
1492180826090,82.56,219.04,22.08,45.07,-55.28,0.15456,-157.24,0,0.260187,-0.0869555
1492180826098,82.66,218.75,22.02,45.04,-55.61,0.309119,-157.22,0,0.30675,0.0465635
1492180826105,82.59,218.35,21.91,45.11,-55.89,-0.15456,-157.2,0,0.406088,0.0993374
1492180826112,82.59,217.98,21.87,45.05,-56.29,0,-157.18,0,0.369995,-0.0360927
1492180826118,82.49,217.63,21.73,44.46,-56.3,0.309119,-157.16,0,0.364011,-0.00598416
1492180826126,82.57,217.33,21.7,44.22,-56.37,0.309119,-157.14,0,0.310472,-0.0535388
1492180826134,82.59,216.95,21.47,44.58,-56.79,0.309119,-157.12,0,0.380531,0.0700585
1492180826140,82.64,216.6,21.36,44.55,-57.17,0.15456,-157.1,0,0.35356,-0.0269708
1492180826146,82.81,216.17,21.34,44.54,-57.46,-0.15456,-157.08,0,0.462378,0.108818
1492180826154,82.92,215.82,21.15,44.42,-57.9,0.309119,-157.06,0,0.366885,-0.0954929
1492180826162,83.19,215.39,20.68,44.15,-58.41,-0.15456,-157.04,0,0.507732,0.140847
1492180826168,83.42,214.95,20.28,43.77,-58.63,-0.15456,-157.02,0,0.496491,-0.0112407
1492180826175,83.61,214.35,20,43.33,-57.93,0.309119,-157,0,0.629371,0.13288
1492180826182,83.78,213.83,19.53,43.29,-58.19,0.15456,-156.98,0,0.547072,-0.0822991
1492180826190,83.95,213.32,19.24,44.06,-57.98,0.309119,-156.96,0,0.537596,-0.0094763
1492180826198,84,212.74,18.63,43.94,-57.97,0.15456,-156.94,0,0.582153,0.0445574
1492180826204,84.03,212.13,17.91,43.96,-57.86,0.15456,-156.92,0,0.610738,0.0285845
1492180826210,84.14,211.59,17.29,43.88,-57.86,0.15456,-156.9,0,0.551083,-0.0596544
1492180826218,84.26,211.04,16.32,43.75,-58.43,0,-156.88,0,0.562941,0.0118573
1492180826226,84.64,210.24,15.77,43.78,-58.29,0.15456,-156.86,0,0.885668,0.322728
1492180826234,85.13,209.5,15.61,43.79,-58.61,0.15456,-156.84,0,0.887515,0.00184691
1492180826241,85.48,208.92,15.32,43.72,-58.35,0.309119,-156.82,0,0.677422,-0.210093
1492180826248,85.8,208.35,15.18,43.79,-58.52,0.15456,-156.8,0,0.653688,-0.0237342
1492180826255,86.08,207.91,15.05,43.86,-58.36,0.463679,-156.78,0,0.521542,-0.132146
1492180826262,86.23,207.33,14.95,44.14,-58.4,0.15456,-156.76,0,0.599068,0.0775264
1492180826268,86.5,206.81,14.96,44.21,-58.65,-0.15456,-156.74,0,0.585924,-0.0131443
1492180826275,86.7,206.27,14.94,44.01,-58.68,0.618238,-156.72,0,0.575854,-0.0100697
1492180826282,87.26,205.61,15.11,43.98,-58.64,-0.15456,-156.7,0,0.865553,0.289699
1492180826290,87.61,205.11,15.21,43.76,-58.48,0.463679,-156.68,0,0.610331,-0.255222
1492180826298,88.09,204.56,15.3,43.54,-58.31,-0.15456,-156.66,0,0.729999,0.119668
1492180826305,88.5,204.06,15.46,43.25,-57.93,0.15456,-156.64,0,0.646609,-0.0833907
1492180826312,88.9,203.62,15.62,43.09,-57.75,0.463679,-156.62,0,0.594646,-0.0519633
1492180826318,89.31,203.22,15.63,43.05,-57.22,0.15456,-156.6,0,0.572793,-0.0218526
1492180826326,89.73,202.9,15.68,42.83,-57.03,0,-156.58,0,0.528018,-0.0447749
1492180826334,90.18,202.66,15.7,42.76,-56.9,0.463679,-156.56,0,0.510007,-0.0180115
1492180826341,90.81,202.29,15.73,42.72,-56.71,0,-156.54,0,0.730611,0.220605
1492180826348,91.47,202.08,15.64,42.33,-56.65,0.618238,-156.52,0,0.692605,-0.0380067
1492180826356,92.26,201.84,15.47,41.99,-56.4,-0.309119,-156.5,0,0.825646,0.133042
1492180826363,93.08,201.64,15.26,41.91,-56.21,0.15456,-156.48,0,0.844037,0.0183904
1492180826369,93.61,201.45,15.09,41.66,-56.12,0,-156.46,0,0.563034,-0.281002
1492180826375,94.18,201.19,15.08,41.62,-56.34,0,-156.44,0,0.626496,0.0634612
1492180826382,94.83,200.91,15.04,41.75,-56.3,0.463679,-156.42,0,0.707743,0.0812472
1492180826390,95.44,200.72,14.99,41.71,-56.2,0.463679,-156.4,0,0.638902,-0.0688407
1492180826398,96.07,200.41,14.99,41.68,-56.1,-0.309119,-156.38,0,0.70215,0.0632476
1492180826404,96.58,200.15,14.97,41.55,-55.95,0.309119,-156.36,0,0.572443,-0.129706
1492180826410,97.14,199.9,14.94,41.56,-55.7,0.463679,-156.34,0,0.613275,0.0408312
1492180826418,97.69,199.57,14.91,41.73,-55.52,0.15456,-156.32,0,0.641402,0.028127
1492180826426,98.31,199.27,14.87,41.2,-55.78,0.463679,-156.3,0,0.688771,0.0473691
1492180826434,98.87,199.06,14.71,41.29,-55.76,0,-156.28,0,0.598075,-0.0906959
1492180826440,99.43,198.8,14.59,41.13,-55.78,0.463679,-156.26,0,0.617416,0.0193414
1492180826446,100.04,198.59,14.48,41.16,-55.42,0,-156.24,0,0.645138,0.027722
1492180826454,100.62,198.39,14.37,41.04,-55.72,-0.15456,-156.22,0,0.613508,-0.0316304
1492180826462,101.4,197.99,14.24,40.96,-55.45,0.309119,-156.2,0,0.876594,0.263086
1492180826469,102.06,197.7,13.78,40.77,-55.42,0.618238,-156.18,0,0.720896,-0.155698
1492180826475,102.55,197.47,13.55,40.87,-54.87,0.309119,-156.16,0,0.541291,-0.179605
1492180826482,102.93,197.25,13.25,40.64,-54.62,0.15456,-156.14,0,0.439095,-0.102196
1492180826491,103.41,197.08,12.84,40.39,-54.64,0.15456,-156.12,0,0.50921,0.0701157
1492180826499,103.65,196.86,12.46,40.62,-54.87,0.618238,-156.1,0,0.325576,-0.183635
1492180826505,104.01,196.75,12.17,40.22,-55.41,0.618238,-156.08,0,0.376431,0.0508557
1492180826511,104.21,196.61,11.7,40.1,-55.24,0.463679,-156.06,0,0.244135,-0.132297
1492180826518,104.52,196.44,11.18,39.92,-55.09,0.309119,-156.04,0,0.35355,0.109416
1492180826527,104.72,196.3,10.64,39.84,-55.05,0.772798,-156.02,0,0.244135,-0.109416
1492180826535,104.84,196.17,10.11,39.82,-54.49,0.15456,-156,0,0.176918,-0.0672162
1492180826541,105.08,195.93,9.81,39.63,-54.19,0.15456,-155.98,0,0.339414,0.162495
1492180826547,105.26,195.86,8.99,39.64,-54.11,0.463679,-155.96,0,0.193129,-0.146284
1492180826554,105.59,195.84,8.68,39.48,-54.12,0.463679,-155.94,0,0.330608,0.137478
1492180826562,105.89,195.87,8.33,39.38,-53.9,0,-155.92,0,0.301499,-0.0291084
1492180826568,106.14,195.87,8.07,39.32,-53.69,0.309119,-155.9,0,0.25,-0.0514992
1492180826575,106.58,195.92,7.85,39.32,-53.77,0.309119,-155.88,0,0.442827,0.192827
1492180826582,106.84,195.99,7.53,39.04,-53.64,0.772798,-155.86,0,0.269258,-0.173569
1492180826590,107.03,196.02,7.36,39.06,-53.33,0,-155.84,0,0.192356,-0.0769022
1492180826598,107.13,196.04,7.08,38.97,-52.19,0.463679,-155.82,0,0.10198,-0.0903763
1492180826604,107.34,196.08,6.85,38.98,-51.39,-0.15456,-155.8,0,0.213776,0.111797
1492180826610,107.55,196.12,6.61,39.15,-50.28,0.618238,-155.78,0,0.213773,-2.84612e-006
1492180826619,107.74,196.11,6.39,39.44,-49.15,0.463679,-155.76,0,0.190265,-0.0235083
1492180826626,108.1,196.26,5.87,39.78,-48.09,-0.15456,-155.74,0,0.389998,0.199733
1492180826635,108.5,196.38,5.63,40.35,-47.18,0,-155.72,0,0.417612,0.0276141
1492180826641,109.33,196.7,5.28,40.79,-46.77,-0.15456,-155.7,0,0.889548,0.471935
1492180826647,109.95,196.94,5.06,41.16,-46.41,0.463679,-155.68,0,0.664835,-0.224712
1492180826654,110.69,197.18,4.98,41.3,-46.17,0.463679,-155.66,0,0.777941,0.113106
1492180826662,111.49,197.36,5.05,41.25,-46.35,0.15456,-155.64,0,0.820005,0.0420638
1492180826668,112.24,197.48,5.27,41.28,-46.27,-0.15456,-155.62,0,0.759539,-0.0604662
1492180826674,112.96,197.55,5.55,41.33,-46.56,0.463679,-155.6,0,0.723397,-0.0361418
1492180826682,113.45,197.54,5.73,41.3,-46.86,0.618238,-155.58,0,0.4901,-0.233297
1492180826690,113.8,197.53,5.83,41.35,-46.75,0.309119,-155.56,0,0.350141,-0.139959
1492180826718,113.75,197.58,5.72,41.32,-47.31,0,-155.51,0,0.0707096,-0.279432
1492180826726,113.46,197.54,5.43,41.38,-47.59,0.463679,-155.46,0,0.292748,0.222038
1492180826738,113.41,197.57,5.25,41.04,-47.86,0.309119,-155.43,0,0.0583115,-0.234436
1492180826746,113.3,197.59,4.99,41.01,-48.07,0.15456,-155.4,0,0.111805,0.0534933
1492180826755,113.21,197.6,4.79,40.87,-48.12,0.15456,-155.38,0,0.0905496,-0.0212552
1492180826763,113.19,197.6,4.59,40.86,-48.34,0.15456,-155.36,0,0.0200043,-0.0705453
1492180826770,113.07,197.53,4.38,40.78,-48.48,0.15456,-155.34,0,0.138916,0.118912
1492180826777,112.91,197.41,3.96,40.76,-48.67,-0.309119,-155.32,0,0.200009,0.0610929
1492180826784,112.81,197.33,3.72,40.64,-48.71,0,-155.3,0,0.128053,-0.0719562
1492180826791,112.67,197.13,3.62,40.61,-48.81,0.772798,-155.28,0,0.244141,0.116088
1492180826798,112.56,197,3.47,40.61,-48.78,0.309119,-155.26,0,0.170286,-0.0738544
1492180826805,112.39,196.78,3.45,40.55,-48.64,-0.15456,-155.24,0,0.278029,0.107742
1492180826812,112.25,196.6,3.41,40.42,-48.8,0.309119,-155.22,0,0.228041,-0.0499877
1492180826820,112.14,196.38,3.4,40.31,-48.74,0.15456,-155.2,0,0.245969,0.0179279
1492180826834,112.1,196.13,3.33,40.38,-48.25,0.463679,-155.17,0,0.25318,0.00721107
1492180826841,112.13,195.9,3.3,40.29,-48.04,0.309119,-155.14,0,0.231944,-0.021236
1492180826854,112.32,195.67,3.19,40.16,-48.15,-0.309119,-155.11,0,0.298327,0.0663831
1492180826862,112.47,195.47,3.03,40.02,-47.99,0.309119,-155.08,0,0.249998,-0.0483285
1492180826870,112.65,195.4,2.92,39.95,-48.05,0,-155.06,0,0.193128,-0.0568706
1492180826878,112.91,195.31,2.88,39.9,-47.93,0.309119,-155.04,0,0.275137,0.0820092
1492180826885,113.09,195.27,2.76,39.91,-47.91,0.309119,-155.02,0,0.184393,-0.0907441
1492180826893,113.2,195.2,2.61,39.76,-47.71,0.309119,-155,0,0.13038,-0.0540127
1492180826906,113.34,195.15,2.33,39.65,-47.5,0.309119,-154.97,0,0.148661,0.0182808
1492180826913,113.48,195.11,2.06,39.59,-47.41,-0.309119,-154.94,0,0.1456,-0.00306137
1492180826920,113.66,195.15,1.86,39.58,-47.19,0,-154.92,0,0.18439,0.03879
1492180826927,113.84,195.19,1.7,39.36,-47.09,-0.15456,-154.9,0,0.184393,3.30806e-006
1492180826934,114.22,195.36,1.37,39.14,-46.76,0.463679,-154.88,0,0.416297,0.231904
1492180826941,114.49,195.47,1.22,39.16,-46.64,0.15456,-154.86,0,0.291545,-0.124752
1492180826948,114.75,195.63,1.06,39.31,-46.54,0.618238,-154.84,0,0.305283,0.0137378
1492180826956,114.99,195.79,0.89,39.36,-46.62,0.618238,-154.82,0,0.288444,-0.0168382
1492180826963,115.32,196.02,0.74,39.37,-46.65,0.772798,-154.8,0,0.402243,0.113798
1492180826970,115.56,196.26,0.42,39.28,-46.84,0.927357,-154.78,0,0.339414,-0.0628292
1492180826977,115.84,196.57,0.08,39.31,-47.02,0.772798,-154.74,1,0.417729,0.0783157
1492180826984,116.1,196.73,-0.11,39.33,-47.21,0.772798,-154.74,1,0.30529,-0.112439
1492180826998,116.3,196.77,-0.14,39.3,-47.18,0.618238,-154.71,1,0.203956,-0.101334
1492180827010,116.54,196.76,-0.18,39.31,-46.92,0.927357,-154.67,1,0.240213,0.036257
1492180827026,116.71,196.69,-0.24,39.33,-47.06,0.15456,-154.63,1,0.183843,-0.0563705
1492180827038,116.96,196.7,-0.28,39.35,-46.88,0.463679,-154.59,1,0.2502,0.0663567
1492180827046,117.2,196.7,-0.26,39.24,-46.8,0.15456,-154.56,1,0.239998,-0.0102018
1492180827062,117.46,196.72,-0.29,39.3,-46.91,0.15456,-154.53,1,0.260771,0.0207727
1492180827074,117.71,196.63,-0.29,39.49,-46.84,0.463679,-154.49,1,0.265711,0.00493997
1492180827082,117.93,196.54,-0.25,39.62,-47.02,0,-154.46,1,0.237697,-0.0280135
1492180827090,118.11,196.37,-0.25,39.53,-47.14,-0.15456,-154.44,1,0.247587,0.00989032
1492180827098,118.19,196.16,-0.24,39.66,-47.25,0.463679,-154.42,1,0.224726,-0.0228611
1492180827105,118.25,195.89,-0.21,39.75,-47.21,-0.15456,-154.4,1,0.276577,0.0518505
1492180827112,118.38,195.58,-0.18,39.84,-47.4,0,-154.38,1,0.336151,0.0595747
1492180827120,118.43,195.25,-0.19,39.78,-47.82,0.772798,-154.36,1,0.333769,-0.00238276
1492180827127,118.43,194.81,-0.14,40.1,-48.21,0.618238,-154.34,1,0.440002,0.106234
1492180827134,118.37,194.36,-0.17,40.27,-48.51,0.463679,-154.32,1,0.45398,0.0139776
1492180827142,118.33,193.89,-0.15,40.26,-48.88,0.309119,-154.3,1,0.4717,0.0177203
1492180827149,118.19,193.28,-0.03,40.33,-49.13,0.618238,-154.28,1,0.62586,0.15416
1492180827156,118.04,192.68,-0.01,40.42,-49.48,0.927357,-154.26,1,0.61847,-0.00738961
1492180827163,117.71,191.74,-0.13,40.42,-49.44,0.309119,-154.24,1,0.996246,0.377776
