Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1492771383122,97.07,168.25,29.07,40.36,-116,4.79134,115.74,0,0.41231,-0.109413
1492771383130,96.62,168.28,27.97,39.5,-115.85,4.79134,115.76,0,0.451003,0.0386935
1492771383138,96.45,168.4,26.85,39.01,-115.59,5.10046,115.78,0,0.208082,-0.242921
1492771383146,96.24,168.58,25.78,38.78,-115.25,5.25502,115.8,0,0.276591,0.0685086
1492771383154,96.03,168.82,24.89,38.55,-115.28,4.48223,115.82,0,0.318896,0.0423056
1492771383163,96.03,169,23.99,38.65,-114.92,4.63679,115.84,0,0.180008,-0.138888
1492771383170,95.9,169.37,22.53,38.41,-114.76,5.10046,115.86,0,0.392168,0.21216
1492771383178,96.02,169.69,21.44,38.29,-114.65,4.63679,115.88,0,0.341765,-0.0504026
1492771383185,95.99,169.96,20.73,38.35,-114.44,4.79134,115.9,0,0.27165,-0.0701148
1492771383193,96.09,170.29,20.26,38.16,-114.22,5.10046,115.92,0,0.34482,0.0731696
1492771383200,96.09,170.53,19.9,37.93,-114.03,5.10046,115.94,0,0.240005,-0.104815
1492771383209,96.16,170.83,19.54,37.83,-113.7,4.79134,115.96,0,0.308061,0.0680558
1492771383216,96.28,171.09,19.23,37.27,-113.25,4.63679,115.98,0,0.286353,-0.0217088
1492771383223,96.42,171.37,18.99,36.64,-112.83,4.79134,116,0,0.313048,0.0266956
1492771383231,96.61,171.68,18.7,36.06,-112.4,5.10046,116.02,0,0.363592,0.0505442
1492771383239,96.86,172.05,18.31,35.22,-112.05,5.25502,116.04,0,0.446551,0.0829585
1492771383248,97.16,172.37,18,34.4,-111.73,5.10046,116.06,0,0.438625,-0.00792557
1492771383256,97.47,172.7,17.67,33.41,-111.13,4.79134,116.08,0,0.452774,0.0141488
1492771383263,97.81,173.08,17.21,32.69,-110.85,4.79134,116.1,0,0.509903,0.057129
1492771383272,98.28,173.48,16.63,32.1,-110.63,5.25502,116.12,0,0.617168,0.107265
1492771383279,98.71,173.86,16.09,31.54,-110.08,4.63679,116.14,0,0.57385,-0.0433178
1492771383287,99.18,174.34,15.45,31.08,-110.07,4.9459,116.16,0,0.671786,0.0979363
1492771383296,99.86,174.97,14.4,30.93,-110.06,4.79134,116.18,0,0.926988,0.255201
1492771383302,100.28,175.44,13.66,30.81,-110.02,4.79134,116.2,0,0.630317,-0.296671
1492771383307,100.57,175.8,13.07,30.37,-110.46,4.63679,116.22,0,0.462278,-0.168039
1492771383313,100.78,176.07,12.49,30.11,-110.53,4.79134,116.24,0,0.342043,-0.120235
1492771383320,101.02,176.31,11.93,30.39,-110.6,4.9459,116.26,0,0.339414,-0.00262979
1492771383326,101.1,176.37,11.43,30.57,-110.89,4.9459,116.28,0,0.1,-0.239414
1492771383333,101.12,176.39,11.04,30.67,-110.89,4.79134,116.3,0,0.0282849,-0.0717151
1492771383339,101.07,176.33,10.73,30.62,-110.39,5.25502,116.32,0,0.0780977,0.0498128
1492771383344,100.96,176.35,10.12,30.89,-110.8,4.79134,116.34,0,0.111802,0.0337043
1492771383352,100.89,176.31,9.81,30.84,-110.11,4.48223,116.36,0,0.080619,-0.0311831
1492771383358,100.7,176.08,9.65,30.57,-110.63,5.10046,116.38,0,0.298327,0.217708
1492771383365,100.54,175.95,9.48,30.69,-110.71,4.79134,116.4,0,0.206155,-0.0921717
1492771383370,100.46,175.81,9.28,30.59,-110.59,4.79134,116.42,0,0.161246,-0.0449098
1492771383377,100.47,175.71,9.03,30.51,-110.65,5.10046,116.44,0,0.100505,-0.0607405
1492771383383,100.33,175.59,8.9,30.45,-110.49,4.79134,116.46,0,0.184393,0.083888
1492771383390,100.33,175.52,8.36,30.51,-109.92,5.10046,116.48,0,0.0700073,-0.114386
1492771383396,100.28,175.54,7.88,30.44,-110,5.10046,116.5,0,0.053849,-0.0161583
1492771383403,100.21,175.52,7.6,30.39,-109.92,4.9459,116.52,0,0.072802,0.018953
1492771383411,100.26,175.54,7.24,30.42,-110.08,5.25502,116.54,0,0.053849,-0.018953
1492771383418,100.29,175.56,6.96,30.6,-110.65,5.25502,116.56,0,0.0360632,-0.0177858
1492771383426,100.35,175.57,6.73,30.93,-110.92,4.9459,116.58,0,0.0608243,0.0247611
1492771383432,100.46,175.53,6.52,31.16,-111.04,5.10046,116.6,0,0.117045,0.056221
1492771383440,100.43,175.4,6.32,31.4,-111.85,4.9459,116.63,0,0.133421,0.0163758
1492771383448,100.3,175.16,6.34,31.48,-112.02,5.10046,116.66,0,0.272941,0.139519
1492771383455,100.06,174.95,6.51,31.66,-112.68,4.79134,116.68,0,0.318907,0.0459666
1492771383462,99.89,174.61,6.74,31.6,-113.07,5.10046,116.7,0,0.380127,0.0612203
1492771383468,99.77,174.27,6.95,31.68,-113.34,4.79134,116.72,0,0.360567,-0.0195605
1492771383476,99.6,173.92,7.23,31.78,-113.64,5.10046,116.74,0,0.389093,0.0285255
1492771383483,99.49,173.57,7.44,31.86,-114.2,4.9459,116.76,0,0.366885,-0.0222078
1492771383490,99.37,173.21,7.64,31.95,-114.21,5.25502,116.78,0,0.379475,0.01259
1492771383497,99.28,172.82,8.12,32.07,-114.07,5.10046,116.8,0,0.400248,0.0207737
1492771383504,99.14,172.44,8.55,32.06,-114.26,4.79134,116.82,0,0.404959,0.00471067
1492771383511,99.13,172.19,8.82,32.06,-114.66,5.40958,116.84,0,0.2502,-0.154759
1492771383518,99.12,171.96,9.11,31.86,-114.99,4.79134,116.86,0,0.230228,-0.0199717
1492771383525,99.1,171.77,9.36,31.86,-114.85,4.63679,116.88,0,0.191052,-0.0391765
1492771383533,99.17,171.6,9.55,31.77,-115.28,4.9459,116.9,0,0.183846,-0.00720586
1492771383540,99.27,171.38,9.75,31.83,-115.65,5.10046,116.92,0,0.241661,0.0578154
1492771383547,99.37,171.19,9.83,31.78,-116.16,5.10046,116.94,0,0.214697,-0.0269643
1492771383554,99.48,171.06,9.95,31.79,-116.45,4.9459,116.96,0,0.170298,-0.0443991
1492771383568,99.71,170.92,9.96,31.75,-116.78,5.25502,116.99,0,0.269261,0.0989628
1492771383577,99.91,170.81,9.86,31.74,-117.3,5.10046,117.02,0,0.228252,-0.0410089
1492771383596,100.05,170.77,9.85,31.6,-117.89,4.79134,117.06,0,0.145604,-0.0826479
1492771383605,100.36,170.7,9.74,31.61,-117.61,4.79134,117.1,0,0.317808,0.172204
1492771383616,100.55,170.73,9.56,31.81,-117.86,5.10046,117.13,0,0.192349,-0.12546
1492771383625,100.75,170.75,9.37,31.67,-117.59,4.79134,117.16,0,0.201002,0.00865397
1492771383633,100.91,170.83,9.13,31.52,-117.75,5.25502,117.18,0,0.178883,-0.0221198
1492771383645,101.13,170.83,8.92,31.44,-117.47,5.25502,117.2,0,0.220001,0.0411185
1492771383651,101.39,170.81,8.65,31.25,-117.57,4.79134,117.22,0,0.260771,0.0407693
1492771383660,101.64,170.87,8.41,31.04,-116.95,5.10046,117.25,0,0.257099,-0.00367194
1492771383668,102.1,170.9,7.88,31,-116.86,5.25502,117.28,0,0.460976,0.203878
1492771383675,102.44,170.96,7.46,31.01,-116.64,5.25502,117.3,0,0.34525,-0.115727
1492771383683,102.71,170.95,7.23,30.88,-116.57,5.10046,117.32,0,0.270189,-0.0750603
1492771383690,102.93,171.01,7.02,30.93,-116.78,5.56414,117.34,0,0.228036,-0.0421536
1492771383697,103.24,170.96,6.89,31.04,-117.17,5.25502,117.36,0,0.314004,0.0859688
1492771383704,103.46,170.95,6.8,31.14,-117.2,5.40958,117.38,0,0.220228,-0.0937763
1492771383716,103.67,170.9,6.79,31.38,-117.96,5.25502,117.41,0,0.21587,-0.00435798
1492771383745,103.62,170.76,6.83,31.8,-118.74,5.40958,117.47,0,0.148661,-0.067209
1492771383753,103.22,170.61,7.04,31.87,-119.03,5.25502,117.52,0,0.427192,0.278531
1492771383761,103.04,170.59,7.18,31.96,-119.05,5.25502,117.54,0,0.181108,-0.246084
