Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1494436164425,93.98,212.79,50.63,109.54,98.91,0.927357,-249.08,0,1.39316,-0.399721
1494436164433,92.68,211.52,51.31,109.83,98.24,1.39104,-249.06,0,1.81739,0.424225
1494436164441,91.54,210.46,51.99,110.32,97.81,0.927357,-249.04,0,1.55666,-0.260727
1494436164449,90.58,209.17,52.35,110.63,96.71,1.39104,-249.02,0,1.60801,0.0513488
1494436164456,89.12,207.58,52.72,111.3,95.89,0.927357,-249,0,2.15863,0.550621
1494436164464,88.02,206.56,52.83,111.77,95.27,0.618238,-248.98,0,1.50014,-0.658496
1494436164471,86.62,205.28,53.17,112.51,94.89,1.08192,-248.96,0,1.89695,0.39681
1494436164479,85.35,204.28,53.18,112.94,94.46,0.618238,-248.94,0,1.61644,-0.280501
1494436164487,84.45,203.15,52.95,113.05,93.86,0.927357,-248.92,0,1.44462,-0.171829
1494436164495,83.07,201.88,52.73,113.69,93.5,1.39104,-248.9,0,1.87545,0.430832
1494436164503,82.06,200.81,52.35,114.32,93.03,1.08192,-248.88,0,1.47139,-0.404058
1494436164511,80.73,199.65,52.03,115.04,92.72,0.927357,-248.86,0,1.7648,0.293409
1494436164518,79.13,198.42,51.26,115.78,92.4,1.08192,-248.84,0,2.01814,0.25334
1494436164527,78,197.59,50.8,116.98,92.29,1.39104,-248.82,0,1.40207,-0.61607
1494436164533,76.77,196.63,50.34,117.88,91.99,1.23648,-248.8,0,1.5603,0.158226
1494436164542,75.78,195.72,49.59,118.81,91.68,0.618238,-248.78,0,1.34468,-0.215611
1494436164548,74.61,194.72,48.76,119.73,91.57,1.08192,-248.76,0,1.53912,0.194438
1494436164555,73.49,193.85,47.81,120.1,91.43,0.772798,-248.74,0,1.41821,-0.12091
1494436164561,72.32,192.91,46.66,120.82,91.14,0.927357,-248.72,0,1.50083,0.0826216
1494436164569,70.94,191.73,45.24,121.43,90.73,0.618238,-248.7,0,1.81571,0.314875
1494436164575,69.58,190.81,43.94,122.21,90.46,1.5456,-248.68,0,1.64194,-0.173765
1494436164582,67.91,189.74,42.65,122.93,90.09,0.927357,-248.66,0,1.98339,0.341447
1494436164589,66.66,188.99,41.45,123.75,90.16,0.927357,-248.64,0,1.45774,-0.525652
1494436164596,65.64,188.31,40.53,124.58,89.83,0.618238,-248.62,0,1.22588,-0.231857
1494436164603,64.34,187.59,39.56,125.29,89.63,0.772798,-248.6,0,1.48607,0.260191
1494436164610,63.23,187.01,38.59,126.14,89.43,0.927357,-248.58,0,1.2524,-0.233676
1494436164616,62.16,186.34,37.52,126.7,89.1,0.927357,-248.56,0,1.26246,0.010061
1494436164624,60.72,185.54,36.34,127.27,89.02,0.772798,-248.54,0,1.6473,0.384848
1494436164632,59.44,184.9,35.22,128.18,88.43,0.927357,-248.52,0,1.43108,-0.216222
1494436164640,58.16,184.14,33.88,128.94,88.31,0.463679,-248.5,0,1.48862,0.0575376
1494436164649,57.17,183.61,32.85,129.62,88.05,1.5456,-248.48,0,1.12294,-0.365676
1494436164656,56.05,183.08,31.59,130.26,87.77,0.772798,-248.46,0,1.23907,0.116127
1494436164663,55.19,182.64,30.64,131.13,87.51,0.772798,-248.44,0,0.966024,-0.273046
1494436164669,54.39,182.37,29.72,131.82,87.2,1.08192,-248.42,0,0.844335,-0.12169
