Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1494435734852,95.67,198.03,32.81,120.5,106.52,0.772798,69.2,0,0.700926,0.261612
1494435734860,95.13,197.64,32.03,121.17,106.36,0.463679,69.22,0,0.666108,-0.0348178
1494435734868,94.57,197.36,31.49,122.06,106.69,0.309119,69.24,0,0.626096,-0.0400122
1494435734877,93.81,197.04,30.99,122.57,106.75,0.15456,69.26,0,0.824626,0.19853
1494435734884,93.25,196.7,30.4,123.13,106.96,0,69.28,0,0.65513,-0.169496
1494435734893,92.72,196.38,29.87,123.62,106.89,0.463679,69.3,0,0.619115,-0.0360146
1494435734901,92.1,195.88,29.17,124.14,106.84,0.309119,69.32,0,0.796494,0.177379
1494435734908,91.43,195.4,28.54,124.54,106.84,0.772798,69.34,0,0.824193,0.0276982
1494435734918,90.84,194.78,27.66,125,106.42,0.618238,69.36,0,0.855861,0.0316688
1494435734925,90.4,194.32,27.18,125.58,106.25,0,69.38,0,0.636554,-0.219307
1494435734933,90.04,193.83,26.79,126.23,106.21,0.15456,69.4,0,0.608022,-0.0285324
1494435734938,89.67,193.31,26.38,127.1,105.98,0.618238,69.42,0,0.638206,0.0301836
1494435734946,89.35,192.83,25.92,127.73,106.11,0.463679,69.44,0,0.576885,-0.0613212
1494435734951,88.98,192.34,25.62,128.55,106.53,0.772798,69.46,0,0.614009,0.0371248
1494435734959,88.55,191.76,25.2,129.09,106.87,0.772798,69.48,0,0.722013,0.108003
1494435734965,88.24,191.28,24.74,129.82,107.49,0.618238,69.5,0,0.571397,-0.150616
1494435734971,87.91,190.75,24.21,130.64,107.98,0.618238,69.52,0,0.62434,0.0529427
1494435734978,87.53,190.1,23.19,131.29,108.58,0.772798,69.54,0,0.752934,0.128595
1494435734985,87.35,189.76,22.42,132.65,109.24,0.772798,69.56,0,0.384705,-0.36823
1494435734991,87.38,189.36,21.52,133.3,109.97,0.309119,69.58,0,0.401117,0.0164127
1494435734998,87.54,189.04,20.75,134,110.32,0.463679,69.6,0,0.357779,-0.0433382
1494435735005,87.74,188.77,19.74,134.54,110.55,0.463679,69.62,0,0.336008,-0.0217715
1494435735012,87.94,188.54,18.68,135.24,110.03,0.15456,69.64,0,0.30479,-0.0312178
1494435735020,88.03,188.24,17.74,135.58,109.97,1.39104,69.66,0,0.313213,0.00842348
1494435735028,88.08,187.96,16.37,135.93,109.95,0.772798,69.68,0,0.284429,-0.0287847
1494435735035,88.07,187.57,14.94,136.42,110.16,0.927357,69.7,0,0.390128,0.105699
1494435735042,88,187.27,14.07,137.31,110.43,0.309119,69.72,0,0.308061,-0.0820663
1494435735049,87.89,186.92,13.35,137.59,110.74,0.618238,69.74,0,0.36687,0.0588088
1494435735056,87.6,186.55,12.6,137.83,110.94,1.08192,69.76,0,0.470103,0.103233
1494435735064,87.48,186.2,12.1,138.12,111.16,0.772798,69.78,0,0.370007,-0.100096
1494435735071,87.31,185.88,11.59,138.47,111.16,0.772798,69.8,0,0.362359,-0.00764763
1494435735078,87.13,185.56,11.08,138.78,111.46,0.618238,69.82,0,0.367144,0.00478542
1494435735085,86.97,185.31,10.26,139.1,111.65,0.463679,69.84,0,0.296814,-0.0703301
1494435735092,86.87,185.03,9.6,139.37,111.77,0.618238,69.86,0,0.297322,0.000507951
1494435735099,86.78,184.86,9.23,139.83,112.05,0.618238,69.88,0,0.192351,-0.104972
1494435735105,86.72,184.76,8.88,140.01,112.24,0.463679,69.9,0,0.116623,-0.0757275
1494435735111,86.66,184.67,8.5,140.13,112.78,0.772798,69.92,0,0.108166,-0.00845665
1494435735117,86.68,184.64,8.16,140.38,112.85,0.463679,69.94,0,0.0360569,-0.0721095
1494435735124,86.77,184.66,7.85,140.49,112.79,0.927357,69.96,0,0.0921895,0.0561326
1494435735132,86.88,184.65,7.59,140.54,113.06,0.618238,69.98,0,0.110454,0.0182642
1494435735139,87.04,184.71,7.21,140.65,112.93,0.927357,70,0,0.170883,0.0604289
1494435735146,87.22,184.77,6.98,140.48,112.78,0.15456,70.02,0,0.189736,0.0188535
1494435735153,87.52,184.84,6.72,140.5,112.74,0,70.04,0,0.308056,0.118319
1494435735162,87.67,184.9,6.45,140.54,112.77,0.618238,70.06,0,0.161555,-0.1465
1494435735172,87.86,185.01,6.34,140.53,112.76,0.618238,70.09,0,0.219547,0.057992
1494435735188,88.06,185.08,6.34,140.81,112.85,0.309119,70.13,0,0.211896,-0.00765166
1494435735196,88.23,185.07,6.47,140.8,112.75,0.309119,70.16,0,0.170293,-0.0416031
1494435735208,88.41,185.1,6.59,141.52,112.49,0.618238,70.19,0,0.182483,0.0121904
1494435735244,88.38,184.97,6.53,142.34,112.35,0.772798,70.26,0,0.133406,-0.0490767
1494435735252,87.92,184.77,5.96,142.5,112.65,0.309119,70.32,0,0.501601,0.368195
1494435735260,87.79,184.66,5.7,143.3,112.76,0.772798,70.34,0,0.170292,-0.331309
1494435735268,87.65,184.54,5.44,143.51,112.7,0.463679,70.36,0,0.184387,0.0140951
1494435735275,87.53,184.42,5.04,143.73,112.8,0.463679,70.38,0,0.169704,-0.0146831
1494435735283,87.45,184.34,4.65,143.88,112.65,0.927357,70.4,0,0.11314,-0.0565644
1494435735291,87.35,184.23,4.24,143.92,112.77,0.772798,70.42,0,0.14866,0.0355204
1494435735299,87.32,184.13,3.86,144.08,112.88,0.15456,70.44,0,0.104409,-0.0442516
1494435735306,87.22,184.12,3.04,144.25,112.59,0.772798,70.46,0,0.100497,-0.00391187
1494435735314,87.09,184.02,2.63,144.44,112.48,0.463679,70.48,0,0.16402,0.0635231
1494435735321,87.03,183.95,2.24,144.45,112.24,0.15456,70.5,0,0.0921878,-0.0718319
1494435735328,86.92,183.87,1.88,144.59,111.96,0.309119,70.52,0,0.136016,0.0438285
1494435735335,86.83,183.79,1.53,144.71,111.79,0.463679,70.54,0,0.120414,-0.0156019
1494435735342,86.8,183.79,1.32,144.85,111.74,0.309119,70.56,0,0.0300064,-0.090408
1494435735349,86.67,183.8,1.15,145.04,111.54,0.15456,70.6,1,0.130382,0.100376
1494435735360,86.56,183.91,1.01,145.13,111.13,0.618238,70.61,1,0.155554,0.0251715
1494435735368,86.52,184.11,0.98,145.05,111.01,0.772798,70.64,1,0.203973,0.0484194
1494435735380,86.56,184.41,0.97,144.66,110.54,0.309119,70.67,1,0.302643,0.09867
1494435735388,86.67,184.83,0.98,144.51,110.18,0,70.7,1,0.434179,0.131536
1494435735396,86.76,185.02,1.03,144.41,110.14,0.309119,70.72,1,0.210225,-0.223954
1494435735408,86.87,185.23,1.11,144.18,109.23,0.463679,70.75,0,0.237072,0.0268468
1494435735416,87.02,185.32,1.45,144.12,108.98,0.772798,70.78,0,0.174928,-0.0621436
1494435735432,87.02,185.32,1.7,144.41,108.66,0.618238,70.81,0,0,-0.174928
1494435735440,87.02,185.21,1.95,144.52,108.74,0.463679,70.84,0,0.110001,0.110001
1494435735448,86.88,185.03,2.07,144.68,108.58,0.463679,70.86,0,0.228029,0.118028
1494435735456,86.77,184.82,2.19,144.92,108.58,0.772798,70.88,0,0.237072,0.0090427
1494435735468,86.58,184.55,2.16,144.51,108.9,0.309119,70.91,0,0.33014,0.0930679
1494435735474,86.35,184.31,1.71,144.39,108.35,0.772798,70.94,0,0.332422,0.00228217
1494435735481,86.28,184.15,1.41,144.26,107.94,0.618238,70.96,0,0.174646,-0.157776
1494435735488,86.13,183.98,1.07,144.46,107.99,0.463679,70.98,0,0.226715,0.0520696
1494435735496,85.96,183.82,0.63,144.41,107.92,0.463679,71.02,1,0.233454,0.00673822
1494435735502,85.81,183.55,0.35,144.46,107.87,0.463679,71.02,1,0.30886,0.0754065
1494435735508,85.7,183.04,0.42,144.5,107.99,0.463679,71.04,1,0.521738,0.212878
1494435735516,85.4,182.7,0.42,144.47,107.95,0.772798,71.06,1,0.453426,-0.068312
1494435735524,84.97,182.31,0.49,144.45,108.19,-0.15456,71.08,1,0.580517,0.127091
1494435735532,84.57,182.04,0.39,144.38,108.07,0.772798,71.1,1,0.482601,-0.097916
1494435735538,84.3,181.81,0.44,144.39,108.41,0.618238,71.12,1,0.354683,-0.127917
1494435735544,84.06,181.69,0.43,144.24,108.41,0.618238,71.14,1,0.268324,-0.0863594
1494435735560,83.87,181.54,0.46,144.08,108.5,0.772798,71.17,1,0.242082,-0.0262421
1494435735600,83.81,181.48,0.48,143.92,109.17,0.772798,71.25,1,0.0848494,-0.157233
1494435735652,83.88,181.54,0.49,144.78,111.69,1.5456,71.38,1,0.0921936,0.00734427
