Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1492954983454,89.62,209.88,24.81,49.89,-62.55,-0.618238,295.63,0,0.220901,0.104278
1492954983462,89.9,209.88,24.74,49.85,-62.14,-0.309119,295.66,0,0.280006,0.0591052
1492954983470,90.17,209.94,24.77,49.53,-62.19,0.309119,295.68,0,0.276586,-0.00342056
1492954983478,90.33,209.94,24.9,49.61,-61.98,-0.463679,295.7,0,0.159996,-0.11659
1492954983486,90.72,210.04,25.05,49.51,-61.84,-0.309119,295.72,0,0.402621,0.242625
1492954983494,90.89,210.24,25.14,49.57,-61.6,-0.15456,295.74,0,0.262485,-0.140136
1492954983506,90.82,210.5,25.09,49.21,-61.7,-0.309119,295.77,0,0.269268,0.00678301
1492954983518,90.96,210.76,25,49.23,-61.28,-0.618238,295.81,0,0.295291,0.0260237
1492954983526,91.11,210.9,24.94,49.1,-61.43,0,295.84,0,0.205184,-0.0901078
1492954983542,91.23,211.01,24.85,48.88,-61.06,-0.772798,295.87,0,0.162785,-0.0423985
1492954983550,91.32,211.21,24.56,48.76,-60.91,-0.463679,295.9,0,0.219316,0.056531
1492954983562,91.58,211.38,24.48,48.82,-60.51,0,295.93,0,0.310639,0.0913229
1492954983570,91.79,211.59,24.29,48.82,-60.31,-0.15456,295.96,0,0.296994,-0.0136445
1492954983578,92.21,211.71,23.95,48.71,-60.42,-0.15456,295.98,0,0.436803,0.139809
1492954983586,92.5,211.81,23.84,48.76,-60.11,-0.618238,296,0,0.30676,-0.130043
1492954983593,92.77,211.89,23.71,48.34,-59.98,0,296.02,0,0.2816,-0.0251602
1492954983600,93.13,212.04,23.5,48.11,-60.09,-0.463679,296.04,0,0.389998,0.108398
1492954983607,93.36,212.18,23.39,48.05,-60.21,-0.15456,296.06,0,0.269261,-0.120737
1492954983614,93.44,212.3,23.2,48.02,-59.93,-0.15456,296.08,0,0.144215,-0.125046
1492954983621,93.59,212.37,23,47.83,-59.87,-0.772798,296.1,0,0.165534,0.0213192
1492954983629,93.76,212.44,22.88,47.98,-59.48,-0.309119,296.12,0,0.183849,0.0183149
1492954983637,93.91,212.52,22.51,47.65,-59.62,-0.309119,296.14,0,0.169995,-0.0138538
1492954983650,93.93,212.52,22.3,47.78,-59.53,-0.309119,296.17,0,0.0200043,-0.149991
1492954983657,94.09,212.46,22.07,47.81,-59.12,-0.309119,296.2,0,0.170876,0.150871
1492954983670,94.15,212.36,21.95,48.35,-58.1,-0.772798,296.23,0,0.116614,-0.0542616
1492954983678,94.24,212.29,21.69,48.36,-57.28,0,296.26,0,0.114019,-0.00259471
1492954983690,94.33,212.17,21.7,48.99,-56.24,-0.309119,296.29,0,0.149994,0.0359747
1492954983706,94.62,212.04,21.78,49.32,-55.53,-0.618238,296.33,0,0.317808,0.167814
