Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1492954593245,84.76,210.53,13.93,47.32,-59.02,0,250.47,0,0.150334,-0.153808
1492954593261,84.6,210.46,13.89,47.46,-58.61,0.15456,250.51,0,0.174642,0.0243077
1492954593281,84.7,210.43,14.03,47.59,-58.57,0.15456,250.56,0,0.104401,-0.0702405
1492954593289,84.94,210.52,14.26,47.46,-58.66,-0.15456,250.6,0,0.256317,0.151916
1492954593297,85.19,210.59,14.42,47.39,-58.71,0.309119,250.62,0,0.259617,0.00330022
1492954593309,85.36,210.75,14.57,47.52,-59.03,0.15456,250.65,0,0.233459,-0.026158
1492954593325,85.35,210.9,14.68,47.57,-59.3,-0.15456,250.69,0,0.150327,-0.0831321
1492954593337,85.1,210.99,14.72,47.53,-59.42,0.15456,250.73,0,0.265705,0.115378
1492954593345,84.88,211.01,14.78,47.66,-59.19,0.463679,250.76,0,0.220909,-0.0447966
1492954593361,84.69,211.05,14.92,47.48,-59.26,-0.15456,250.79,0,0.194166,-0.0267429
1492954593373,84.56,211.1,15.05,47.27,-59.19,0.309119,250.83,0,0.139282,-0.0548835
1492954593397,84.62,211.22,15.08,46.99,-59.19,0.463679,250.88,0,0.134172,-0.00511016
1492954593409,84.76,211.38,14.97,46.68,-59.36,0.309119,250.93,0,0.212594,0.0784215
1492954593417,84.79,211.55,14.68,46.5,-59.36,-0.15456,250.96,0,0.172626,-0.0399677
1492954593425,84.67,211.63,14.42,46.37,-59.3,-0.309119,250.98,0,0.144225,-0.0284007
1492954593437,84.66,211.77,14.3,45.87,-59.48,-0.463679,251.01,0,0.140356,-0.00386912
1492954593445,84.61,211.9,14.01,45.82,-59.46,-0.15456,251.04,0,0.139287,-0.00106943
1492954593453,84.54,211.97,13.75,45.8,-59.33,0.15456,251.06,0,0.0989999,-0.0402869
1492954593461,84.48,212.05,13.57,45.71,-59.26,0.15456,251.08,0,0.0999924,0.000992462
1492954593467,84.54,212.22,13.36,45.72,-59.48,0.15456,251.1,0,0.180292,0.0802996
1492954593473,84.53,212.36,12.97,45.6,-59.34,0.15456,251.12,0,0.140356,-0.0399357
1492954593481,84.5,212.48,12.73,45.44,-59.38,-0.309119,251.14,0,0.123688,-0.0166681
1492954593497,84.57,212.67,12.62,45.54,-59.23,0.927357,251.17,0,0.202487,0.0787986
1492954593509,84.7,212.82,12.63,45.46,-59.01,-0.309119,251.21,0,0.198488,-0.00399883
1492954593517,84.83,212.97,12.69,45.22,-58.81,0.309119,251.24,0,0.198504,1.65254e-005
1492954593529,84.98,213.19,12.81,45.56,-57.77,0,251.27,0,0.266268,0.0677637
1492954593537,85.22,213.45,12.99,45.71,-57.12,-0.309119,251.3,0,0.353836,0.0875677
1492954593545,85.36,213.65,13.12,45.92,-56.87,0.309119,251.32,0,0.244128,-0.109708
1492954593553,85.53,213.84,13.23,46.23,-56.64,0,251.34,0,0.254952,0.0108233
1492954593561,85.74,214.06,13.29,46.59,-56.46,0.15456,251.36,0,0.304138,0.0491868
1492954593568,86.12,214.27,13.46,46.6,-56.45,0,251.38,0,0.434159,0.130021
1492954593575,86.65,214.46,13.63,46.7,-55.95,0,251.4,0,0.563034,0.128875
1492954593582,87.25,214.76,13.81,46.39,-55.82,0.15456,251.42,0,0.67082,0.107786
1492954593589,87.84,215.17,14.21,46.35,-55.76,0,251.44,0,0.71847,0.0476493
1492954593597,88.25,215.45,14.52,46.14,-55.79,0,251.46,0,0.49649,-0.22198
1492954593603,88.83,215.64,14.8,45.86,-55.83,0.15456,251.48,0,0.610323,0.113833
1492954593609,89.38,215.92,14.95,45.7,-56.14,-0.15456,251.5,0,0.617173,0.00685012
1492954593617,90.01,216.36,15.15,45.61,-56.19,-0.463679,251.52,0,0.768439,0.151266
1492954593625,90.31,216.63,15.16,45.72,-56.41,-0.15456,251.54,0,0.403604,-0.364836
1492954593631,90.5,216.88,15.2,45.49,-56.51,0.463679,251.56,0,0.314008,-0.0895958
1492954593637,90.54,217.14,15.13,45.06,-56.87,0.463679,251.58,0,0.263069,-0.0509391
1492954593645,90.47,217.42,15.08,44.91,-57.11,0.618238,251.6,0,0.288616,0.0255474
1492954593657,90.33,217.74,15.1,44.7,-57.21,0,251.62,0,0.349281,0.0606644
1492954593663,90.16,218,15.12,44.47,-57.6,0.463679,251.64,0,0.310652,-0.0386289
1492954593669,89.99,218.29,15.19,44.36,-58.33,0.309119,251.66,0,0.336148,0.0254963
1492954593675,89.78,218.66,15.06,44,-58.65,-0.309119,251.68,0,0.425436,0.0892883
1492954593681,89.4,219.16,14.99,43.79,-58.76,0,251.7,0,0.628011,0.202575
1492954593689,89.16,219.63,14.97,43.49,-59.29,-0.618238,251.72,0,0.527735,-0.100277
1492954593697,88.99,220.41,14.77,43.31,-59.48,0.15456,251.74,0,0.798309,0.270575
1492954593704,88.72,220.91,14.63,42.28,-60.36,0.309119,251.76,0,0.568241,-0.230068
1492954593711,88.42,221.49,14.48,42.1,-60.87,0.15456,251.78,0,0.652996,0.0847548
1492954593717,88.21,222.06,14.3,42.29,-60.87,0.15456,251.8,0,0.60746,-0.0455359
1492954593725,88.04,222.69,14.3,42.61,-61.26,0,251.82,0,0.652538,0.0450775
