Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1492955187886,86.74,216.74,18.24,49.84,-61.54,-0.15456,26.48,0,0.180275,-0.16382
1492955187893,86.64,216.91,18.64,49.93,-61.49,-0.15456,26.5,0,0.197228,0.0169535
1492955187900,86.61,217.09,18.87,49.98,-61.6,0,26.52,0,0.18249,-0.014738
1492955187907,86.45,217.32,18.85,50.42,-61.78,0,26.54,0,0.280177,0.0976866
1492955187915,86.39,217.46,19.1,50.48,-61.81,-0.772798,26.56,0,0.152314,-0.127863
1492955187926,86.41,217.69,19.37,50.4,-61.98,0,26.59,0,0.230879,0.0785646
1492955187934,86.54,217.96,19.68,50.35,-61.91,0,26.62,0,0.299659,0.0687801
1492955187942,86.61,218.12,19.95,50.35,-61.56,0,26.64,0,0.174646,-0.125013
1492955187950,86.71,218.29,20.38,50.24,-61.66,-0.309119,26.66,0,0.197228,0.0225828
1492955187956,86.81,218.49,20.56,50.22,-61.45,0,26.68,0,0.223603,0.0263749
1492955187963,87.01,218.64,20.84,50.26,-61.39,-0.15456,26.7,0,0.250003,0.0263996
1492955187970,87.19,218.85,20.89,50.35,-61.51,0.309119,26.72,0,0.27658,0.026577
1492955187978,87.46,219.05,20.94,50.16,-61.56,0,26.74,0,0.336008,0.0594275
1492955187986,87.82,219.32,20.95,49.76,-61.49,0.15456,26.76,0,0.450003,0.113995
1492955187993,88.11,219.53,20.9,49.73,-61.64,-0.15456,26.78,0,0.358055,-0.0919481
1492955188001,88.46,219.71,20.95,49.63,-61.34,-0.463679,26.8,0,0.393569,0.0355137
1492955188009,88.89,219.99,20.83,49.38,-61.29,0.15456,26.82,0,0.513127,0.119559
1492955188016,89.11,220.12,20.88,49.27,-61.67,-0.463679,26.84,0,0.255542,-0.257585
1492955188023,89.25,220.28,20.6,49.16,-61.71,0.463679,26.86,0,0.212605,-0.0429369
1492955188032,89.32,220.45,20.24,49.03,-61.98,0,26.88,0,0.183846,-0.0287593
1492955188042,89.46,220.57,20.07,49,-62.27,0.15456,26.91,0,0.184387,0.0005413
1492955188050,89.6,220.63,19.83,48.99,-62.56,-0.15456,26.94,0,0.152314,-0.0320733
1492955188070,89.56,220.66,19.71,48.71,-62.89,-0.15456,26.98,0,0.05,-0.102314
1492955188090,89.63,220.61,19.6,48.52,-63.27,0.15456,27.04,0,0.0860159,0.0360159
1492955188114,89.57,220.44,19.53,48.22,-64.39,-0.15456,27.1,0,0.180275,0.0942591
1492955188122,89.39,220.24,19.47,48.16,-64.51,0,27.14,0,0.269082,0.0888067
1492955188130,89.2,219.99,19.64,48.26,-64.36,0.15456,27.16,0,0.314008,0.0449261
1492955188138,89.02,219.75,19.67,48.49,-64.48,0.15456,27.18,0,0.299992,-0.0140155
1492955188146,88.83,219.49,19.78,48.34,-64.18,-0.15456,27.2,0,0.322034,0.0220418
1492955188154,88.59,219.22,19.87,48.4,-64.51,-0.15456,27.22,0,0.361238,0.0392041
1492955188162,88.38,218.82,19.91,48.33,-64.48,-0.15456,27.24,0,0.451782,0.0905437
1492955188171,88.22,218.37,20.1,48.26,-64.63,-0.15456,27.26,0,0.477594,0.025812
1492955188178,88.11,218.11,20.23,48.12,-64.47,0.15456,27.28,0,0.282307,-0.195287
1492955188186,87.91,217.83,20.47,48.2,-64.48,-0.309119,27.3,0,0.344095,0.0617876
1492955188192,87.81,217.48,20.39,48.14,-64.86,0,27.32,0,0.364011,0.0199163
1492955188200,87.73,217.12,20.23,48.12,-65.33,-0.463679,27.34,0,0.368783,0.0047718
1492955188206,87.84,216.84,20.06,47.95,-65.37,0,27.36,0,0.300831,-0.0679515
1492955188214,87.88,216.49,19.9,47.55,-65.25,-0.15456,27.38,0,0.352284,0.0514532
1492955188220,88,216.2,19.61,47.46,-65.24,0.463679,27.4,0,0.313842,-0.0384425
1492955188228,88.09,215.68,19.39,47.68,-65.55,0.309119,27.42,0,0.527735,0.213893
1492955188234,88.03,215.21,19.31,47.62,-65.67,-0.15456,27.44,0,0.473815,-0.0539194
1492955188242,87.91,214.51,19.2,47.75,-66.16,0,27.46,0,0.710209,0.236394
1492955188247,87.78,213.95,19.03,47.95,-66.48,0,27.48,0,0.574888,-0.13532
1492955188254,87.69,213.28,18.78,47.98,-66.81,0.309119,27.5,0,0.676016,0.101128
1492955188260,87.61,212.59,18.78,48.08,-66.92,0.15456,27.52,0,0.694624,0.0186075
1492955188267,87.48,211.95,18.74,47.56,-66.55,-0.463679,27.54,0,0.65307,-0.0415539
1492955188274,87.45,211.25,18.66,47.67,-67.35,0.15456,27.56,0,0.700639,0.0475695
1492955188281,87.39,210.6,18.61,47.85,-67.61,-0.15456,27.58,0,0.652772,-0.0478672
1492955188288,87.4,209.8,18.46,47.67,-67.96,0.15456,27.6,0,0.800066,0.147293
1492955188296,87.43,209.2,18.28,47.24,-68.47,0.309119,27.62,0,0.60074,-0.199325
1492955188304,87.53,208.65,18.11,47.27,-68.63,-0.15456,27.64,0,0.55902,-0.0417206
1492955188312,87.77,207.98,17.44,47.28,-69.05,-0.463679,27.66,0,0.711686,0.152666
1492955188319,87.85,207.16,17.03,47.06,-68.93,-0.463679,27.68,0,0.823901,0.112215
1492955188325,87.93,206.57,16.76,46.71,-69.12,0.15456,27.7,0,0.595396,-0.228505
1492955188332,88.05,205.96,16.37,46.56,-69.24,-0.309119,27.72,0,0.621691,0.0262953
