Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1492954785521,86.53,209.16,25.61,50.66,-68.16,0,-94.47,0,0.0509921,-0.0395575
1492954785549,86.6,209.14,25.45,50.66,-67.98,0.309119,-94.41,0,0.0727978,0.0218057
1492954785557,86.78,209.05,24.99,50.62,-67.92,0.463679,-94.36,0,0.201252,0.128454
1492954785565,86.8,208.92,24.74,50.63,-68.12,0,-94.34,0,0.131519,-0.0697329
1492954785577,86.88,208.72,24.67,50.24,-67.98,0.15456,-94.31,0,0.215404,0.0838857
1492954785585,86.87,208.5,24.54,50.17,-68.05,0.15456,-94.28,0,0.220228,0.00482403
1492954785601,86.89,208.28,24.45,49.77,-68.29,0.309119,-94.25,0,0.220909,0.000680357
1492954785608,86.77,207.99,24.29,49.72,-69.01,0.618238,-94.22,0,0.313856,0.0929472
1492954785614,86.64,207.75,24.05,49.84,-69.16,0.463679,-94.2,0,0.272937,-0.040919
1492954785621,86.55,207.49,23.74,49.81,-69.02,0,-94.18,0,0.275147,0.00220987
1492954785629,86.4,207.23,23.56,49.56,-69.2,0,-94.16,0,0.300159,0.0250119
1492954785635,86.21,207,23.21,49.44,-69.26,-0.15456,-94.14,0,0.298327,-0.00183186
1492954785641,85.99,206.73,22.95,49.33,-69.61,0.618238,-94.12,0,0.348286,0.0499586
1492954785649,85.69,206.47,22.7,49.32,-69.63,0.463679,-94.1,0,0.396987,0.0487018
1492954785657,85.5,206.23,22.52,49.1,-69.97,0,-94.08,0,0.306106,-0.0908817
1492954785665,85.41,206.06,22.35,49.09,-69.99,0.463679,-94.06,0,0.192354,-0.113752
1492954785672,85.27,205.93,22.12,49.05,-70.13,0.618238,-94.04,0,0.191053,-0.00130147
1492954785685,85.14,205.77,21.86,49.03,-70.42,0.15456,-94.01,0,0.206156,0.0151038
1492954785693,85.07,205.64,21.68,49.02,-70.45,0,-93.98,0,0.147639,-0.0585174
1492954785705,84.94,205.55,21.52,49.07,-70.47,0,-93.95,0,0.158124,0.0104855
1492954785729,84.81,205.57,21.41,49.33,-70.62,0.309119,-93.9,0,0.131527,-0.0265971
1492954785741,84.73,205.71,21.39,49.11,-70.71,0.618238,-93.85,0,0.161246,0.0297181
1492954785749,84.8,205.89,21.49,49.07,-70.65,0.463679,-93.82,0,0.193139,0.0318938
1492954785757,84.86,206.03,21.65,48.99,-70.8,0,-93.8,0,0.152317,-0.0408224
1492954785765,84.96,206.23,21.81,48.88,-70.99,0.309119,-93.78,0,0.223603,0.0712865
1492954785777,85.04,206.42,21.9,48.85,-71.29,0,-93.75,0,0.206158,-0.0174452
1492954785785,84.94,206.7,21.83,48.95,-71.27,0.15456,-93.72,0,0.297322,0.091164
