Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1492955349713,78.42,214.49,25.99,49.16,-59.45,0,320.5,0,0.202249,-0.101388
1492955349720,78.46,214.38,25.77,49.06,-59.3,-0.463679,320.52,0,0.117048,-0.0852015
1492955349727,78.64,214.29,25.59,49,-59.12,-0.463679,320.54,0,0.201245,0.0841969
1492955349734,78.77,214.24,25.27,48.14,-59.06,0,320.56,0,0.139282,-0.0619623
1492955349741,78.98,214.19,24.74,47.74,-58.7,-0.309119,320.58,0,0.215867,0.0765842
1492955349748,78.91,214.3,24.08,47.52,-58.58,0,320.6,0,0.130372,-0.0854951
1492955349755,79.01,214.39,23.62,47.39,-58.47,0,320.62,0,0.134543,0.00417134
1492955349763,79.19,214.39,23.05,47.21,-58.48,0.15456,320.64,0,0.18,0.0454574
1492955349769,79.48,214.39,22.44,47.01,-58.44,0,320.66,0,0.290001,0.110001
1492955349776,79.71,214.35,21.17,47.47,-58.43,-0.309119,320.68,0,0.233457,-0.0565438
1492955349783,79.96,214.35,20.43,47.61,-58.22,-0.15456,320.7,0,0.25,0.0165429
1492955349791,80.21,214.3,19.9,47.54,-57.85,-0.463679,320.72,0,0.254952,0.00495157
1492955349799,80.49,214.16,19.47,47.63,-57.37,-0.463679,320.74,0,0.313048,0.0580966
1492955349805,80.7,213.99,19.04,47.94,-56.81,-0.618238,320.76,0,0.270183,-0.0428649
1492955349811,80.96,213.79,18.75,48.09,-56.27,-0.15456,320.78,0,0.328024,0.057841
1492955349819,81.43,213.36,18.69,48.39,-55.99,-0.309119,320.8,0,0.63702,0.308996
1492955349827,81.83,213.02,18.6,48.55,-55.66,-0.15456,320.82,0,0.524985,-0.112035
1492955349834,82.49,212.63,18.47,48.68,-55.52,0.309119,320.84,0,0.766612,0.241627
1492955349841,83.06,212.27,18.55,48.53,-55.56,-0.15456,320.86,0,0.674166,-0.092446
1492955349847,83.69,211.9,18.71,47.76,-54.87,0.309119,320.88,0,0.730611,0.0564451
1492955349855,84.33,211.46,18.76,48.02,-55.06,-0.463679,320.9,0,0.776667,0.0460554
1492955349863,84.97,211.04,18.85,47.97,-54.4,-0.309119,320.92,0,0.765505,-0.0111619
1492955349870,85.53,210.59,18.91,48.54,-53.8,0,320.94,0,0.718397,-0.0471076
1492955349876,85.96,210.07,18.92,48.89,-53.21,0,320.96,0,0.674763,-0.0436345
1492955349883,86.41,209.42,18.67,49.05,-52.8,-0.15456,320.98,0,0.790563,0.1158
1492955349891,86.99,208.72,18.02,48.91,-52.59,-0.772798,321,0,0.909064,0.118502
1492955349899,87.54,207.87,17.81,48.82,-52.85,0.463679,321.02,0,1.01243,0.103365
1492955349905,88.24,207.28,17.49,48.84,-52.66,0,321.04,0,0.915473,-0.0969563
1492955349911,88.99,206.52,17.38,48.52,-52.58,-0.309119,321.06,0,1.06776,0.152288
1492955349919,89.69,205.82,17.2,48.22,-52.82,-0.15456,321.08,0,0.989945,-0.0778164
1492955349927,90.29,205.16,16.94,48.04,-53.18,0.15456,321.1,0,0.891971,-0.0979742
1492955349933,90.71,204.51,16.65,48.14,-53.73,-0.15456,321.12,0,0.77388,-0.118091
1492955349939,91.01,203.92,16.37,48.15,-53.96,-0.15456,321.14,0,0.661886,-0.111994
1492955349947,91.38,203.41,16.07,48.14,-54.19,-0.15456,321.16,0,0.630089,-0.0317971
1492955349955,91.76,202.67,15.81,48.09,-54.61,-0.15456,321.18,0,0.831855,0.201767
1492955349963,92.03,202.26,15.64,48.22,-54.55,-0.618238,321.2,0,0.490923,-0.340932
1492955349968,92.22,201.81,15.61,48.14,-54.61,0,321.22,0,0.488465,-0.0024578
1492955349975,92.47,201.27,15.73,48.03,-54.94,-0.15456,321.24,0,0.595071,0.106606
1492955349983,92.82,200.91,15.83,47.97,-54.86,0.15456,321.26,0,0.502095,-0.0929758
1492955349991,93.2,200.55,15.93,47.87,-54.94,-0.463679,321.28,0,0.523438,0.0213431
1492955349999,93.59,200.19,15.92,47.52,-55.31,-0.15456,321.3,0,0.530754,0.00731611
1492955350005,94.26,199.88,15.93,47.78,-55.6,-0.15456,321.32,0,0.738245,0.207491
1492955350011,95.12,199.53,15.9,47.73,-55.65,0.15456,321.34,0,0.928491,0.190246
1492955350019,95.71,199.38,15.71,47.57,-55.36,-0.15456,321.36,0,0.608775,-0.319715
1492955350027,96.4,199.24,15.52,47.39,-55.09,-0.15456,321.38,0,0.704062,0.0952865
1492955350033,97.08,199.13,15.26,47.22,-54.98,-0.463679,321.4,0,0.688832,-0.0152295
1492955350039,97.88,199,14.86,47.1,-55.3,0.15456,321.42,0,0.810495,0.121663
1492955350047,98.68,198.73,14.67,46.85,-55.35,-0.15456,321.44,0,0.844338,0.0338433
1492955350055,99.24,198.51,14.46,46.81,-55.52,-0.309119,321.46,0,0.601663,-0.242676
1492955350063,99.96,198.39,14.18,46.53,-55.58,-0.772798,321.48,0,0.729932,0.128269
1492955350068,100.76,198.21,13.9,46.38,-55.47,0,321.5,0,0.819997,0.0900654
1492955350075,101.18,197.95,13.58,45.94,-55.96,0.15456,321.52,0,0.493966,-0.326032
1492955350083,101.51,197.64,13.39,45.88,-56.2,-0.309119,321.54,0,0.452763,-0.0412022
1492955350091,101.77,197.36,13.15,45.57,-56.36,-0.463679,321.56,0,0.3821,-0.0706633
1492955350099,102.13,197.06,13.03,45.41,-56.38,-0.309119,321.58,0,0.468617,0.0865174
1492955350105,102.47,196.8,12.9,45.15,-56.63,0.309119,321.6,0,0.428019,-0.0405989
1492955350111,102.91,196.62,12.84,44.97,-57.06,0,321.62,0,0.475393,0.0473743
1492955350119,103.24,196.34,12.6,44.63,-57.17,0.309119,321.64,0,0.432782,-0.0426105
1492955350127,103.59,196.1,12.49,44.33,-57.6,0.463679,321.66,0,0.424384,-0.00839856
1492955350133,104.01,195.93,12.22,44.16,-57.65,-0.309119,321.68,0,0.453098,0.0287143
1492955350140,104.36,195.83,12.03,44.01,-58.02,0.15456,321.7,0,0.364009,-0.0890892
1492955350147,104.64,195.71,11.75,43.71,-58.18,-0.15456,321.72,0,0.304634,-0.059375
1492955350155,104.81,195.52,11.49,43.49,-58.32,0,321.74,0,0.254952,-0.0496823
1492955350163,105.06,195.31,11.16,43.41,-58.72,0.15456,321.76,0,0.326491,0.0715395
1492955350168,105.13,195.08,10.85,43.34,-58.84,0.309119,321.78,0,0.240412,-0.0860789
1492955350175,105.33,194.81,10.6,43.11,-58.87,0.309119,321.8,0,0.336008,0.0955954
