Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1492178762140,99.81,191.85,34.7,46.34,-75.46,-0.618238,-16.6,0,0.633477,-0.208544
1492178762148,99.28,192.6,34.34,46.1,-75.45,-0.309119,-16.58,0,0.918367,0.28489
1492178762156,99.26,193.31,34.13,46.17,-75.02,-0.618238,-16.56,0,0.710289,-0.208079
1492178762162,99.07,193.85,33.77,46.2,-74.81,-0.309119,-16.54,0,0.572443,-0.137846
1492178762168,99.26,194.49,33.56,46.05,-74.8,0.15456,-16.52,0,0.667606,0.0951627
1492178762176,99.11,195.26,33.45,45.94,-74.34,-0.463679,-16.5,0,0.784477,0.116872
1492178762184,99.12,195.93,33.2,45.87,-74.38,0,-16.48,0,0.670073,-0.114405
1492178762192,98.94,196.57,32.85,45.77,-74.12,-0.309119,-16.46,0,0.66483,-0.00524247
1492178762199,99.09,197.25,32.57,45.6,-74.14,0,-16.44,0,0.696356,0.0315254
1492178762205,98.85,198.37,32.06,45.52,-73.77,0,-16.42,0,1.14542,0.449065
1492178762212,98.71,199.05,31.83,45.47,-73.71,0,-16.4,0,0.69427,-0.451151
1492178762220,98.78,199.65,31.46,45.45,-73.5,-0.15456,-16.38,0,0.60406,-0.0902094
1492178762226,98.65,200.25,31.27,45.53,-72.93,-0.15456,-16.36,0,0.613927,0.00986677
1492178762232,98.55,200.9,31.04,45.42,-72.03,-0.463679,-16.34,0,0.657642,0.043715
1492178762240,98.46,201.54,30.64,45.7,-71.59,-0.15456,-16.32,0,0.646296,-0.0113462
1492178762248,98.45,202.21,30.36,45.9,-71.07,-0.618238,-16.3,0,0.670073,0.0237768
1492178762256,98.36,202.94,30.17,45.75,-70.3,-0.463679,-16.28,0,0.735537,0.0654647
1492178762262,98.31,203.51,30.06,45.76,-69.71,0,-16.26,0,0.572181,-0.163356
1492178762268,98.28,203.98,30.03,45.38,-69.44,0.15456,-16.24,0,0.470958,-0.101223
1492178762276,98.49,204.57,29.96,45.41,-69.04,-0.463679,-16.22,0,0.626255,0.155297
1492178762284,98.58,205.21,30.09,45.29,-68.59,-0.309119,-16.2,0,0.646296,0.020041
1492178762292,98.64,205.71,30.01,45.01,-68.54,-0.463679,-16.18,0,0.503588,-0.142708
1492178762299,98.88,206.26,29.94,45.09,-68.47,-0.463679,-16.16,0,0.600085,0.0964975
1492178762306,99.03,206.78,29.9,45.1,-68.05,-0.15456,-16.14,0,0.541207,-0.0588784
1492178762313,98.99,207.34,29.67,44.93,-67.46,0,-16.12,0,0.561424,0.0202175
1492178762320,98.9,207.82,29.59,44.78,-66.87,-0.309119,-16.1,0,0.48836,-0.0730646
1492178762326,98.71,208.41,29.33,44.65,-66.71,-0.309119,-16.08,0,0.619836,0.131476
1492178762332,98.58,209.02,28.93,44.59,-66.1,0,-16.06,0,0.6237,0.00386429
1492178762340,98.49,209.45,28.85,44.64,-65.48,-0.15456,-16.04,0,0.439325,-0.184376
1492178762348,98.54,209.88,28.85,44.53,-65,0.15456,-16.02,0,0.43289,-0.00643438
1492178762356,98.52,210.43,28.8,44.3,-64.69,-0.463679,-16,0,0.550367,0.117476
1492178762361,98.59,210.94,28.51,43.96,-64.38,-0.15456,-15.98,0,0.514791,-0.0355756
