Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1492955495870,86.34,203.24,28.84,53.34,-53.72,0.15456,-74.8,0,0.165524,-0.0344732
1492955495882,86.31,203.34,28.97,53.57,-53.72,0.309119,-74.77,0,0.104409,-0.0611152
1492955495890,86.18,203.51,29.13,53.55,-53.64,-0.463679,-74.74,0,0.214006,0.109598
1492955495898,85.97,203.56,29.04,53.44,-53.71,-0.618238,-74.72,0,0.21587,0.00186393
1492955495910,85.8,203.68,29.02,53.42,-53.65,-0.618238,-74.69,0,0.208088,-0.0077817
1492955495918,85.59,203.82,29.1,53.54,-53.69,-0.309119,-74.66,0,0.252387,0.044299
1492955495938,85.48,203.95,29.01,53.77,-53.93,-0.618238,-74.62,0,0.170298,-0.0820895
1492955495946,85.38,204.06,29.17,53.87,-53.94,-0.309119,-74.58,0,0.14866,-0.0216379
1492955495966,85.37,204.12,29.31,53.83,-54.07,0.15456,-74.54,0,0.0608256,-0.0878346
1492955495975,85.42,204.1,29.61,53.84,-54.06,-0.15456,-74.5,0,0.0538561,-0.0069695
1492955495998,85.53,204.1,29.7,53.96,-54.64,0.309119,-74.46,0,0.110001,0.0561445
1492955496006,85.76,204.08,29.72,53.72,-54.6,-0.309119,-74.42,0,0.230863,0.120862
1492955496018,85.93,204.04,29.86,53.8,-54.97,0.618238,-74.39,0,0.17465,-0.0562126
1492955496027,86.11,204.02,29.99,53.69,-55.24,0,-74.36,0,0.181108,0.00645839
1492955496038,86.25,203.91,30.1,53.87,-55.38,-0.463679,-74.33,0,0.178045,-0.00306363
1492955496047,86.46,203.74,30.07,53.94,-55.48,0,-74.3,0,0.270183,0.0921384
1492955496062,86.52,203.65,30.23,53.94,-55.7,-0.309119,-74.27,0,0.108162,-0.162021
1492955496070,86.56,203.31,30.48,53.88,-55.86,-0.15456,-74.24,0,0.342341,0.234179
1492955496082,86.64,203.15,30.68,53.88,-55.93,0.618238,-74.21,0,0.17889,-0.163452
1492955496090,86.72,202.95,30.81,53.87,-55.77,0.15456,-74.18,0,0.215404,0.0365149
1492955496102,86.72,202.78,30.85,53.8,-55.32,-0.15456,-74.15,0,0.169998,-0.0454063
1492955496118,86.79,202.55,30.74,53.88,-54.9,-0.463679,-74.11,0,0.240412,0.070414
1492955496126,86.82,202.33,30.58,53.68,-54.85,-0.309119,-74.08,0,0.222037,-0.0183751
1492955496132,87.01,202.24,30.5,53.68,-54.76,-0.309119,-74.06,0,0.210238,-0.0117988
1492955496139,87.14,202.18,30.35,53.72,-54.56,0.309119,-74.04,0,0.143182,-0.0670566
1492955496154,87.2,202.04,30.14,54.07,-53.36,0,-74.01,0,0.152314,0.00913231
1492955496166,87.23,201.89,29.93,54.44,-52.85,-0.15456,-73.97,0,0.152964,0.000650421
1492955496174,87.29,201.75,29.69,54.39,-52.54,0,-73.94,0,0.152317,-0.000647411
1492955496182,87.55,201.56,29.59,54.28,-52.55,0,-73.92,0,0.322022,0.169705
1492955496190,87.95,201.43,29.47,54.17,-52.78,0.15456,-73.9,0,0.420598,0.0985759
1492955496198,88.22,201.31,29.45,54.1,-52.96,-0.15456,-73.88,0,0.295468,-0.12513
1492955496205,88.44,201.24,29.37,54.04,-53.02,0.309119,-73.86,0,0.230864,-0.0646036
1492955496218,88.47,201.02,29.41,54.12,-53.36,0.15456,-73.83,0,0.222038,-0.00882593
1492955496230,88.23,200.81,29.07,53.9,-53.51,-0.618238,-73.8,0,0.318903,0.0968648
1492955496236,87.98,200.68,29.03,53.8,-53.63,-0.463679,-73.78,0,0.281782,-0.0371206
1492955496242,87.78,200.56,28.86,53.72,-53.78,-0.15456,-73.76,0,0.233233,-0.0485494
1492955496250,87.55,200.41,28.58,53.53,-53.95,0,-73.74,0,0.274598,0.0413655
1492955496257,87.28,200.23,28.4,53.72,-54.03,-0.309119,-73.72,0,0.324493,0.0498943
1492955496263,87.19,200.13,28.23,53.71,-54.14,-0.463679,-73.7,0,0.134543,-0.189949
1492955496270,87.01,199.97,27.98,53.69,-54.04,0.15456,-73.68,0,0.240824,0.106281
1492955496282,86.85,199.82,27.83,53.3,-54.16,0,-73.65,0,0.21932,-0.0215039
1492955496290,86.67,199.6,27.54,53.13,-54.3,-0.15456,-73.62,0,0.284255,0.0649341
1492955496302,86.6,199.49,27.43,52.81,-54.42,-0.309119,-73.59,0,0.130384,-0.15387
1492955496310,86.57,199.41,27.01,52.79,-54.26,-0.15456,-73.56,0,0.0854413,-0.0449431
1492955496318,86.56,199.32,26.75,52.68,-53.87,0.15456,-73.54,0,0.0905504,0.00510912
1492955496326,86.57,199.25,26.34,52.77,-53.61,-0.618238,-73.52,0,0.0707031,-0.0198473
1492955496333,86.63,199.28,26.04,52.66,-53.3,0,-73.5,0,0.0670793,-0.00362381
1492955496341,86.73,199.31,25.65,52.66,-53.44,0.309119,-73.48,0,0.104401,0.0373219
1492955496349,86.81,199.33,25.35,52.4,-52.94,-0.309119,-73.46,0,0.0824649,-0.0219363
1492955496356,87.08,199.45,25.21,52.3,-53.03,0,-73.44,0,0.295468,0.213003
1492955496364,87.39,199.56,25.04,52.18,-53.01,-0.309119,-73.42,0,0.328936,0.0334679
1492955496371,87.94,199.77,25.04,52.11,-53,0.15456,-73.4,0,0.58872,0.259785
1492955496377,88.28,199.99,25.01,51.95,-53.18,0,-73.38,0,0.404973,-0.183747
1492955496382,88.43,200.1,24.89,51.81,-53.16,0,-73.36,0,0.186012,-0.218961
1492955496390,88.64,200.25,24.66,51.64,-53.28,-0.15456,-73.34,0,0.258074,0.072062
1492955496398,88.62,200.31,24.45,51.39,-53.46,0.463679,-73.32,0,0.0632446,-0.19483
1492955496404,88.48,200.35,24.28,51.35,-53.52,0,-73.3,0,0.1456,0.0823552
1492955496418,88.32,200.44,24.09,51.09,-53.62,-0.15456,-73.27,0,0.183578,0.0379781
1492955496426,87.89,200.53,23.77,50.99,-53.54,-0.15456,-73.24,0,0.439317,0.255739
1492955496431,87.67,200.58,23.61,50.86,-53.44,-0.309119,-73.22,0,0.225612,-0.213705
1492955496438,87.45,200.64,23.34,50.63,-53.36,0,-73.2,0,0.228036,0.00242347
1492955496446,87.26,200.68,23.21,50.44,-53.59,0,-73.18,0,0.194166,-0.0338697
1492955496454,87,200.78,23.08,50.28,-53.93,-0.15456,-73.16,0,0.278565,0.084399
1492955496462,86.81,200.85,22.92,49.91,-54.06,-0.15456,-73.14,0,0.202484,-0.0760807
1492955496468,86.64,200.97,22.77,49.7,-54.12,0.463679,-73.12,0,0.208091,0.00560689
1492955496474,86.53,201.15,22.68,49.64,-54.15,-0.309119,-73.1,0,0.210944,0.00285329
1492955496482,86.27,201.3,22.58,49.5,-54.38,0,-73.08,0,0.300173,0.0892287
1492955496490,85.76,201.51,22.14,49.23,-54.59,-0.15456,-73.06,0,0.551542,0.251369
1492955496498,85.12,201.48,21.89,49.23,-54.71,-0.463679,-73.04,0,0.640702,0.0891601
1492955496505,84.5,201.49,21.58,48.99,-54.38,0.15456,-73.02,0,0.620076,-0.0206264
1492955496512,84.03,201.51,21.28,48.81,-54.51,0,-73,0,0.470427,-0.149649
1492955496518,83.59,201.42,21.01,48.73,-54.52,-0.309119,-72.98,0,0.449112,-0.0213149
1492955496526,83.15,201.29,20.73,48.35,-54.7,0,-72.96,0,0.458799,0.00968733
1492955496531,82.71,201.16,20.33,48.19,-54.72,-0.463679,-72.94,0,0.458807,7.30157e-006
