Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1494344036225,45.69,268.14,8.34,95.47,31.96,0.15456,-129.34,0,0.0509786,0.0109701
1494344036365,45.7,268.13,8.36,95.29,32.01,0.463679,-128.97,0,0.014129,-0.0368497
1494344036509,45.7,268.11,8.39,95.56,32.13,0.15456,-128.57,0,0.0200195,0.00589055
1494344036637,45.7,268.15,8.37,95.59,31.97,0.15456,-128.19,0,0.0400085,0.019989
1494344036785,45.69,268.13,8.38,95.39,32.01,0.927357,-127.81,0,0.0223518,-0.0176567
1494344036925,45.69,268.11,8.39,95.37,32.08,0.463679,-127.41,0,0.0200195,-0.00233228
1494344036937,45.71,267.96,8.4,95.59,31.97,0.15456,-127.19,0,0.151321,0.131302
1494344036961,45.69,268.08,8.38,95.49,31.98,0.15456,-127.14,0,0.121651,-0.029671
1494344037017,45.67,268.15,8.37,95.41,32.05,-0.15456,-127.03,0,0.0728083,-0.0488422
1494344037101,45.59,268.19,8.35,95.5,30.85,0.309119,-126.83,0,0.0894448,0.0166365
1494344037109,45.04,268.49,8.24,95.7,30.64,0.618238,-126.7,0,0.626495,0.53705
1494344037117,44.95,268.67,8.31,95.51,30.36,0.618238,-126.68,0,0.201238,-0.425257
1494344037129,44.82,268.77,8.3,95.48,29.81,0.772798,-126.65,0,0.164017,-0.0372212
1494344037137,44.65,268.9,8.24,95.58,29.8,0.772798,-126.62,0,0.214014,0.0499971
1494344037153,44.46,269.03,8.18,95.41,29.79,0.309119,-126.59,0,0.230219,0.016205
1494344037161,44.03,269.25,8.18,95.29,29.6,0.463679,-126.56,0,0.483012,0.252793
1494344037168,43.85,269.5,8.17,95.48,29.5,0.618238,-126.54,0,0.308059,-0.174954
1494344037175,43.71,269.63,8.25,95.46,29.31,0.618238,-126.52,0,0.191053,-0.117006
1494344037201,43.62,269.68,8.33,94.91,28.61,0.772798,-126.47,0,0.102951,-0.0881021
1494344037209,43.36,269.82,8.47,94.63,28.51,0.309119,-126.42,0,0.295302,0.192351
1494344037217,43.24,269.98,8.44,94.21,28.28,0.463679,-126.4,0,0.19998,-0.0953218
1494344037229,43,270.04,8.61,93.49,28,0.463679,-126.37,0,0.247391,0.0474109
1494344037237,42.77,270.04,8.87,93.17,27.81,0.772798,-126.34,0,0.23,-0.0173915
1494344037245,42.62,270.14,9.21,92.59,27.69,0.309119,-126.32,0,0.180265,-0.0497342
1494344037253,42.49,270.13,9.58,92.04,27.56,0.927357,-126.3,0,0.130384,-0.0498818
1494344037261,42.33,270.16,10,91.65,27.54,0.772798,-126.28,0,0.162788,0.0324043
1494344037269,42.18,270.22,10.36,90.79,27.45,0.927357,-126.26,0,0.161552,-0.00123593
1494344037277,42.09,270.24,10.79,90,27.35,0.463679,-126.24,0,0.0921932,-0.0693587
1494344037285,41.91,270.3,11.19,89.34,27.18,0.927357,-126.22,0,0.189736,0.097543
1494344037293,41.75,270.32,11.67,88.55,27.09,0.309119,-126.2,0,0.161247,-0.0284887
1494344037301,41.63,270.4,12.19,87.47,27.1,0,-126.18,0,0.144217,-0.0170305
1494344037307,41.53,270.38,12.66,86.74,27.06,0.463679,-126.16,0,0.101977,-0.0422402
1494344037315,41.52,270.48,13.83,85.91,26.95,0.618238,-126.14,0,0.100474,-0.00150245
1494344037323,41.57,270.63,14.69,84.94,26.81,0,-126.12,0,0.158137,0.0576625
1494344037331,113.85,308,14.61,83.68,26.6,0.15456,-126.1,0,81.369,81.2109
1494344037338,113.9,308,14.37,82.44,26.2,0.618238,-126.08,0,0.0499954,-81.319
1494344037348,113.87,307.98,13.89,80.96,25.97,0.309119,-126.06,0,0.0360653,-0.0139301
1494344037356,113.76,307.81,13.76,76.76,25.21,0.15456,-126.03,0,0.202471,0.166405
1494344037363,113.56,307.51,13.49,75.2,24.69,0.15456,-126,0,0.360569,0.158098
1494344037368,113.37,307.27,13.01,73.62,23.93,0.15456,-125.98,0,0.306098,-0.0544703
1494344037373,113.34,306.98,13.65,72.17,23.03,0.309119,-125.96,0,0.291556,-0.0145424
1494344037381,113.05,306.63,13.37,70.44,22.15,0.309119,-125.94,0,0.454515,0.162959
