Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1494344396459,76.65,239.13,48.96,62.46,-38.94,0,-180.54,0,1.44063,0.211323
1494344397209,95.84,223.28,37.9,39.64,-97.74,-0.15456,-180.32,0,24.8893,23.4487
1494344397219,95.61,223.31,37.4,39.69,-97.55,0,-180.32,0,0.231944,-24.6574
1494344397227,95.12,223.33,37.04,39.31,-97.2,-0.15456,-180.3,0,0.490414,0.25847
1494344397234,94.66,223.28,36.27,39.12,-97.12,-0.463679,-180.28,0,0.462709,-0.0277048
1494344397240,94.16,223.36,35.81,39.04,-97.46,0.463679,-180.26,0,0.50636,0.043651
1494344397246,93.61,223.11,34.99,38.98,-97.27,0.463679,-180.24,0,0.604148,0.0977883
1494344397254,93.29,222.94,34.35,38.89,-96.81,0.309119,-180.22,0,0.362352,-0.241796
1494344397262,92.76,222.55,33.38,38.97,-97.13,0.463679,-180.2,0,0.658041,0.295689
1494344397270,92.7,222.25,32.73,38.91,-98.24,-0.309119,-180.18,0,0.305929,-0.352112
1494344397278,92.56,222.01,32.14,38.5,-98.57,-0.15456,-180.16,0,0.277853,-0.0280754
1494344397285,92.5,221.61,31.58,38.15,-98.42,0.309119,-180.14,0,0.404469,0.126615
1494344397292,92.52,221.34,31.2,38.15,-98.16,0.309119,-180.12,0,0.270744,-0.133725
1494344397301,92.59,220.89,30.64,38.27,-97.18,0.309119,-180.1,0,0.455409,0.184665
1494344397308,92.52,220.45,30.24,38.41,-96.91,0,-180.08,0,0.445536,-0.00987309
1494344397317,92.39,219.96,29.47,38.63,-97.24,-0.15456,-180.06,0,0.506956,0.0614205
1494344397325,92.4,219.5,29.04,38.59,-97.09,0.618238,-180.04,0,0.4601,-0.0468561
1494344397333,92.28,219.12,28.48,38.57,-96.46,0,-180.02,0,0.398503,-0.0615976
1494344397340,92.32,218.71,28.14,38.78,-96.44,0.463679,-180,0,0.41195,0.0134477
1494344397348,92.37,218.03,27.57,38.65,-96.29,0,-179.98,0,0.681828,0.269878
1494344397355,92.27,217.65,27.26,38.62,-95.92,0.15456,-179.96,0,0.392942,-0.288886
1494344397363,92.19,217.12,27.11,38.63,-95.96,0.15456,-179.94,0,0.536003,0.143061
1494344397369,92.05,216.72,26.84,38.89,-95.5,-0.309119,-179.92,0,0.423786,-0.112216
1494344397376,92.2,216.35,26.51,38.66,-94.94,0.618238,-179.9,0,0.399259,-0.024527
1494344397382,92.22,215.94,26.41,38.67,-94.13,0.15456,-179.88,0,0.410476,0.0112167
1494344397390,92.26,215.55,26.19,38.71,-93.71,-0.463679,-179.86,0,0.39206,-0.0184163
1494344397396,92.55,215.24,26.05,38.97,-93.29,-0.463679,-179.84,0,0.424499,0.0324387
1494344397403,92.68,215.08,25.92,38.93,-92.61,0.463679,-179.82,0,0.206149,-0.218349
1494344397409,92.93,214.89,26.02,38.98,-92.65,-0.15456,-179.8,0,0.314008,0.107858
1494344397415,93.09,214.69,25.76,38.71,-92.1,0.15456,-179.78,0,0.25612,-0.0578877
1494344397422,93.48,214.49,25.67,38.88,-91.76,0,-179.76,0,0.438297,0.182177
1494344397428,93.67,214.3,25.49,38.82,-91.38,-0.15456,-179.74,0,0.268704,-0.169593
1494344397436,93.98,214.15,25.49,38.74,-91,0.309119,-179.72,0,0.344379,0.0756746
1494344397443,94.25,213.89,25.19,38.66,-91.02,0,-179.7,0,0.374833,0.0304539
1494344397450,94.45,213.85,25.16,38.59,-90.46,0,-179.68,0,0.203959,-0.170873
1494344397457,94.76,213.73,25.07,38.62,-90.1,-0.15456,-179.66,0,0.332411,0.128452
1494344397463,95.02,213.61,25.07,38.36,-90.13,-0.15456,-179.64,0,0.286356,-0.046055
1494344397472,95.18,213.51,24.92,38.27,-89.83,-0.309119,-179.62,0,0.188686,-0.0976704
1494344397479,95.38,213.43,24.8,38.46,-89.77,-0.15456,-179.6,0,0.215404,0.0267185
1494344397487,95.61,213.31,24.76,38.34,-89.75,0.309119,-179.57,0,0.259423,0.0440187
1494344397494,95.92,213.14,24.67,38.23,-89.86,0,-179.54,0,0.35355,0.0941272
1494344397501,96.02,213.03,24.48,38.41,-89.59,0.618238,-179.52,0,0.14866,-0.20489
1494344397517,96.14,212.88,24.34,37.66,-88.79,0.309119,-179.49,0,0.192103,0.0434425
1494344397524,96.14,212.75,24.13,37.82,-88.83,0,-179.46,0,0.12999,-0.062113
1494344397531,96.13,212.55,24.07,38.12,-88.54,0.463679,-179.44,0,0.200262,0.0702725
1494344397538,96.05,212.37,23.79,38.26,-88.35,-0.309119,-179.42,0,0.196971,-0.00329094
1494344397545,95.9,212.2,23.71,38.16,-88.73,0,-179.4,0,0.22671,0.0297391
1494344397553,95.92,212.12,23.39,38.08,-88.88,-0.15456,-179.38,0,0.0824631,-0.144247
1494344397560,95.82,211.97,22.91,37.82,-88.98,0,-179.36,0,0.180272,0.0978086
1494344397567,95.68,211.85,22.71,37.72,-89.42,-0.15456,-179.34,0,0.184397,0.00412554
1494344397574,95.73,211.76,22.51,37.56,-88.56,-0.309119,-179.32,0,0.102951,-0.0814463
1494344397581,95.58,211.63,22.3,37.54,-88.55,0,-179.3,0,0.198499,0.0955478
1494344397589,95.5,211.59,22.04,37.32,-88.26,-0.309119,-179.28,0,0.0894345,-0.109064
1494344397596,95.42,211.54,21.78,37.11,-88.24,0,-179.26,0,0.094343,0.00490844
1494344397604,95.28,211.47,21.43,37.2,-88.07,0,-179.24,0,0.156521,0.0621777
1494344397611,95.18,211.48,21.04,36.99,-88.21,0,-179.22,0,0.100497,-0.056024
1494344397619,95.28,211.41,20.54,37.19,-88.53,-0.15456,-179.2,0,0.122069,0.0215718
1494344397626,95.19,211.38,20.32,36.94,-88.52,0.309119,-179.18,0,0.0948717,-0.0271968
1494344397633,95.29,211.46,20.11,36.79,-88.61,-0.309119,-179.16,0,0.128068,0.0331967
1494344397645,95.28,211.39,19.88,36.99,-88.05,-0.309119,-179.13,0,0.0707031,-0.0573653
1494344397653,95.1,211.33,19.71,37.05,-87.63,-0.309119,-179.1,0,0.189736,0.119033
1494344397662,94.85,211.13,19.76,37.12,-87.49,0.309119,-179.08,0,0.320164,0.130428
1494344397673,94.54,211.05,19.7,36.96,-87.54,0.15456,-179.05,0,0.320154,-9.53674e-006
1494344397681,94.14,210.76,19.86,37.01,-88.41,0.309119,-179.02,0,0.494062,0.173908
1494344397688,93.86,210.61,19.96,37.12,-88.55,-0.15456,-179,0,0.317644,-0.176418
1494344397695,93.44,210.39,20.1,36.95,-88.87,0.15456,-178.98,0,0.474136,0.156493
1494344397702,93.15,210.18,20.3,36.73,-88.9,0.309119,-178.96,0,0.358049,-0.116088
1494344397709,92.73,209.98,20.36,36.79,-88.91,0.618238,-178.94,0,0.465192,0.107143
1494344397717,92.38,209.76,20.49,36.59,-89.22,0.309119,-178.92,0,0.4134,-0.0517922
1494344397724,91.66,209.41,20.51,36.35,-89.9,0.618238,-178.9,0,0.800566,0.387166
1494344397731,91.27,209.19,20.5,35.83,-90.41,0,-178.88,0,0.447765,-0.352801
1494344397739,90.84,209.05,20.5,35.67,-91.07,-0.309119,-178.86,0,0.452222,0.00445679
1494344397746,90.38,208.96,20.5,35.56,-91.09,-0.463679,-178.84,0,0.46872,0.0164985
1494344397754,89.95,208.73,20.43,35.11,-91.26,0.463679,-178.82,0,0.487646,0.0189256
1494344397761,89.42,208.55,20.22,34.83,-92.08,0,-178.8,0,0.559733,0.0720878
1494344397767,88.79,208.39,20.04,34.78,-92.75,0.15456,-178.78,0,0.649994,0.090261
1494344397774,88.12,208.17,19.57,34.53,-93.93,0.309119,-178.76,0,0.705201,0.0552064
1494344397781,87.49,208.05,19.38,34.26,-94.5,0.15456,-178.74,0,0.641326,-0.0638749
1494344397788,86.96,207.86,19.13,33.96,-95.41,0.15456,-178.72,0,0.563022,-0.0783039
1494344397795,86.1,207.68,18.55,33.75,-95.83,-0.309119,-178.7,0,0.878638,0.315615
1494344397802,85.22,207.49,18.1,33.7,-96.4,0,-178.68,0,0.900276,0.021638
1494344397809,84.48,207.31,17.84,33.21,-96.99,0.309119,-178.66,0,0.761581,-0.138695
1494344397817,83.48,207.12,17.46,32.96,-97.3,-0.15456,-178.64,0,1.01789,0.25631
1494344397824,82.72,206.95,17.14,32.99,-97.63,-0.15456,-178.62,0,0.778775,-0.239115
1494344397830,81.8,206.79,16.81,33.09,-97.83,0,-178.6,0,0.933816,0.15504
1494344397837,81.07,206.47,16.62,33.23,-98.37,0.15456,-178.58,0,0.79705,-0.136766
1494344397845,80.28,206.13,16.47,33.02,-98.86,0,-178.56,0,0.860064,0.0630136
1494344397853,79.56,205.83,16.14,33.06,-98.88,0.463679,-178.54,0,0.779996,-0.0800672
1494344397860,79.09,205.53,16.13,32.9,-98.73,0.309119,-178.52,0,0.557587,-0.22241
1494344397867,78.62,205.14,16.05,32.49,-98.72,0.15456,-178.5,0,0.610738,0.0531511
1494344397873,78.35,204.82,16.09,32.26,-98.44,0.618238,-178.48,0,0.418692,-0.192046
1494344397881,77.96,204.47,16.11,32.16,-98.88,0.309119,-178.46,0,0.524016,0.105324
1494344397889,77.76,204.3,15.99,32.05,-99.02,0,-178.44,0,0.26249,-0.261526
1494344397895,77.58,204.09,15.93,31.91,-98.76,0.309119,-178.42,0,0.276587,0.0140963
1494344397902,77.51,203.96,15.73,31.46,-98.64,0.309119,-178.4,0,0.147656,-0.128931
1494344397909,77.42,203.87,15.45,31.39,-97.9,0.309119,-178.38,0,0.127274,-0.020382
1494344397917,77.49,203.84,15.18,31.32,-97.37,-0.15456,-178.36,0,0.076157,-0.0511171
1494344397924,77.48,203.8,14.88,31.26,-96.82,0,-178.34,0,0.0412251,-0.0349319
1494344397931,77.56,203.79,14.66,31.03,-96.09,0,-178.32,0,0.0806256,0.0394005
1494344397937,77.81,203.77,14.43,30.68,-95.23,-0.15456,-178.3,0,0.250799,0.170173
1494344397945,78.11,203.82,13.98,30.39,-94.84,0.618238,-178.28,0,0.304142,0.0533426
1494344397953,78.51,203.77,13.66,30.43,-94.15,0.309119,-178.26,0,0.403107,0.0989656
1494344397960,78.99,203.76,13.41,30.46,-93.91,0,-178.24,0,0.480107,0.0770002
1494344397967,79.47,203.81,13.22,30.25,-93.84,-0.15456,-178.22,0,0.482601,0.00249338
1494344397973,80.2,203.86,12.71,30.18,-93.69,0,-178.2,0,0.731706,0.249105
1494344397981,80.78,203.92,12.36,30.43,-93.08,0.618238,-178.18,0,0.583097,-0.14861
1494344397989,81.26,204.02,12.07,30.13,-92.93,-0.15456,-178.16,0,0.4903,-0.0927968
1494344397996,81.73,203.99,11.91,30.26,-92.54,0.309119,-178.14,0,0.470958,-0.0193424
1494344398003,82.23,204,11.77,30.41,-92.14,-0.463679,-178.12,0,0.5001,0.0291426
1494344398010,82.5,204.08,11.61,30.42,-91.99,0.15456,-178.1,0,0.281607,-0.218493
1494344398017,82.75,204.08,11.47,30.34,-91.69,0.15456,-178.08,0,0.25,-0.0316072
1494344398024,83.09,204.01,11.49,30.34,-91.49,0,-178.06,0,0.347129,0.097129
1494344398031,83.39,204.09,11.39,30.29,-91.72,0.309119,-178.04,0,0.310487,-0.0366421
1494344398038,83.67,204.05,11.4,30.15,-91.43,0.309119,-178.02,0,0.282841,-0.0276464
1494344398045,83.96,204,11.45,30.15,-91.66,0,-178,0,0.29428,0.0114397
1494344398053,84.17,204,11.43,30.11,-91.51,0,-177.98,0,0.209999,-0.0842811
1494344398060,84.38,204.01,11.43,30.05,-91.01,0.15456,-177.96,0,0.210237,0.000237703
1494344398067,84.6,204.06,11.41,30.22,-90.67,0,-177.94,0,0.225612,0.0153754
1494344398073,84.79,204.13,11.34,30.04,-90.48,0.309119,-177.92,0,0.202484,-0.023128
1494344398081,85.03,204.22,11.29,29.98,-90.14,0,-177.9,0,0.256322,0.0538381
1494344398088,85.27,204.29,11.31,30.11,-90.21,0.309119,-177.88,0,0.249996,-0.00632645
1494344398101,85.53,204.44,11.34,30.04,-89.73,0.463679,-177.85,0,0.300173,0.0501773
1494344398109,85.84,204.57,11.42,29.98,-89.69,0,-177.82,0,0.336148,0.0359754
1494344398117,86.04,204.69,11.35,29.84,-89.85,0,-177.8,0,0.233247,-0.102901
1494344398125,86.18,204.84,11.29,29.91,-89.54,0.15456,-177.78,0,0.205178,-0.0280694
1494344398137,86.32,204.96,11.34,30.08,-90.11,-0.309119,-177.75,0,0.184387,-0.0207907
1494344398145,86.48,205.18,11.29,29.8,-89.6,0.15456,-177.72,0,0.272028,0.0876408
1494344398153,86.62,205.38,11.25,29.9,-89.37,0.618238,-177.7,0,0.244128,-0.0278998
1494344398165,86.67,205.61,11.22,29.98,-89.14,-0.463679,-177.67,0,0.235383,-0.00874484
1494344398173,86.83,205.81,11.22,29.79,-89.46,0.309119,-177.64,0,0.256125,0.0207414
1494344398193,86.95,205.94,11.33,29.72,-90.2,-0.618238,-177.6,0,0.176918,-0.0792065
1494344398201,87.19,206.14,11.28,29.49,-90.73,-0.463679,-177.56,0,0.312406,0.135488
1494344398217,87.23,206.31,11.4,28.93,-91,0,-177.53,0,0.174641,-0.137765
1494344398224,87.2,206.58,11.42,28.77,-91.83,0.309119,-177.5,0,0.271666,0.0970247
1494344398237,87.01,206.82,11.51,28.64,-92.41,0,-177.47,0,0.306098,0.0344327
1494344398245,86.76,207.18,11.54,28.71,-92.45,0,-177.44,0,0.438293,0.132194
1494344398253,86.63,207.48,11.54,28.64,-92.46,0.15456,-177.42,0,0.326957,-0.111335
1494344398260,86.54,207.67,11.56,28.78,-92.14,0,-177.4,0,0.210239,-0.116719
1494344398267,86.29,207.85,11.76,28.63,-92.3,-0.309119,-177.38,0,0.308054,0.0978156
1494344398274,86.18,208.01,11.85,28.58,-92.54,0.463679,-177.36,0,0.194168,-0.113886
1494344398285,86.17,208.04,12,28.16,-92.58,0.15456,-177.33,0,0.0316223,-0.162546
1494344398301,86.3,208.06,12.2,27.99,-92.62,0.309119,-177.29,0,0.131527,0.0999051
1494344398309,86.47,208.21,12.19,27.73,-92.66,0.15456,-177.26,0,0.226716,0.0951886
1494344398317,86.65,208.32,12.06,27.62,-92.63,0.15456,-177.24,0,0.210951,-0.0157652
1494344398324,86.81,208.49,11.96,27.4,-92.73,0.463679,-177.22,0,0.233448,0.0224975
1494344398331,86.96,208.72,11.68,27.12,-92.99,0.15456,-177.2,0,0.274601,0.0411523
1494344398338,87.03,208.9,11.36,26.79,-92.61,0,-177.18,0,0.193125,-0.0814755
1494344398345,87.33,209.18,11.11,26.47,-92.4,0.15456,-177.16,0,0.410367,0.217242
1494344398353,87.49,209.41,10.83,26.07,-93.51,-0.15456,-177.14,0,0.280173,-0.130194
1494344398360,87.68,209.66,10.51,25.84,-93.88,0,-177.12,0,0.314008,0.0338351
