Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1494343207935,85.34,197.86,47.19,65.77,-93.69,0.15456,-54.76,0,0.0800018,-0.2751
1494343207943,85.1,198,47.12,66.07,-93.54,-0.309119,-54.74,0,0.277847,0.197845
1494343207955,85.01,198.1,47.15,67.23,-93.54,-0.618238,-54.71,0,0.134532,-0.143315
1494343207963,84.69,198.38,47.42,67.37,-93.17,0,-54.68,0,0.425205,0.290673
1494343207971,84.78,198.67,47.96,67.88,-92.75,0.309119,-54.66,0,0.303654,-0.121551
1494343207979,84.63,198.98,48.47,68.9,-92.45,0,-54.64,0,0.344382,0.0407281
1494343207987,84.59,199.48,49.28,69.77,-91.93,0,-54.62,0,0.501598,0.157216
1494343207995,84.84,200.27,50.62,71.09,-91.3,-0.463679,-54.6,0,0.828607,0.327009
1494343208002,85.1,200.71,51.7,72.51,-90.96,-0.15456,-54.58,0,0.511081,-0.317526
1494343208009,85.16,201.44,53.45,74.28,-90.82,0,-54.56,0,0.732472,0.221392
1494343208015,85,202.4,55.19,76.58,-90.63,0.309119,-54.54,0,0.973233,0.240761
1494343208021,85.01,203.61,57.31,79.26,-90.23,0.463679,-54.52,0,1.21005,0.236815
1494343208028,84.77,204.67,59.46,82.33,-90.14,0,-54.5,0,1.08683,-0.123221
1494343208647,86,198.18,38.39,54.09,-99,-0.463679,-54.28,0,6.60553,5.51871
1494343208656,85.76,198.15,37.54,54.47,-98.64,-0.772798,-54.28,0,0.241873,-6.36366
1494343208664,85.5,198.2,36.32,54.45,-98.41,-0.463679,-54.26,0,0.264759,0.0228862
1494343208672,85.47,198.23,35.5,54.47,-97.8,-0.618238,-54.24,0,0.0424247,-0.222335
1494343208680,85.18,198.35,34.81,54.6,-97.44,-0.463679,-54.22,0,0.313846,0.271421
1494343208688,84.85,198.42,34.07,54.67,-97.06,-0.15456,-54.2,0,0.337346,0.0234998
1494343208696,84.8,198.43,33.76,54.47,-96.47,-1.08192,-54.18,0,0.0509921,-0.286354
1494343208703,84.58,198.3,33.46,54.27,-95.92,-0.309119,-54.16,0,0.255528,0.204536
1494343208709,84.53,198.12,33,54.25,-95.17,-0.309119,-54.14,0,0.186824,-0.068704
1494343208715,84.44,197.91,32.57,54.04,-94.54,-0.309119,-54.12,0,0.228481,0.041657
1494343208722,84.42,197.8,32.19,53.76,-94.43,-0.309119,-54.1,0,0.111788,-0.116693
1494343208729,84.54,197.59,31.79,53.35,-93.74,-0.463679,-54.08,0,0.241875,0.130087
1494343208738,84.77,197.51,31.17,53.31,-93.05,-0.618238,-54.06,0,0.243512,0.00163756
1494343208745,84.9,197.35,30.61,53.14,-92.53,0,-54.04,0,0.206161,-0.0373513
1494343208752,85.17,197.32,30.08,52.92,-91.98,0,-54.02,0,0.271658,0.0654969
1494343208759,85.45,197.2,29.51,52.77,-91.32,-0.15456,-54,0,0.304628,0.0329698
1494343208764,85.81,197.2,28.62,52.69,-90.54,-0.15456,-53.98,0,0.360001,0.0553727
1494343208770,86.16,197,27.49,52.65,-89.59,-0.15456,-53.96,0,0.40311,0.0431094
1494343208776,86.57,196.92,26.71,52.76,-88.85,-0.463679,-53.94,0,0.417736,0.0146258
1494343208784,86.98,196.9,26.18,52.96,-88.09,-0.463679,-53.92,0,0.410484,-0.00725213
1494343208792,87.34,196.87,25.48,53.23,-87.56,-0.463679,-53.9,0,0.361248,-0.0492354
1494343208800,87.86,196.84,24.91,53.6,-86.98,-0.309119,-53.88,0,0.520869,0.159621
1494343208806,88.4,196.78,24.4,54.13,-86.33,-0.309119,-53.86,0,0.543324,0.0224549
1494343208812,88.91,196.68,23.95,54.74,-85.83,-0.618238,-53.84,0,0.519707,-0.0236165
1494343208820,89.36,196.67,23.72,55.15,-85.61,-0.309119,-53.82,0,0.450116,-0.0695917
1494343208828,89.88,196.53,23.43,55.49,-85.42,-0.309119,-53.8,0,0.538513,0.0883975
1494343208836,90.38,196.48,23.47,55.93,-85.54,0.463679,-53.78,0,0.502494,-0.036019
1494343208842,90.89,196.4,23.62,56.16,-85.68,-0.309119,-53.76,0,0.516239,0.0137447
1494343208848,91.39,196.33,23.86,56.42,-86.27,-0.309119,-53.74,0,0.504875,-0.0113636
1494343208856,91.74,196.32,24.21,56.51,-86.63,-0.618238,-53.72,0,0.350142,-0.154734
1494343208864,92.08,196.4,24.44,56.38,-86.68,-0.15456,-53.7,0,0.349282,-0.000859737
1494343208872,92.39,196.55,24.8,56.52,-86.86,-0.772798,-53.68,0,0.344392,-0.0048897
