Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1492606151366,89.84,213.16,63.17,44.48,-56.78,0,236.58,0,0.438414,-0.0442885
1492606151374,90.08,213,62.84,44.32,-56.83,0.309119,236.6,0,0.288436,-0.149978
1492606151381,90.35,212.81,62.74,44.16,-56.78,0.15456,236.62,0,0.330156,0.0417205
1492606151390,90.31,212.44,62.62,44.13,-57.2,-0.15456,236.64,0,0.372151,0.0419948
1492606151397,90.6,212.26,62.45,44.12,-57.59,0.15456,236.66,0,0.341326,-0.0308252
1492606151406,91.19,212.29,62.1,44.29,-57.38,0.15456,236.68,0,0.590759,0.249433
1492606151414,91.58,212.13,61.95,44.33,-57.59,0.463679,236.7,0,0.421546,-0.169213
1492606151423,92.02,212.16,61.66,44.56,-57.55,0,236.72,0,0.441024,0.0194783
1492606151431,92.26,212.06,61.42,44.75,-57.78,0.309119,236.74,0,0.259995,-0.181029
1492606151438,92.63,212.11,61.3,44.94,-58.15,-0.15456,236.76,0,0.373366,0.113372
1492606151447,93.06,212.09,61.02,45.11,-58.21,0,236.78,0,0.430465,0.0570991
1492606151455,93.25,212.01,60.64,45.8,-58.73,0,236.81,0,0.206158,-0.224307
1492606151462,93.34,211.8,60.52,45.79,-59.08,0,236.84,0,0.228478,0.0223197
1492606151469,93.2,211.34,60.63,45.95,-58.88,-0.15456,236.86,0,0.480824,0.252346
1492606151478,92.87,211.22,60.8,46.06,-58.65,0.309119,236.88,0,0.351141,-0.129683
1492606151485,92.71,210.83,60.92,45.92,-58.59,-0.15456,236.9,0,0.421543,0.0704016
1492606151494,92.54,210.55,61.02,46.39,-58.44,0.463679,236.93,0,0.327578,-0.0939649
1492606151501,92.27,210.18,61.17,46.23,-58.53,-0.15456,236.96,0,0.458038,0.13046
1492606151509,92.13,209.87,61.28,46.49,-58.91,0,236.98,0,0.340145,-0.117893
1492606151516,91.93,209.51,61.56,46.3,-58.67,0.15456,237,0,0.411824,0.0716797
1492606151526,92.22,209.28,61.48,46.04,-58.97,-0.15456,237.02,0,0.370133,-0.0416911
1492606151537,92.45,209.22,61.52,46.34,-59.23,0.15456,237.06,0,0.237693,-0.132441
1492606151545,93.03,209.33,61.24,46.24,-59,0.618238,237.1,0,0.590341,0.352648
1492606151553,93.18,209.19,61.11,46.3,-59.08,0.618238,237.12,0,0.205184,-0.385157
1492606151561,93.32,209.04,61.08,46.28,-59.26,0.309119,237.14,0,0.205189,5.57303e-006
1492606151573,93.35,208.97,60.92,45.83,-59.12,0.15456,237.17,0,0.07615,-0.129039
1492606151585,93.44,208.82,60.93,45.54,-59.14,0.309119,237.21,0,0.174935,0.0987846
1492606151593,93.6,208.91,60.81,45.32,-58.8,0.309119,237.24,0,0.183577,0.00864246
1492606151617,93.73,208.85,60.67,44.46,-58.86,0,237.28,0,0.143175,-0.0404023
1492606151623,93.91,208.88,60.31,44.06,-58.81,0.309119,237.32,0,0.182483,0.0393083
1492606151629,94.08,209.04,60.05,43.88,-58.6,-0.309119,237.34,0,0.233454,0.0509706
1492606151637,93.91,208.94,59.99,43.87,-58.32,-0.15456,237.36,0,0.197225,-0.0362289
1492606151645,94.06,209.22,59.71,43.96,-58.12,0.15456,237.38,0,0.317647,0.120423
1492606151653,94,209.17,59.49,43.75,-58.22,0.309119,237.4,0,0.0781026,-0.239545
1492606151665,93.91,209.17,59.26,43.63,-57.97,-0.15456,237.43,0,0.090004,0.0119014
1492606151673,93.94,209.13,58.99,43.65,-58.02,0.309119,237.46,0,0.0500061,-0.0399979
1492606151685,94.02,209.23,58.83,43.23,-57.08,0.15456,237.49,0,0.128068,0.0780623
1492606151693,94.23,209.39,58.73,43.04,-55.98,0.463679,237.52,0,0.264009,0.135941
1492606151701,94.49,209.21,58.65,42.42,-55.55,0.463679,237.54,0,0.316234,0.052225
1492606151709,94.63,209.34,58.47,42.69,-54.18,0.463679,237.56,0,0.191053,-0.125181
1492606151717,95.02,209.48,58.22,42.34,-53.77,-0.15456,237.58,0,0.414366,0.223314
