Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1493044570831,91.53,178.47,3.58,46.6,-78.82,0.463679,-137.54,1,0.197228,-0.0370851
1493044570847,91.54,178.81,3.57,46.62,-76.68,0.15456,-137.51,1,0.340143,0.142915
1493044570852,91.7,179.29,3.43,46.64,-75.9,0.15456,-137.48,1,0.505959,0.165816
1493044570859,91.89,179.67,3.32,46.76,-75.28,0.463679,-137.46,1,0.424858,-0.0811007
1493044570867,92.1,180.2,3.19,46.87,-74.74,0,-137.44,1,0.570086,0.145228
1493044570875,92.43,180.61,3.05,47.05,-74.18,0,-137.42,1,0.526312,-0.0437744
1493044570883,92.86,181.19,2.82,47.15,-73.66,0.15456,-137.4,1,0.722013,0.195701
1493044570889,93.18,181.61,2.78,47.27,-73.81,0.15456,-137.38,1,0.528013,-0.193999
1493044570895,93.4,182.02,2.71,47.45,-73.39,-0.15456,-137.36,1,0.465286,-0.0627275
1493044570903,93.53,182.4,2.65,47.46,-73.08,0,-137.34,1,0.401625,-0.0636605
1493044570911,93.62,182.7,2.7,47.58,-72.61,0.15456,-137.32,1,0.313211,-0.0884144
1493044570919,93.67,182.99,2.85,47.58,-72.06,0,-137.3,1,0.294273,-0.0189384
1493044570925,93.69,183.32,2.89,47.62,-71.61,0.618238,-137.28,1,0.330607,0.0363345
1493044570931,93.33,183.73,2.89,47.76,-71.13,0.15456,-137.26,1,0.545622,0.215015
1493044570939,93.29,184.02,2.94,47.99,-70.46,0.463679,-137.24,1,0.292738,-0.252884
1493044570947,93.21,184.35,2.84,48.23,-69.76,0,-137.22,1,0.339561,0.0468227
1493044570954,93.25,184.66,2.81,48.4,-69.09,-0.15456,-137.2,1,0.312568,-0.0269931
1493044570961,93.38,185.14,2.57,48.57,-68.64,0.463679,-137.18,1,0.497303,0.184735
1493044570967,93.53,185.48,2.48,48.78,-67.88,0.309119,-137.16,1,0.371615,-0.125687
1493044570975,93.75,185.77,2.47,49.12,-67.3,0.309119,-137.14,1,0.364001,-0.00761446
1493044570983,94.06,186.05,2.56,49.21,-66.88,-0.309119,-137.12,1,0.41774,0.0537387
1493044570989,94.45,186.33,2.73,49.3,-66.65,0,-137.1,1,0.480103,0.0623634
1493044570995,94.83,186.53,2.9,49.26,-66.48,-0.309119,-137.08,0,0.429414,-0.0506886
1493044571003,95.11,186.69,3.08,49.18,-66.73,0.15456,-137.06,0,0.322498,-0.106917
1493044571011,95.42,186.86,3.31,49.06,-66.98,0.15456,-137.04,0,0.35355,0.0310527
1493044571019,95.67,186.98,3.56,48.86,-67.31,0.618238,-137.02,0,0.277306,-0.076244
1493044571025,95.76,187.12,3.67,48.76,-67.57,-0.15456,-137,0,0.166431,-0.110876
1493044571039,95.62,187.24,3.63,47.91,-68.21,0.463679,-136.97,0,0.184387,0.0179566
1493044571047,94.92,187.38,3.25,47.59,-68.56,0.15456,-136.94,0,0.71386,0.529472
1493044571053,94.44,187.44,2.96,47.24,-68.83,0.15456,-136.92,0,0.48374,-0.230119
1493044571059,93.93,187.52,2.55,46.9,-69.3,0.15456,-136.9,0,0.516229,0.0324885
1493044571067,93.42,187.66,2.19,46.37,-70.08,0.309119,-136.88,0,0.528869,0.0126398
1493044571075,92.83,187.84,1.55,46.07,-70.75,0,-136.86,0,0.616853,0.0879843
1493044571083,92.32,188.09,0.92,45.77,-71.32,0.309119,-136.84,0,0.567974,-0.048879
1493044571089,91.8,188.32,0.37,45.28,-72.13,0,-136.82,0,0.568597,0.000622988
1493044571095,91.25,188.55,-0.12,44.94,-72.84,0,-136.8,0,0.596154,0.0275574
1493044571103,90.61,188.67,-0.58,44.6,-73.71,0.309119,-136.78,0,0.651151,0.054997
1493044571111,89.56,188.84,-1.38,44.2,-74.34,0,-136.76,0,1.06368,0.412524
1493044571119,88.87,188.81,-1.78,43.98,-74.95,0,-136.74,0,0.690654,-0.373021
1493044571125,88.27,188.82,-2.2,43.46,-75.25,0.463679,-136.72,0,0.600082,-0.0905725
1493044571131,87.49,188.83,-2.7,43.17,-75.67,0.309119,-136.7,0,0.780063,0.179981
1493044571139,86.83,188.83,-3.14,43.04,-75.87,0,-136.68,0,0.659996,-0.120067
1493044571147,86.12,188.84,-3.63,42.47,-76.65,0.463679,-136.66,0,0.710077,0.0500811
1493044571153,85.5,188.91,-4.12,42.21,-77.13,0,-136.64,0,0.623933,-0.0861438
1493044571159,84.96,188.95,-4.53,42.02,-77.45,0.309119,-136.62,0,0.541481,-0.0824523
1493044571167,84.47,189.18,-5.42,41.9,-77.7,0.15456,-136.6,0,0.541291,-0.00019002
1493044571175,84.14,189.23,-5.86,41.64,-78.08,0.15456,-136.58,0,0.333769,-0.207522
1493044571183,83.92,189.27,-6.26,41.58,-78.37,0.309119,-136.56,0,0.223607,-0.110162
1493044571189,83.52,189.35,-6.89,41.33,-78.73,0.463679,-136.54,0,0.407923,0.184317
1493044571195,83.24,189.34,-7.34,41.19,-79.26,-0.15456,-136.52,0,0.280177,-0.127746
1493044571203,83.08,189.28,-7.71,41.07,-79.62,0.309119,-136.5,0,0.170876,-0.109302
1493044571211,82.93,189.18,-7.98,40.99,-80.16,0.463679,-136.48,0,0.180282,0.00940672
1493044571219,82.75,189.06,-8.29,40.92,-80.67,0.309119,-136.46,0,0.216331,0.0360484
1493044571224,82.64,188.75,-8.61,40.94,-81.35,0,-136.44,0,0.328936,0.112605
1493044571231,82.5,188.57,-8.84,40.86,-81.9,0.15456,-136.42,0,0.228041,-0.100895
1493044571239,82.32,188.27,-8.97,40.78,-82.4,0.309119,-136.4,0,0.34986,0.121819
1493044571247,82.23,187.97,-9.11,40.97,-82.38,-0.15456,-136.38,0,0.313199,-0.0366612
1493044571253,82.09,187.65,-9.2,40.71,-82.97,-0.309119,-136.36,0,0.349291,0.0360928
1493044571259,82,187.31,-9.31,40.87,-83.58,0.309119,-136.34,0,0.351706,0.0024142
1493044571267,81.9,186.89,-9.43,40.87,-84.07,-0.15456,-136.32,0,0.431739,0.0800329
1493044571275,81.87,186.52,-9.56,40.89,-84.55,0,-136.3,0,0.371225,-0.0605134
1493044571283,81.88,186.18,-9.72,40.89,-84.79,0.15456,-136.28,0,0.340143,-0.0310816
1493044571289,82.18,185.58,-9.78,40.99,-85.11,0.463679,-136.26,0,0.670814,0.33067
1493044571295,82.21,185.28,-10.03,41.04,-85.84,-0.309119,-136.24,0,0.301499,-0.369314
1493044571303,82.24,184.85,-10.16,41.57,-85.42,0,-136.22,0,0.431053,0.129554
1493044571311,82.32,184.5,-10.31,41.48,-85.77,0,-136.2,0,0.359018,-0.0720351
1493044571319,82.4,184.15,-10.46,41.6,-85.83,-0.15456,-136.18,0,0.359033,1.48714e-005
1493044571325,82.55,183.79,-10.58,41.81,-85.8,0.309119,-136.14,1,0.389998,0.0309654
1493044571332,82.69,183.38,-10.66,42.05,-85.63,0.772798,-136.14,1,0.433247,0.0432487
1493044571339,82.7,182.93,-10.8,42.34,-85.37,-0.15456,-136.12,1,0.450108,0.0168613
1493044571347,83.31,182.07,-10.74,42.63,-85.22,0.618238,-136.1,1,1.05437,0.604265
1493044571353,83.44,181.61,-10.82,42.95,-85.05,0,-136.08,1,0.478008,-0.576365
1493044571359,83.66,181.17,-10.89,43.75,-84.67,0.772798,-136.06,1,0.491938,0.0139299
1493044571367,83.86,180.68,-10.91,44.05,-84.79,0.15456,-136.04,1,0.529252,0.0373139
1493044571375,84.11,180.17,-10.96,44.86,-85.72,-0.309119,-136.02,1,0.567974,0.0387224
1493044571383,84.34,179.66,-10.97,45.53,-85.72,0.463679,-136,1,0.559471,-0.00850278
1493044571389,84.46,179.11,-10.91,46.17,-85.62,0.463679,-135.98,1,0.562927,0.00345618
1493044571395,84.57,178.52,-10.71,46.85,-84.96,0.15456,-135.96,1,0.600178,0.0372508
1493044571403,84.87,177.52,-10.24,47.37,-84.01,0.309119,-135.94,0,1.04403,0.443851
1493044571411,84.56,176.8,-9.67,47.79,-82.62,0.15456,-135.92,0,0.783887,-0.260143
1493044571419,83.75,175.85,-8.9,48.16,-81.31,0,-135.9,0,1.24845,0.46456
1493044571425,83.16,175.06,-8.02,48.74,-80.08,0.15456,-135.88,0,0.985999,-0.262448
1493044571431,82.42,174.22,-7.05,48.46,-79.19,0.309119,-135.86,0,1.11946,0.133461
1493044571439,81.71,173.32,-6,48.33,-78.67,0.618238,-135.84,0,1.14635,0.0268886
1493044571447,81,172.39,-5.02,48.11,-78.39,0.463679,-135.82,0,1.17004,0.0236878
1493044571453,80.37,171.42,-4.16,47.95,-78.04,0.15456,-135.8,0,1.15664,-0.0133997
1493044571459,79.71,170.44,-3.56,47.67,-77.77,-0.15456,-135.78,0,1.18152,0.024882
1493044571467,78.75,169.07,-3.27,47.36,-77.5,0.309119,-135.76,0,1.67288,0.491361
1493044571475,77.55,168.26,-3.62,47.05,-77.24,0,-135.74,0,1.44779,-0.225086
1493044571483,76.89,167.67,-4.11,46.88,-76.88,0.463679,-135.72,0,0.885263,-0.562531
1493044571488,76.23,167.2,-4.69,46.63,-76.78,-0.309119,-135.7,0,0.810251,-0.0750123
1493044571495,75.7,166.75,-5.33,46.37,-76.77,0.15456,-135.68,0,0.695267,-0.114984
1493044571503,75.29,166.44,-5.95,46.16,-76.77,-0.15456,-135.66,0,0.513999,-0.181268
1493044571511,74.98,166.2,-6.55,46.03,-76.81,0,-135.64,0,0.392053,-0.121946
1493044571519,74.71,166,-7.08,45.65,-77.1,0.15456,-135.62,0,0.336001,-0.0560519
1493044571525,74.41,165.66,-7.62,45.51,-77.23,0,-135.6,0,0.453431,0.117429
1493044571531,74.11,165.5,-8.02,45.39,-77.37,-0.15456,-135.58,0,0.339998,-0.113433
1493044571539,73.77,165.37,-8.36,45.39,-77.52,0.309119,-135.56,0,0.364011,0.0240133
1493044571547,73.44,165.26,-8.65,45.34,-77.6,-0.15456,-135.54,0,0.347852,-0.0161585
1493044571552,73.1,165.16,-8.89,45.23,-77.76,0.309119,-135.52,0,0.354395,0.00654233
1493044571559,72.5,165.17,-9.33,45.12,-77.84,0.309119,-135.5,0,0.600082,0.245687
1493044571567,72.19,165.14,-9.59,45.06,-77.88,0.309119,-135.48,0,0.311453,-0.288628
1493044571575,71.93,165.14,-9.84,44.92,-77.9,0.15456,-135.46,0,0.259995,-0.0514588
1493044571583,71.64,165.06,-10.1,44.84,-77.91,0.309119,-135.44,0,0.300834,0.040839
1493044571589,71.44,165.07,-10.33,44.77,-78,-0.309119,-135.42,0,0.200254,-0.100579
1493044571596,71.21,165.1,-10.6,44.75,-78.06,0.309119,-135.4,0,0.231944,0.0316897
1493044571603,71.04,165.12,-10.83,44.65,-78.01,0.15456,-135.38,0,0.171171,-0.0607728
1493044571611,70.91,165.12,-11.03,44.71,-77.95,0,-135.36,0,0.130005,-0.0411662
1493044571616,70.79,165.14,-11.24,44.72,-77.87,0.463679,-135.32,1,0.121651,-0.00835375
1493044571631,70.63,165.12,-11.41,44.84,-77.57,0,-135.31,1,0.161249,0.0395982
1493044571639,70.41,165.03,-11.47,44.92,-77.43,0.463679,-135.28,1,0.237697,0.0764477
1493044571651,70.24,164.89,-11.39,45.65,-77.59,0,-135.25,1,0.220225,-0.0174717
1493044571659,70.14,164.7,-11.15,45.41,-77.58,-0.15456,-135.22,1,0.214711,-0.00551479
1493044571667,70.05,164.53,-10.91,45.66,-77.55,0.618238,-135.2,1,0.192354,-0.0223565
1493044571675,69.84,164.3,-10.62,45.92,-77.45,0.15456,-135.18,0,0.311444,0.11909
1493044571683,69.53,163.98,-10.23,46.07,-77.18,0.618238,-135.16,0,0.445537,0.134092
1493044571689,68.81,163.34,-9.53,46.26,-76.74,0.15456,-135.14,0,0.963328,0.517791
1493044571695,68.25,162.86,-8.92,46.33,-76.53,0,-135.12,0,0.737559,-0.225769
1493044571703,67.59,162.48,-8.64,46.47,-76.5,-0.772798,-135.1,0,0.761583,0.024024
1493044571711,67.01,162.02,-8.12,46.52,-76.32,0.309119,-135.08,0,0.74027,-0.0213131
1493044571717,66.56,161.59,-7.68,46.57,-76.22,0,-135.06,0,0.622413,-0.117857
1493044571723,66.25,161.23,-7.39,46.52,-76.07,0.15456,-135.04,0,0.475078,-0.147335
1493044571731,66.06,160.72,-7,46.46,-75.94,-0.15456,-135.02,0,0.544238,0.0691605
1493044571739,65.91,160.42,-6.8,46.43,-75.67,0.15456,-135,0,0.335414,-0.208825
1493044571747,65.74,160.09,-6.63,46.39,-75.74,0,-134.98,0,0.371215,0.0358014
1493044571753,65.73,159.86,-6.54,46.21,-75.58,-0.15456,-134.96,0,0.230213,-0.141002
1493044571759,65.72,159.64,-6.53,45.88,-75.66,0.15456,-134.94,0,0.220228,-0.00998498
1493044571775,65.78,159.49,-6.7,45.49,-75.55,0,-134.91,0,0.161563,-0.0586656
1493044571783,65.87,159.41,-6.97,45.54,-75.59,0,-134.88,0,0.120404,-0.0411582
1493044571789,65.86,159.43,-7.18,45.22,-75.55,0,-134.86,0,0.0223484,-0.0980559
1493044571795,65.84,159.46,-7.5,45.13,-75.37,0,-134.84,0,0.0360569,0.0137085
1493044571803,65.68,159.53,-8.05,44.92,-75.3,0,-134.82,0,0.174642,0.138585
1493044571811,65.62,159.61,-8.49,44.7,-75.23,0,-134.8,0,0.100005,-0.0746372
1493044571817,65.55,159.69,-8.91,44.42,-75.19,-0.15456,-134.78,0,0.106303,0.00629806
1493044571823,65.51,159.67,-9.29,44.22,-75.06,0,-134.76,0,0.0447173,-0.0615854
