Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1493044436972,105.05,194.83,21.22,57.9,-57.03,-0.15456,272.88,0,0.120426,-0.191975
1493044436980,104.99,194.92,20.81,57.75,-57.01,-0.15456,272.9,0,0.108162,-0.0122637
1493044436987,104.96,195.02,20.36,57.64,-57.07,-0.463679,272.92,0,0.104394,-0.00376819
1493044436993,104.86,195.04,20.08,57.65,-56.94,0.15456,272.94,0,0.10198,-0.00241421
1493044437001,104.78,195.05,19.76,57.44,-57.13,-0.463679,272.96,0,0.0806256,-0.0213541
1493044437016,104.74,195.06,19.48,57.26,-57.29,0,272.99,0,0.0412306,-0.039395
1493044437022,104.73,194.98,19.17,57.19,-57.24,-0.15456,273.02,0,0.0806247,0.039394
1493044437036,104.61,194.84,19,56.77,-57.31,-0.309119,273.05,0,0.184387,0.103763
1493044437044,104.46,194.62,18.76,56.7,-57.44,0,273.08,0,0.266272,0.0818851
1493044437056,104.33,194.42,18.63,56.45,-57.51,-0.463679,273.11,0,0.238537,-0.0277351
1493044437064,104.2,194.14,18.52,56.34,-57.62,0,273.14,0,0.308705,0.0701674
1493044437072,104.11,193.99,18.41,56.13,-57.85,-0.463679,273.16,0,0.174935,-0.13377
1493044437080,104,193.78,18.23,56.14,-57.96,0.15456,273.18,0,0.237058,0.0621236
1493044437086,103.79,193.51,18.11,55.96,-58.13,-0.15456,273.2,0,0.342055,0.104997
1493044437092,103.68,193.3,17.99,55.93,-58.22,0,273.22,0,0.237058,-0.104997
1493044437100,103.52,193.13,17.9,55.93,-58.28,0.15456,273.24,0,0.233465,-0.00359347
1493044437108,103.36,192.92,17.84,55.9,-58.39,0.309119,273.26,0,0.263998,0.0305338
1493044437116,103.15,192.66,17.74,55.85,-58.35,-0.309119,273.28,0,0.334227,0.0702289
1493044437122,102.97,192.51,17.78,55.85,-58.42,-0.309119,273.3,0,0.234298,-0.0999294
1493044437129,102.82,192.35,17.73,55.86,-58.54,0,273.32,0,0.219321,-0.0149771
