Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1493044298287,100.05,159.29,28.48,71.97,-89.23,0.15456,-3.58,0,0.143182,-0.00681838
1493044298295,100.37,159.16,28.51,72.03,-88.64,0,-3.54,0,0.345394,0.202213
1493044298303,100.58,159.09,28.59,72.15,-88.68,0.15456,-3.52,0,0.221361,-0.124033
1493044298310,100.98,159.01,28.72,72.21,-88.85,0.772798,-3.5,0,0.407923,0.186563
1493044298317,101.54,158.9,28.88,72.14,-89,0.463679,-3.48,0,0.570707,0.162783
1493044298324,102.08,158.82,29.1,71.95,-89.18,0.309119,-3.46,0,0.545887,-0.0248191
1493044298331,102.54,158.82,29.09,71.77,-89.57,0.618238,-3.44,0,0.460007,-0.0858807
1493044298338,102.99,158.82,29.16,71.62,-90.04,0.309119,-3.42,0,0.449997,-0.0100098
1493044298359,102.77,158.92,29.28,71.27,-92.27,0.15456,-3.38,0,0.241665,-0.208332
1493044298367,102.16,159.07,29.2,71.11,-92.71,0.309119,-3.34,0,0.628171,0.386507
1493044298375,101.57,159.13,29.04,70.91,-93.16,0.15456,-3.32,0,0.593039,-0.035132
1493044298382,100.94,159.16,28.93,70.47,-93.47,0,-3.3,0,0.630719,0.0376803
1493044298389,100.18,159.17,28.82,70.18,-93.84,0.15456,-3.28,0,0.76006,0.129341
1493044298396,99.33,159.24,28.88,69.72,-94,0.772798,-3.26,0,0.852883,0.0928227
1493044298403,98.26,159.35,28.96,69.54,-94.15,0.463679,-3.24,0,1.07564,0.222756
1493044298410,97.61,159.41,28.88,69.22,-94.03,-0.15456,-3.22,0,0.652758,-0.422881
1493044298418,96.95,159.54,28.78,68.56,-93.79,0.309119,-3.2,0,0.672683,0.0199243
1493044298425,96.42,159.67,28.44,68.2,-93.66,0.463679,-3.18,0,0.545711,-0.126972
1493044298432,95.91,159.83,28.23,67.79,-93.6,0.463679,-3.16,0,0.534512,-0.0111983
1493044298439,95.53,159.98,27.87,67.37,-93.36,0.15456,-3.14,0,0.408529,-0.125983
1493044298446,95.28,160.09,27.64,66.84,-93.37,0.618238,-3.12,0,0.27313,-0.135399
1493044298453,95.23,160.23,27.24,66.19,-93.54,0.309119,-3.1,0,0.148661,-0.124469
1493044298459,95.27,160.42,26.31,65.7,-93.43,0.618238,-3.08,0,0.194167,0.0455063
1493044298467,95.38,160.68,25.79,65.17,-93.6,0.15456,-3.06,0,0.282307,0.0881396
1493044298474,95.32,160.81,25.21,64.25,-93.99,0.463679,-3.04,0,0.143182,-0.139125
1493044298481,95.35,161.03,24.68,63.56,-94.4,0.309119,-3.02,0,0.222037,0.0788555
1493044298488,95.16,161.24,24.03,62.78,-94.86,0.309119,-3,0,0.283191,0.0611543
1493044298495,94.96,161.48,23.31,62.05,-95.3,0.463679,-2.98,0,0.312412,0.0292209
1493044298503,94.77,161.73,22.73,61.06,-96.07,0,-2.96,0,0.314008,0.00159559
1493044298510,94.45,162.03,22.15,60.16,-96.54,0.463679,-2.94,0,0.438636,0.124628
1493044298518,93.61,162.53,20.88,59.55,-97.08,-0.309119,-2.92,0,0.977545,0.538909
1493044298526,92.94,162.86,20.18,58.66,-97.4,0.309119,-2.9,0,0.746866,-0.230679
1493044298534,92.21,163.28,19.39,57.96,-98,0.15456,-2.88,0,0.842195,0.0953288
1493044298541,91.49,163.75,18.65,57.51,-98.31,0.15456,-2.86,0,0.859827,0.0176323
1493044298548,90.7,164.44,17.84,57.02,-98.75,-0.309119,-2.84,0,1.04891,0.189079
1493044298555,89.98,165.02,16.99,56.58,-99.18,0.618238,-2.82,0,0.924546,-0.12436
1493044298562,89.31,165.55,16.33,56.21,-99.63,-0.15456,-2.8,0,0.854291,-0.0702559
1493044298569,88.68,166.3,15.07,55.89,-99.95,0.309119,-2.78,0,0.979488,0.125197
1493044298576,87.73,167.03,14.44,55.49,-100.27,-0.15456,-2.76,0,1.19808,0.218595
1493044298582,87.21,167.57,13.92,54.93,-100.59,0.309119,-2.74,0,0.749659,-0.448423
1493044298588,86.64,168.1,13.37,54.62,-100.93,0.618238,-2.72,0,0.778331,0.0286711
1493044298595,86.09,168.63,12.81,54.27,-101.31,0.463679,-2.7,0,0.763808,-0.0145229
1493044298603,85.55,169.12,12.22,53.96,-101.39,0.15456,-2.68,0,0.729182,-0.0346256
1493044298609,85.08,169.62,11.67,53.7,-101.45,0,-2.66,0,0.686217,-0.0429649
1493044298615,84.67,170.1,11.14,53.45,-101.53,0.309119,-2.64,0,0.631268,-0.0549495
1493044298623,84.21,170.82,10.23,53.19,-101.66,0,-2.62,0,0.854401,0.223133
1493044298631,83.85,171.3,9.66,52.9,-101.83,0,-2.6,0,0.600009,-0.254392
1493044298637,83.39,172.02,9.13,52.75,-101.87,-0.463679,-2.58,0,0.854388,0.254379
1493044298643,83.21,172.51,8.63,52.62,-102.14,-0.463679,-2.56,0,0.522021,-0.332367
1493044298651,83.09,172.95,8.26,52.57,-102.5,0,-2.54,0,0.456073,-0.0659473
1493044298659,82.96,173.39,7.88,52.6,-103.26,0.309119,-2.52,0,0.458804,0.00273108
1493044298667,82.83,173.86,7.54,52.67,-103.66,0,-2.5,0,0.487648,0.0288435
1493044298674,82.67,174.29,7.22,52.69,-104.14,-0.15456,-2.48,0,0.458797,-0.0288506
1493044298681,82.59,174.71,6.9,52.78,-104.34,0,-2.46,0,0.42755,-0.0312475
1493044298687,82.4,175.01,6.78,52.87,-104.7,0.309119,-2.44,0,0.355105,-0.0724443
1493044298695,82,175.36,6.66,53.06,-104.88,0.15456,-2.42,0,0.531512,0.176407
1493044298703,81.46,175.55,6.55,53.17,-104.95,0.15456,-2.4,0,0.572453,0.0409401
1493044298708,81.09,175.69,6.53,53.33,-105.05,0.15456,-2.38,0,0.395603,-0.176849
1493044298715,80.7,175.81,6.51,53.44,-105.24,-0.15456,-2.36,0,0.408042,0.012439
1493044298723,80.46,175.86,6.58,53.51,-105.3,0.463679,-2.34,0,0.245152,-0.162891
1493044298731,80.21,175.92,6.66,53.47,-105.34,-0.309119,-2.32,0,0.257099,0.0119471
1493044298738,80.05,175.91,6.84,53.65,-105.45,0.463679,-2.3,0,0.160315,-0.0967831
1493044298751,79.94,175.82,7.01,53.51,-105.68,-0.15456,-2.27,0,0.142135,-0.018181
